EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
11.646,5.600,10.345,4.984,-6.770,-15.919,-18.994,-15.355,-0.075,0.931,-0.415,-0.427,-0.305,0.366,86.667,8361.000,1.000
5.815,0.604,7.264,2.253,-10.870,-20.474,-23.976,-19.195,-0.073,0.930,-0.414,-0.427,-0.305,0.519,86.667,8362.000,1.000
1.445,-2.878,4.985,1.267,-11.906,-21.643,-24.344,-19.050,-0.072,0.932,-0.413,-0.397,-0.244,0.549,86.667,8363.000,1.000
-0.789,-4.236,3.849,1.870,-9.311,-18.570,-19.348,-14.544,-0.073,0.933,-0.414,-0.305,-0.275,0.580,86.667,8364.000,1.000
-1.057,-3.608,3.898,3.393,-3.655,-11.767,-9.940,-6.599,-0.075,0.932,-0.414,-0.366,-0.244,0.702,86.667,8365.000,1.000
0.272,-1.351,5.172,5.315,3.927,-2.468,1.932,3.267,-0.075,0.929,-0.410,-0.305,-0.244,0.580,86.667,8366.000,1.000
2.998,2.223,7.660,7.502,12.107,7.791,14.050,13.482,-0.076,0.928,-0.412,-0.305,-0.275,0.641,86.667,8367.000,1.000
6.665,6.518,10.911,9.812,19.336,17.179,24.321,22.469,-0.077,0.927,-0.411,-0.305,-0.305,0.610,86.667,8368.000,1.000
10.235,10.507,14.001,11.812,24.058,23.844,31.179,28.751,-0.076,0.926,-0.415,-0.183,-0.366,0.610,86.667,8369.000,1.000
12.549,13.158,15.993,13.004,25.309,26.573,33.972,31.397,-0.074,0.927,-0.415,-0.031,-0.397,0.580,86.667,8370.000,1.000
12.991,13.890,16.373,13.115,23.058,25.221,32.930,30.297,-0.073,0.930,-0.416,0.092,-0.397,0.458,86.667,8371.000,1.000
11.611,12.525,15.032,12.020,17.921,20.469,28.680,25.921,-0.072,0.932,-0.415,0.122,-0.366,0.488,86.667,8372.000,1.000
8.911,9.227,12.108,9.624,10.749,13.344,21.832,18.965,-0.071,0.935,-0.414,0.122,-0.336,0.458,86.667,8373.000,1.000
5.773,4.731,8.111,6.059,2.614,5.102,13.068,10.371,-0.071,0.937,-0.412,0.031,-0.244,0.458,86.667,8374.000,1.000
