EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
9.506,12.568,10.060,8.991,7.077,4.749,10.303,9.782,-0.186,0.954,-0.295,-1.221,-0.458,0.427,80.000,9225.000,1.000
5.647,7.995,6.656,4.851,4.134,0.483,8.016,7.653,-0.185,0.953,-0.295,-1.282,-0.610,0.366,80.000,9226.000,1.000
3.356,5.443,4.128,1.533,1.864,-2.914,5.918,5.821,-0.184,0.953,-0.295,-1.282,-0.580,0.366,80.000,9227.000,1.000
2.816,5.307,2.964,-0.552,0.584,-4.846,4.375,4.556,-0.186,0.951,-0.294,-1.251,-0.519,0.366,80.000,9228.000,1.000
2.942,6.516,2.543,-2.033,-0.368,-5.902,2.763,3.211,-0.183,0.952,-0.297,-1.343,-0.427,0.519,80.000,9229.000,1.000
2.447,7.602,1.894,-3.731,-1.816,-7.068,0.283,1.029,-0.184,0.952,-0.298,-1.160,-0.397,0.488,80.000,9230.000,1.000
1.091,8.101,0.813,-5.616,-3.665,-8.443,-2.829,-1.788,-0.187,0.952,-0.298,-1.129,-0.397,0.397,80.000,9231.000,1.000
0.049,8.926,0.247,-6.570,-4.668,-8.820,-5.042,-3.847,-0.187,0.950,-0.299,-1.068,-0.488,0.336,80.000,9232.000,1.000
0.888,11.343,1.466,-5.344,-3.432,-6.750,-4.711,-3.637,-0.184,0.948,-0.297,-1.038,-0.458,0.305,80.000,9233.000,1.000
4.101,15.645,4.801,-1.786,0.292,-2.073,-1.520,-0.856,-0.185,0.948,-0.298,-0.977,-0.458,0.366,80.000,9234.000,1.000
8.717,20.918,9.364,3.060,5.448,3.831,3.375,3.426,-0.184,0.949,-0.296,-0.854,-0.458,0.397,80.000,9235.000,1.000
13.113,25.748,13.841,7.830,10.536,9.105,8.330,7.636,-0.182,0.948,-0.297,-0.854,-0.427,0.397,80.000,9236.000,1.000
15.852,28.859,17.189,11.497,14.263,12.380,11.982,10.476,-0.182,0.950,-0.298,-0.793,-0.397,0.305,80.000,9237.000,1.000
16.098,29.452,18.789,13.503,15.769,13.033,13.530,11.309,-0.183,0.953,-0.297,-0.702,-0.305,0.366,80.000,9238.000,1.000
13.921,27.563,18.512,13.810,14.907,11.189,12.951,10.364,-0.182,0.954,-0.299,-0.671,-0.305,0.366,80.000,9239.000,1.000
10.452,24.264,16.918,13.025,12.503,7.802,11.114,8.670,-0.183,0.955,-0.295,-0.732,-0.305,0.397,80.000,9240.000,1.000
7.419,21.191,15.199,12.188,10.059,4.451,9.366,7.529,-0.184,0.953,-0.294,-0.824,-0.214,0.397,80.000,9241.000,1.000
6.188,19.655,14.612,12.175,8.938,2.615,8.806,7.786,-0.183,0.954,-0.296,-0.885,-0.183,0.366,80.000,9242.000,1.000
7.091,20.020,15.772,13.215,9.632,2.863,9.783,9.415,-0.183,0.952,-0.299,-0.824,-0.153,0.366,80.000,9243.000,1.000
9.288,21.507,18.150,14.718,11.455,4.452,11.684,11.470,-0.183,0.953,-0.297,-0.824,-0.153,0.366,80.000,9244.000,1.000
11.212,22.570,20.261,15.588,12.945,5.761,13.203,12.509,-0.185,0.952,-0.297,-0.763,-0.183,0.336,80.000,9245.000,1.000
11.655,22.011,20.785,15.088,13.025,5.557,13.302,11.618,-0.182,0.952,-0.300,-0.763,-0.183,0.336,80.000,9246.000,1.000
10.583,19.901,19.511,13.399,11.818,3.900,12.054,9.173,-0.183,0.953,-0.298,-0.793,-0.153,0.397,80.000,9247.000,1.000
8.836,17.211,17.106,11.256,10.230,1.742,10.425,6.482,-0.181,0.951,-0.299,-0.824,-0.183,0.488,80.000,9248.000,1.000
7.297,14.823,14.344,9.333,9.023,0.057,9.391,4.798,-0.180,0.952,-0.298,-0.763,-0.092,0.458,80.000,9249.000,1.000
6.445,13.092,11.756,7.973,8.432,-0.580,9.273,4.578,-0.180,0.951,-0.300,-0.824,-0.092,0.458,80.000,9250.000,1.000
6.349,11.983,9.626,7.160,8.304,-0.060,9.634,5.336,-0.178,0.951,-0.300,-0.793,0.000,0.488,80.000,9251.000,1.000
6.805,11.341,8.041,6.638,8.355,1.285,9.701,6.068,-0.180,0.951,-0.299,-0.732,-0.122,0.549,80.000,9252.000,1.000
7.418,10.999,6.897,6.066,8.317,2.851,8.903,5.913,-0.181,0.953,-0.297,-0.916,-0.031,0.427,80.000,9253.000,1.000
7.616,10.708,5.855,5.092,7.905,4.060,7.109,4.532,-0.185,0.956,-0.296,-0.916,-0.092,0.336,80.000,9254.000,1.000
6.848,10.207,4.424,3.459,6.856,4.653,4.610,2.144,-0.189,0.958,-0.296,-0.977,-0.153,0.183,80.000,9255.000,1.000
4.901,9.350,2.216,1.172,5.087,4.738,1.968,-0.687,-0.191,0.956,-0.294,-1.038,-0.214,0.031,80.000,9256.000,1.000
2.059,8.081,-0.809,-1.445,2.783,4.508,-0.267,-3.362,-0.191,0.955,-0.296,-1.190,-0.275,-0.122,80.000,9257.000,1.000
-0.973,6.432,-4.217,-3.824,0.377,4.072,-1.780,-5.414,-0.190,0.955,-0.297,-1.282,-0.488,-0.397,80.000,9258.000,1.000
-3.302,4.628,-7.124,-5.332,-1.491,3.664,-2.396,-6.416,-0.188,0.954,-0.298,-1.282,-0.671,-0.488,80.000,9259.000,1.000
-4.295,2.968,-8.635,-5.586,-2.283,3.655,-2.012,-6.042,-0.187,0.954,-0.297,-1.221,-0.702,-0.580,80.000,9260.000,1.000
-3.985,1.504,-8.501,-4.788,-2.051,4.104,-0.847,-4.432,-0.188,0.956,-0.296,-1.282,-0.885,-0.549,80.000,9261.000,1.000
