EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-48.746,-22.570,-25.513,-25.474,-16.320,-25.510,-17.678,-19.468,-0.118,0.939,-0.377,-0.549,-0.641,0.580,80.000,8409.000,1.000
-51.043,-24.985,-26.482,-26.650,-18.258,-26.032,-17.377,-20.683,-0.117,0.940,-0.375,-0.641,-0.519,0.549,80.000,8410.000,1.000
-52.354,-26.751,-26.949,-27.141,-19.073,-25.282,-15.403,-21.215,-0.117,0.939,-0.378,-0.702,-0.549,0.519,80.000,8411.000,1.000
-52.741,-28.135,-27.392,-27.791,-19.299,-23.790,-12.864,-21.650,-0.116,0.940,-0.380,-0.641,-0.702,0.671,80.000,8412.000,1.000
-51.730,-28.843,-27.537,-28.549,-18.957,-21.731,-10.435,-21.888,-0.114,0.939,-0.375,-0.671,-0.702,0.671,80.000,8413.000,1.000
-48.865,-28.429,-26.807,-28.739,-17.937,-19.248,-8.477,-21.522,-0.116,0.939,-0.376,-0.641,-0.610,0.732,80.000,8414.000,1.000
-44.413,-26.921,-24.981,-27.881,-16.483,-16.735,-7.325,-20.469,-0.115,0.941,-0.379,-0.732,-0.580,0.824,80.000,8415.000,1.000
-39.482,-24.954,-22.522,-26.200,-15.177,-14.741,-7.184,-19.094,-0.113,0.942,-0.378,-0.732,-0.549,0.824,80.000,8416.000,1.000
-35.269,-23.128,-20.182,-24.271,-14.372,-13.445,-7.679,-17.680,-0.111,0.943,-0.379,-0.732,-0.519,0.824,80.000,8417.000,1.000
-32.399,-21.610,-18.538,-22.592,-13.982,-12.570,-7.994,-16.261,-0.110,0.942,-0.381,-0.702,-0.458,0.854,80.000,8418.000,1.000
-30.944,-20.486,-17.932,-21.603,-13.869,-11.930,-7.660,-15.020,-0.110,0.942,-0.378,-0.854,-0.366,0.824,80.000,8419.000,1.000
-30.626,-20.005,-18.421,-21.615,-14.018,-11.650,-6.850,-14.299,-0.109,0.939,-0.378,-0.916,-0.305,0.885,80.000,8420.000,1.000
-30.809,-20.118,-19.595,-22.476,-14.324,-11.739,-5.897,-14.092,-0.109,0.939,-0.380,-0.916,-0.275,0.824,80.000,8421.000,1.000
-30.508,-20.001,-20.494,-23.382,-14.343,-11.614,-4.736,-13.744,-0.114,0.940,-0.381,-0.793,-0.214,0.824,80.000,8422.000,1.000
-28.757,-18.517,-19.979,-23.257,-13.443,-10.297,-2.965,-12.376,-0.114,0.943,-0.380,-0.854,-0.122,0.702,80.000,8423.000,1.000
-25.246,-15.214,-17.471,-21.487,-11.303,-7.208,-0.431,-9.627,-0.116,0.942,-0.380,-0.885,-0.214,0.610,80.000,8424.000,1.000
-20.502,-10.539,-13.258,-18.257,-8.104,-2.592,2.527,-5.834,-0.117,0.942,-0.377,-0.885,-0.092,0.549,80.000,8425.000,1.000
-15.456,-5.341,-8.170,-14.268,-4.353,2.694,5.373,-1.643,-0.118,0.942,-0.377,-0.946,-0.153,0.305,80.000,8426.000,1.000
-10.952,-0.539,-3.168,-10.277,-0.738,7.531,7.619,2.283,-0.117,0.942,-0.376,-0.916,-0.244,0.122,80.000,8427.000,1.000
-7.436,3.045,0.920,-6.784,2.005,10.882,8.915,5.359,-0.118,0.945,-0.376,-1.068,-0.336,-0.061,80.000,8428.000,1.000
-4.929,4.954,3.552,-4.004,3.336,12.188,9.136,7.160,-0.118,0.944,-0.376,-1.068,-0.366,-0.122,80.000,8429.000,1.000
-3.333,5.170,4.479,-2.106,3.012,11.491,8.368,7.464,-0.116,0.944,-0.379,-1.129,-0.488,-0.183,80.000,8430.000,1.000
-2.621,3.939,3.759,-1.278,1.104,9.231,6.795,6.315,-0.115,0.945,-0.375,-1.282,-0.458,-0.366,80.000,8431.000,1.000
-2.505,1.809,2.020,-1.342,-1.794,6.150,4.796,4.265,-0.115,0.944,-0.378,-1.373,-0.427,-0.427,80.000,8432.000,1.000
-2.262,-0.426,0.405,-1.613,-4.592,3.186,2.957,2.280,-0.115,0.943,-0.377,-1.434,-0.519,-0.397,80.000,8433.000,1.000
-1.281,-2.260,-0.225,-1.532,-6.426,0.952,1.610,1.036,-0.116,0.942,-0.379,-1.587,-0.488,-0.397,80.000,8434.000,1.000
0.533,-3.597,0.209,-1.076,-7.078,-0.480,0.738,0.611,-0.117,0.942,-0.376,-1.617,-0.488,-0.366,80.000,8435.000,1.000
3.148,-4.147,1.518,-0.243,-6.472,-1.013,0.568,1.045,-0.118,0.942,-0.374,-1.587,-0.488,-0.275,80.000,8436.000,1.000
6.727,-3.221,3.766,1.351,-4.262,-0.148,1.765,2.670,-0.117,0.940,-0.375,-1.617,-0.488,-0.214,80.000,8437.000,1.000
