Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
217538.1875,659882.5625,427951.78125,443837.34375,317204.78125,223979.78125,208114.953125,220304.25,-0.19677734375
217172.328125,659420.5625,427126.3125,443409.8125,316745.875,223878.484375,207917.90625,219964.59375,-0.19580078125
216833.03125,658764.125,426223.8125,443073.375,316207.8125,223820.1875,207777.71875,219719.265625,-0.194580078125
216956.59375,658697.375,426387.1875,443227.59375,316284.4375,223876.6875,207874.0,219881.0,-0.19482421875
217375.546875,659239.25,427381.75,443634.40625,316870.5,223967.984375,208072.484375,220231.65625,-0.19482421875
217499.5625,659555.0625,427793.375,443694.5,317146.15625,223962.796875,208094.921875,220284.5,-0.19580078125
217138.09375,659093.9375,426972.34375,443270.6875,316689.90625,223857.296875,207897.078125,219943.59375,-0.197265625
216795.296875,658425.0,426055.5625,442928.09375,316140.125,223795.78125,207751.78125,219688.15625,-0.194580078125
216918.59375,658357.3125,426213.28125,443080.25,316214.0,223854.078125,207847.1875,219847.125,-0.1953125
217351.0625,658915.25,427219.46875,443497.625,316813.46875,223951.609375,208051.65625,220207.078125,-0.195556640625
217490.890625,659243.875,427644.40625,443568.6875,317100.0,223957.34375,208083.484375,220268.046875,-0.195068359375
217142.828125,658797.5,426836.625,443154.65625,316658.875,223868.28125,207898.765625,219938.140625,-0.19287109375
216809.25,658135.25,425927.625,442820.0,316123.0625,223819.921875,207765.28125,219695.671875,-0.194091796875
216933.4375,658065.6875,426076.65625,442968.78125,316192.625,223873.109375,207854.515625,219853.375,-0.193603515625
217361.0625,658617.5,427079.625,443381.65625,316788.4375,223963.859375,208056.03125,220211.28125,-0.194091796875
217503.40625,658945.75,427513.0,443452.28125,317077.125,223966.1875,208089.390625,220272.78125,-0.19384765625
217158.921875,658500.75,426713.15625,443038.6875,316635.1875,223875.625,207903.953125,219943.328125,-0.195068359375
216821.40625,657835.5,425798.4375,442700.09375,316091.3125,223823.40625,207768.59375,219695.125,-0.1962890625
216946.671875,657763.9375,425940.9375,442849.0625,316156.21875,223880.71875,207862.03125,219854.546875,-0.1953125
217383.328125,658323.625,426947.3125,443268.90625,316751.5,223973.703125,208063.90625,220217.625,-0.19482421875
217526.734375,658657.1875,427389.15625,443347.0625,317043.0625,223976.375,208097.703125,220283.6875,-0.193115234375
217180.5625,658215.375,426595.40625,442939.34375,316604.34375,223884.828125,207914.0625,219957.1875,-0.193359375
216846.078125,657555.5625,425676.125,442598.90625,316055.125,223828.234375,207775.65625,219706.296875,-0.189208984375
216960.890625,657474.875,425800.46875,442740.96875,316108.40625,223880.171875,207862.65625,219855.4375,-0.187255859375
217387.625,658018.375,426794.6875,443157.40625,316696.875,223973.703125,208064.171875,220213.953125,-0.187744140625
217525.671875,658344.8125,427236.90625,443232.96875,316987.0,223969.046875,208093.953125,220276.453125,-0.189453125
217178.140625,657906.75,426447.96875,442825.28125,316555.34375,223875.0,207911.375,219948.859375,-0.189208984375
216839.734375,657254.5,425531.0,442487.59375,316013.8125,223823.40625,207775.75,219699.78125,-0.187744140625
216949.4375,657173.625,425653.59375,442628.9375,316068.53125,223876.6875,207863.015625,219847.65625,-0.18798828125
217368.046875,657714.0625,426644.21875,443034.21875,316651.46875,223962.703125,208057.734375,220197.78125,-0.186767578125
217513.234375,658055.125,427099.65625,443111.65625,316948.46875,223962.796875,208088.9375,220264.734375,-0.189208984375
217171.796875,657624.8125,426323.4375,442708.3125,316522.96875,223874.1875,207909.40625,219943.671875,-0.1875
216825.609375,656959.125,425392.34375,442359.1875,315968.46875,223811.875,207761.53125,219682.4375,-0.1865234375
216930.21875,656866.0625,425501.875,442494.03125,316011.125,223865.0625,207846.109375,219827.890625,-0.188232421875
217355.34375,657409.625,426500.4375,442912.71875,316600.6875,223961.625,208049.78125,220191.78125,-0.190185546875
217505.375,657754.0,426966.0,442996.3125,316902.25,223963.328125,208083.9375,220266.171875,-0.19140625
217167.234375,657338.375,426191.625,442590.75,316473.71875,223867.75,207898.5,219942.78125,-0.195556640625
216821.859375,656684.1875,425267.09375,442245.90625,315925.65625,223810.171875,207757.78125,219691.109375,-0.198974609375
216918.421875,656583.9375,425366.875,442374.03125,315960.34375,223861.5,207836.0,219831.03125,-0.200439453125
217343.28125,657126.1875,426357.65625,442787.71875,316543.1875,223956.796875,208038.6875,220190.890625,-0.202880859375
217496.25,657476.6875,426830.0,442873.0,316850.46875,223958.328125,208076.0625,220268.3125,-0.202392578125
217146.140625,657049.4375,426049.75,442461.375,316417.84375,223851.21875,207881.78125,219938.765625,-0.2021484375
216788.15625,656373.125,425100.875,442103.59375,315850.71875,223786.75,207731.21875,219674.5625,-0.19970703125
216888.90625,656269.0625,425193.9375,442236.625,315888.8125,223842.09375,207821.25,219822.984375,-0.19873046875
