Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
208369.953125,335476.8125,377657.6875,290173.03125,683538.75,220495.328125,210410.921875,217626.515625,-0.23388671875
208087.859375,335087.1875,376858.75,289806.90625,682947.0625,220386.6875,210169.890625,217256.640625,-0.232666015625
207808.921875,334279.28125,375964.21875,289545.6875,682030.625,220295.3125,209929.828125,216953.015625,-0.231201171875
207905.296875,334132.75,376160.125,289733.34375,682073.6875,220342.96875,210009.9375,217120.203125,-0.2294921875
208253.53125,334863.9375,377178.5625,290115.28125,682997.1875,220460.90625,210300.515625,217529.6875,-0.2314453125
208374.328125,335457.9375,377609.75,290166.6875,683531.25,220486.375,210401.265625,217620.4375,-0.230712890625
208101.28125,335084.3125,376821.28125,289811.75,682947.3125,220383.5625,210167.5625,217259.328125,-0.23046875
207824.390625,334283.9375,375921.3125,289547.0,682027.5625,220296.75,209923.921875,216955.609375,-0.230224609375
207916.03125,334135.15625,376103.53125,289728.0625,682063.8125,220344.765625,209998.578125,217118.515625,-0.232177734375
208260.78125,334858.125,377118.5625,290113.0625,682981.25,220465.640625,210291.484375,217532.015625,-0.232666015625
208385.140625,335458.40625,377557.09375,290171.25,683514.75,220495.59375,210396.53125,217630.359375,-0.231689453125
208107.71875,335085.46875,376768.875,289812.65625,682926.375,220393.84375,210164.875,217273.453125,-0.233154296875
207819.90625,334277.40625,375860.875,289543.4375,682000.1875,220305.234375,209925.625,216970.546875,-0.23291015625
207904.671875,334120.5,376032.1875,289722.15625,682022.5625,220349.671875,210001.359375,217131.375,-0.232177734375
208248.53125,334848.71875,377043.8125,290108.21875,682925.25,220469.484375,210296.125,217547.21875,-0.232177734375
208375.84375,335461.53125,377496.75,290176.71875,683492.6875,220504.53125,210412.8125,217655.84375,-0.232666015625
208091.984375,335093.4375,376710.15625,289813.28125,682906.0625,220397.78125,210181.59375,217293.03125,-0.23095703125
207792.640625,334269.625,375781.375,289530.375,681970.25,220299.15625,209932.328125,216970.984375,-0.230224609375
207875.34375,334103.96875,375936.40625,289703.3125,681993.3125,220343.328125,210006.1875,217121.375,-0.23388671875
208212.765625,334814.5,376931.34375,290076.46875,682881.75,220456.609375,210288.0,217522.71875,-0.231201171875
208343.84375,335420.65625,377384.71875,290143.28125,683447.875,220490.5,210402.703125,217627.40625,-0.23046875
208075.4375,335065.53125,376608.0625,289791.625,682862.875,220387.5,210176.6875,217271.9375,-0.230224609375
207792.734375,334258.09375,375685.09375,289518.6875,681947.5625,220294.609375,209931.890625,216958.46875,-0.228271484375
207869.796875,334077.3125,375824.75,289683.1875,681971.625,220328.671875,209991.78125,217099.640625,-0.230224609375
208211.34375,334787.125,376820.125,290059.84375,682859.3125,220438.453125,210272.703125,217499.296875,-0.229248046875
208340.703125,335398.9375,377276.09375,290125.75,683441.5625,220469.578125,210382.3125,217600.40625,-0.22802734375
208071.0625,335046.59375,376505.40625,289772.40625,682872.0,220368.1875,210154.59375,217244.921875,-0.229248046875
207787.90625,334236.90625,375577.625,289497.65625,681949.9375,220272.25,209905.78125,216927.171875,-0.229736328125
207873.734375,334067.40625,375716.75,289668.4375,681972.0625,220312.484375,209970.421875,217073.09375,-0.229736328125
208225.828125,334783.375,376721.59375,290054.5,682871.375,220432.109375,210260.640625,217484.546875,-0.229248046875
208371.828125,335414.40625,377199.84375,290132.09375,683467.75,220470.546875,210380.984375,217599.78125,-0.22900390625
208104.5,335066.4375,376433.71875,289781.8125,682900.4375,220370.953125,210153.4375,217247.515625,-0.229248046875
207813.203125,334243.96875,375492.15625,289502.59375,681961.75,220279.484375,209903.640625,216928.421875,-0.23046875
207891.4375,334057.375,375620.09375,289673.53125,681968.3125,220327.5,209971.40625,217079.078125,-0.231201171875
208236.640625,334766.65625,376621.71875,290062.53125,682861.3125,220454.46875,210267.875,217495.984375,-0.2294921875
208363.6875,335381.3125,377091.65625,290131.90625,683450.0625,220489.15625,210383.65625,217605.234375,-0.228759765625
208100.203125,335046.9375,376338.5,289787.53125,682900.0,220397.421875,210169.53125,217261.109375,-0.23095703125
207810.171875,334234.21875,375399.875,289504.8125,681969.25,220303.453125,209922.234375,216939.421875,-0.23046875
207880.078125,334034.0625,375519.25,289665.125,681972.5625,220340.640625,209982.484375,217077.375,-0.2314453125
208227.4375,334743.125,376527.84375,290053.875,682872.5,220465.90625,210282.359375,217491.609375,-0.23046875
208373.171875,335381.5,377019.6875,290135.125,683480.4375,220500.859375,210406.1875,217610.78125,-0.23046875
208100.46875,335039.875,376260.34375,289779.5625,682934.875,220391.15625,210177.390625,217254.671875,-0.22802734375
207801.671875,334220.375,375316.03125,289494.25,681997.4375,220290.125,209924.375,216927.984375,-0.2265625
207877.140625,334025.65625,375432.25,289660.84375,681986.0,220333.21875,209988.21875,217068.703125,-0.2255859375
208226.71875,334727.3125,376434.96875,290051.625,682888.3125,220458.390625,210283.515625,217484.890625,-0.2265625
208367.796875,335355.84375,376925.625,290131.75,683487.125,220488.078125,210401.71875,217599.96875,-0.22509765625
208102.625,335026.5625,376176.5625,289785.09375,682950.6875,220387.40625,210177.84375,217246.0,-0.227294921875
207813.921875,334222.4375,375235.1875,289504.1875,682018.875,220294.0625,209926.4375,216920.828125,-0.22705078125
207878.46875,334008.75,375334.1875,289654.40625,681989.375,220324.28125,209973.109375,217045.1875,-0.22705078125
208224.21875,334700.9375,376335.34375,290042.875,682870.5625,220441.5,210260.09375,217451.28125,-0.227783203125
208377.453125,335344.03125,376848.09375,290133.625,683495.25,220482.0,210387.953125,217579.765625,-0.22998046875
208116.5625,335031.03125,376111.125,289786.625,682963.1875,220379.984375,210167.46875,217239.390625,-0.22900390625
207822.15625,334221.28125,375160.28125,289497.84375,682015.75,220284.859375,209912.3125,216918.859375,-0.230712890625
207885.625,333999.71875,375248.71875,289650.1875,681970.1875,220325.8125,209962.375,217053.234375,-0.2314453125
208229.75,334685.90625,376242.375,290040.28125,682838.9375,220448.921875,210251.609375,217470.5,-0.232666015625
208376.03125,335319.46875,376751.46875,290129.15625,683454.0,220490.40625,210378.109375,217603.625,-0.2353515625
208117.28125,335005.8125,376020.375,289783.125,682916.25,220394.828125,210158.890625,217264.234375,-0.23876953125
207824.46875,334199.625,375072.5625,289493.625,681970.4375,220305.859375,209908.015625,216940.40625,-0.238037109375
207883.75,333979.0625,375154.375,289640.90625,681927.875,220341.1875,209958.078125,217065.046875,-0.2373046875
208227.515625,334667.78125,376146.25,290029.71875,682794.4375,220465.015625,210251.96875,217477.828125,-0.2373046875
208374.234375,335311.6875,376662.125,290121.28125,683430.1875,220505.875,210384.734375,217610.875,-0.236572265625
208115.5,335009.75,375937.9375,289781.09375,682911.0625,220408.234375,210176.234375,217277.109375,-0.235595703125
207815.359375,334203.125,374978.59375,289487.90625,681968.75,220310.875,209928.40625,216949.890625,-0.23486328125
207871.40625,333979.78125,375050.125,289631.3125,681928.75,220342.078125,209979.984375,217074.78125,-0.2333984375
208214.015625,334664.8125,376040.40625,290022.3125,682799.0,220464.46875,210275.921875,217491.96875,-0.233642578125
208364.671875,335312.84375,376563.875,290115.03125,683443.0,220498.625,210408.609375,217627.6875,-0.232666015625
208116.203125,335024.6875,375845.84375,289778.40625,682931.5,220400.375,210198.3125,217291.6875,-0.232177734375
207821.4375,334221.4375,374884.28125,289487.1875,681991.1875,220302.734375,209946.09375,216963.5625,-0.231201171875
207874.1875,333985.40625,374949.5625,289629.71875,681944.625,220333.046875,209993.484375,217086.5,-0.232666015625
208211.609375,334657.40625,375939.8125,290015.6875,682808.8125,220449.09375,210283.515625,217498.671875,-0.234130859375
208377.90625,335321.4375,376485.125,290119.03125,683464.0,220493.53125,210423.4375,217644.40625,-0.2333984375
208129.34375,335036.03125,375775.9375,289776.34375,682949.1875,220391.25,210205.734375,217305.375,-0.23388671875
207831.53125,334226.90625,374810.96875,289477.375,681993.75,220290.671875,209943.6875,216968.296875,-0.234619140625
207887.140625,333991.03125,374876.40625,289621.03125,681935.0625,220324.203125,209987.3125,217088.109375,-0.234130859375
208230.734375,334666.96875,375874.8125,290016.21875,682788.6875,220449.359375,210276.734375,217508.328125,-0.234130859375
208394.53125,335327.21875,376428.4375,290123.59375,683443.875,220494.96875,210412.53125,217657.625,-0.234130859375
208151.875,335050.25,375736.0625,289789.125,682931.75,220399.390625,210199.03125,217328.53125,-0.2353515625
207851.921875,334233.34375,374771.53125,289491.5,681966.9375,220304.171875,209935.109375,216997.1875,-0.235107421875
207902.890625,333980.75,374822.59375,289632.21875,681890.4375,220341.09375,209973.109375,217117.609375,-0.23193359375
208241.921875,334645.78125,375811.34375,290024.4375,682728.0,220465.640625,210262.6875,217535.859375,-0.232666015625
208403.296875,335309.4375,376371.46875,290134.6875,683402.5,220510.515625,210407.078125,217691.421875,-0.23193359375
208155.8125,335036.21875,375688.40625,289808.09375,682909.375,220422.90625,210205.828125,217371.265625,-0.230712890625
207848.96875,334220.5625,374717.8125,289507.3125,681958.5625,220325.53125,209946.640625,217030.625,-0.228271484375
207893.859375,333964.5,374756.34375,289641.53125,681902.0625,220357.0,209987.40625,217135.5,-0.225830078125
208238.96875,334636.375,375747.875,290039.28125,682772.3125,220484.859375,210286.65625,217551.234375,-0.22265625
208401.953125,335306.21875,376310.84375,290147.46875,683458.375,220524.46875,210428.625,217694.28125,-0.222900390625
208149.375,335035.9375,375620.375,289811.21875,682985.1875,220419.953125,210218.25,217353.5625,-0.22314453125
207846.28125,334226.53125,374647.4375,289510.90625,682044.8125,220319.71875,209959.421875,217007.109375,-0.22265625
207885.359375,333958.59375,374672.9375,289637.0625,681966.9375,220346.28125,209990.984375,217102.59375,-0.22412109375
208225.640625,334618.9375,375659.78125,290026.78125,682842.4375,220463.84375,210279.328125,217511.359375,-0.2236328125
208389.53125,335288.78125,376237.375,290141.125,683519.6875,220504.34375,210420.9375,217660.21875,-0.225830078125
208152.953125,335038.71875,375573.0625,289817.28125,683067.8125,220410.828125,210216.46875,217333.53125,-0.224365234375
207855.5,334242.71875,374611.15625,289519.375,682130.9375,220312.578125,209957.453125,216993.421875,-0.224365234375
207890.453125,333966.375,374636.96875,289642.15625,682027.0625,220335.1875,209983.5625,217090.875,-0.22509765625
208225.28125,334611.34375,375618.59375,290025.875,682888.5,220448.46875,210257.78125,217494.015625,-0.22900390625
208394.265625,335288.78125,376210.375,290139.875,683547.75,220490.140625,210397.25,217645.03125,-0.229736328125
208160.375,335042.75,375559.03125,289817.65625,683094.3125,220397.859375,210195.546875,217324.0625,-0.230712890625
207855.59375,334227.53125,374586.375,289509.1875,682138.0,220299.15625,209927.6875,216976.0,-0.231689453125
207894.03125,333941.59375,374607.125,289637.40625,682000.1875,220332.15625,209956.03125,217073.0,-0.23095703125
208232.34375,334587.03125,375592.65625,290027.125,682840.8125,220451.15625,210237.296875,217481.859375,-0.23095703125
208411.25,335280.03125,376200.34375,290151.21875,683519.75,220498.890625,210385.890625,217648.328125,-0.230224609375
