Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
207750.984375,302367.625,312374.84375,277533.03125,681986.875,219764.953125,209653.65625,215742.171875,-0.20654296875
207791.578125,302097.34375,312375.46875,277660.4375,681924.75,219787.125,209687.625,215844.09375,-0.203857421875
208105.125,302701.1875,313410.71875,278043.90625,682669.4375,219881.359375,209941.984375,216248.40625,-0.207763671875
208261.765625,303340.09375,314069.65625,278160.6875,683370.1875,219916.234375,210066.890625,216407.984375,-0.21142578125
208033.0625,303097.53125,313398.46875,277828.96875,682924.875,219834.25,209880.203125,216088.984375,-0.209228515625
207752.59375,302320.84375,312368.0625,277518.75,682014.25,219754.40625,209652.3125,215754.25,-0.2080078125
207799.796875,302063.09375,312370.90625,277644.53125,681940.0625,219784.453125,209689.59375,215859.125,-0.207763671875
208116.03125,302681.71875,313407.5,278030.15625,682674.6875,219883.78125,209942.34375,216260.828125,-0.208740234375
208269.359375,303335.8125,314076.0,278152.1875,683356.0625,219920.4375,210068.765625,216417.203125,-0.207763671875
208034.9375,303106.3125,313414.9375,277828.1875,682889.8125,219838.453125,209883.609375,216095.6875,-0.209228515625
207752.671875,302348.5,312383.625,277521.875,681970.375,219753.78125,209648.5625,215750.578125,-0.208251953125
207797.734375,302097.0625,312375.46875,277647.65625,681886.875,219778.09375,209680.296875,215841.234375,-0.207275390625
208109.40625,302705.125,313406.96875,278035.40625,682594.75,219877.25,209935.015625,216239.546875,-0.20849609375
208262.75,303363.0625,314080.375,278154.0625,683294.75,219909.703125,210060.625,216396.453125,-0.210205078125
208035.390625,303147.34375,313432.625,277830.3125,682866.6875,219833.078125,209881.375,216080.140625,-0.20947265625
207749.28125,302384.0625,312394.875,277516.84375,681959.375,219746.53125,209648.203125,215734.84375,-0.208740234375
207786.75,302106.28125,312374.5,277635.84375,681887.9375,219770.765625,209681.640625,215830.953125,-0.20849609375
208105.65625,302705.21875,313408.5,278028.625,682627.375,219875.28125,209941.8125,216240.4375,-0.20751953125
208265.875,303355.3125,314091.46875,278157.71875,683346.9375,219916.765625,210072.25,216406.65625,-0.2080078125
208043.96875,303137.6875,313450.96875,277837.46875,682937.1875,219839.609375,209891.03125,216092.109375,-0.2080078125
207760.90625,302370.65625,312407.125,277522.65625,682023.1875,219750.734375,209653.46875,215742.265625,-0.21044921875
207798.453125,302085.0,312370.375,277637.75,681926.0,219776.046875,209681.09375,215826.75,-0.210205078125
208116.203125,302685.09375,313400.34375,278031.125,682666.75,219882.25,209940.015625,216232.21875,-0.211669921875
208276.15625,303343.5,314091.5625,278162.03125,683368.9375,219925.0,210075.203125,216399.3125,-0.211181640625
208051.296875,303133.125,313454.8125,277839.71875,682928.1875,219845.421875,209893.625,216083.890625,-0.212646484375
207761.171875,302369.84375,312406.40625,277523.21875,681998.8125,219758.875,209658.84375,215734.75,-0.21044921875
207791.296875,302081.34375,312359.28125,277636.3125,681887.125,219784.984375,209687.265625,215821.21875,-0.210205078125
208105.296875,302676.875,313378.53125,278028.09375,682588.0,219887.359375,209942.875,216226.859375,-0.2099609375
208270.53125,303341.15625,314072.78125,278164.25,683307.375,219924.71875,210076.546875,216397.34375,-0.21044921875
208052.46875,303143.21875,313446.21875,277847.21875,682905.8125,219843.1875,209899.703125,216089.171875,-0.211669921875
207768.765625,302387.03125,312401.5,277533.5,681993.25,219761.640625,209667.234375,215743.515625,-0.2119140625
207796.84375,302088.9375,312341.3125,277641.03125,681885.75,219784.0,209688.515625,215824.25,-0.21435546875
208104.046875,302665.25,313348.0625,278021.46875,682580.375,219874.828125,209932.875,216221.9375,-0.21435546875
208268.5625,303322.9375,314050.78125,278157.8125,683303.875,219910.15625,210066.265625,216396.71875,-0.21337890625
208049.421875,303125.34375,313436.65625,277845.0625,682912.8125,219836.03125,209893.171875,216094.265625,-0.2138671875
207767.078125,302367.53125,312393.4375,277532.9375,681999.4375,219755.03125,209662.328125,215749.421875,-0.21337890625
207791.921875,302071.59375,312327.1875,277637.1875,681886.375,219776.3125,209682.34375,215826.046875,-0.214111328125
208096.1875,302648.09375,313335.96875,278024.0625,682585.9375,219871.625,209932.328125,216224.4375,-0.21435546875
208265.78125,303320.78125,314055.25,278166.5,683325.75,219912.828125,210069.84375,216401.640625,-0.213623046875
208050.859375,303137.5,313452.84375,277854.90625,682956.0625,219835.3125,209895.765625,216097.390625,-0.212646484375
207765.203125,302376.90625,312401.21875,277535.46875,682033.375,219751.90625,209660.265625,215743.78125,-0.211669921875
207787.28125,302069.71875,312324.25,277634.96875,681906.5,219773.53125,209680.203125,215815.578125,-0.21142578125
208098.140625,302644.6875,313334.09375,278022.0,682612.8125,219876.171875,209934.296875,216216.921875,-0.212890625
208268.5625,303322.5625,314059.71875,278167.5625,683349.8125,219919.09375,210076.546875,216402.53125,-0.2109375
208059.171875,303155.46875,313470.625,277862.5,682975.3125,219847.296875,209907.828125,216103.375,-0.212890625
207769.125,302398.03125,312420.09375,277542.78125,682049.9375,219763.96875,209670.453125,215750.84375,-0.211669921875
207781.46875,302076.5,312327.375,277635.59375,681905.1875,219780.0625,209678.328125,215812.625,-0.2119140625
208089.828125,302647.09375,313326.84375,278019.40625,682603.6875,219880.203125,209925.625,216205.484375,-0.2119140625
208269.09375,303331.59375,314062.84375,278172.75,683346.0625,219929.640625,210074.75,216394.21875,-0.210205078125
208057.46875,303168.71875,313478.125,277864.46875,682971.5625,219851.140625,209902.921875,216096.234375,-0.2109375
207761.53125,302406.5,312421.34375,277539.46875,682042.125,219763.609375,209663.390625,215736.1875,-0.2119140625
207782.984375,302096.96875,312329.25,277637.03125,681899.25,219786.59375,209682.890625,215804.21875,-0.212890625
208089.921875,302662.84375,313322.65625,278018.6875,682592.1875,219885.390625,209932.78125,216203.34375,-0.2119140625
208261.671875,303337.78125,314057.03125,278166.59375,683331.1875,219925.625,210074.3125,216390.734375,-0.212890625
208052.546875,303175.21875,313485.375,277860.1875,682973.0625,219850.875,209907.75,216095.609375,-0.21142578125
207760.8125,302416.0625,312425.1875,277528.46875,682039.9375,219763.171875,209666.078125,215732.25,-0.2138671875
207772.265625,302083.03125,312312.28125,277617.34375,681878.8125,219773.890625,209674.03125,215790.546875,-0.212890625
208079.46875,302635.9375,313300.65625,278005.03125,682569.9375,219872.421875,209924.90625,216190.828125,-0.213134765625
208257.375,303312.375,314043.90625,278160.6875,683319.75,219914.0,210070.5625,216383.21875,-0.21484375
208057.734375,303159.5,313484.84375,277866.71875,682980.9375,219846.046875,209910.875,216099.890625,-0.216796875
207770.5625,302413.46875,312430.375,277544.3125,682055.3125,219761.921875,209671.359375,215746.015625,-0.216552734375
207773.59375,302067.21875,312294.375,277620.03125,681877.4375,219769.515625,209666.4375,215794.296875,-0.214599609375
208076.6875,302611.6875,313270.34375,278001.8125,682543.0,219864.375,209912.75,216190.375,-0.215087890625
208256.484375,303288.40625,314018.40625,278160.6875,683296.375,219909.25,210060.71875,216387.15625,-0.21826171875
208064.171875,303152.96875,313470.34375,277868.75,682979.9375,219840.0625,209902.375,216107.046875,-0.2177734375
207769.40625,302403.125,312404.1875,277536.53125,682041.5,219748.328125,209657.40625,215743.25,-0.21484375
207770.203125,302055.5,312265.6875,277614.3125,681863.3125,219760.03125,209658.03125,215791.890625,-0.2158203125
208069.265625,302587.5625,313236.375,277994.75,682524.9375,219856.78125,209899.078125,216182.15625,-0.21435546875
208259.171875,303284.84375,314003.9375,278161.9375,683289.0,219907.734375,210051.953125,216384.921875,-0.212646484375
208064.078125,303156.09375,313465.625,277871.90625,682969.3125,219835.9375,209891.734375,216101.953125,-0.2119140625
207769.75,302403.1875,312401.125,277539.3125,682036.625,219750.109375,209651.6875,215740.390625,-0.213623046875
207776.734375,302058.625,312257.28125,277615.90625,681859.5625,219766.5625,209655.53125,215789.65625,-0.212646484375
208080.890625,302593.625,313226.09375,277999.75,682519.5,219865.890625,209900.765625,216183.046875,-0.211181640625
208276.875,303289.59375,314008.125,278174.4375,683298.5,219920.96875,210062.421875,216394.84375,-0.211181640625
208083.484375,303163.25,313485.375,277884.78125,683009.25,219852.578125,209907.125,216116.53125,-0.210205078125
207781.640625,302409.71875,312416.4375,277546.625,682070.375,219760.390625,209659.28125,215746.375,-0.2099609375
207780.390625,302049.875,312259.875,277618.4375,681871.9375,219773.625,209658.390625,215788.046875,-0.208984375
208087.421875,302582.375,313230.125,278003.9375,682537.375,219877.34375,209904.703125,216185.09375,-0.208984375
208282.59375,303288.15625,314017.34375,278178.03125,683317.0625,219925.796875,210063.046875,216397.890625,-0.208740234375
208088.140625,303169.5,313503.25,277889.3125,683024.1875,219856.421875,209909.984375,216123.5,-0.20947265625
207790.59375,302417.96875,312437.25,277551.28125,682089.6875,219773.890625,209669.125,215757.46875,-0.209228515625
207790.3125,302047.1875,312274.1875,277621.03125,681891.3125,219788.640625,209667.953125,215797.703125,-0.21044921875
208101.09375,302573.15625,313242.28125,278003.78125,682557.75,219885.65625,209915.078125,216195.015625,-0.20751953125
208301.640625,303276.625,314034.78125,278177.125,683333.0625,219930.796875,210072.96875,216411.75,-0.207763671875
208118.53125,303179.0625,313540.71875,277896.84375,683048.25,219866.15625,209925.625,216147.453125,-0.20849609375
207823.3125,302438.53125,312479.46875,277558.25,682112.75,219779.703125,209682.890625,215785.265625,-0.207763671875
207823.21875,302074.90625,312308.96875,277625.125,681893.4375,219789.453125,209675.734375,215828.09375,-0.208251953125
208132.5625,302593.71875,313274.8125,278012.34375,682549.4375,219885.125,209917.671875,216230.34375,-0.207763671875
208344.46875,303297.4375,314089.15625,278195.8125,683332.4375,219933.578125,210082.796875,216463.421875,-0.208251953125
