Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
207754.28125,287452.9375,302018.03125,273567.125,452618.65625,219412.421875,208579.421875,214523.015625,-0.206298828125
207627.234375,286803.84375,301547.5,273515.09375,452198.875,219386.765625,208481.078125,214441.84375,-0.206298828125
207833.140625,287009.1875,302105.125,273775.625,452451.90625,219458.375,208640.046875,214703.984375,-0.206787109375
208088.40625,287795.34375,302956.1875,274000.3125,453035.71875,219529.28125,208841.203125,214958.796875,-0.206787109375
208035.5625,288066.34375,302908.8125,273870.03125,453124.5,219499.859375,208804.28125,214847.578125,-0.20703125
207748.390625,287447.84375,302018.5625,273561.125,452578.5,219408.40625,208579.609375,214520.78125,-0.20751953125
207612.125,286792.125,301533.4375,273497.21875,452144.34375,219374.421875,208472.234375,214426.640625,-0.208740234375
207810.609375,286977.5625,302082.0625,273756.5,452390.03125,219451.3125,208629.046875,214684.140625,-0.209228515625
208073.828125,287760.40625,302932.5,273980.625,452971.09375,219525.875,208830.484375,214937.421875,-0.208251953125
208031.984375,288049.71875,302891.625,273853.75,453063.34375,219496.203125,208794.359375,214827.984375,-0.207763671875
207742.9375,287429.5,301999.875,273549.25,452518.6875,219405.09375,208571.015625,214503.0,-0.208740234375
207606.234375,286768.78125,301513.34375,273489.53125,452089.1875,219372.1875,208467.046875,214414.65625,-0.207275390625
207804.984375,286949.03125,302054.875,273747.09375,452331.5625,219443.171875,208620.734375,214671.265625,-0.207275390625
208074.90625,287746.53125,302918.71875,273982.96875,452924.6875,219523.109375,208830.21875,214934.828125,-0.207275390625
208039.140625,288044.1875,302893.6875,273865.21875,453031.25,219496.828125,208800.4375,214834.421875,-0.206298828125
207755.453125,287435.21875,302009.71875,273558.8125,452491.34375,219408.671875,208578.359375,214510.859375,-0.20703125
207617.40625,286775.03125,301520.75,273495.96875,452058.25,219380.953125,208473.5625,214419.3125,-0.20849609375
207813.390625,286951.71875,302063.0,273756.84375,452301.59375,219455.34375,208629.765625,214677.34375,-0.20751953125
208081.25,287742.78125,302926.59375,273994.21875,452894.5625,219534.640625,208837.359375,214943.234375,-0.205322265625
208040.921875,288041.03125,302901.65625,273872.71875,453001.125,219505.5,208805.0,214842.75,-0.20654296875
207750.625,287424.75,302010.96875,273562.65625,452456.1875,219413.40625,208581.65625,214513.546875,-0.20751953125
207617.859375,286771.90625,301522.53125,273503.1875,452025.6875,219383.453125,208482.78125,214424.234375,-0.206298828125
207808.921875,286948.5,302055.59375,273756.03125,452259.5,219445.765625,208629.5,214676.453125,-0.20849609375
208068.46875,287725.625,302907.375,273985.09375,452838.5,219518.109375,208826.90625,214932.78125,-0.207275390625
208030.921875,288025.84375,302884.40625,273869.78125,452942.65625,219492.625,208795.796875,214832.90625,-0.20556640625
207747.671875,287423.0625,302003.28125,273569.71875,452403.53125,219404.46875,208575.84375,214513.71875,-0.206298828125
207615.703125,286770.75,301510.21875,273511.0625,451966.96875,219375.9375,208470.796875,214424.859375,-0.20556640625
207809.453125,286946.25,302042.53125,273769.28125,452199.3125,219446.125,208620.90625,214680.734375,-0.20703125
208072.84375,287729.375,302901.8125,274003.625,452783.875,219528.109375,208826.640625,214946.1875,-0.205810546875
208036.015625,288027.53125,302880.375,273880.9375,452888.375,219507.375,208800.890625,214850.15625,-0.2041015625
207757.953125,287432.8125,302003.28125,273573.75,452355.53125,219419.9375,208584.796875,214533.9375,-0.204833984375
207618.03125,286770.9375,301504.3125,273500.78125,451916.1875,219384.703125,208477.328125,214439.15625,-0.202392578125
207811.15625,286937.5,302028.6875,273749.6875,452142.1875,219455.34375,208627.265625,214689.328125,-0.2021484375
208073.734375,287716.21875,302881.71875,273980.625,452720.5625,219530.265625,208830.484375,214945.828125,-0.201904296875
208038.0625,288021.65625,302867.9375,273869.59375,452834.84375,219505.765625,208805.984375,214844.53125,-0.2021484375
207751.25,287416.96875,301984.875,273568.375,452299.09375,219415.90625,208584.703125,214517.65625,-0.20068359375
207613.390625,286754.03125,301480.78125,273507.84375,451859.21875,219382.03125,208479.296875,214422.703125,-0.202880859375
207808.109375,286922.125,302009.28125,273766.59375,452089.0,219450.6875,208631.28125,214678.328125,-0.203369140625
208080.09375,287714.625,302882.96875,274005.125,452681.5,219532.140625,208839.78125,214950.125,-0.208251953125
208048.265625,288033.90625,302883.6875,273886.5625,452797.09375,219504.6875,208810.0,214857.578125,-0.211181640625
207755.625,287428.96875,302003.46875,273568.46875,452255.125,219405.0,208580.765625,214535.453125,-0.209716796875
207615.796875,286759.21875,301500.28125,273493.1875,451809.15625,219370.21875,208468.296875,214439.609375,-0.21142578125
207813.65625,286926.21875,302023.9375,273742.625,452030.34375,219442.90625,208615.640625,214691.640625,-0.21240234375
208086.53125,287712.5625,302894.40625,273978.40625,452613.625,219522.84375,208824.578125,214959.78125,-0.212890625
208061.046875,288034.875,302895.125,273865.9375,452729.0625,219503.265625,208804.546875,214868.046875,-0.2138671875
207771.90625,287432.375,302010.0,273558.90625,452188.0625,219410.90625,208582.828125,214541.265625,-0.211669921875
207629.203125,286761.28125,301494.03125,273486.75,451738.0625,219373.078125,208473.484375,214438.984375,-0.210205078125
207820.1875,286921.03125,302005.25,273733.0625,451957.75,219436.203125,208619.484375,214684.21875,-0.210205078125
208089.390625,287712.5625,302871.875,273967.21875,452546.75,219511.671875,208829.140625,214950.75,-0.209716796875
208061.84375,288040.15625,302876.6875,273849.375,452672.1875,219491.734375,208809.203125,214861.703125,-0.207275390625
207778.703125,287450.875,302001.0625,273535.21875,452149.625,219405.09375,208594.625,214546.09375,-0.204345703125
207634.578125,286782.625,301488.46875,273456.625,451713.40625,219375.140625,208488.5,214454.265625,-0.2060546875
207822.15625,286933.90625,301995.25,273700.96875,451934.9375,219440.3125,208627.703125,214703.09375,-0.20751953125
208092.96875,287715.34375,302867.125,273940.40625,452533.8125,219519.53125,208837.90625,214974.96875,-0.208740234375
208071.234375,288052.9375,302887.0625,273829.1875,452677.21875,219499.953125,208820.734375,214892.71875,-0.210205078125
207786.5625,287466.5,302017.5,273519.03125,452162.5,219413.140625,208604.28125,214572.46875,-0.210205078125
207639.046875,286796.59375,301503.5,273438.46875,451726.09375,219375.9375,208488.953125,214467.859375,-0.2109375
207822.5,286941.0625,302010.625,273676.28125,451945.6875,219441.03125,208628.421875,214707.5625,-0.21142578125
208096.453125,287731.34375,302892.625,273916.15625,452550.25,219526.421875,208844.34375,214978.734375,-0.21240234375
208075.078125,288065.53125,302923.46875,273808.96875,452697.5,219505.140625,208829.3125,214897.28125,-0.213134765625
207792.375,287479.3125,302053.625,273496.75,452172.59375,219414.75,208604.8125,214570.859375,-0.2109375
207646.640625,286811.53125,301537.90625,273419.25,451723.0625,219381.3125,208489.21875,214465.265625,-0.20947265625
207835.65625,286968.15625,302052.375,273671.65625,451937.8125,219452.484375,208637.09375,214714.625,-0.207275390625
208104.671875,287751.28125,302929.8125,273916.34375,452524.40625,219532.3125,208848.1875,214987.046875,-0.20751953125
208082.328125,288091.75,302952.96875,273811.125,452649.3125,219512.296875,208829.3125,214905.15625,-0.20654296875
207794.875,287510.40625,302080.53125,273504.90625,452114.9375,219420.296875,208606.34375,214585.703125,-0.20556640625
207642.625,286838.15625,301552.3125,273429.53125,451655.28125,219386.234375,208488.953125,214485.03125,-0.205078125
207829.484375,286980.40625,302049.34375,273679.96875,451859.3125,219458.28125,208630.65625,214733.671875,-0.203125
208104.859375,287776.5,302922.65625,273924.3125,452445.71875,219541.703125,208844.609375,215007.96875,-0.20068359375
208075.171875,288115.78125,302945.1875,273819.0625,452576.53125,219519.0,208825.46875,214922.578125,-0.20166015625
207786.390625,287533.21875,302069.625,273512.40625,452046.71875,219427.265625,208601.953125,214595.4375,-0.19921875
207635.015625,286856.21875,301535.34375,273434.1875,451590.03125,219386.765625,208483.40625,214479.484375,-0.19873046875
207817.234375,286997.84375,302028.84375,273683.4375,451795.75,219449.4375,208624.578125,214717.21875,-0.200439453125
208091.4375,287789.625,302908.09375,273936.8125,452396.75,219534.375,208841.65625,214989.90625,-0.198974609375
208072.75,288136.4375,302938.84375,273839.09375,452547.75,219520.875,208830.390625,214902.28125,-0.199462890625
207786.03125,287557.34375,302059.15625,273526.96875,452025.0625,219423.78125,208603.46875,214566.5625,-0.198486328125
207637.796875,286882.5,301526.03125,273449.65625,451580.09375,219387.921875,208490.828125,214455.875,-0.19775390625
207819.375,287012.6875,302015.96875,273693.0,451792.625,219450.6875,208632.359375,214698.0,-0.197998046875
208090.015625,287787.75,302890.46875,273937.625,452389.75,219527.046875,208843.0,214971.84375,-0.19677734375
208066.9375,288128.3125,302927.3125,273832.5,452538.1875,219503.34375,208826.71875,214888.875,-0.19775390625
207783.078125,287552.34375,302058.4375,273524.3125,452020.78125,219412.328125,208605.984375,214565.21875,-0.199462890625
207632.0625,286870.71875,301519.5,273444.46875,451565.0625,219374.15625,208487.34375,214455.34375,-0.198974609375
207819.46875,287001.6875,302011.34375,273695.6875,451768.65625,219443.359375,208628.78125,214698.34375,-0.200439453125
208089.203125,287775.875,302889.65625,273941.46875,452353.46875,219521.953125,208837.71875,214969.34375,-0.20263671875
208074.71875,288133.125,302938.9375,273846.15625,452498.5625,219508.453125,208829.046875,214893.078125,-0.20361328125
207793.1875,287569.59375,302072.9375,273537.34375,451968.125,219418.59375,208607.328125,214566.921875,-0.20361328125
207638.78125,286886.53125,301529.15625,273450.4375,451492.125,219383.09375,208488.234375,214454.625,-0.203857421875
207823.21875,287020.03125,302017.59375,273693.375,451676.75,219451.140625,208629.046875,214698.625,-0.205078125
208099.9375,287812.4375,302903.15625,273942.0,452257.09375,219534.640625,208843.625,214976.9375,-0.207275390625
208079.375,288173.09375,302952.96875,273840.25,452391.5625,219511.03125,208829.59375,214898.984375,-0.20654296875
207792.90625,287603.5,302085.28125,273523.3125,451856.28125,219415.015625,208604.90625,214574.171875,-0.207275390625
207640.296875,286921.65625,301539.53125,273437.5625,451380.34375,219381.484375,208485.453125,214462.140625,-0.206298828125
207821.875,287039.59375,302015.90625,273683.71875,451559.8125,219452.03125,208625.375,214701.84375,-0.20751953125
208101.28125,287827.09375,302905.40625,273938.34375,452146.9375,219534.109375,208842.015625,214983.921875,-0.20849609375
208085.71875,288191.875,302961.46875,273843.125,452293.65625,219510.765625,208826.90625,214905.15625,-0.20947265625
207795.234375,287613.59375,302088.65625,273530.46875,451766.59375,219416.265625,208602.765625,214575.140625,-0.20751953125
207641.28125,286927.21875,301539.4375,273442.65625,451301.78125,219378.09375,208482.6875,214456.765625,-0.208740234375
207820.265625,287044.78125,302018.5625,273683.1875,451497.03125,219441.484375,208619.84375,214692.453125,-0.209716796875
208097.515625,287824.15625,302905.59375,273932.4375,452094.4375,219523.46875,208836.375,214968.984375,-0.20947265625
208086.796875,288190.09375,302970.21875,273840.09375,452259.21875,219504.515625,208827.265625,214893.34375,-0.211669921875
207799.171875,287620.125,302106.90625,273529.65625,451750.0625,219411.265625,208600.96875,214565.21875,-0.21142578125
207642.171875,286930.53125,301554.375,273445.25,451293.46875,219377.28125,208482.234375,214445.59375,-0.211181640625
