EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-5.170,-5.626,-4.332,-5.704,-1.108,-1.527,-3.387,-1.503,-0.143,0.948,-0.350,0.000,0.092,0.092,80.000,8193.000,1.000
-2.792,-2.978,-2.011,-4.782,0.769,0.896,-3.020,-0.259,-0.144,0.949,-0.351,-0.122,-0.061,0.092,80.000,8194.000,1.000
-0.896,-0.860,0.120,-3.829,1.918,2.715,-3.342,0.240,-0.147,0.948,-0.350,-0.122,-0.092,0.092,80.000,8195.000,1.000
0.124,0.198,1.665,-3.163,2.129,3.362,-4.226,-0.148,-0.146,0.947,-0.353,-0.183,-0.214,0.153,80.000,8196.000,1.000
0.307,0.104,2.382,-2.802,1.615,2.826,-5.353,-1.039,-0.146,0.945,-0.348,-0.275,-0.183,0.122,80.000,8197.000,1.000
0.077,-0.805,2.324,-2.383,0.931,1.652,-6.192,-1.688,-0.147,0.946,-0.348,-0.305,-0.305,0.244,80.000,8198.000,1.000
-0.143,-2.110,1.766,-1.462,0.605,0.479,-6.321,-1.560,-0.146,0.944,-0.347,-0.305,-0.397,0.214,80.000,8199.000,1.000
-0.291,-3.657,0.947,-0.006,0.721,-0.450,-5.835,-0.834,-0.147,0.944,-0.351,-0.244,-0.458,0.214,80.000,8200.000,1.000
-0.526,-5.390,0.034,1.625,1.001,-1.209,-5.150,-0.171,-0.146,0.945,-0.350,-0.183,-0.580,0.214,80.000,8201.000,1.000
-0.825,-6.992,-0.722,3.147,1.213,-1.746,-4.438,0.025,-0.144,0.945,-0.349,-0.244,-0.610,0.183,80.000,8202.000,1.000
-0.917,-8.010,-1.064,4.463,1.256,-1.866,-3.570,-0.145,-0.143,0.947,-0.347,-0.305,-0.702,0.244,80.000,8203.000,1.000
-0.507,-8.229,-0.984,5.461,0.995,-1.565,-2.481,-0.419,-0.143,0.946,-0.351,-0.305,-0.793,0.244,80.000,8204.000,1.000
0.620,-7.706,-0.719,5.977,0.291,-1.140,-1.352,-0.663,-0.145,0.944,-0.353,-0.305,-0.885,0.244,80.000,8205.000,1.000
2.447,-6.700,-0.538,5.820,-0.859,-0.972,-0.513,-0.907,-0.142,0.942,-0.351,-0.366,-0.854,0.275,80.000,8206.000,1.000
4.548,-5.681,-0.593,4.757,-2.329,-1.297,-0.277,-1.293,-0.142,0.946,-0.351,-0.427,-1.007,0.366,80.000,8207.000,1.000
6.271,-5.047,-0.807,2.780,-3.864,-2.030,-0.674,-1.889,-0.142,0.944,-0.352,-0.427,-0.977,0.366,80.000,8208.000,1.000
7.237,-4.708,-0.861,0.429,-5.018,-2.742,-1.269,-2.482,-0.142,0.946,-0.350,-0.427,-0.946,0.336,80.000,8209.000,1.000
7.596,-4.093,-0.411,-1.409,-5.277,-2.844,-1.387,-2.687,-0.143,0.944,-0.350,-0.427,-0.977,0.397,80.000,8210.000,1.000
7.831,-2.641,0.598,-2.118,-4.451,-2.006,-0.668,-2.375,-0.143,0.947,-0.349,-0.488,-1.038,0.305,80.000,8211.000,1.000
8.354,-0.320,1.831,-1.724,-2.919,-0.476,0.655,-1.836,-0.143,0.948,-0.348,-0.580,-1.007,0.214,80.000,8212.000,1.000
9.211,2.327,2.826,-0.706,-1.377,1.113,2.018,-1.405,-0.144,0.946,-0.348,-0.580,-0.977,0.244,80.000,8213.000,1.000
