EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-8.915,-10.059,-7.009,-14.081,-9.280,-11.682,-11.592,-7.524,-0.107,0.941,-0.374,-1.190,-0.519,0.366,86.667,9257.000,1.000
-5.324,-8.059,-4.722,-11.473,-7.158,-10.473,-11.065,-6.499,-0.105,0.940,-0.377,-1.129,-0.488,0.427,86.667,9258.000,1.000
-0.852,-3.834,-1.164,-7.041,-3.071,-6.358,-7.496,-3.079,-0.104,0.940,-0.375,-1.129,-0.458,0.336,86.667,9259.000,1.000
2.978,0.699,2.066,-2.508,1.126,-1.363,-2.966,0.973,-0.104,0.939,-0.374,-1.099,-0.397,0.336,86.667,9260.000,1.000
5.052,3.670,3.729,0.674,3.850,2.389,0.530,3.997,-0.105,0.940,-0.376,-0.946,-0.427,0.305,86.667,9261.000,1.000
5.074,4.196,3.484,1.972,4.543,3.682,2.102,5.206,-0.104,0.939,-0.375,-0.977,-0.458,0.397,86.667,9262.000,1.000
3.566,2.633,1.905,1.792,3.705,2.602,2.088,4.791,-0.105,0.938,-0.377,-0.885,-0.366,0.336,86.667,9263.000,1.000
1.734,0.285,0.147,1.121,2.455,0.328,1.563,3.662,-0.104,0.941,-0.377,-0.854,-0.397,0.458,86.667,9264.000,1.000
0.733,-1.502,-0.848,0.870,1.719,-1.777,1.439,2.796,-0.105,0.941,-0.377,-0.763,-0.305,0.397,86.667,9265.000,1.000
0.760,-2.290,-1.029,1.324,1.603,-3.064,1.765,2.517,-0.105,0.944,-0.374,-0.732,-0.336,0.488,86.667,9266.000,1.000
1.122,-2.528,-0.985,2.205,1.616,-3.655,1.929,2.488,-0.106,0.944,-0.375,-0.702,-0.214,0.427,86.667,9267.000,1.000
1.136,-2.752,-1.175,3.136,1.364,-3.803,1.471,2.284,-0.105,0.943,-0.371,-0.732,-0.244,0.427,86.667,9268.000,1.000
0.690,-2.970,-1.620,3.913,0.902,-3.469,0.532,1.781,-0.104,0.945,-0.370,-0.916,-0.244,0.519,86.667,9269.000,1.000
0.025,-2.820,-2.194,4.412,0.509,-2.600,-0.490,1.036,-0.106,0.944,-0.374,-0.916,-0.183,0.488,86.667,9270.000,1.000
-0.698,-2.212,-2.888,4.395,0.256,-1.569,-1.508,0.026,-0.105,0.945,-0.375,-1.007,-0.031,0.549,86.667,9271.000,1.000
-1.357,-1.475,-3.676,3.658,-0.047,-0.978,-2.692,-1.260,-0.104,0.943,-0.377,-0.977,-0.061,0.549,86.667,9272.000,1.000
-1.436,-0.731,-4.076,2.586,-0.307,-0.866,-3.758,-2.347,-0.104,0.941,-0.373,-0.946,0.000,0.671,86.667,9273.000,1.000
-0.084,0.463,-3.169,2.224,0.131,-0.419,-3.732,-2.260,-0.104,0.939,-0.372,-0.885,0.061,0.549,86.667,9274.000,1.000
2.893,2.431,-0.515,3.230,1.676,1.081,-1.979,-0.527,-0.104,0.940,-0.376,-0.824,0.031,0.580,86.667,9275.000,1.000
6.272,4.646,3.051,4.928,3.599,3.167,0.736,1.961,-0.103,0.940,-0.378,-0.763,0.000,0.763,86.667,9276.000,1.000
8.181,6.152,5.888,5.856,4.542,4.557,2.714,3.558,-0.105,0.942,-0.375,-0.671,0.031,0.763,86.667,9277.000,1.000
7.616,6.557,6.821,5.095,3.872,4.504,2.835,3.277,-0.105,0.940,-0.376,-0.793,0.061,0.549,86.667,9278.000,1.000
5.108,6.334,5.907,2.921,2.224,3.471,1.402,1.512,-0.104,0.940,-0.377,-0.793,-0.031,0.610,86.667,9279.000,1.000
2.132,6.231,4.163,0.484,0.881,2.611,-0.283,-0.402,-0.105,0.941,-0.376,-0.793,-0.061,0.519,86.667,9280.000,1.000
0.076,6.646,2.823,-0.949,0.866,2.916,-0.887,-1.118,-0.110,0.940,-0.375,-0.641,-0.061,0.336,86.667,9281.000,1.000
-0.380,7.574,2.681,-0.689,2.441,4.653,0.184,-0.021,-0.109,0.942,-0.373,-0.641,-0.153,0.183,86.667,9282.000,1.000
0.543,8.699,3.695,0.962,4.988,7.167,2.474,2.419,-0.111,0.941,-0.371,-0.702,-0.275,0.031,86.667,9283.000,1.000
1.775,9.422,5.021,2.795,7.267,9.174,4.762,4.869,-0.111,0.942,-0.374,-0.702,-0.427,-0.061,86.667,9284.000,1.000
1.968,9.155,5.579,3.435,8.118,9.553,5.882,5.999,-0.112,0.939,-0.375,-0.763,-0.580,-0.214,86.667,9285.000,1.000
0.497,7.799,4.851,2.360,7.174,8.096,5.486,5.417,-0.114,0.941,-0.376,-0.671,-0.702,-0.336,86.667,9286.000,1.000
-2.008,5.845,3.256,0.346,4.976,5.568,4.105,3.846,-0.112,0.940,-0.377,-0.671,-0.824,-0.397,86.667,9287.000,1.000
-4.265,3.952,1.743,-1.177,2.417,3.030,2.519,2.368,-0.113,0.941,-0.375,-0.641,-0.977,-0.488,86.667,9288.000,1.000
-5.422,2.556,1.029,-1.259,0.150,1.117,1.176,1.562,-0.110,0.941,-0.377,-0.549,-1.038,-0.549,86.667,9289.000,1.000
-5.325,1.976,1.418,0.180,-1.369,0.074,0.399,1.517,-0.110,0.940,-0.377,-0.519,-1.038,-0.580,86.667,9290.000,1.000
-3.989,2.666,3.150,2.893,-1.458,0.328,0.886,2.431,-0.108,0.943,-0.377,-0.519,-1.160,-0.549,86.667,9291.000,1.000
