EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3.023,2.280,-0.499,-3.922,3.763,2.527,3.022,1.718,-0.120,0.930,-0.401,-1.038,-0.092,0.031,80.000,9969.000,1.000
-2.564,4.152,-1.530,-3.897,3.614,2.759,3.199,0.519,-0.120,0.928,-0.402,-0.977,-0.122,-0.061,80.000,9970.000,1.000
-2.624,4.730,-2.925,-4.553,3.015,2.327,2.993,-0.688,-0.120,0.929,-0.401,-0.916,-0.153,-0.061,80.000,9971.000,1.000
-2.959,4.176,-4.197,-5.454,2.160,1.374,2.472,-1.622,-0.120,0.930,-0.401,-0.946,-0.214,-0.183,80.000,9972.000,1.000
-3.600,2.683,-5.299,-6.358,1.060,-0.043,1.601,-2.186,-0.122,0.930,-0.404,-0.946,-0.275,-0.336,80.000,9973.000,1.000
-4.701,0.454,-6.403,-7.217,-0.329,-1.786,0.333,-2.415,-0.122,0.931,-0.402,-0.946,-0.458,-0.275,80.000,9974.000,1.000
-6.138,-2.166,-7.480,-7.991,-1.878,-3.487,-1.284,-2.458,-0.122,0.930,-0.400,-0.885,-0.549,-0.305,80.000,9975.000,1.000
-7.460,-4.727,-8.241,-8.517,-3.322,-4.828,-3.136,-2.564,-0.123,0.931,-0.399,-0.885,-0.702,-0.244,80.000,9976.000,1.000
-8.114,-6.660,-8.313,-8.491,-4.373,-5.719,-4.927,-2.869,-0.123,0.932,-0.400,-0.916,-0.671,-0.153,80.000,9977.000,1.000
-7.705,-7.426,-7.436,-7.609,-4.796,-6.166,-6.120,-3.266,-0.123,0.932,-0.398,-0.916,-0.824,-0.183,80.000,9978.000,1.000
-6.118,-6.868,-5.606,-5.769,-4.495,-6.168,-6.245,-3.464,-0.121,0.932,-0.397,-0.916,-0.824,-0.153,80.000,9979.000,1.000
-3.405,-5.259,-2.958,-3.125,-3.463,-5.642,-5.188,-3.059,-0.122,0.930,-0.401,-0.916,-0.824,-0.122,80.000,9980.000,1.000
0.274,-3.059,0.340,-0.085,-1.774,-4.442,-3.215,-1.778,-0.124,0.929,-0.404,-0.824,-1.007,-0.031,80.000,9981.000,1.000
4.514,-0.749,3.943,2.695,0.273,-2.671,-0.935,0.142,-0.124,0.934,-0.402,-0.854,-1.007,0.122,80.000,9982.000,1.000
8.692,1.346,7.327,4.625,2.229,-0.853,0.883,2.039,-0.123,0.933,-0.400,-0.824,-1.099,0.183,80.000,9983.000,1.000
12.145,3.140,10.019,5.577,3.777,0.369,1.697,3.338,-0.123,0.932,-0.400,-0.824,-1.099,0.183,80.000,9984.000,1.000
14.319,4.575,11.719,5.848,4.824,0.606,1.435,3.830,-0.123,0.932,-0.396,-0.854,-1.160,0.275,80.000,9985.000,1.000
14.957,5.572,12.342,5.824,5.400,-0.104,0.423,3.605,-0.121,0.935,-0.403,-0.916,-1.343,0.305,80.000,9986.000,1.000
14.243,6.225,12.065,5.726,5.579,-1.310,-0.812,2.930,-0.120,0.934,-0.400,-0.732,-1.312,0.427,80.000,9987.000,1.000
12.667,6.755,11.251,5.496,5.442,-2.374,-1.775,2.124,-0.120,0.933,-0.399,-0.885,-1.373,0.458,80.000,9988.000,1.000
10.787,7.350,10.298,4.952,5.148,-2.730,-2.111,1.473,-0.120,0.933,-0.400,-0.854,-1.465,0.488,80.000,9989.000,1.000
9.111,8.236,9.613,4.149,4.997,-2.023,-1.632,1.176,-0.120,0.932,-0.403,-0.916,-1.465,0.488,80.000,9990.000,1.000
8.014,9.663,9.511,3.446,5.234,-0.284,-0.506,1.253,-0.122,0.932,-0.402,-0.824,-1.434,0.580,80.000,9991.000,1.000
7.570,11.574,9.981,3.144,5.719,1.861,0.529,1.447,-0.121,0.930,-0.403,-0.885,-1.404,0.671,80.000,9992.000,1.000
7.546,13.404,10.624,3.194,5.980,3.395,0.516,1.306,-0.122,0.930,-0.400,-0.885,-1.404,0.702,80.000,9993.000,1.000
7.656,14.341,10.927,3.298,5.604,3.511,-1.005,0.440,-0.120,0.930,-0.400,-0.946,-1.312,0.702,80.000,9994.000,1.000
7.699,13.738,10.539,3.156,4.469,1.989,-3.708,-1.287,-0.118,0.929,-0.399,-0.854,-1.434,0.702,80.000,9995.000,1.000
7.484,11.508,9.387,2.639,2.731,-0.794,-6.794,-3.677,-0.118,0.927,-0.398,-0.763,-1.373,0.641,80.000,9996.000,1.000
6.938,8.385,7.814,1.995,0.889,-3.904,-9.312,-6.061,-0.117,0.929,-0.400,-0.732,-1.312,0.549,80.000,9997.000,1.000
6.228,5.625,6.408,1.820,-0.358,-6.166,-10.443,-7.439,-0.117,0.930,-0.400,-0.702,-1.282,0.610,80.000,9998.000,1.000
5.507,4.117,5.375,2.501,-0.711,-6.931,-9.994,-7.195,-0.116,0.928,-0.402,-0.702,-1.160,0.610,80.000,9999.000,1.000
4.635,3.739,4.264,3.675,-0.624,-6.535,-8.627,-5.706,-0.115,0.925,-0.398,-0.610,-1.129,0.580,80.000,10000.000,1.000
3.377,3.603,2.503,4.446,-0.920,-5.925,-7.423,-4.107,-0.115,0.927,-0.403,-0.549,-1.038,0.519,80.000,10001.000,1.000
1.755,2.821,0.009,4.092,-2.123,-5.904,-7.176,-3.439,-0.114,0.926,-0.401,-0.458,-0.977,0.397,80.000,10002.000,1.000
0.019,0.994,-2.842,2.461,-4.146,-6.727,-8.067,-4.030,-0.114,0.926,-0.399,-0.458,-0.854,0.366,80.000,10003.000,1.000
-1.611,-1.753,-5.602,-0.121,-6.445,-8.136,-9.757,-5.506,-0.115,0.927,-0.400,-0.458,-0.671,0.336,80.000,10004.000,1.000
-3.005,-4.810,-7.898,-3.005,-8.297,-9.515,-11.547,-7.123,-0.115,0.928,-0.400,-0.366,-0.641,0.397,80.000,10005.000,1.000
-3.996,-7.241,-9.381,-5.364,-9.044,-10.087,-12.587,-8.113,-0.115,0.930,-0.401,-0.305,-0.549,0.336,80.000,10006.000,1.000
-4.352,-8.199,-9.779,-6.526,-8.336,-9.291,-12.265,-8.022,-0.115,0.929,-0.400,-0.305,-0.336,0.244,80.000,10007.000,1.000
-3.998,-7.460,-9.145,-6.374,-6.404,-7.267,-10.700,-6.994,-0.115,0.929,-0.402,-0.153,-0.153,0.214,80.000,10008.000,1.000
-3.235,-5.573,-7.959,-5.394,-4.089,-4.907,-8.787,-5.691,-0.116,0.929,-0.402,-0.336,-0.092,0.214,80.000,10009.000,1.000
-2.514,-3.352,-6.772,-4.243,-2.315,-3.211,-7.532,-4.791,-0.114,0.930,-0.404,-0.336,-0.061,0.092,80.000,10010.000,1.000
-1.954,-1.273,-5.746,-3.256,-1.391,-2.518,-7.274,-4.507,-0.115,0.928,-0.405,-0.336,0.000,0.092,80.000,10011.000,1.000
-1.220,0.752,-4.595,-2.303,-0.849,-2.321,-7.490,-4.484,-0.115,0.925,-0.402,-0.275,0.031,0.153,80.000,10012.000,1.000
0.134,3.143,-2.944,-1.094,0.063,-1.688,-7.254,-4.101,-0.115,0.926,-0.404,-0.183,0.061,0.214,80.000,10013.000,1.000
2.151,6.147,-0.788,0.344,1.673,0.030,-5.923,-2.989,-0.118,0.927,-0.403,-0.031,0.122,0.214,80.000,10014.000,1.000
4.240,9.388,1.355,1.503,3.524,2.657,-3.611,-1.407,-0.118,0.929,-0.401,-0.031,0.275,0.153,80.000,10015.000,1.000
5.458,11.891,2.732,1.787,4.680,5.257,-1.085,-0.060,-0.118,0.931,-0.403,-0.092,0.244,0.183,80.000,10016.000,1.000
5.174,12.666,2.880,1.058,4.504,6.807,0.846,0.548,-0.117,0.929,-0.404,0.000,0.275,0.244,80.000,10017.000,1.000
3.467,11.378,1.930,-0.216,3.159,6.861,1.875,0.512,-0.119,0.929,-0.402,-0.092,0.214,0.244,80.000,10018.000,1.000
0.922,8.497,0.450,-1.328,1.426,5.690,2.217,0.336,-0.119,0.932,-0.402,-0.153,0.183,0.244,80.000,10019.000,1.000
-1.799,4.898,-0.998,-1.775,0.066,3.923,2.230,0.455,-0.117,0.933,-0.401,-0.061,0.214,0.336,80.000,10020.000,1.000
-4.212,1.359,-2.228,-1.495,-0.716,2.100,2.036,0.855,-0.118,0.935,-0.402,-0.092,0.183,0.305,80.000,10021.000,1.000
-6.128,-1.722,-3.423,-0.847,-1.294,0.492,1.516,1.084,-0.118,0.934,-0.406,-0.214,0.244,0.275,80.000,10022.000,1.000
-7.554,-4.283,-4.703,-0.331,-2.149,-0.760,0.622,0.639,-0.120,0.933,-0.404,-0.275,0.214,0.366,80.000,10023.000,1.000
