EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
1.061,0.280,-2.001,-6.289,3.409,-0.530,-7.723,-4.688,-0.125,0.929,-0.405,-0.610,0.519,-0.153,80.000,8161.000,1.000
3.111,1.335,0.088,-5.649,4.639,-0.234,-6.657,-3.382,-0.126,0.930,-0.405,-0.732,0.549,-0.153,80.000,8162.000,1.000
3.522,1.582,0.869,-5.407,4.895,-0.497,-6.085,-2.491,-0.126,0.930,-0.405,-0.549,0.549,-0.092,80.000,8163.000,1.000
2.253,0.646,0.195,-5.725,3.906,-1.652,-6.403,-2.417,-0.126,0.931,-0.402,-0.671,0.336,-0.122,80.000,8164.000,1.000
-0.312,-1.625,-1.710,-6.699,1.692,-3.889,-7.710,-3.234,-0.126,0.932,-0.403,-0.519,0.488,-0.244,80.000,8165.000,1.000
-3.378,-4.850,-4.240,-8.223,-1.343,-6.970,-9.572,-4.670,-0.126,0.932,-0.405,-0.610,0.488,-0.153,80.000,8166.000,1.000
-5.925,-8.116,-6.536,-9.832,-4.418,-10.111,-11.056,-6.183,-0.127,0.931,-0.401,-0.641,0.397,-0.092,80.000,8167.000,1.000
-7.195,-10.444,-7.862,-10.853,-6.726,-12.327,-11.367,-7.281,-0.127,0.932,-0.403,-0.610,0.244,-0.031,80.000,8168.000,1.000
-7.088,-11.349,-7.968,-10.764,-7.887,-13.027,-10.550,-7.818,-0.126,0.931,-0.401,-0.702,0.275,0.000,80.000,8169.000,1.000
-6.142,-11.098,-7.143,-9.497,-8.094,-12.395,-9.492,-7.997,-0.127,0.932,-0.401,-0.763,0.244,0.183,80.000,8170.000,1.000
-5.094,-10.454,-5.947,-7.410,-7.825,-11.249,-9.177,-8.082,-0.130,0.932,-0.404,-0.732,0.153,0.183,80.000,8171.000,1.000
-4.367,-10.028,-4.815,-4.968,-7.383,-10.412,-9.809,-8.069,-0.133,0.931,-0.404,-0.671,0.092,0.275,80.000,8172.000,1.000
-3.860,-9.747,-3.821,-2.480,-6.669,-10.083,-10.594,-7.581,-0.132,0.932,-0.403,-0.610,0.031,0.275,80.000,8173.000,1.000
-3.139,-9.021,-2.786,-0.081,-5.376,-9.790,-10.358,-6.135,-0.132,0.930,-0.401,-0.641,-0.122,0.366,80.000,8174.000,1.000
-1.840,-7.410,-1.575,2.095,-3.427,-8.946,-8.502,-3.646,-0.129,0.927,-0.404,-0.671,-0.183,0.488,80.000,8175.000,1.000
-0.012,-5.076,-0.273,3.807,-1.212,-7.373,-5.483,-0.727,-0.129,0.929,-0.403,-0.824,-0.305,0.549,80.000,8176.000,1.000
1.908,-2.622,0.888,4.840,0.635,-5.353,-2.449,1.627,-0.128,0.928,-0.404,-0.854,-0.519,0.610,80.000,8177.000,1.000
3.402,-0.663,1.754,5.183,1.665,-3.385,-0.469,2.698,-0.128,0.927,-0.404,-0.793,-0.519,0.610,80.000,8178.000,1.000
4.202,0.542,2.387,5.047,1.881,-1.905,0.067,2.456,-0.126,0.927,-0.404,-0.732,-0.580,0.671,80.000,8179.000,1.000
4.450,1.218,3.001,4.752,1.700,-1.046,-0.408,1.460,-0.127,0.928,-0.401,-0.702,-0.671,0.641,80.000,8180.000,1.000
4.544,1.824,3.698,4.535,1.603,-0.636,-1.079,0.397,-0.126,0.928,-0.401,-0.641,-0.702,0.671,80.000,8181.000,1.000
4.771,2.558,4.302,4.362,1.718,-0.458,-1.441,-0.396,-0.126,0.928,-0.403,-0.732,-0.671,0.671,80.000,8182.000,1.000
5.116,3.236,4.527,4.028,1.795,-0.454,-1.527,-1.011,-0.124,0.927,-0.401,-0.702,-0.732,0.671,80.000,8183.000,1.000
5.433,3.640,4.288,3.456,1.580,-0.651,-1.573,-1.677,-0.125,0.926,-0.404,-0.702,-0.732,0.702,80.000,8184.000,1.000
