EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-6.903,-9.422,-4.897,-3.295,-1.723,-2.673,-0.880,1.190,-0.125,0.948,-0.339,-1.526,-1.129,0.885,80.000,8159.000,1.000
-3.287,-2.551,-1.728,0.313,2.414,2.108,3.436,4.222,-0.126,0.948,-0.336,-1.526,-1.160,0.824,80.000,8160.000,1.000
-1.255,2.752,-0.524,2.249,4.272,4.919,5.736,5.602,-0.126,0.950,-0.338,-1.617,-1.038,0.824,80.000,8161.000,1.000
-1.842,4.893,-2.231,1.370,2.880,4.455,4.852,4.613,-0.124,0.948,-0.341,-1.495,-1.038,0.854,80.000,8162.000,1.000
-4.916,3.805,-6.443,-2.171,-1.323,0.813,1.039,1.600,-0.122,0.948,-0.340,-1.526,-0.946,0.763,80.000,8163.000,1.000
-8.985,0.973,-11.465,-6.923,-6.585,-4.385,-4.090,-2.172,-0.122,0.948,-0.341,-1.404,-0.946,0.702,80.000,8164.000,1.000
-12.204,-1.799,-15.451,-11.172,-11.053,-9.167,-8.744,-5.504,-0.121,0.947,-0.340,-1.404,-0.854,0.641,80.000,8165.000,1.000
-13.397,-3.455,-17.360,-13.815,-13.757,-12.366,-11.935,-7.880,-0.120,0.948,-0.341,-1.373,-0.702,0.641,80.000,8166.000,1.000
-12.219,-3.730,-16.942,-14.432,-14.520,-13.694,-13.439,-9.137,-0.120,0.948,-0.342,-1.434,-0.641,0.519,80.000,8167.000,1.000
-8.946,-2.845,-14.441,-13.128,-13.519,-13.324,-13.429,-9.111,-0.120,0.947,-0.345,-1.465,-0.488,0.488,80.000,8168.000,1.000
-4.407,-1.374,-10.533,-10.492,-11.177,-11.774,-12.370,-7.897,-0.119,0.944,-0.346,-1.465,-0.397,0.427,80.000,8169.000,1.000
0.084,-0.092,-6.316,-7.472,-8.218,-9.932,-10.985,-6.164,-0.119,0.945,-0.343,-1.221,-0.244,0.214,80.000,8170.000,1.000
3.189,0.369,-2.935,-4.950,-5.429,-8.663,-9.957,-4.809,-0.120,0.948,-0.344,-1.190,-0.153,0.122,80.000,8171.000,1.000
4.293,-0.103,-0.950,-3.194,-3.221,-8.274,-9.459,-4.191,-0.122,0.948,-0.342,-1.221,0.031,0.092,80.000,8172.000,1.000
3.798,-1.117,-0.119,-1.782,-1.499,-8.493,-9.069,-3.881,-0.121,0.948,-0.342,-1.160,0.061,0.000,80.000,8173.000,1.000
2.781,-2.102,0.287,0.013,0.149,-8.707,-8.115,-3.048,-0.122,0.949,-0.343,-1.068,0.244,-0.092,80.000,8174.000,1.000
2.417,-2.590,1.034,2.714,2.205,-8.149,-6.115,-1.029,-0.124,0.949,-0.340,-0.946,0.214,-0.214,80.000,8175.000,1.000
3.294,-2.551,2.409,6.097,4.757,-6.500,-3.279,2.033,-0.125,0.948,-0.338,-0.977,0.336,-0.244,80.000,8176.000,1.000
5.043,-2.505,4.027,9.130,7.235,-4.376,-0.591,5.047,-0.126,0.949,-0.339,-1.068,0.336,-0.305,80.000,8177.000,1.000
6.908,-2.867,5.377,10.826,8.969,-2.713,1.043,6.832,-0.125,0.949,-0.341,-1.038,0.397,-0.336,80.000,8178.000,1.000
8.498,-3.286,6.399,11.032,9.889,-1.859,1.639,7.113,-0.125,0.951,-0.340,-0.977,0.336,-0.275,80.000,8179.000,1.000
9.695,-3.121,7.234,10.198,10.300,-1.667,1.777,6.381,-0.126,0.950,-0.344,-0.916,0.336,-0.244,80.000,8180.000,1.000
10.137,-2.424,7.643,8.641,10.154,-2.122,1.665,5.002,-0.127,0.953,-0.341,-0.885,0.366,-0.244,80.000,8181.000,1.000
9.286,-1.977,7.086,6.331,8.980,-3.371,1.006,2.887,-0.128,0.954,-0.340,-1.007,0.458,-0.214,80.000,8182.000,1.000
7.058,-2.323,5.357,3.294,6.556,-5.213,-0.314,0.031,-0.128,0.955,-0.338,-1.007,0.336,-0.244,80.000,8183.000,1.000
4.180,-3.055,2.961,-0.002,3.402,-6.889,-1.804,-3.022,-0.130,0.955,-0.341,-0.885,0.336,-0.092,80.000,8184.000,1.000
1.792,-3.201,0.806,-2.811,0.494,-7.511,-2.759,-5.454,-0.131,0.954,-0.340,-0.977,0.275,-0.061,80.000,8185.000,1.000
0.687,-2.197,-0.470,-4.649,-1.458,-6.763,-2.907,-6.808,-0.131,0.953,-0.338,-1.038,0.122,0.061,80.000,8186.000,1.000
0.929,-0.392,-0.828,-5.481,-2.362,-5.098,-2.523,-7.169,-0.133,0.955,-0.338,-1.038,-0.061,0.000,80.000,8187.000,1.000
1.938,1.244,-0.691,-5.532,-2.571,-3.336,-2.051,-6.923,-0.132,0.955,-0.341,-1.038,0.000,0.031,80.000,8188.000,1.000
2.690,1.777,-0.693,-5.188,-2.631,-2.189,-1.815,-6.574,-0.133,0.952,-0.338,-0.977,0.000,0.183,80.000,8189.000,1.000
2.206,0.874,-1.382,-4.864,-3.032,-1.977,-1.925,-6.579,-0.132,0.951,-0.338,-1.007,-0.092,0.275,80.000,8190.000,1.000
0.218,-1.066,-2.869,-4.746,-3.942,-2.541,-2.275,-7.085,-0.132,0.952,-0.335,-1.129,-0.214,0.305,80.000,8191.000,1.000
-2.741,-3.356,-4.817,-4.809,-5.241,-3.512,-2.808,-7.941,-0.130,0.951,-0.339,-1.068,-0.305,0.275,80.000,8192.000,1.000
-5.918,-5.525,-6.783,-5.058,-6.743,-4.678,-3.718,-8.966,-0.129,0.949,-0.339,-1.038,-0.305,0.214,80.000,8193.000,1.000
-8.828,-7.455,-8.493,-5.610,-8.301,-6.092,-5.234,-10.078,-0.128,0.950,-0.342,-1.007,-0.427,0.214,80.000,8194.000,1.000
-11.318,-9.307,-9.913,-6.567,-9.793,-7.861,-7.270,-11.187,-0.129,0.950,-0.344,-0.916,-0.458,0.275,80.000,8195.000,1.000
-13.094,-11.068,-10.894,-7.629,-10.860,-9.589,-9.098,-11.871,-0.129,0.948,-0.341,-0.916,-0.458,0.275,80.000,8196.000,1.000
-13.326,-12.065,-10.807,-7.870,-10.680,-10.102,-9.461,-11.310,-0.128,0.950,-0.342,-0.885,-0.519,0.397,80.000,8197.000,1.000
-11.313,-11.529,-9.124,-6.525,-8.657,-8.424,-7.675,-9.126,-0.126,0.947,-0.341,-0.824,-0.580,0.397,80.000,8198.000,1.000
-7.471,-9.565,-6.274,-3.952,-5.324,-4.996,-4.595,-6.117,-0.130,0.948,-0.342,-0.763,-0.580,0.275,80.000,8199.000,1.000
-3.188,-7.060,-3.406,-1.358,-2.052,-1.421,-1.986,-3.683,-0.126,0.947,-0.342,-0.732,-0.580,0.244,80.000,8200.000,1.000
0.108,-4.858,-1.497,0.186,0.019,0.807,-1.102,-2.743,-0.126,0.949,-0.340,-0.671,-0.702,0.244,80.000,8201.000,1.000
1.645,-3.318,-0.930,0.301,0.580,1.182,-1.978,-3.273,-0.127,0.951,-0.340,-0.549,-0.580,0.275,80.000,8202.000,1.000
1.572,-2.287,-1.454,-0.626,0.162,0.370,-3.610,-4.435,-0.127,0.951,-0.341,-0.610,-0.580,0.244,80.000,8203.000,1.000
0.821,-1.212,-2.233,-1.631,-0.149,-0.198,-4.537,-5.003,-0.129,0.951,-0.340,-0.763,-0.702,0.183,80.000,8204.000,1.000
0.465,0.503,-2.261,-1.702,0.663,0.751,-3.594,-4.060,-0.126,0.952,-0.337,-0.702,-0.671,0.183,80.000,8205.000,1.000
0.923,3.011,-1.093,-0.504,2.776,3.413,-0.660,-1.675,-0.127,0.952,-0.337,-0.702,-0.702,0.214,80.000,8206.000,1.000
1.630,5.706,0.701,1.259,5.233,6.630,3.098,1.002,-0.127,0.952,-0.339,-0.732,-0.671,0.214,80.000,8207.000,1.000
1.520,7.467,1.896,2.292,6.546,8.639,5.936,2.535,-0.128,0.952,-0.337,-0.702,-0.732,0.183,80.000,8208.000,1.000
0.003,7.491,1.604,1.718,5.804,8.364,6.773,2.335,-0.127,0.953,-0.337,-0.824,-0.763,0.153,80.000,8209.000,1.000
-2.388,6.033,0.014,-0.162,3.424,6.253,5.892,1.136,-0.129,0.954,-0.339,-0.854,-0.854,0.214,80.000,8210.000,1.000
-4.292,4.281,-1.730,-2.027,0.928,3.931,4.608,0.399,-0.129,0.953,-0.337,-0.916,-0.763,0.153,80.000,8211.000,1.000
-4.606,3.413,-2.428,-2.540,-0.196,2.954,4.232,1.166,-0.130,0.949,-0.339,-0.946,-0.763,0.092,80.000,8212.000,1.000
-3.305,3.818,-1.703,-1.200,0.500,3.731,5.203,3.421,-0.129,0.948,-0.338,-0.946,-0.824,0.153,80.000,8213.000,1.000
-1.427,4.934,-0.206,1.496,2.252,5.399,6.893,6.191,-0.130,0.947,-0.341,-0.946,-0.854,0.244,80.000,8214.000,1.000
-0.411,5.634,0.866,4.311,3.664,6.545,8.093,8.040,-0.128,0.944,-0.338,-0.854,-0.824,0.244,80.000,8215.000,1.000
-0.939,5.239,0.829,6.138,3.875,6.470,8.087,8.113,-0.129,0.944,-0.341,-0.793,-0.824,0.275,80.000,8216.000,1.000
-2.193,4.237,0.245,6.920,3.351,5.893,7.408,6.940,-0.129,0.947,-0.342,-0.610,-0.824,0.305,80.000,8217.000,1.000
-2.611,3.671,0.279,7.395,3.242,6.046,7.256,5.852,-0.126,0.946,-0.339,-0.427,-0.793,0.214,80.000,8218.000,1.000
-1.218,4.083,1.605,8.160,4.203,7.398,8.327,5.768,-0.124,0.949,-0.338,-0.275,-0.916,0.244,80.000,8219.000,1.000
1.839,5.268,4.076,9.261,6.096,9.541,10.421,6.797,-0.126,0.952,-0.340,-0.366,-0.763,0.244,80.000,8220.000,1.000
5.493,6.598,6.938,10.275,8.286,11.711,12.692,8.420,-0.127,0.951,-0.338,-0.366,-0.732,0.305,80.000,8221.000,1.000
8.257,7.364,9.190,10.557,9.932,13.136,14.037,9.732,-0.128,0.949,-0.340,-0.275,-0.671,0.336,80.000,8222.000,1.000
9.034,7.180,10.149,9.698,10.406,13.444,13.663,9.912,-0.130,0.951,-0.337,-0.305,-0.702,0.336,80.000,8223.000,1.000
7.848,6.275,9.860,7.878,9.676,12.935,11.615,8.739,-0.132,0.953,-0.340,-0.366,-0.732,0.275,80.000,8224.000,1.000
5.783,5.301,8.924,5.733,8.213,12.250,8.714,6.677,-0.134,0.952,-0.340,-0.427,-0.854,0.214,80.000,8225.000,1.000
4.096,4.816,7.962,3.893,6.516,11.734,5.932,4.490,-0.134,0.953,-0.339,-0.549,-1.038,0.092,80.000,8226.000,1.000
3.392,4.893,7.251,2.583,4.806,11.221,3.846,2.777,-0.132,0.953,-0.341,-0.580,-1.038,-0.031,80.000,8227.000,1.000
3.570,5.210,6.803,1.705,3.195,10.444,2.622,1.777,-0.128,0.951,-0.342,-0.580,-1.099,-0.031,80.000,8228.000,1.000
4.144,5.341,6.583,1.145,1.880,9.408,2.238,1.424,-0.128,0.951,-0.344,-0.671,-0.977,-0.092,80.000,8229.000,1.000
4.428,4.901,6.435,0.783,0.915,8.204,2.463,1.420,-0.127,0.951,-0.341,-0.641,-1.160,-0.061,80.000,8230.000,1.000
3.752,3.694,5.952,0.348,-0.027,6.783,2.800,1.335,-0.128,0.950,-0.339,-0.641,-1.099,0.000,80.000,8231.000,1.000
1.754,1.789,4.611,-0.529,-1.500,4.983,2.568,0.722,-0.126,0.951,-0.341,-0.671,-1.038,0.092,80.000,8232.000,1.000
-1.540,-0.697,2.048,-2.136,-3.996,2.482,0.996,-0.842,-0.127,0.953,-0.340,-0.732,-1.038,0.122,80.000,8233.000,1.000
-5.547,-3.606,-1.477,-4.320,-7.462,-0.960,-2.295,-3.424,-0.128,0.953,-0.343,-0.702,-0.977,0.153,80.000,8234.000,1.000
-8.728,-6.181,-4.579,-5.953,-10.654,-4.668,-6.378,-6.054,-0.130,0.952,-0.343,-0.610,-0.854,0.122,80.000,8235.000,1.000
-9.001,-7.010,-5.165,-5.253,-11.478,-6.912,-9.018,-6.886,-0.129,0.951,-0.344,-0.580,-0.885,0.153,80.000,8236.000,1.000
-5.331,-5.167,-2.056,-1.268,-8.668,-6.273,-8.331,-4.661,-0.127,0.950,-0.341,-0.671,-0.885,0.183,80.000,8237.000,1.000
1.281,-1.157,3.946,5.139,-2.876,-2.853,-4.276,0.229,-0.127,0.953,-0.340,-0.732,-0.916,0.214,80.000,8238.000,1.000
8.392,3.390,10.550,11.756,3.822,1.886,1.419,6.058,-0.128,0.955,-0.342,-0.824,-0.916,0.275,80.000,8239.000,1.000
13.317,6.511,15.096,16.098,8.919,5.894,6.212,10.575,-0.126,0.953,-0.341,-0.824,-0.854,0.336,80.000,8240.000,1.000
14.304,6.751,15.753,16.538,10.504,7.458,8.028,12.005,-0.126,0.953,-0.344,-0.916,-0.824,0.427,80.000,8241.000,1.000
11.366,3.959,12.482,13.158,8.248,6.109,6.424,10.028,-0.128,0.954,-0.340,-0.885,-0.763,0.427,80.000,8242.000,1.000
6.179,-0.510,7.043,7.679,3.605,2.882,2.765,5.896,-0.126,0.954,-0.342,-0.885,-0.580,0.458,80.000,8243.000,1.000
1.042,-4.496,1.954,2.424,-1.060,-0.364,-0.793,1.559,-0.124,0.955,-0.342,-0.916,-0.580,0.427,80.000,8244.000,1.000
-2.487,-6.334,-0.936,-1.028,-3.867,-2.189,-2.760,-1.468,-0.125,0.955,-0.338,-0.854,-0.549,0.488,80.000,8245.000,1.000
