FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation,Label
229976.578125,243857.8125,247570.34375,243614.453125,225963.453125,226979.203125,221640.4375,211289.359375,16353.0,1.0,1
229983.453125,243841.625,247574.015625,243602.640625,225826.296875,226974.015625,221597.265625,211271.296875,16354.0,1.0,1
230064.109375,243935.15625,247620.953125,243670.328125,226001.453125,227041.4375,221694.359375,211347.375,16355.0,1.0,1
230086.28125,243987.8125,247642.859375,243713.6875,226241.328125,227085.859375,221787.78125,211406.203125,16356.0,1.0,1
230001.515625,243910.734375,247609.234375,243664.0625,226188.3125,227044.65625,221735.484375,211357.75,16357.0,1.0,1
229962.53125,243845.296875,247579.375,243607.734375,225980.53125,226990.5625,221631.953125,211286.140625,16358.0,1.0,1
229964.140625,243830.28125,247565.34375,243592.265625,225837.03125,226978.9375,221582.78125,211260.734375,16359.0,1.0,1
230054.53125,243930.140625,247611.390625,243666.921875,226011.109375,227047.78125,221686.84375,211343.890625,16360.0,1.0,1
230091.1875,243996.65625,247634.90625,243716.640625,226253.484375,227095.515625,221787.78125,211410.765625,16361.0,1.0,1
230004.46875,243920.125,247597.703125,243668.984375,226197.78125,227051.625,221737.359375,211364.453125,16362.0,1.0,1
229962.453125,243850.21875,247569.09375,243612.03125,225982.5,226997.265625,221634.8125,211293.109375,16363.0,1.0,1
229979.609375,243844.671875,247571.15625,243607.109375,225846.953125,226994.40625,221597.078125,211278.359375,16364.0,1.0,1
230060.53125,243934.078125,247603.15625,243670.5,226010.296875,227052.703125,221690.25,211352.390625,16365.0,1.0,1
230081.984375,243984.046875,247607.265625,243709.84375,226238.375,227088.109375,221779.296875,211407.640625,16366.0,1.0,1
230000.0,243908.140625,247570.4375,243663.796875,226186.609375,227048.3125,221732.09375,211365.796875,16367.0,1.0,1
229952.875,243834.390625,247549.34375,243606.75,225974.1875,226994.9375,221628.375,211294.09375,16368.0,1.0,1
229975.40625,243832.6875,247572.9375,243613.28125,225846.6875,226999.5,221598.6875,211285.15625,16369.0,1.0,1
230062.3125,243923.890625,247620.5,243682.125,226011.46875,227054.65625,221693.015625,211357.296875,16370.0,1.0,1
230086.71875,243974.125,247633.296875,243716.375,226238.640625,227084.890625,221779.828125,211407.90625,16371.0,1.0,1
230004.375,243893.484375,247594.75,243666.484375,226187.140625,227041.078125,221732.71875,211361.859375,16372.0,1.0,1
229969.6875,243828.84375,247561.578125,243614.265625,225981.15625,226991.71875,221637.671875,211293.203125,16373.0,1.0,1
229980.328125,243815.34375,247549.96875,243599.96875,225833.0,226979.203125,221586.625,211267.796875,16374.0,1.0,1
230072.6875,243917.796875,247590.640625,243666.484375,225998.59375,227042.140625,221682.90625,211346.9375,16375.0,1.0,1
230101.109375,243979.765625,247611.390625,243708.140625,226236.59375,227082.46875,221781.0,211408.53125,16376.0,1.0,1
230014.296875,243905.46875,247583.671875,243666.125,226188.578125,227042.421875,221737.359375,211362.578125,16377.0,1.0,1
229982.03125,243852.53125,247570.53125,243621.234375,225991.703125,226999.765625,221650.1875,211302.140625,16378.0,1.0,1
229978.890625,243834.203125,247567.390625,243603.359375,225839.171875,226983.765625,221599.140625,211273.796875,16379.0,1.0,1
230060.265625,243925.671875,247605.125,243666.5625,225990.359375,227039.46875,221689.171875,211342.640625,16380.0,1.0,1
230092.796875,243987.453125,247621.75,243714.765625,226223.453125,227080.40625,221786.171875,211402.71875,16381.0,1.0,1
230011.171875,243917.09375,247581.796875,243670.328125,226173.734375,227041.25,221742.640625,211359.53125,16382.0,1.0,1
229971.390625,243851.375,247552.203125,243613.375,225964.4375,226991.984375,221644.46875,211292.296875,16383.0,1.0,1
229983.1875,243841.546875,247552.828125,243600.765625,225817.546875,226987.515625,221599.859375,211270.84375,16384.0,1.0,1
230071.796875,243937.921875,247596.71875,243669.78125,225979.8125,227053.40625,221697.75,211349.609375,16385.0,1.0,1
230092.984375,243989.953125,247605.390625,243707.875,226210.21875,227088.734375,221788.40625,211403.796875,16386.0,1.0,1
230008.3125,243917.0,247567.578125,243663.171875,226164.890625,227049.828125,221748.09375,211361.765625,16387.0,1.0,1
229968.890625,243850.21875,247538.421875,243607.65625,225961.390625,226997.890625,221650.546875,211291.59375,16388.0,1.0,1
229982.75,243839.9375,247544.859375,243599.15625,225822.71875,226993.515625,221608.96875,211272.625,16389.0,1.0,1
230068.484375,243932.640625,247586.53125,243664.609375,225979.8125,227051.53125,221700.96875,211343.265625,16390.0,1.0,1
230098.171875,243989.515625,247603.0625,243708.0625,226219.953125,227090.515625,221794.671875,211401.734375,16391.0,1.0,1
230011.359375,243911.546875,247569.71875,243663.171875,226177.84375,227050.734375,221750.953125,211360.15625,16392.0,1.0,1
229962.984375,243836.890625,247537.453125,243603.890625,225970.15625,226993.234375,221644.734375,211288.453125,16393.0,1.0,1
229966.203125,243820.171875,247534.9375,243584.765625,225822.453125,226977.5,221588.671875,211260.03125,16394.0,1.0,1
230057.046875,243921.640625,247585.375,243657.09375,225995.28125,227044.828125,221688.8125,211342.8125,16395.0,1.0,1
230091.28125,243984.40625,247605.65625,243707.875,226243.03125,227088.453125,221788.953125,211405.578125,16396.0,1.0,1
230011.890625,243912.703125,247575.796875,243667.46875,226206.546875,227054.21875,221750.140625,211366.515625,16397.0,1.0,1
229968.265625,243841.625,247541.640625,243601.65625,226001.984375,226999.5,221645.0,211292.65625,16398.0,1.0,1
229972.453125,243827.234375,247533.328125,243584.578125,225857.5,226986.09375,221590.28125,211268.078125,16399.0,1.0,1
230052.03125,243916.015625,247574.546875,243651.375,226010.921875,227045.359375,221680.59375,211341.203125,16400.0,1.0,1
230084.671875,243978.0625,247596.359375,243697.953125,226253.390625,227090.421875,221781.078125,211405.21875,16401.0,1.0,1
229993.828125,243897.6875,247557.734375,243647.265625,226205.46875,227048.046875,221733.96875,211357.390625,16402.0,1.0,1
229956.453125,243836.890625,247533.6875,243597.015625,226004.75,226999.671875,221637.5,211291.140625,16403.0,1.0,1
229971.75,243825.0,247535.125,243591.015625,225857.0625,226993.6875,221593.859375,211270.390625,16404.0,1.0,1
230054.359375,243913.25,247572.765625,243655.75,226001.8125,227050.375,221684.078125,211341.390625,16405.0,1.0,1
230082.34375,243970.90625,247584.109375,243700.546875,226235.515625,227093.5625,221782.328125,211401.296875,16406.0,1.0,1
230004.109375,243903.046875,247553.625,243660.21875,226196.890625,227058.953125,221746.390625,211364.09375,16407.0,1.0,1
229967.546875,243841.890625,247527.96875,243607.734375,225989.640625,227010.140625,221651.4375,211298.46875,16408.0,1.0,1
229962.890625,243814.265625,247520.640625,243585.203125,225827.1875,226991.1875,221594.21875,211265.65625,16409.0,1.0,1
230041.84375,243897.421875,247567.3125,243648.59375,225971.046875,227047.0625,221680.40625,211337.0,16410.0,1.0,1
230074.203125,243956.34375,247586.0,243693.125,226204.84375,227086.84375,221777.0625,211396.8125,16411.0,1.0,1
229997.9375,243891.34375,247557.109375,243655.125,226168.46875,227053.046875,221743.984375,211361.6875,16412.0,1.0,1
229957.171875,243825.71875,247528.859375,243604.25,225975.25,227004.859375,221652.515625,211298.109375,16413.0,1.0,1
229963.609375,243812.390625,247524.484375,243583.78125,225823.34375,226989.390625,221600.125,211267.890625,16414.0,1.0,1
230043.453125,243901.078125,247564.453125,243644.125,225967.5625,227044.921875,221688.640625,211336.375,16415.0,1.0,1
230076.171875,243962.421875,247579.015625,243690.265625,226205.125,227085.328125,221787.515625,211398.703125,16416.0,1.0,1
229997.140625,243894.46875,247546.65625,243652.625,226168.1875,227045.1875,221746.390625,211359.53125,16417.0,1.0,1
229958.6875,243830.1875,247522.609375,243603.984375,225972.65625,226995.390625,221648.578125,211292.03125,16418.0,1.0,1
229963.4375,243809.078125,247518.484375,243586.109375,225826.03125,226981.171875,221594.578125,211262.703125,16419.0,1.0,1
230047.203125,243898.578125,247562.125,243647.265625,225975.796875,227040.984375,221683.453125,211334.953125,16420.0,1.0,1
230088.59375,243971.0,247584.109375,243698.75,226224.515625,227089.71875,221787.703125,211402.90625,16421.0,1.0,1
230004.640625,243896.96875,247544.6875,243652.984375,226187.859375,227047.15625,221742.90625,211357.03125,16422.0,1.0,1
229967.546875,243831.96875,247517.15625,243597.28125,225995.453125,226998.78125,221645.359375,211289.078125,16423.0,1.0,1
229981.3125,243822.046875,247521.703125,243586.90625,225860.453125,226998.15625,221600.5625,211269.765625,16424.0,1.0,1
230056.59375,243906.8125,247557.46875,243645.46875,226002.96875,227049.390625,221681.21875,211333.515625,16425.0,1.0,1
230083.234375,243963.046875,247570.703125,243691.515625,226240.25,227087.5625,221774.375,211392.96875,16426.0,1.0,1
230000.4375,243891.34375,247542.09375,243650.296875,226204.84375,227054.484375,221733.421875,211355.25,16427.0,1.0,1
229967.546875,243833.5,247522.875,243598.796875,226011.546875,227006.390625,221640.171875,211290.96875,16428.0,1.0,1
229971.03125,243808.28125,247518.765625,243581.984375,225859.5625,226989.484375,221587.875,211263.25,16429.0,1.0,1
230047.828125,243892.6875,247561.859375,243647.609375,225999.921875,227050.640625,221678.71875,211334.765625,16430.0,1.0,1
230080.90625,243956.96875,247582.5,243692.765625,226237.484375,227094.8125,221779.921875,211399.328125,16431.0,1.0,1
229995.796875,243881.140625,247545.9375,243646.546875,226194.390625,227054.3125,221737.0,211357.296875,16432.0,1.0,1
229958.421875,243816.5,247518.40625,243593.25,225995.90625,227006.390625,221642.046875,211290.515625,16433.0,1.0,1
229965.390625,243796.203125,247511.609375,243574.65625,225844.984375,226989.484375,221590.5625,211262.4375,16434.0,1.0,1
230046.484375,243884.28125,247547.734375,243635.71875,225985.171875,227044.65625,221678.171875,211333.96875,16435.0,1.0,1
230079.75,243946.859375,247567.3125,243681.046875,226217.546875,227083.71875,221772.953125,211395.03125,16436.0,1.0,1
229996.59375,243875.0625,247537.453125,243641.0,226178.75,227048.9375,221732.984375,211354.703125,16437.0,1.0,1
229958.875,243811.140625,247515.71875,243590.578125,225980.4375,227000.578125,221638.203125,211288.640625,16438.0,1.0,1
229968.265625,243798.984375,247514.109375,243576.453125,225829.875,226988.140625,221588.859375,211261.8125,16439.0,1.0,1
230050.328125,243887.046875,247556.671875,243640.015625,225969.53125,227049.390625,221678.0,211334.765625,16440.0,1.0,1
230086.984375,243951.15625,247576.34375,243688.390625,226209.046875,227094.546875,221780.71875,211400.03125,16441.0,1.0,1
230004.640625,243881.328125,247538.96875,243643.6875,226172.65625,227052.875,221736.921875,211356.9375,16442.0,1.0,1
229965.390625,243813.5625,247509.1875,243587.890625,225976.859375,226997.71875,221635.609375,211287.5625,16443.0,1.0,1
229973.71875,243797.28125,247508.484375,243573.046875,225828.625,226984.5625,221585.734375,211263.25,16444.0,1.0,1
230057.484375,243888.03125,247555.6875,243638.3125,225974.71875,227047.953125,221679.78125,211337.90625,16445.0,1.0,1
230096.734375,243957.234375,247578.296875,243685.703125,226215.9375,227091.40625,221779.65625,211400.3125,16446.0,1.0,1
230008.484375,243881.5,247543.4375,243640.109375,226180.359375,227050.90625,221737.453125,211358.46875,16447.0,1.0,1
229965.75,243813.203125,247515.90625,243588.078125,225991.609375,226999.859375,221642.59375,211291.40625,16448.0,1.0,1
229971.65625,243793.34375,247508.203125,243570.375,225842.84375,226985.28125,221590.109375,211264.578125,16449.0,1.0,1
230052.296875,243877.21875,247545.40625,243630.546875,225973.28125,227036.421875,221669.765625,211330.296875,16450.0,1.0,1
230093.15625,243945.875,247569.71875,243681.328125,226214.0625,227079.96875,221770.359375,211394.9375,16451.0,1.0,1
