EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
3.761,4.359,4.111,4.244,4.075,4.088,4.135,4.144,-0.069,0.859,-0.569,-0.427,-1.160,0.031,73.333,11097.000,1.000
5.503,5.998,5.902,5.969,5.773,5.873,5.804,5.948,-0.069,0.859,-0.569,-0.397,-1.160,0.092,73.333,11098.000,1.000
6.591,6.849,6.968,6.931,6.818,6.934,6.746,7.023,-0.068,0.858,-0.573,-0.366,-1.068,0.092,73.333,11099.000,1.000
6.881,6.881,7.151,7.057,7.086,7.176,6.876,7.213,-0.066,0.858,-0.571,-0.366,-1.190,0.092,73.333,11100.000,1.000
6.424,6.267,6.530,6.474,6.647,6.689,6.315,6.618,-0.068,0.858,-0.568,-0.336,-1.129,0.092,73.333,11101.000,1.000
5.351,5.186,5.306,5.352,5.630,5.610,5.237,5.452,-0.069,0.858,-0.571,-0.336,-1.038,0.061,73.333,11102.000,1.000
3.850,3.776,3.719,3.866,4.178,4.099,3.815,3.945,-0.069,0.859,-0.566,-0.488,-0.946,0.122,73.333,11103.000,1.000
2.121,2.144,1.985,2.170,2.438,2.336,2.188,2.268,-0.068,0.857,-0.564,-0.610,-0.946,0.214,73.333,11104.000,1.000
0.302,0.368,0.228,0.360,0.545,0.478,0.427,0.496,-0.068,0.858,-0.566,-0.793,-0.854,0.336,73.333,11105.000,1.000
-1.452,-1.400,-1.421,-1.424,-1.303,-1.283,-1.342,-1.261,-0.069,0.858,-0.570,-0.824,-0.885,0.427,73.333,11106.000,1.000
-2.950,-2.934,-2.828,-2.993,-2.887,-2.754,-2.915,-2.820,-0.068,0.857,-0.570,-0.854,-0.854,0.397,73.333,11107.000,1.000
-4.152,-4.162,-4.013,-4.282,-4.169,-3.925,-4.207,-4.116,-0.069,0.858,-0.570,-0.854,-0.793,0.427,73.333,11108.000,1.000
