EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1.618,-1.612,-1.671,-1.723,-1.677,-1.613,-1.401,-1.564,-0.066,0.874,-0.539,-0.580,0.183,1.129,73.333,18545.000,1.000
-2.072,-2.220,-2.179,-2.249,-2.188,-2.112,-2.044,-2.122,-0.068,0.872,-0.538,-0.488,0.183,1.160,73.333,18546.000,1.000
-2.004,-2.258,-2.106,-2.266,-2.200,-2.107,-2.195,-2.193,-0.068,0.873,-0.537,-0.580,0.061,1.190,73.333,18547.000,1.000
-1.664,-1.922,-1.688,-1.983,-1.917,-1.840,-2.005,-1.954,-0.070,0.872,-0.539,-0.671,0.000,1.068,73.333,18548.000,1.000
-1.243,-1.419,-1.158,-1.576,-1.493,-1.490,-1.610,-1.544,-0.072,0.872,-0.539,-0.732,-0.031,0.977,73.333,18549.000,1.000
-0.769,-0.848,-0.600,-1.080,-0.964,-1.070,-1.060,-0.988,-0.072,0.873,-0.542,-0.641,-0.183,0.916,73.333,18550.000,1.000
-0.252,-0.283,-0.052,-0.520,-0.372,-0.577,-0.437,-0.340,-0.070,0.873,-0.542,-0.732,-0.275,0.916,73.333,18551.000,1.000
0.197,0.158,0.379,-0.020,0.148,-0.113,0.089,0.237,-0.068,0.872,-0.538,-0.793,-0.305,0.824,73.333,18552.000,1.000
0.359,0.297,0.506,0.206,0.375,0.107,0.292,0.500,-0.067,0.872,-0.540,-0.824,-0.458,0.763,73.333,18553.000,1.000
0.075,0.007,0.199,-0.010,0.140,-0.091,0.040,0.278,-0.067,0.873,-0.540,-0.854,-0.549,0.763,73.333,18554.000,1.000
-0.620,-0.672,-0.497,-0.661,-0.543,-0.701,-0.617,-0.406,-0.066,0.874,-0.541,-0.854,-0.488,0.671,73.333,18555.000,1.000
-1.541,-1.562,-1.406,-1.596,-1.496,-1.558,-1.507,-1.381,-0.067,0.873,-0.539,-0.793,-0.488,0.549,73.333,18556.000,1.000
