EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.883,1.248,0.922,1.078,1.198,0.733,1.044,1.124,-0.037,0.913,-0.465,-0.397,-0.366,0.702,73.333,24265.000,1.000
1.208,1.547,1.375,1.502,1.578,1.140,1.405,1.472,-0.036,0.912,-0.466,-0.458,-0.397,0.702,73.333,24266.000,1.000
1.630,1.940,2.011,2.085,2.000,1.689,1.892,1.965,-0.037,0.910,-0.461,-0.366,-0.458,0.580,73.333,24267.000,1.000
1.907,2.198,2.483,2.512,2.215,2.106,2.219,2.323,-0.037,0.908,-0.466,-0.397,-0.549,0.519,73.333,24268.000,1.000
1.937,2.200,2.568,2.600,2.125,2.232,2.250,2.395,-0.035,0.909,-0.466,-0.366,-0.519,0.519,73.333,24269.000,1.000
1.679,1.884,2.193,2.288,1.722,1.977,1.939,2.113,-0.033,0.909,-0.468,-0.366,-0.580,0.519,73.333,24270.000,1.000
1.106,1.233,1.407,1.604,1.046,1.315,1.297,1.459,-0.031,0.909,-0.467,-0.336,-0.610,0.549,73.333,24271.000,1.000
0.173,0.250,0.287,0.585,0.114,0.263,0.328,0.421,-0.032,0.910,-0.466,-0.275,-0.641,0.427,73.333,24272.000,1.000
-1.098,-1.010,-1.073,-0.709,-1.052,-1.081,-0.932,-0.944,-0.032,0.911,-0.465,-0.244,-0.702,0.549,73.333,24273.000,1.000
-2.607,-2.460,-2.571,-2.194,-2.414,-2.582,-2.416,-2.508,-0.033,0.912,-0.462,-0.183,-0.671,0.519,73.333,24274.000,1.000
-4.202,-3.991,-4.100,-3.761,-3.901,-4.123,-4.017,-4.107,-0.032,0.912,-0.465,-0.214,-0.641,0.427,73.333,24275.000,1.000
-5.601,-5.370,-5.439,-5.171,-5.286,-5.495,-5.465,-5.480,-0.034,0.911,-0.462,-0.183,-0.549,0.336,73.333,24276.000,1.000
-6.539,-6.351,-6.373,-6.171,-6.302,-6.474,-6.481,-6.399,-0.034,0.913,-0.464,-0.183,-0.488,0.275,73.333,24277.000,1.000
-7.007,-6.915,-6.910,-6.739,-6.885,-7.032,-7.028,-6.877,-0.033,0.914,-0.468,-0.153,-0.519,0.305,73.333,24278.000,1.000
-7.346,-7.368,-7.368,-7.196,-7.315,-7.452,-7.430,-7.255,-0.035,0.914,-0.466,-0.092,-0.519,0.183,73.333,24279.000,1.000
-7.963,-8.067,-8.100,-7.930,-7.964,-8.087,-8.092,-7.933,-0.037,0.913,-0.463,-0.092,-0.549,0.122,73.333,24280.000,1.000
-8.857,-8.958,-9.055,-8.913,-8.829,-8.902,-9.010,-8.895,-0.036,0.915,-0.464,-0.092,-0.580,0.153,73.333,24281.000,1.000
-9.671,-9.678,-9.857,-9.754,-9.573,-9.556,-9.822,-9.747,-0.037,0.914,-0.462,-0.031,-0.671,0.183,73.333,24282.000,1.000
-10.116,-9.987,-10.227,-10.155,-9.925,-9.821,-10.230,-10.170,-0.037,0.913,-0.466,-0.031,-0.610,0.061,73.333,24283.000,1.000
-10.223,-9.986,-10.224,-10.173,-9.938,-9.808,-10.273,-10.194,-0.035,0.913,-0.466,-0.031,-0.671,-0.031,73.333,24284.000,1.000
-10.158,-9.869,-10.043,-10.006,-9.797,-9.711,-10.134,-10.011,-0.036,0.912,-0.466,-0.061,-0.763,0.031,73.333,24285.000,1.000
-9.806,-9.511,-9.594,-9.561,-9.398,-9.389,-9.715,-9.547,-0.035,0.913,-0.467,0.000,-0.732,0.000,73.333,24286.000,1.000
-8.882,-8.597,-8.607,-8.569,-8.455,-8.505,-8.737,-8.561,-0.037,0.913,-0.464,-0.031,-0.732,0.061,73.333,24287.000,1.000
