EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
5.073,4.938,4.972,4.794,4.745,4.881,4.947,4.905,-0.040,0.879,-0.524,-1.495,-0.366,0.610,73.333,8353.000,1.000
2.047,1.995,1.961,1.664,1.693,1.899,1.870,1.919,-0.041,0.875,-0.530,-1.373,-0.397,0.732,73.333,8354.000,1.000
-1.686,-1.586,-1.730,-2.068,-1.956,-1.725,-1.848,-1.687,-0.045,0.875,-0.527,-1.343,-0.488,0.977,73.333,8355.000,1.000
-5.345,-5.093,-5.365,-5.650,-5.468,-5.267,-5.441,-5.187,-0.043,0.875,-0.524,-1.221,-0.427,1.129,73.333,8356.000,1.000
-8.168,-7.827,-8.209,-8.379,-8.164,-8.036,-8.190,-7.894,-0.041,0.876,-0.524,-1.221,-0.458,1.190,73.333,8357.000,1.000
-9.736,-9.384,-9.821,-9.864,-9.677,-9.643,-9.710,-9.426,-0.037,0.881,-0.524,-1.160,-0.336,1.404,73.333,8358.000,1.000
-10.016,-9.723,-10.146,-10.087,-9.981,-10.039,-9.993,-9.763,-0.033,0.884,-0.524,-1.160,-0.336,1.526,73.333,8359.000,1.000
-9.215,-9.034,-9.385,-9.270,-9.254,-9.383,-9.266,-9.104,-0.033,0.885,-0.526,-1.434,-0.275,1.617,73.333,8360.000,1.000
-7.650,-7.614,-7.852,-7.741,-7.765,-7.924,-7.834,-7.716,-0.034,0.889,-0.527,-1.526,0.000,1.526,73.333,8361.000,1.000
-5.730,-5.827,-5.925,-5.879,-5.865,-6.004,-6.040,-5.914,-0.037,0.892,-0.527,-1.617,0.122,1.404,73.333,8362.000,1.000
-3.945,-4.110,-4.065,-4.119,-4.015,-4.098,-4.297,-4.107,-0.044,0.894,-0.528,-1.740,0.092,1.160,73.333,8363.000,1.000
-2.670,-2.820,-2.662,-2.816,-2.630,-2.652,-2.962,-2.687,-0.049,0.891,-0.530,-1.801,-0.031,0.885,73.333,8364.000,1.000
-2.052,-2.143,-1.925,-2.141,-1.940,-1.926,-2.234,-1.894,-0.052,0.887,-0.525,-1.862,-0.153,0.458,73.333,8365.000,1.000
-2.099,-2.153,-1.925,-2.153,-2.017,-2.008,-2.195,-1.830,-0.053,0.885,-0.527,-1.892,-0.397,0.092,73.333,8366.000,1.000
-2.800,-2.891,-2.668,-2.876,-2.845,-2.873,-2.886,-2.529,-0.052,0.882,-0.527,-1.892,-0.671,-0.214,73.333,8367.000,1.000
-4.080,-4.285,-4.054,-4.237,-4.296,-4.363,-4.234,-3.912,-0.051,0.880,-0.523,-1.892,-0.763,-0.580,73.333,8368.000,1.000
-5.594,-5.936,-5.692,-5.865,-5.956,-6.040,-5.843,-5.594,-0.049,0.878,-0.523,-1.831,-0.763,-0.793,73.333,8369.000,1.000
-6.720,-7.135,-6.917,-7.090,-7.146,-7.231,-7.013,-6.884,-0.045,0.876,-0.525,-1.648,-0.824,-0.946,73.333,8370.000,1.000
-6.834,-7.206,-7.071,-7.232,-7.220,-7.308,-7.071,-7.088,-0.046,0.875,-0.523,-1.495,-0.824,-1.129,73.333,8371.000,1.000
-5.616,-5.860,-5.836,-5.959,-5.894,-5.986,-5.717,-5.864,-0.044,0.875,-0.522,-1.465,-0.824,-1.251,73.333,8372.000,1.000
-3.195,-3.305,-3.368,-3.424,-3.369,-3.440,-3.152,-3.364,-0.040,0.878,-0.524,-1.373,-0.732,-1.312,73.333,8373.000,1.000
0.042,0.008,-0.087,-0.056,-0.086,-0.093,0.165,-0.024,-0.038,0.880,-0.524,-1.282,-0.763,-1.251,73.333,8374.000,1.000
3.680,3.658,3.566,3.690,3.532,3.625,3.795,3.686,-0.038,0.883,-0.526,-1.282,-0.671,-1.129,73.333,8375.000,1.000
7.302,7.270,7.191,7.376,7.104,7.307,7.365,7.326,-0.042,0.884,-0.521,-1.221,-0.549,-0.977,73.333,8376.000,1.000
10.431,10.411,10.357,10.537,10.208,10.494,10.464,10.440,-0.041,0.884,-0.523,-1.099,-0.549,-0.824,73.333,8377.000,1.000
12.563,12.583,12.591,12.692,12.388,12.689,12.616,12.564,-0.041,0.887,-0.521,-1.007,-0.458,-0.610,73.333,8378.000,1.000
13.372,13.416,13.534,13.515,13.314,13.542,13.474,13.383,-0.042,0.885,-0.521,-1.038,-0.336,-0.305,73.333,8379.000,1.000
12.784,12.795,13.046,12.903,12.858,12.942,12.916,12.807,-0.043,0.886,-0.522,-1.007,-0.336,-0.092,73.333,8380.000,1.000
10.899,10.814,11.174,10.931,11.054,10.970,11.010,10.920,-0.042,0.883,-0.520,-1.007,-0.275,-0.031,73.333,8381.000,1.000
7.929,7.722,8.133,7.835,8.081,7.867,7.976,7.928,-0.041,0.883,-0.520,-1.099,-0.214,0.244,73.333,8382.000,1.000
4.184,3.887,4.285,3.980,4.260,3.993,4.159,4.139,-0.040,0.883,-0.525,-1.007,-0.183,0.580,73.333,8383.000,1.000
0.128,-0.178,0.160,-0.123,0.097,-0.142,0.063,0.022,-0.041,0.881,-0.522,-1.099,-0.153,0.854,73.333,8384.000,1.000
-3.640,-3.859,-3.608,-3.854,-3.755,-3.909,-3.698,-3.807,-0.042,0.879,-0.521,-0.977,-0.153,1.038,73.333,8385.000,1.000
-6.506,-6.575,-6.435,-6.630,-6.650,-6.701,-6.539,-6.718,-0.043,0.879,-0.521,-1.038,-0.153,1.160,73.333,8386.000,1.000
-7.999,-7.939,-7.919,-8.048,-8.135,-8.103,-8.051,-8.244,-0.043,0.881,-0.524,-1.038,-0.031,1.282,73.333,8387.000,1.000
-7.964,-7.868,-7.944,-8.007,-8.093,-8.021,-8.114,-8.233,-0.043,0.882,-0.521,-1.099,-0.092,1.312,73.333,8388.000,1.000
-6.589,-6.556,-6.670,-6.688,-6.729,-6.662,-6.872,-6.857,-0.043,0.883,-0.519,-0.977,-0.031,1.373,73.333,8389.000,1.000
-4.341,-4.403,-4.491,-4.494,-4.477,-4.442,-4.703,-4.559,-0.044,0.885,-0.519,-0.946,-0.092,1.526,73.333,8390.000,1.000
-1.791,-1.914,-1.940,-1.945,-1.884,-1.882,-2.122,-1.920,-0.042,0.886,-0.523,-0.916,0.000,1.526,73.333,8391.000,1.000
0.583,0.450,0.493,0.485,0.552,0.532,0.374,0.540,-0.040,0.887,-0.523,-0.946,0.000,1.617,73.333,8392.000,1.000
2.456,2.335,2.442,2.434,2.461,2.431,2.387,2.444,-0.038,0.886,-0.521,-1.068,0.031,1.648,73.333,8393.000,1.000
3.676,3.562,3.715,3.720,3.681,3.656,3.711,3.633,-0.037,0.886,-0.520,-1.068,0.153,1.556,73.333,8394.000,1.000
4.260,4.147,4.316,4.355,4.248,4.262,4.362,4.164,-0.035,0.883,-0.522,-1.068,0.244,1.404,73.333,8395.000,1.000
4.350,4.244,4.391,4.484,4.322,4.416,4.492,4.217,-0.034,0.883,-0.522,-1.068,0.336,1.282,73.333,8396.000,1.000
4.143,4.053,4.137,4.291,4.098,4.290,4.287,3.977,-0.032,0.882,-0.524,-1.038,0.427,1.282,73.333,8397.000,1.000
3.783,3.696,3.689,3.895,3.710,3.973,3.865,3.548,-0.031,0.883,-0.525,-1.129,0.519,1.221,73.333,8398.000,1.000
3.320,3.195,3.113,3.356,3.207,3.470,3.279,2.974,-0.033,0.880,-0.524,-1.038,0.610,1.160,73.333,8399.000,1.000
2.684,2.473,2.391,2.658,2.526,2.715,2.513,2.234,-0.031,0.880,-0.527,-0.946,0.763,1.129,73.333,8400.000,1.000
1.702,1.395,1.414,1.687,1.514,1.601,1.483,1.220,-0.031,0.883,-0.524,-0.916,0.946,0.977,73.333,8401.000,1.000
0.245,-0.108,0.070,0.318,0.062,0.076,0.111,-0.159,-0.032,0.883,-0.526,-1.007,1.007,0.916,73.333,8402.000,1.000
-1.670,-1.972,-1.669,-1.485,-1.805,-1.804,-1.624,-1.893,-0.032,0.885,-0.525,-0.916,1.160,0.885,73.333,8403.000,1.000
-3.810,-3.980,-3.653,-3.567,-3.866,-3.837,-3.593,-3.807,-0.034,0.886,-0.525,-0.946,1.221,0.671,73.333,8404.000,1.000
-5.793,-5.819,-5.562,-5.600,-5.769,-5.706,-5.511,-5.603,-0.035,0.888,-0.525,-0.916,1.221,0.580,73.333,8405.000,1.000
-7.226,-7.173,-7.007,-7.201,-7.149,-7.072,-7.022,-6.964,-0.036,0.886,-0.524,-0.854,1.343,0.488,73.333,8406.000,1.000
-7.855,-7.810,-7.688,-8.059,-7.757,-7.695,-7.828,-7.646,-0.039,0.886,-0.526,-0.885,1.282,0.458,73.333,8407.000,1.000
-7.691,-7.704,-7.562,-8.085,-7.589,-7.574,-7.852,-7.617,-0.039,0.886,-0.528,-0.916,1.221,0.366,73.333,8408.000,1.000
-6.931,-6.996,-6.800,-7.392,-6.822,-6.880,-7.211,-7.008,-0.040,0.885,-0.526,-0.946,1.190,0.214,73.333,8409.000,1.000
-5.729,-5.804,-5.571,-6.118,-5.601,-5.747,-6.024,-5.921,-0.041,0.885,-0.524,-1.068,1.190,0.214,73.333,8410.000,1.000
-4.059,-4.105,-3.882,-4.275,-3.907,-4.140,-4.280,-4.299,-0.041,0.885,-0.522,-0.977,1.068,0.122,73.333,8411.000,1.000
-1.799,-1.812,-1.648,-1.805,-1.628,-1.932,-1.907,-2.017,-0.042,0.884,-0.521,-0.977,1.038,0.122,73.333,8412.000,1.000
0.963,0.968,1.021,1.138,1.149,0.807,0.957,0.814,-0.043,0.886,-0.523,-0.977,0.885,0.092,73.333,8413.000,1.000
3.779,3.792,3.701,4.061,3.980,3.644,3.833,3.726,-0.043,0.882,-0.522,-0.946,0.763,0.031,73.333,8414.000,1.000
6.011,6.048,5.830,6.329,6.229,5.941,6.085,6.071,-0.043,0.885,-0.522,-1.007,0.641,0.031,73.333,8415.000,1.000
7.203,7.294,7.036,7.534,7.443,7.232,7.285,7.393,-0.044,0.886,-0.523,-0.946,0.458,0.000,73.333,8416.000,1.000
7.360,7.529,7.347,7.735,7.627,7.524,7.472,7.689,-0.047,0.883,-0.520,-1.007,0.275,0.000,73.333,8417.000,1.000
6.871,7.116,7.095,7.331,7.166,7.204,7.058,7.338,-0.044,0.885,-0.520,-0.946,0.122,-0.031,73.333,8418.000,1.000
6.254,6.539,6.695,6.792,6.557,6.749,6.542,6.834,-0.044,0.884,-0.523,-0.854,-0.061,-0.031,73.333,8419.000,1.000
5.852,6.110,6.387,6.395,6.127,6.437,6.209,6.487,-0.044,0.881,-0.524,-0.854,-0.183,0.153,73.333,8420.000,1.000
5.683,5.829,6.128,6.114,5.879,6.217,6.000,6.282,-0.043,0.877,-0.526,-0.824,-0.336,0.214,73.333,8421.000,1.000
5.510,5.496,5.711,5.737,5.585,5.846,5.666,5.984,-0.045,0.877,-0.525,-0.702,-0.549,0.214,73.333,8422.000,1.000
5.001,4.867,4.928,5.015,4.952,5.070,4.949,5.321,-0.043,0.874,-0.524,-0.549,-0.610,0.244,73.333,8423.000,1.000
3.956,3.816,3.726,3.833,3.827,3.802,3.762,4.154,-0.043,0.875,-0.526,-0.244,-0.732,0.275,73.333,8424.000,1.000
2.416,2.400,2.220,2.268,2.288,2.162,2.220,2.561,-0.040,0.876,-0.527,-0.153,-0.824,0.275,73.333,8425.000,1.000
0.589,0.772,0.581,0.496,0.551,0.366,0.527,0.739,-0.039,0.877,-0.526,-0.092,-0.916,0.397,73.333,8426.000,1.000
-1.274,-0.909,-1.055,-1.308,-1.168,-1.381,-1.152,-1.100,-0.036,0.879,-0.524,0.000,-0.977,0.549,73.333,8427.000,1.000
-2.955,-2.507,-2.589,-2.972,-2.710,-2.928,-2.709,-2.777,-0.035,0.881,-0.522,0.031,-1.007,0.549,73.333,8428.000,1.000
-4.259,-3.859,-3.895,-4.301,-3.930,-4.143,-4.024,-4.109,-0.035,0.883,-0.525,0.061,-1.068,0.641,73.333,8429.000,1.000
-5.077,-4.825,-4.846,-5.149,-4.731,-4.935,-4.989,-4.966,-0.039,0.882,-0.528,0.122,-0.946,0.732,73.333,8430.000,1.000
-5.431,-5.355,-5.376,-5.492,-5.114,-5.294,-5.553,-5.331,-0.042,0.884,-0.528,0.122,-1.007,0.732,73.333,8431.000,1.000
-5.379,-5.434,-5.448,-5.365,-5.111,-5.238,-5.662,-5.247,-0.045,0.885,-0.527,0.153,-1.099,0.641,73.333,8432.000,1.000
-4.973,-5.080,-5.075,-4.848,-4.763,-4.816,-5.291,-4.784,-0.047,0.885,-0.523,0.092,-1.404,0.671,73.333,8433.000,1.000
-4.316,-4.407,-4.381,-4.100,-4.171,-4.147,-4.547,-4.088,-0.046,0.885,-0.522,0.061,-1.434,0.488,73.333,8434.000,1.000
-3.648,-3.693,-3.663,-3.400,-3.591,-3.491,-3.745,-3.436,-0.045,0.883,-0.523,0.061,-1.465,0.488,73.333,8435.000,1.000
-3.259,-3.263,-3.269,-3.038,-3.320,-3.142,-3.246,-3.130,-0.043,0.885,-0.524,-0.061,-1.556,0.305,73.333,8436.000,1.000
-3.215,-3.211,-3.286,-3.055,-3.406,-3.164,-3.150,-3.221,-0.040,0.885,-0.523,-0.092,-1.587,0.153,73.333,8437.000,1.000
-3.327,-3.338,-3.502,-3.238,-3.610,-3.348,-3.261,-3.490,-0.039,0.885,-0.522,-0.244,-1.648,0.153,73.333,8438.000,1.000
-3.324,-3.337,-3.586,-3.288,-3.615,-3.394,-3.283,-3.634,-0.041,0.886,-0.528,-0.305,-1.648,0.153,73.333,8439.000,1.000
-3.014,-2.993,-3.290,-2.992,-3.237,-3.086,-3.002,-3.420,-0.041,0.883,-0.530,-0.397,-1.678,-0.031,73.333,8440.000,1.000
-2.321,-2.244,-2.518,-2.270,-2.439,-2.352,-2.327,-2.737,-0.039,0.882,-0.531,-0.366,-1.648,-0.092,73.333,8441.000,1.000
-1.234,-1.122,-1.303,-1.158,-1.259,-1.230,-1.260,-1.588,-0.039,0.883,-0.526,-0.397,-1.495,-0.061,73.333,8442.000,1.000
0.158,0.249,0.189,0.190,0.189,0.126,0.088,-0.118,-0.040,0.884,-0.529,-0.336,-1.526,-0.092,73.333,8443.000,1.000
1.624,1.639,1.677,1.514,1.678,1.467,1.475,1.384,-0.040,0.885,-0.528,-0.427,-1.495,0.031,73.333,8444.000,1.000
2.806,2.726,2.807,2.502,2.874,2.489,2.563,2.547,-0.038,0.884,-0.527,-0.488,-1.434,0.061,73.333,8445.000,1.000
3.365,3.219,3.284,2.902,3.457,2.943,3.050,3.065,-0.039,0.884,-0.526,-0.549,-1.312,-0.092,73.333,8446.000,1.000
3.162,3.030,3.025,2.661,3.297,2.767,2.862,2.875,-0.042,0.886,-0.527,-0.458,-1.373,0.061,73.333,8447.000,1.000
2.276,2.252,2.140,1.882,2.451,2.034,2.101,2.096,-0.040,0.886,-0.527,-0.671,-1.312,0.122,73.333,8448.000,1.000
0.895,1.032,0.798,0.683,1.073,0.863,0.907,0.876,-0.040,0.886,-0.527,-0.793,-1.251,0.214,73.333,8449.000,1.000
-0.806,-0.547,-0.875,-0.873,-0.684,-0.666,-0.640,-0.709,-0.038,0.886,-0.528,-0.885,-1.251,0.183,73.333,8450.000,1.000
-2.666,-2.398,-2.760,-2.684,-2.648,-2.460,-2.453,-2.568,-0.036,0.885,-0.525,-1.038,-1.221,0.305,73.333,8451.000,1.000
