EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1.093,-0.954,-1.251,-0.870,-0.856,-1.056,-1.184,-1.035,-0.073,0.865,-0.542,-1.221,-1.282,0.885,73.333,48873.000,1.000
-1.879,-1.807,-2.018,-1.647,-1.703,-1.824,-1.945,-1.862,-0.072,0.866,-0.545,-1.129,-1.251,0.946,73.333,48874.000,1.000
-2.412,-2.440,-2.594,-2.237,-2.314,-2.340,-2.438,-2.476,-0.071,0.866,-0.545,-1.129,-1.160,0.824,73.333,48875.000,1.000
-2.932,-3.072,-3.172,-2.860,-2.896,-2.868,-2.908,-3.075,-0.072,0.865,-0.544,-1.160,-1.282,0.946,73.333,48876.000,1.000
-3.547,-3.774,-3.801,-3.585,-3.534,-3.521,-3.475,-3.733,-0.070,0.864,-0.545,-1.251,-1.251,0.763,73.333,48877.000,1.000
-4.118,-4.371,-4.292,-4.212,-4.076,-4.129,-3.992,-4.280,-0.071,0.865,-0.545,-1.160,-1.160,0.671,73.333,48878.000,1.000
-4.392,-4.587,-4.379,-4.431,-4.277,-4.394,-4.176,-4.441,-0.070,0.865,-0.542,-1.129,-1.129,0.671,73.333,48879.000,1.000
-4.241,-4.299,-3.982,-4.116,-4.045,-4.176,-3.894,-4.094,-0.071,0.865,-0.543,-0.977,-1.129,0.732,73.333,48880.000,1.000
-3.757,-3.635,-3.287,-3.433,-3.509,-3.595,-3.274,-3.389,-0.070,0.863,-0.540,-0.916,-1.007,0.671,73.333,48881.000,1.000
-3.211,-2.917,-2.642,-2.742,-2.955,-2.966,-2.636,-2.668,-0.071,0.864,-0.541,-0.916,-0.916,0.580,73.333,48882.000,1.000
-2.831,-2.428,-2.296,-2.317,-2.610,-2.553,-2.240,-2.212,-0.068,0.863,-0.541,-0.824,-0.977,0.427,73.333,48883.000,1.000
-2.635,-2.222,-2.244,-2.184,-2.490,-2.391,-2.118,-2.073,-0.067,0.867,-0.540,-0.732,-0.854,0.397,73.333,48884.000,1.000
-2.493,-2.171,-2.315,-2.205,-2.462,-2.340,-2.145,-2.127,-0.069,0.868,-0.541,-0.793,-0.824,0.458,73.333,48885.000,1.000
-2.342,-2.175,-2.379,-2.284,-2.436,-2.308,-2.219,-2.256,-0.069,0.870,-0.544,-0.793,-0.763,0.397,73.333,48886.000,1.000
-2.304,-2.309,-2.499,-2.491,-2.497,-2.389,-2.405,-2.493,-0.070,0.869,-0.542,-0.793,-0.732,0.366,73.333,48887.000,1.000
-2.528,-2.681,-2.798,-2.914,-2.761,-2.711,-2.793,-2.913,-0.069,0.869,-0.541,-0.916,-0.641,0.366,73.333,48888.000,1.000
-2.987,-3.243,-3.258,-3.483,-3.201,-3.239,-3.327,-3.452,-0.068,0.869,-0.542,-0.885,-0.519,0.366,73.333,48889.000,1.000
-3.464,-3.774,-3.667,-3.967,-3.603,-3.752,-3.776,-3.881,-0.068,0.867,-0.541,-0.885,-0.519,0.305,73.333,48890.000,1.000
-3.706,-4.024,-3.788,-4.131,-3.734,-3.999,-3.900,-3.965,-0.068,0.867,-0.544,-0.885,-0.427,0.366,73.333,48891.000,1.000
-3.677,-3.948,-3.623,-3.983,-3.598,-3.943,-3.716,-3.735,-0.068,0.867,-0.543,-0.854,-0.427,0.397,73.333,48892.000,1.000
-3.462,-3.636,-3.313,-3.659,-3.335,-3.679,-3.379,-3.373,-0.069,0.869,-0.542,-1.007,-0.275,0.336,73.333,48893.000,1.000
-3.027,-3.098,-2.863,-3.172,-2.954,-3.201,-2.909,-2.922,-0.068,0.870,-0.542,-0.946,-0.183,0.305,73.333,48894.000,1.000
-2.257,-2.283,-2.150,-2.417,-2.345,-2.424,-2.193,-2.277,-0.068,0.871,-0.541,-1.007,-0.061,0.336,73.333,48895.000,1.000
-1.172,-1.229,-1.149,-1.375,-1.477,-1.369,-1.209,-1.389,-0.067,0.871,-0.544,-1.129,0.031,0.214,73.333,48896.000,1.000
0.024,-0.103,-0.031,-0.202,-0.468,-0.218,-0.101,-0.364,-0.070,0.871,-0.544,-1.068,0.000,0.336,73.333,48897.000,1.000
1.181,0.994,1.055,0.980,0.613,0.910,1.035,0.724,-0.068,0.870,-0.543,-1.038,0.092,0.366,73.333,48898.000,1.000
2.320,2.110,2.105,2.179,1.823,2.064,2.232,1.912,-0.070,0.868,-0.544,-1.007,0.214,0.427,73.333,48899.000,1.000
3.469,3.273,3.147,3.393,3.157,3.289,3.486,3.190,-0.070,0.868,-0.542,-1.129,0.153,0.458,73.333,48900.000,1.000
4.511,4.360,4.100,4.474,4.425,4.455,4.626,4.385,-0.071,0.868,-0.546,-1.129,0.122,0.305,73.333,48901.000,1.000
5.216,5.117,4.765,5.168,5.328,5.289,5.377,5.215,-0.072,0.869,-0.541,-1.129,0.214,0.427,73.333,48902.000,1.000
5.477,5.412,5.047,5.376,5.715,5.646,5.618,5.547,-0.073,0.868,-0.541,-1.068,0.183,0.519,73.333,48903.000,1.000
5.430,5.360,5.059,5.267,5.709,5.645,5.497,5.503,-0.073,0.866,-0.541,-1.099,0.122,0.519,73.333,48904.000,1.000
5.311,5.192,4.997,5.118,5.553,5.518,5.270,5.327,-0.073,0.867,-0.544,-1.129,0.244,0.458,73.333,48905.000,1.000
5.252,5.059,4.967,5.089,5.399,5.401,5.096,5.185,-0.072,0.869,-0.541,-1.129,0.275,0.397,73.333,48906.000,1.000
5.174,4.918,4.904,5.101,5.192,5.243,4.937,5.047,-0.073,0.871,-0.539,-1.099,0.153,0.397,73.333,48907.000,1.000
4.966,4.689,4.732,5.016,4.847,4.969,4.708,4.821,-0.074,0.871,-0.540,-1.038,0.214,0.488,73.333,48908.000,1.000
4.659,4.427,4.513,4.832,4.442,4.654,4.441,4.547,-0.073,0.871,-0.540,-1.038,0.214,0.519,73.333,48909.000,1.000
4.451,4.319,4.440,4.717,4.201,4.510,4.306,4.421,-0.073,0.869,-0.539,-1.068,0.122,0.549,73.333,48910.000,1.000
4.587,4.571,4.718,4.900,4.365,4.750,4.519,4.677,-0.073,0.869,-0.537,-1.129,0.153,0.671,73.333,48911.000,1.000
5.111,5.187,5.347,5.429,4.953,5.361,5.098,5.324,-0.073,0.870,-0.539,-1.068,0.183,0.610,73.333,48912.000,1.000
5.789,5.908,6.056,6.076,5.699,6.062,5.778,6.067,-0.073,0.868,-0.543,-1.007,0.031,0.671,73.333,48913.000,1.000
6.270,6.382,6.487,6.476,6.236,6.499,6.192,6.507,-0.071,0.869,-0.540,-1.068,0.031,0.641,73.333,48914.000,1.000
6.328,6.408,6.437,6.396,6.331,6.492,6.145,6.418,-0.073,0.868,-0.541,-1.038,0.000,0.732,73.333,48915.000,1.000
5.992,6.058,5.994,5.905,6.022,6.127,5.735,5.890,-0.074,0.869,-0.544,-1.038,-0.061,0.763,73.333,48916.000,1.000
5.489,5.584,5.438,5.285,5.535,5.633,5.229,5.221,-0.072,0.870,-0.541,-0.977,-0.092,0.610,73.333,48917.000,1.000
5.149,5.308,5.114,4.899,5.183,5.283,4.942,4.787,-0.072,0.868,-0.542,-1.007,-0.122,0.671,73.333,48918.000,1.000
5.200,5.422,5.230,4.972,5.190,5.266,5.065,4.834,-0.071,0.869,-0.543,-1.007,-0.092,0.671,73.333,48919.000,1.000
5.559,5.804,5.664,5.395,5.499,5.518,5.490,5.265,-0.072,0.869,-0.543,-0.977,-0.214,0.641,73.333,48920.000,1.000
5.900,6.105,6.064,5.823,5.821,5.768,5.887,5.715,-0.072,0.867,-0.541,-0.946,-0.244,0.610,73.333,48921.000,1.000
5.907,6.014,6.102,5.922,5.859,5.751,5.938,5.817,-0.069,0.866,-0.541,-0.854,-0.336,0.610,73.333,48922.000,1.000
5.497,5.476,5.687,5.589,5.513,5.390,5.550,5.440,-0.069,0.866,-0.541,-0.824,-0.366,0.610,73.333,48923.000,1.000
