EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3.678,-3.677,-3.393,-3.701,-3.541,-3.446,-3.756,-3.530,-0.073,0.854,-0.558,-0.092,-1.282,0.549,73.333,9033.000,1.000
-3.624,-3.730,-3.306,-3.700,-3.541,-3.416,-3.818,-3.582,-0.072,0.853,-0.555,-0.031,-1.099,0.549,73.333,9034.000,1.000
-3.505,-3.729,-3.212,-3.617,-3.473,-3.392,-3.800,-3.584,-0.072,0.856,-0.555,0.061,-1.129,0.671,73.333,9035.000,1.000
-3.335,-3.666,-3.131,-3.459,-3.372,-3.375,-3.719,-3.531,-0.074,0.856,-0.554,0.061,-0.977,0.458,73.333,9036.000,1.000
-3.367,-3.763,-3.300,-3.479,-3.499,-3.559,-3.803,-3.648,-0.077,0.856,-0.554,0.122,-0.977,0.427,73.333,9037.000,1.000
-3.952,-4.354,-4.033,-4.040,-4.192,-4.228,-4.376,-4.261,-0.082,0.857,-0.557,0.061,-0.946,0.275,73.333,9038.000,1.000
-5.257,-5.615,-5.460,-5.328,-5.604,-5.522,-5.609,-5.537,-0.082,0.858,-0.557,0.214,-0.946,0.092,73.333,9039.000,1.000
-6.951,-7.237,-7.241,-7.031,-7.387,-7.144,-7.223,-7.171,-0.085,0.860,-0.556,0.092,-1.007,-0.092,73.333,9040.000,1.000
-8.165,-8.384,-8.519,-8.286,-8.649,-8.296,-8.393,-8.322,-0.083,0.860,-0.558,0.153,-1.190,-0.183,73.333,9041.000,1.000
-7.853,-8.036,-8.258,-8.035,-8.323,-7.988,-8.087,-7.958,-0.080,0.862,-0.556,0.153,-1.160,-0.336,73.333,9042.000,1.000
-5.491,-5.673,-5.927,-5.722,-5.880,-5.690,-5.750,-5.556,-0.078,0.862,-0.556,0.183,-1.221,-0.366,73.333,9043.000,1.000
-1.592,-1.797,-2.023,-1.827,-1.853,-1.860,-1.854,-1.621,-0.073,0.861,-0.557,0.122,-1.160,-0.519,73.333,9044.000,1.000
2.360,2.125,1.977,2.180,2.245,2.074,2.146,2.378,-0.074,0.862,-0.554,0.092,-1.068,-0.488,73.333,9045.000,1.000
4.604,4.337,4.307,4.507,4.620,4.368,4.489,4.681,-0.075,0.862,-0.555,-0.031,-1.007,-0.519,73.333,9046.000,1.000
4.166,3.873,3.992,4.148,4.275,4.032,4.176,4.305,-0.075,0.863,-0.558,-0.031,-0.885,-0.458,73.333,9047.000,1.000
1.533,1.242,1.511,1.570,1.685,1.520,1.641,1.733,-0.076,0.862,-0.560,-0.092,-0.763,-0.488,73.333,9048.000,1.000
-1.580,-1.841,-1.467,-1.530,-1.442,-1.494,-1.480,-1.337,-0.077,0.860,-0.558,-0.275,-0.763,-0.427,73.333,9049.000,1.000
-3.261,-3.481,-3.086,-3.244,-3.185,-3.118,-3.302,-3.019,-0.079,0.860,-0.559,-0.183,-0.641,-0.397,73.333,9050.000,1.000
-2.505,-2.683,-2.361,-2.551,-2.505,-2.338,-2.758,-2.328,-0.080,0.860,-0.557,-0.183,-0.702,-0.305,73.333,9051.000,1.000
0.413,0.277,0.459,0.290,0.362,0.587,-0.026,0.460,-0.081,0.859,-0.556,-0.214,-0.763,-0.336,73.333,9052.000,1.000
4.233,4.142,4.168,4.037,4.182,4.408,3.710,4.110,-0.083,0.861,-0.557,-0.214,-0.702,-0.336,73.333,9053.000,1.000
7.336,7.284,7.199,7.097,7.343,7.509,6.851,7.055,-0.081,0.863,-0.558,-0.244,-0.824,-0.366,73.333,9054.000,1.000
8.475,8.441,8.327,8.244,8.567,8.629,8.105,8.106,-0.081,0.862,-0.556,-0.305,-0.671,-0.214,73.333,9055.000,1.000
7.374,7.334,7.260,7.215,7.527,7.460,7.129,7.037,-0.079,0.862,-0.556,-0.336,-0.641,-0.092,73.333,9056.000,1.000
4.915,4.842,4.838,4.877,5.046,4.868,4.748,4.717,-0.080,0.861,-0.555,-0.397,-0.580,0.031,73.333,9057.000,1.000
2.527,2.397,2.449,2.620,2.528,2.311,2.377,2.503,-0.080,0.861,-0.560,-0.488,-0.610,0.122,73.333,9058.000,1.000
1.233,1.031,1.098,1.414,1.026,0.866,1.061,1.335,-0.079,0.861,-0.559,-0.580,-0.641,0.122,73.333,9059.000,1.000
1.161,0.904,0.927,1.361,0.754,0.712,0.981,1.308,-0.079,0.862,-0.558,-0.488,-0.671,0.214,73.333,9060.000,1.000
1.787,1.524,1.457,1.943,1.278,1.354,1.656,1.916,-0.079,0.863,-0.557,-0.519,-0.610,0.366,73.333,9061.000,1.000
2.524,2.319,2.144,2.614,2.041,2.199,2.512,2.613,-0.078,0.862,-0.555,-0.519,-0.702,0.427,73.333,9062.000,1.000
3.034,2.922,2.669,3.074,2.663,2.851,3.180,3.084,-0.081,0.861,-0.559,-0.458,-0.610,0.549,73.333,9063.000,1.000
3.194,3.159,2.903,3.225,2.959,3.113,3.478,3.208,-0.079,0.862,-0.560,-0.549,-0.580,0.519,73.333,9064.000,1.000
2.975,2.963,2.800,3.052,2.857,2.914,3.319,2.959,-0.079,0.861,-0.559,-0.641,-0.671,0.610,73.333,9065.000,1.000
2.397,2.343,2.356,2.560,2.350,2.283,2.695,2.361,-0.079,0.862,-0.560,-0.671,-0.549,0.702,73.333,9066.000,1.000
1.605,1.452,1.673,1.838,1.564,1.383,1.761,1.542,-0.079,0.859,-0.555,-0.641,-0.488,0.702,73.333,9067.000,1.000
0.806,0.532,0.925,1.039,0.716,0.452,0.775,0.693,-0.077,0.859,-0.556,-0.671,-0.519,0.702,73.333,9068.000,1.000
0.125,-0.235,0.251,0.300,-0.023,-0.327,-0.062,-0.051,-0.077,0.859,-0.558,-0.732,-0.488,0.824,73.333,9069.000,1.000
-0.463,-0.819,-0.326,-0.344,-0.618,-0.904,-0.701,-0.667,-0.077,0.858,-0.559,-0.732,-0.580,0.793,73.333,9070.000,1.000
-1.080,-1.342,-0.903,-0.981,-1.172,-1.384,-1.257,-1.253,-0.078,0.855,-0.557,-0.702,-0.549,0.763,73.333,9071.000,1.000
-1.800,-1.912,-1.580,-1.688,-1.786,-1.883,-1.860,-1.899,-0.078,0.854,-0.556,-0.702,-0.519,0.824,73.333,9072.000,1.000
-2.599,-2.550,-2.385,-2.466,-2.485,-2.455,-2.560,-2.619,-0.078,0.855,-0.556,-0.671,-0.397,0.763,73.333,9073.000,1.000
-3.401,-3.223,-3.271,-3.266,-3.231,-3.094,-3.326,-3.369,-0.077,0.857,-0.555,-0.671,-0.397,0.763,73.333,9074.000,1.000
-4.130,-3.890,-4.146,-4.022,-3.958,-3.763,-4.081,-4.082,-0.078,0.855,-0.559,-0.641,-0.458,0.732,73.333,9075.000,1.000
-4.771,-4.543,-4.939,-4.710,-4.643,-4.444,-4.781,-4.734,-0.080,0.856,-0.557,-0.641,-0.549,0.671,73.333,9076.000,1.000
-5.316,-5.146,-5.578,-5.305,-5.255,-5.088,-5.375,-5.310,-0.080,0.854,-0.558,-0.580,-0.488,0.580,73.333,9077.000,1.000
-5.705,-5.601,-5.981,-5.756,-5.713,-5.585,-5.779,-5.752,-0.078,0.855,-0.555,-0.458,-0.549,0.549,73.333,9078.000,1.000
-5.857,-5.801,-6.090,-5.996,-5.922,-5.817,-5.914,-5.981,-0.077,0.855,-0.557,-0.427,-0.641,0.549,73.333,9079.000,1.000
-5.748,-5.726,-5.929,-5.990,-5.852,-5.756,-5.773,-5.950,-0.076,0.854,-0.556,-0.427,-0.580,0.427,73.333,9080.000,1.000
-5.490,-5.505,-5.639,-5.810,-5.620,-5.539,-5.491,-5.737,-0.077,0.855,-0.557,-0.427,-0.458,0.397,73.333,9081.000,1.000
-5.245,-5.291,-5.373,-5.569,-5.384,-5.334,-5.239,-5.469,-0.079,0.856,-0.558,-0.336,-0.488,0.336,73.333,9082.000,1.000
-5.071,-5.122,-5.162,-5.315,-5.189,-5.180,-5.071,-5.201,-0.077,0.857,-0.556,-0.244,-0.549,0.427,73.333,9083.000,1.000
-4.868,-4.895,-4.888,-4.975,-4.932,-4.956,-4.866,-4.865,-0.078,0.858,-0.557,-0.397,-0.519,0.427,73.333,9084.000,1.000
-4.503,-4.476,-4.402,-4.462,-4.488,-4.525,-4.453,-4.368,-0.078,0.859,-0.555,-0.336,-0.580,0.305,73.333,9085.000,1.000
