EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
2.506,2.580,2.645,2.538,2.825,2.467,2.395,2.783,-0.051,0.874,-0.533,-0.732,-0.763,0.488,73.333,29265.000,1.000
2.909,2.981,3.027,2.940,3.197,2.951,2.881,3.190,-0.052,0.875,-0.532,-0.793,-0.885,0.458,73.333,29266.000,1.000
3.855,3.902,3.924,3.894,4.058,3.956,3.890,4.067,-0.052,0.875,-0.533,-0.854,-0.885,0.305,73.333,29267.000,1.000
4.997,5.006,4.994,5.045,5.109,5.104,5.032,5.097,-0.054,0.874,-0.535,-0.885,-0.885,0.244,73.333,29268.000,1.000
5.847,5.828,5.755,5.896,5.904,5.904,5.813,5.836,-0.053,0.876,-0.532,-0.916,-0.946,0.122,73.333,29269.000,1.000
6.105,6.072,5.917,6.141,6.149,6.081,5.960,6.023,-0.053,0.875,-0.536,-0.793,-1.007,0.122,73.333,29270.000,1.000
5.685,5.646,5.414,5.708,5.736,5.587,5.439,5.600,-0.054,0.874,-0.533,-0.793,-1.068,-0.031,73.333,29271.000,1.000
4.706,4.673,4.397,4.751,4.754,4.576,4.419,4.695,-0.054,0.874,-0.535,-0.763,-1.190,-0.122,73.333,29272.000,1.000
3.494,3.490,3.224,3.617,3.519,3.391,3.250,3.602,-0.054,0.875,-0.537,-0.824,-1.251,-0.031,73.333,29273.000,1.000
2.452,2.504,2.295,2.690,2.445,2.428,2.318,2.663,-0.053,0.875,-0.540,-0.793,-1.312,-0.092,73.333,29274.000,1.000
1.783,1.913,1.773,2.114,1.753,1.853,1.783,2.033,-0.055,0.875,-0.540,-0.732,-1.373,-0.122,73.333,29275.000,1.000
1.377,1.592,1.509,1.742,1.348,1.531,1.503,1.601,-0.053,0.874,-0.532,-0.793,-1.434,-0.183,73.333,29276.000,1.000
1.169,1.453,1.420,1.519,1.176,1.391,1.407,1.338,-0.053,0.873,-0.531,-0.793,-1.404,-0.122,73.333,29277.000,1.000
1.369,1.687,1.689,1.679,1.439,1.627,1.697,1.475,-0.053,0.873,-0.534,-0.793,-1.404,-0.183,73.333,29278.000,1.000
2.083,2.386,2.382,2.331,2.221,2.317,2.457,2.108,-0.052,0.873,-0.532,-0.793,-1.343,-0.092,73.333,29279.000,1.000
2.843,3.080,3.025,3.009,3.039,2.997,3.209,2.769,-0.052,0.871,-0.535,-0.763,-1.343,0.000,73.333,29280.000,1.000
2.877,3.014,2.901,2.960,3.110,2.942,3.199,2.713,-0.051,0.873,-0.537,-0.671,-1.251,0.092,73.333,29281.000,1.000
2.012,2.045,1.921,2.034,2.251,2.033,2.280,1.804,-0.052,0.873,-0.537,-0.641,-1.312,0.214,73.333,29282.000,1.000
0.949,0.905,0.849,0.940,1.161,0.995,1.168,0.759,-0.051,0.877,-0.539,-0.671,-1.312,0.214,73.333,29283.000,1.000
0.463,0.392,0.470,0.451,0.624,0.584,0.648,0.344,-0.052,0.877,-0.535,-0.580,-1.312,0.366,73.333,29284.000,1.000
0.576,0.535,0.762,0.584,0.678,0.776,0.746,0.547,-0.050,0.876,-0.532,-0.671,-1.190,0.336,73.333,29285.000,1.000
