EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
1.126,1.340,1.031,0.704,1.319,1.012,1.185,1.029,-0.055,0.875,-0.532,-0.824,-0.519,0.427,73.333,13561.000,1.000
1.537,1.706,1.380,1.060,1.702,1.440,1.468,1.328,-0.058,0.875,-0.532,-0.885,-0.580,0.488,73.333,13562.000,1.000
1.857,1.960,1.638,1.390,1.972,1.748,1.646,1.618,-0.058,0.875,-0.532,-0.885,-0.519,0.397,73.333,13563.000,1.000
2.018,2.020,1.763,1.614,2.051,1.863,1.676,1.802,-0.060,0.875,-0.534,-0.824,-0.488,0.336,73.333,13564.000,1.000
2.126,1.993,1.881,1.808,2.055,1.902,1.671,1.944,-0.061,0.876,-0.535,-0.854,-0.519,0.275,73.333,13565.000,1.000
2.354,2.092,2.174,2.115,2.199,2.062,1.810,2.190,-0.061,0.876,-0.533,-0.824,-0.549,0.214,73.333,13566.000,1.000
2.758,2.430,2.702,2.575,2.597,2.433,2.164,2.605,-0.062,0.876,-0.535,-0.916,-0.641,0.153,73.333,13567.000,1.000
3.214,2.906,3.330,3.070,3.157,2.906,2.629,3.088,-0.063,0.875,-0.534,-1.038,-0.610,0.092,73.333,13568.000,1.000
3.524,3.295,3.815,3.408,3.644,3.272,3.008,3.446,-0.060,0.874,-0.534,-1.038,-0.641,0.092,73.333,13569.000,1.000
3.541,3.413,3.963,3.467,3.835,3.371,3.143,3.525,-0.060,0.875,-0.537,-0.946,-0.671,0.092,73.333,13570.000,1.000
3.316,3.283,3.785,3.319,3.706,3.234,3.052,3.357,-0.063,0.877,-0.535,-0.885,-0.824,0.031,73.333,13571.000,1.000
3.029,3.056,3.447,3.129,3.400,3.008,2.877,3.092,-0.061,0.875,-0.536,-0.885,-0.854,-0.031,73.333,13572.000,1.000
2.817,2.841,3.097,2.978,3.060,2.799,2.725,2.849,-0.059,0.873,-0.537,-0.946,-0.885,0.061,73.333,13573.000,1.000
2.714,2.664,2.810,2.854,2.774,2.630,2.626,2.661,-0.059,0.874,-0.538,-0.946,-0.854,0.092,73.333,13574.000,1.000
2.661,2.484,2.572,2.698,2.547,2.474,2.531,2.487,-0.058,0.874,-0.539,-0.916,-0.854,0.061,73.333,13575.000,1.000
2.598,2.286,2.365,2.499,2.355,2.328,2.398,2.295,-0.058,0.872,-0.536,-0.885,-0.854,0.153,73.333,13576.000,1.000
2.489,2.072,2.192,2.288,2.171,2.199,2.209,2.096,-0.058,0.873,-0.536,-0.885,-0.916,0.183,73.333,13577.000,1.000
2.264,1.802,2.013,2.046,1.930,2.024,1.920,1.868,-0.056,0.872,-0.533,-0.824,-0.793,0.305,73.333,13578.000,1.000
1.827,1.383,1.716,1.670,1.543,1.681,1.455,1.513,-0.057,0.873,-0.534,-0.763,-0.885,0.336,73.333,13579.000,1.000
1.103,0.703,1.135,1.018,0.908,1.052,0.733,0.894,-0.056,0.873,-0.535,-0.854,-0.885,0.397,73.333,13580.000,1.000
0.111,-0.266,0.187,0.039,-0.003,0.123,-0.253,-0.045,-0.055,0.874,-0.532,-0.824,-0.854,0.549,73.333,13581.000,1.000
-1.042,-1.428,-1.061,-1.179,-1.123,-1.011,-1.412,-1.221,-0.056,0.872,-0.531,-0.854,-0.702,0.610,73.333,13582.000,1.000
-2.193,-2.579,-2.398,-2.437,-2.295,-2.179,-2.566,-2.442,-0.055,0.872,-0.535,-0.824,-0.702,0.671,73.333,13583.000,1.000
-3.176,-3.497,-3.556,-3.509,-3.327,-3.188,-3.515,-3.471,-0.055,0.875,-0.535,-0.793,-0.610,0.641,73.333,13584.000,1.000
-3.917,-4.095,-4.354,-4.267,-4.102,-3.931,-4.151,-4.164,-0.057,0.875,-0.535,-0.793,-0.549,0.793,73.333,13585.000,1.000
-4.390,-4.381,-4.704,-4.660,-4.558,-4.353,-4.440,-4.469,-0.053,0.875,-0.533,-0.793,-0.366,0.824,73.333,13586.000,1.000
-4.549,-4.361,-4.586,-4.653,-4.636,-4.403,-4.363,-4.392,-0.053,0.874,-0.536,-0.824,-0.427,0.793,73.333,13587.000,1.000
-4.346,-4.035,-4.062,-4.255,-4.313,-4.064,-3.939,-3.984,-0.056,0.876,-0.537,-0.854,-0.397,0.763,73.333,13588.000,1.000
-3.800,-3.449,-3.279,-3.555,-3.653,-3.401,-3.262,-3.334,-0.053,0.876,-0.534,-0.916,-0.336,0.854,73.333,13589.000,1.000
-3.038,-2.730,-2.441,-2.733,-2.826,-2.572,-2.503,-2.580,-0.056,0.875,-0.533,-1.038,-0.244,0.793,73.333,13590.000,1.000
-2.218,-2.013,-1.709,-1.952,-1.993,-1.744,-1.803,-1.847,-0.056,0.876,-0.533,-1.068,-0.122,0.824,73.333,13591.000,1.000
-1.513,-1.427,-1.211,-1.344,-1.307,-1.079,-1.270,-1.275,-0.057,0.875,-0.535,-1.099,-0.183,0.824,73.333,13592.000,1.000
-1.103,-1.098,-1.061,-1.030,-0.929,-0.741,-1.019,-1.005,-0.055,0.874,-0.535,-0.977,-0.153,0.885,73.333,13593.000,1.000
-1.072,-1.079,-1.266,-1.050,-0.934,-0.786,-1.081,-1.080,-0.056,0.874,-0.535,-0.946,-0.122,0.793,73.333,13594.000,1.000
-1.351,-1.317,-1.702,-1.329,-1.268,-1.133,-1.375,-1.405,-0.055,0.876,-0.535,-1.068,-0.092,0.824,73.333,13595.000,1.000
-1.738,-1.670,-2.156,-1.695,-1.750,-1.596,-1.731,-1.785,-0.054,0.875,-0.536,-1.129,-0.031,0.763,73.333,13596.000,1.000
-2.024,-1.978,-2.444,-1.978,-2.169,-1.984,-1.989,-2.037,-0.055,0.873,-0.537,-1.099,-0.092,0.702,73.333,13597.000,1.000
-2.123,-2.149,-2.508,-2.103,-2.401,-2.199,-2.085,-2.098,-0.057,0.873,-0.533,-1.099,0.031,0.671,73.333,13598.000,1.000
-2.089,-2.173,-2.409,-2.094,-2.437,-2.248,-2.053,-2.030,-0.056,0.875,-0.535,-1.129,0.000,0.610,73.333,13599.000,1.000
-2.046,-2.104,-2.261,-2.036,-2.350,-2.202,-1.992,-1.950,-0.056,0.875,-0.534,-1.160,0.092,0.610,73.333,13600.000,1.000
-2.014,-1.947,-2.075,-1.944,-2.158,-2.075,-1.935,-1.878,-0.057,0.875,-0.536,-1.221,0.061,0.580,73.333,13601.000,1.000
-1.873,-1.636,-1.763,-1.738,-1.806,-1.790,-1.791,-1.712,-0.056,0.875,-0.533,-1.160,0.061,0.458,73.333,13602.000,1.000
-1.458,-1.100,-1.228,-1.295,-1.231,-1.253,-1.398,-1.316,-0.056,0.875,-0.534,-1.160,0.153,0.549,73.333,13603.000,1.000
-0.669,-0.320,-0.436,-0.533,-0.418,-0.421,-0.643,-0.611,-0.056,0.875,-0.532,-1.160,0.061,0.671,73.333,13604.000,1.000
