EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-4.529,-4.785,-4.756,-4.818,-4.697,-4.584,-4.883,-4.928,-0.057,0.861,-0.552,-1.495,-1.099,0.732,73.333,38753.000,1.000
-6.628,-6.792,-6.884,-6.866,-6.871,-6.617,-6.908,-6.924,-0.056,0.859,-0.551,-1.404,-1.007,0.732,73.333,38754.000,1.000
-8.537,-8.624,-8.802,-8.746,-8.844,-8.436,-8.741,-8.735,-0.056,0.858,-0.553,-1.221,-0.946,0.824,73.333,38755.000,1.000
-10.062,-10.122,-10.295,-10.267,-10.387,-9.886,-10.223,-10.205,-0.057,0.859,-0.552,-1.038,-0.763,0.793,73.333,38756.000,1.000
-11.066,-11.151,-11.243,-11.290,-11.364,-10.879,-11.234,-11.228,-0.060,0.859,-0.554,-0.946,-0.702,0.671,73.333,38757.000,1.000
-11.454,-11.586,-11.576,-11.689,-11.707,-11.342,-11.650,-11.684,-0.058,0.859,-0.548,-0.793,-0.519,0.763,73.333,38758.000,1.000
-11.152,-11.313,-11.249,-11.359,-11.376,-11.179,-11.358,-11.438,-0.056,0.861,-0.550,-0.854,-0.427,0.763,73.333,38759.000,1.000
-10.126,-10.266,-10.244,-10.259,-10.335,-10.293,-10.297,-10.405,-0.053,0.863,-0.553,-0.824,-0.275,0.732,73.333,38760.000,1.000
-8.514,-8.577,-8.697,-8.553,-8.705,-8.768,-8.609,-8.724,-0.052,0.866,-0.550,-0.946,-0.061,0.702,73.333,38761.000,1.000
-6.654,-6.610,-6.905,-6.612,-6.809,-6.918,-6.659,-6.773,-0.056,0.870,-0.550,-0.977,0.122,0.580,73.333,38762.000,1.000
-4.979,-4.835,-5.250,-4.897,-5.064,-5.188,-4.916,-5.033,-0.060,0.872,-0.549,-1.068,0.122,0.549,73.333,38763.000,1.000
-3.814,-3.602,-4.043,-3.746,-3.784,-3.933,-3.724,-3.862,-0.065,0.875,-0.549,-1.312,0.183,0.519,73.333,38764.000,1.000
-3.227,-2.991,-3.381,-3.215,-3.061,-3.257,-3.153,-3.325,-0.069,0.875,-0.548,-1.373,0.275,0.458,73.333,38765.000,1.000
-3.162,-2.950,-3.234,-3.217,-2.899,-3.142,-3.140,-3.333,-0.074,0.875,-0.551,-1.526,0.183,0.244,73.333,38766.000,1.000
-3.609,-3.464,-3.601,-3.716,-3.342,-3.596,-3.671,-3.836,-0.078,0.873,-0.549,-1.556,-0.183,0.031,73.333,38767.000,1.000
-4.592,-4.525,-4.501,-4.713,-4.416,-4.615,-4.748,-4.820,-0.078,0.870,-0.548,-1.709,-0.366,-0.183,73.333,38768.000,1.000
-5.919,-5.910,-5.745,-6.002,-5.877,-5.955,-6.132,-6.076,-0.079,0.867,-0.546,-1.648,-0.549,-0.427,73.333,38769.000,1.000
-7.083,-7.098,-6.841,-7.090,-7.161,-7.078,-7.282,-7.112,-0.077,0.868,-0.549,-1.556,-0.763,-0.488,73.333,38770.000,1.000
-7.599,-7.614,-7.322,-7.537,-7.759,-7.514,-7.722,-7.491,-0.075,0.866,-0.550,-1.587,-0.885,-0.549,73.333,38771.000,1.000
-7.329,-7.356,-7.077,-7.261,-7.535,-7.170,-7.361,-7.131,-0.072,0.864,-0.551,-1.587,-1.038,-0.610,73.333,38772.000,1.000
-6.571,-6.650,-6.403,-6.560,-6.780,-6.385,-6.543,-6.359,-0.068,0.865,-0.551,-1.648,-1.190,-0.671,73.333,38773.000,1.000
-5.809,-5.968,-5.749,-5.864,-5.958,-5.654,-5.769,-5.644,-0.068,0.866,-0.548,-1.617,-1.282,-0.763,73.333,38774.000,1.000
-5.271,-5.486,-5.298,-5.341,-5.293,-5.184,-5.252,-5.171,-0.067,0.867,-0.551,-1.617,-1.282,-0.854,73.333,38775.000,1.000
-4.811,-5.007,-4.878,-4.815,-4.664,-4.788,-4.805,-4.753,-0.067,0.867,-0.548,-1.587,-1.312,-0.824,73.333,38776.000,1.000
-4.143,-4.250,-4.204,-4.025,-3.848,-4.147,-4.119,-4.088,-0.067,0.867,-0.549,-1.648,-1.312,-0.641,73.333,38777.000,1.000
-3.171,-3.176,-3.204,-2.934,-2.812,-3.164,-3.118,-3.095,-0.067,0.867,-0.547,-1.587,-1.404,-0.488,73.333,38778.000,1.000
-2.048,-1.999,-2.067,-1.758,-1.727,-2.007,-1.998,-1.959,-0.066,0.868,-0.547,-1.495,-1.495,-0.336,73.333,38779.000,1.000
-0.941,-0.899,-0.979,-0.688,-0.731,-0.857,-0.950,-0.883,-0.065,0.869,-0.547,-1.587,-1.373,-0.122,73.333,38780.000,1.000
0.065,0.076,0.000,0.226,0.146,0.189,-0.031,0.055,-0.064,0.869,-0.548,-1.556,-1.404,0.153,73.333,38781.000,1.000
0.875,0.888,0.832,0.970,0.869,1.031,0.735,0.818,-0.066,0.869,-0.545,-1.556,-1.465,0.366,73.333,38782.000,1.000
1.345,1.418,1.394,1.448,1.323,1.516,1.246,1.315,-0.066,0.867,-0.544,-1.648,-1.312,0.610,73.333,38783.000,1.000
1.481,1.649,1.664,1.650,1.507,1.644,1.486,1.553,-0.066,0.864,-0.544,-1.678,-1.404,0.641,73.333,38784.000,1.000
1.592,1.833,1.893,1.818,1.693,1.735,1.700,1.788,-0.065,0.864,-0.546,-1.648,-1.190,0.824,73.333,38785.000,1.000
2.012,2.247,2.361,2.224,2.171,2.116,2.182,2.288,-0.066,0.864,-0.545,-1.648,-1.251,0.885,73.333,38786.000,1.000
2.800,2.930,3.102,2.913,2.962,2.826,2.994,3.073,-0.067,0.864,-0.547,-1.648,-1.190,0.946,73.333,38787.000,1.000
3.734,3.694,3.899,3.699,3.832,3.631,3.935,3.931,-0.064,0.865,-0.545,-1.617,-1.190,1.129,73.333,38788.000,1.000
4.501,4.302,4.491,4.330,4.489,4.249,4.710,4.592,-0.064,0.865,-0.544,-1.709,-1.099,1.129,73.333,38789.000,1.000
4.932,4.641,4.777,4.674,4.799,4.557,5.140,4.920,-0.062,0.866,-0.542,-1.740,-1.007,1.221,73.333,38790.000,1.000
5.032,4.732,4.809,4.746,4.808,4.610,5.207,4.939,-0.060,0.865,-0.545,-1.740,-1.007,1.312,73.333,38791.000,1.000
4.966,4.726,4.744,4.689,4.711,4.585,5.070,4.826,-0.061,0.864,-0.544,-1.770,-0.885,1.373,73.333,38792.000,1.000
4.931,4.802,4.754,4.693,4.717,4.677,4.961,4.801,-0.058,0.862,-0.545,-1.770,-0.732,1.373,73.333,38793.000,1.000
5.049,5.065,4.954,4.896,4.946,4.986,5.061,5.012,-0.059,0.860,-0.547,-1.740,-0.580,1.312,73.333,38794.000,1.000
5.394,5.560,5.412,5.368,5.440,5.529,5.459,5.521,-0.057,0.861,-0.550,-1.617,-0.458,1.343,73.333,38795.000,1.000
5.962,6.241,6.097,6.067,6.140,6.236,6.113,6.264,-0.056,0.863,-0.547,-1.526,-0.275,1.251,73.333,38796.000,1.000
6.655,6.978,6.887,6.857,6.903,6.969,6.884,7.076,-0.056,0.863,-0.547,-1.373,-0.031,1.160,73.333,38797.000,1.000
7.264,7.569,7.573,7.520,7.504,7.533,7.552,7.724,-0.055,0.863,-0.548,-1.282,0.061,1.007,73.333,38798.000,1.000
7.477,7.739,7.849,7.752,7.645,7.672,7.811,7.923,-0.054,0.861,-0.547,-1.282,0.366,0.946,73.333,38799.000,1.000
7.032,7.261,7.455,7.307,7.101,7.186,7.403,7.461,-0.054,0.862,-0.545,-1.282,0.519,0.916,73.333,38800.000,1.000
5.927,6.151,6.377,6.201,5.919,6.107,6.330,6.369,-0.056,0.864,-0.548,-1.129,0.549,0.732,73.333,38801.000,1.000
4.584,4.811,5.007,4.846,4.548,4.834,5.001,5.035,-0.058,0.865,-0.547,-1.007,0.732,0.580,73.333,38802.000,1.000
3.646,3.851,3.973,3.873,3.626,3.961,4.035,4.050,-0.060,0.864,-0.546,-0.885,0.885,0.519,73.333,38803.000,1.000
3.587,3.729,3.772,3.769,3.605,3.929,3.899,3.886,-0.060,0.864,-0.545,-0.916,0.916,0.275,73.333,38804.000,1.000
4.502,4.561,4.557,4.665,4.556,4.839,4.718,4.690,-0.063,0.866,-0.545,-0.824,1.038,0.183,73.333,38805.000,1.000
6.085,6.068,6.061,6.257,6.151,6.403,6.216,6.195,-0.062,0.865,-0.546,-0.763,1.068,0.031,73.333,38806.000,1.000
7.814,7.743,7.768,7.975,7.860,8.101,7.875,7.879,-0.064,0.867,-0.545,-0.702,1.038,-0.061,73.333,38807.000,1.000
9.241,9.150,9.212,9.324,9.250,9.483,9.231,9.272,-0.063,0.869,-0.549,-0.702,1.099,-0.092,73.333,38808.000,1.000
