EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.817,0.618,1.026,0.898,0.637,0.977,0.661,0.893,-0.134,0.845,-0.563,-0.916,-0.458,0.763,73.333,36145.000,1.000
0.896,0.747,1.069,0.998,0.860,1.092,0.734,0.951,-0.137,0.845,-0.563,-0.854,-0.671,0.763,73.333,36146.000,1.000
1.102,0.973,1.215,1.179,1.142,1.261,0.940,1.079,-0.139,0.846,-0.565,-0.763,-0.763,0.671,73.333,36147.000,1.000
1.273,1.105,1.338,1.289,1.326,1.379,1.146,1.187,-0.141,0.844,-0.565,-0.671,-0.977,0.519,73.333,36148.000,1.000
1.257,1.020,1.306,1.217,1.296,1.346,1.218,1.181,-0.138,0.845,-0.565,-0.671,-1.099,0.275,73.333,36149.000,1.000
0.956,0.681,0.994,0.909,0.988,1.076,1.039,0.962,-0.135,0.846,-0.566,-0.580,-1.190,0.305,73.333,36150.000,1.000
0.336,0.087,0.340,0.355,0.374,0.505,0.518,0.441,-0.133,0.845,-0.563,-0.549,-1.251,0.214,73.333,36151.000,1.000
-0.525,-0.682,-0.573,-0.387,-0.468,-0.319,-0.320,-0.366,-0.130,0.843,-0.564,-0.641,-1.282,0.244,73.333,36152.000,1.000
-1.304,-1.331,-1.383,-1.050,-1.219,-1.090,-1.151,-1.162,-0.131,0.844,-0.566,-0.488,-1.343,0.214,73.333,36153.000,1.000
-1.440,-1.344,-1.508,-1.134,-1.337,-1.266,-1.363,-1.367,-0.131,0.843,-0.567,-0.488,-1.495,0.275,73.333,36154.000,1.000
-0.396,-0.227,-0.427,-0.107,-0.307,-0.309,-0.381,-0.412,-0.132,0.845,-0.567,-0.366,-1.526,0.153,73.333,36155.000,1.000
1.837,2.032,1.844,2.085,1.893,1.837,1.814,1.735,-0.132,0.844,-0.563,-0.336,-1.434,0.122,73.333,36156.000,1.000
4.517,4.726,4.535,4.738,4.556,4.480,4.474,4.344,-0.132,0.847,-0.565,-0.336,-1.495,0.153,73.333,36157.000,1.000
6.456,6.689,6.442,6.658,6.509,6.425,6.394,6.228,-0.131,0.848,-0.565,-0.275,-1.556,0.153,73.333,36158.000,1.000
6.599,6.853,6.518,6.762,6.667,6.562,6.505,6.326,-0.131,0.849,-0.570,-0.305,-1.434,0.183,73.333,36159.000,1.000
4.674,4.921,4.527,4.775,4.732,4.580,4.539,4.368,-0.131,0.850,-0.567,-0.336,-1.343,0.336,73.333,36160.000,1.000
1.351,1.548,1.188,1.393,1.380,1.165,1.188,1.048,-0.129,0.848,-0.566,-0.366,-1.282,0.336,73.333,36161.000,1.000
-2.229,-2.113,-2.333,-2.212,-2.211,-2.491,-2.381,-2.473,-0.131,0.850,-0.566,-0.305,-1.282,0.458,73.333,36162.000,1.000
-5.099,-5.064,-5.100,-5.069,-5.044,-5.368,-5.189,-5.223,-0.132,0.849,-0.567,-0.244,-1.129,0.488,73.333,36163.000,1.000
-6.882,-6.897,-6.791,-6.799,-6.741,-7.059,-6.869,-6.844,-0.132,0.848,-0.564,-0.214,-1.068,0.610,73.333,36164.000,1.000
-7.678,-7.697,-7.537,-7.509,-7.432,-7.670,-7.541,-7.468,-0.131,0.846,-0.565,-0.305,-1.068,0.641,73.333,36165.000,1.000
-7.784,-7.774,-7.642,-7.535,-7.461,-7.558,-7.533,-7.451,-0.130,0.847,-0.567,-0.244,-0.946,0.702,73.333,36166.000,1.000
-7.522,-7.489,-7.430,-7.261,-7.191,-7.144,-7.200,-7.177,-0.129,0.847,-0.564,-0.214,-1.038,0.732,73.333,36167.000,1.000
-7.168,-7.138,-7.172,-6.988,-6.901,-6.773,-6.829,-6.940,-0.130,0.848,-0.571,-0.153,-0.977,0.702,73.333,36168.000,1.000
-6.948,-6.936,-7.073,-6.913,-6.781,-6.668,-6.644,-6.918,-0.127,0.847,-0.569,-0.244,-0.824,0.885,73.333,36169.000,1.000
-6.933,-6.938,-7.168,-7.060,-6.866,-6.832,-6.709,-7.094,-0.127,0.849,-0.569,-0.244,-0.702,0.946,73.333,36170.000,1.000
-7.063,-7.085,-7.344,-7.334,-7.076,-7.121,-6.954,-7.328,-0.127,0.849,-0.566,-0.305,-0.610,0.977,73.333,36171.000,1.000
