EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-5.472,-5.585,-5.497,-5.489,-5.717,-5.863,-5.699,-5.383,-0.094,0.856,-0.556,-0.427,-0.092,0.824,73.333,24265.000,1.000
-4.616,-4.650,-4.571,-4.523,-4.720,-4.875,-4.768,-4.463,-0.093,0.859,-0.555,-0.488,0.061,0.793,73.333,24266.000,1.000
-3.334,-3.279,-3.255,-3.189,-3.309,-3.417,-3.453,-3.159,-0.093,0.860,-0.552,-0.519,0.092,0.916,73.333,24267.000,1.000
-1.952,-1.824,-1.901,-1.805,-1.850,-1.860,-2.088,-1.796,-0.097,0.861,-0.552,-0.580,0.153,0.854,73.333,24268.000,1.000
-0.648,-0.509,-0.683,-0.542,-0.547,-0.442,-0.829,-0.540,-0.101,0.861,-0.552,-0.488,0.122,0.793,73.333,24269.000,1.000
0.643,0.707,0.488,0.660,0.660,0.843,0.418,0.683,-0.105,0.860,-0.555,-0.763,0.092,0.763,73.333,24270.000,1.000
2.028,1.958,1.753,1.909,1.914,2.101,1.775,1.995,-0.109,0.859,-0.557,-0.702,-0.153,0.610,73.333,24271.000,1.000
3.459,3.265,3.089,3.193,3.225,3.356,3.195,3.361,-0.113,0.859,-0.555,-0.671,-0.275,0.488,73.333,24272.000,1.000
4.720,4.464,4.289,4.351,4.418,4.493,4.465,4.571,-0.115,0.861,-0.558,-0.763,-0.549,0.336,73.333,24273.000,1.000
5.340,5.092,4.890,4.945,5.030,5.100,5.123,5.160,-0.114,0.860,-0.556,-0.702,-0.946,0.153,73.333,24274.000,1.000
4.786,4.592,4.373,4.445,4.514,4.639,4.641,4.607,-0.115,0.859,-0.556,-0.702,-1.221,0.061,73.333,24275.000,1.000
