EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
5.196,5.374,5.385,5.475,5.218,5.361,5.188,5.179,-0.120,0.856,-0.557,-0.519,-0.580,0.488,73.333,51017.000,1.000
4.743,4.812,4.908,4.973,4.782,4.788,4.719,4.720,-0.121,0.855,-0.555,-0.610,-0.610,0.549,73.333,51018.000,1.000
4.223,4.175,4.315,4.353,4.272,4.138,4.208,4.199,-0.122,0.855,-0.556,-0.610,-0.427,0.549,73.333,51019.000,1.000
3.733,3.628,3.719,3.739,3.773,3.548,3.727,3.703,-0.121,0.855,-0.557,-0.641,-0.427,0.580,73.333,51020.000,1.000
3.324,3.249,3.198,3.199,3.337,3.087,3.304,3.287,-0.123,0.856,-0.556,-0.549,-0.580,0.519,73.333,51021.000,1.000
2.945,2.956,2.740,2.707,2.927,2.702,2.891,2.923,-0.123,0.858,-0.555,-0.610,-0.610,0.519,73.333,51022.000,1.000
2.429,2.530,2.217,2.136,2.392,2.213,2.349,2.464,-0.122,0.857,-0.556,-0.641,-0.671,0.610,73.333,51023.000,1.000
1.596,1.747,1.446,1.329,1.556,1.411,1.507,1.699,-0.122,0.856,-0.556,-0.671,-0.641,0.580,73.333,51024.000,1.000
0.482,0.623,0.425,0.299,0.451,0.306,0.385,0.597,-0.122,0.856,-0.559,-0.671,-0.763,0.671,73.333,51025.000,1.000
-0.680,-0.615,-0.662,-0.773,-0.712,-0.891,-0.811,-0.656,-0.121,0.855,-0.557,-0.702,-0.763,0.549,73.333,51026.000,1.000
-1.623,-1.682,-1.584,-1.669,-1.672,-1.904,-1.830,-1.772,-0.123,0.856,-0.557,-0.671,-0.854,0.610,73.333,51027.000,1.000
-2.218,-2.382,-2.194,-2.259,-2.265,-2.554,-2.503,-2.516,-0.122,0.855,-0.556,-0.732,-0.793,0.458,73.333,51028.000,1.000
-2.559,-2.744,-2.515,-2.581,-2.550,-2.873,-2.857,-2.859,-0.121,0.856,-0.557,-0.793,-0.732,0.519,73.333,51029.000,1.000
-2.794,-2.914,-2.647,-2.726,-2.689,-2.983,-3.002,-2.905,-0.122,0.855,-0.555,-0.763,-0.793,0.549,73.333,51030.000,1.000
-2.991,-3.029,-2.714,-2.787,-2.815,-2.996,-3.045,-2.807,-0.121,0.854,-0.554,-0.763,-0.702,0.488,73.333,51031.000,1.000
-3.172,-3.172,-2.833,-2.868,-2.992,-3.009,-3.079,-2.734,-0.121,0.854,-0.558,-0.793,-0.610,0.427,73.333,51032.000,1.000
-3.430,-3.441,-3.141,-3.123,-3.302,-3.176,-3.252,-2.888,-0.123,0.854,-0.557,-0.732,-0.732,0.519,73.333,51033.000,1.000
-3.926,-3.965,-3.779,-3.708,-3.873,-3.678,-3.747,-3.455,-0.121,0.856,-0.557,-0.732,-0.702,0.458,73.333,51034.000,1.000
-4.666,-4.731,-4.700,-4.576,-4.701,-4.514,-4.564,-4.389,-0.121,0.857,-0.556,-0.702,-0.702,0.427,73.333,51035.000,1.000
-5.500,-5.576,-5.682,-5.507,-5.619,-5.493,-5.516,-5.434,-0.119,0.857,-0.557,-0.763,-0.702,0.366,73.333,51036.000,1.000
-6.267,-6.314,-6.495,-6.280,-6.422,-6.377,-6.380,-6.321,-0.119,0.854,-0.561,-0.732,-0.641,0.397,73.333,51037.000,1.000
-6.883,-6.852,-7.035,-6.791,-6.978,-7.013,-7.030,-6.915,-0.118,0.855,-0.555,-0.702,-0.580,0.366,73.333,51038.000,1.000
-7.331,-7.191,-7.334,-7.056,-7.270,-7.366,-7.445,-7.235,-0.117,0.857,-0.557,-0.702,-0.488,0.397,73.333,51039.000,1.000
-7.543,-7.310,-7.415,-7.090,-7.292,-7.422,-7.595,-7.310,-0.116,0.857,-0.558,-0.641,-0.549,0.336,73.333,51040.000,1.000
-7.481,-7.211,-7.312,-6.948,-7.102,-7.234,-7.499,-7.202,-0.117,0.856,-0.557,-0.702,-0.549,0.397,73.333,51041.000,1.000
-7.200,-6.961,-7.099,-6.735,-6.818,-6.933,-7.257,-7.011,-0.117,0.855,-0.556,-0.671,-0.366,0.427,73.333,51042.000,1.000
-6.830,-6.670,-6.874,-6.561,-6.559,-6.658,-6.995,-6.826,-0.120,0.853,-0.557,-0.610,-0.580,0.397,73.333,51043.000,1.000
-6.547,-6.485,-6.737,-6.509,-6.413,-6.523,-6.824,-6.715,-0.118,0.852,-0.555,-0.549,-0.458,0.366,73.333,51044.000,1.000
-6.425,-6.457,-6.678,-6.540,-6.364,-6.526,-6.733,-6.656,-0.118,0.851,-0.555,-0.488,-0.488,0.397,73.333,51045.000,1.000
-6.397,-6.505,-6.594,-6.535,-6.314,-6.565,-6.610,-6.571,-0.117,0.849,-0.556,-0.458,-0.580,0.427,73.333,51046.000,1.000
-6.271,-6.423,-6.324,-6.329,-6.101,-6.453,-6.282,-6.331,-0.118,0.849,-0.554,-0.488,-0.488,0.549,73.333,51047.000,1.000
-5.814,-5.969,-5.709,-5.761,-5.558,-5.991,-5.593,-5.789,-0.119,0.850,-0.557,-0.366,-0.427,0.488,73.333,51048.000,1.000
-4.926,-5.040,-4.714,-4.786,-4.641,-5.108,-4.525,-4.878,-0.121,0.853,-0.558,-0.214,-0.427,0.488,73.333,51049.000,1.000
-3.678,-3.712,-3.432,-3.498,-3.436,-3.883,-3.195,-3.645,-0.117,0.850,-0.559,-0.244,-0.397,0.549,73.333,51050.000,1.000
-2.347,-2.283,-2.133,-2.172,-2.195,-2.577,-1.873,-2.318,-0.117,0.851,-0.558,-0.275,-0.336,0.488,73.333,51051.000,1.000
-1.298,-1.146,-1.151,-1.163,-1.236,-1.534,-0.882,-1.236,-0.118,0.853,-0.561,-0.336,-0.183,0.549,73.333,51052.000,1.000
-0.805,-0.591,-0.725,-0.723,-0.793,-1.024,-0.450,-0.687,-0.118,0.856,-0.557,-0.305,-0.214,0.580,73.333,51053.000,1.000
-0.958,-0.713,-0.926,-0.934,-0.945,-1.141,-0.653,-0.801,-0.118,0.856,-0.556,-0.275,-0.275,0.671,73.333,51054.000,1.000
-1.589,-1.348,-1.581,-1.633,-1.553,-1.715,-1.333,-1.438,-0.120,0.855,-0.557,-0.305,-0.427,0.671,73.333,51055.000,1.000
-2.397,-2.201,-2.393,-2.518,-2.352,-2.447,-2.187,-2.295,-0.121,0.854,-0.556,-0.397,-0.427,0.641,73.333,51056.000,1.000
-3.080,-2.975,-3.075,-3.281,-3.061,-3.060,-2.903,-3.062,-0.122,0.859,-0.556,-0.488,-0.336,0.519,73.333,51057.000,1.000
-3.398,-3.427,-3.411,-3.679,-3.434,-3.349,-3.248,-3.492,-0.122,0.858,-0.556,-0.580,-0.488,0.427,73.333,51058.000,1.000
-3.253,-3.446,-3.323,-3.613,-3.351,-3.232,-3.142,-3.466,-0.121,0.859,-0.556,-0.671,-0.427,0.427,73.333,51059.000,1.000
-2.690,-3.037,-2.847,-3.105,-2.834,-2.738,-2.642,-2.983,-0.120,0.858,-0.560,-0.763,-0.549,0.397,73.333,51060.000,1.000
-1.933,-2.371,-2.170,-2.351,-2.099,-2.061,-1.969,-2.237,-0.121,0.857,-0.560,-0.763,-0.458,0.366,73.333,51061.000,1.000
-1.274,-1.719,-1.543,-1.635,-1.444,-1.474,-1.403,-1.532,-0.121,0.857,-0.561,-0.763,-0.519,0.366,73.333,51062.000,1.000
-0.897,-1.290,-1.141,-1.164,-1.063,-1.145,-1.102,-1.073,-0.121,0.857,-0.561,-0.763,-0.549,0.214,73.333,51063.000,1.000
-0.838,-1.170,-1.022,-1.017,-0.991,-1.093,-1.078,-0.918,-0.120,0.855,-0.559,-0.854,-0.549,0.153,73.333,51064.000,1.000
-0.986,-1.276,-1.094,-1.108,-1.109,-1.200,-1.206,-0.976,-0.122,0.854,-0.555,-0.885,-0.549,0.153,73.333,51065.000,1.000
-1.182,-1.439,-1.211,-1.273,-1.255,-1.318,-1.347,-1.114,-0.120,0.856,-0.556,-0.916,-0.519,0.092,73.333,51066.000,1.000
-1.260,-1.472,-1.233,-1.333,-1.280,-1.314,-1.381,-1.181,-0.118,0.855,-0.558,-0.946,-0.519,0.092,73.333,51067.000,1.000
-1.075,-1.211,-1.039,-1.132,-1.056,-1.079,-1.194,-1.024,-0.115,0.853,-0.555,-0.854,-0.397,0.061,73.333,51068.000,1.000
-0.584,-0.611,-0.590,-0.620,-0.544,-0.588,-0.734,-0.580,-0.115,0.852,-0.560,-0.885,-0.305,0.031,73.333,51069.000,1.000
0.172,0.281,0.098,0.177,0.230,0.137,-0.008,0.122,-0.115,0.851,-0.558,-0.854,-0.305,0.000,73.333,51070.000,1.000
1.044,1.276,0.908,1.115,1.117,0.979,0.867,0.942,-0.116,0.851,-0.557,-0.916,-0.214,0.031,73.333,51071.000,1.000
1.807,2.102,1.645,1.959,1.878,1.736,1.690,1.677,-0.117,0.848,-0.555,-0.702,-0.244,0.153,73.333,51072.000,1.000
2.266,2.531,2.121,2.487,2.295,2.209,2.250,2.145,-0.117,0.850,-0.555,-0.671,-0.122,0.153,73.333,51073.000,1.000
2.319,2.483,2.209,2.571,2.260,2.289,2.393,2.237,-0.118,0.849,-0.557,-0.519,-0.183,0.244,73.333,51074.000,1.000
2.095,2.151,2.011,2.333,1.925,2.107,2.198,2.070,-0.119,0.849,-0.562,-0.427,-0.092,0.305,73.333,51075.000,1.000
1.876,1.882,1.808,2.076,1.631,1.962,1.950,1.925,-0.122,0.847,-0.559,-0.366,-0.092,0.427,73.333,51076.000,1.000
1.903,1.936,1.843,2.064,1.660,2.095,1.918,2.030,-0.122,0.844,-0.560,-0.366,-0.061,0.488,73.333,51077.000,1.000
2.242,2.346,2.159,2.361,2.063,2.540,2.192,2.408,-0.122,0.842,-0.560,-0.153,-0.244,0.641,73.333,51078.000,1.000
2.793,2.950,2.621,2.847,2.674,3.139,2.674,2.911,-0.125,0.842,-0.558,-0.153,-0.305,0.641,73.333,51079.000,1.000
3.453,3.604,3.123,3.402,3.350,3.748,3.268,3.434,-0.128,0.843,-0.561,-0.092,-0.366,0.671,73.333,51080.000,1.000
4.114,4.198,3.594,3.930,3.996,4.278,3.884,3.929,-0.129,0.845,-0.564,0.092,-0.458,0.549,73.333,51081.000,1.000
4.641,4.639,3.977,4.354,4.515,4.666,4.413,4.353,-0.127,0.847,-0.559,0.214,-0.580,0.549,73.333,51082.000,1.000
4.938,4.877,4.244,4.645,4.817,4.891,4.759,4.664,-0.124,0.847,-0.562,0.305,-0.702,0.549,73.333,51083.000,1.000
4.972,4.909,4.373,4.797,4.848,4.949,4.867,4.802,-0.122,0.849,-0.562,0.336,-0.732,0.671,73.333,51084.000,1.000
4.832,4.816,4.397,4.834,4.671,4.894,4.786,4.777,-0.122,0.850,-0.559,0.336,-0.916,0.641,73.333,51085.000,1.000
4.575,4.635,4.300,4.699,4.350,4.723,4.555,4.593,-0.119,0.848,-0.562,0.305,-0.885,0.671,73.333,51086.000,1.000
4.122,4.249,3.960,4.251,3.830,4.313,4.096,4.159,-0.120,0.848,-0.563,0.336,-0.885,0.793,73.333,51087.000,1.000
3.351,3.502,3.260,3.389,3.011,3.528,3.309,3.363,-0.116,0.849,-0.560,0.275,-0.824,0.732,73.333,51088.000,1.000
2.240,2.349,2.212,2.165,1.888,2.357,2.208,2.200,-0.114,0.850,-0.564,0.183,-0.824,0.702,73.333,51089.000,1.000
1.002,1.007,1.047,0.859,0.682,1.034,1.020,0.912,-0.114,0.854,-0.561,0.214,-0.732,0.671,73.333,51090.000,1.000
-0.039,-0.151,0.080,-0.167,-0.284,-0.092,0.053,-0.144,-0.115,0.857,-0.562,0.153,-0.732,0.732,73.333,51091.000,1.000
-0.672,-0.831,-0.496,-0.699,-0.805,-0.777,-0.517,-0.740,-0.115,0.859,-0.564,0.122,-0.702,0.763,73.333,51092.000,1.000
-0.905,-1.003,-0.702,-0.803,-0.924,-1.016,-0.737,-0.903,-0.122,0.859,-0.564,-0.031,-0.549,0.610,73.333,51093.000,1.000
-0.947,-0.914,-0.753,-0.776,-0.896,-1.031,-0.837,-0.884,-0.128,0.861,-0.563,-0.153,-0.610,0.458,73.333,51094.000,1.000
-1.051,-0.898,-0.899,-0.911,-0.998,-1.098,-1.046,-0.970,-0.129,0.862,-0.561,-0.244,-0.702,0.397,73.333,51095.000,1.000
-1.532,-1.332,-1.433,-1.476,-1.522,-1.539,-1.618,-1.478,-0.131,0.862,-0.559,-0.336,-0.763,0.183,73.333,51096.000,1.000
-2.732,-2.569,-2.662,-2.729,-2.760,-2.689,-2.824,-2.721,-0.131,0.864,-0.561,-0.458,-0.946,0.000,73.333,51097.000,1.000
