EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
7.580,7.522,7.466,7.669,7.525,7.263,7.351,7.473,-0.040,0.870,-0.541,-1.984,-1.190,0.336,73.333,58121.000,1.000
7.947,7.845,7.881,8.122,7.867,7.636,7.728,7.860,-0.042,0.870,-0.541,-2.075,-1.282,0.397,73.333,58122.000,1.000
9.043,8.936,9.008,9.252,8.931,8.779,8.846,8.981,-0.042,0.868,-0.541,-2.075,-1.343,0.397,73.333,58123.000,1.000
10.186,10.101,10.198,10.362,10.030,9.990,10.013,10.145,-0.043,0.869,-0.538,-2.106,-1.312,0.427,73.333,58124.000,1.000
10.715,10.676,10.833,10.841,10.535,10.607,10.579,10.708,-0.042,0.869,-0.537,-2.106,-1.373,0.488,73.333,58125.000,1.000
10.368,10.408,10.653,10.503,10.235,10.384,10.315,10.435,-0.042,0.871,-0.539,-2.075,-1.404,0.488,73.333,58126.000,1.000
9.293,9.438,9.739,9.525,9.282,9.452,9.368,9.466,-0.042,0.871,-0.538,-2.075,-1.465,0.641,73.333,58127.000,1.000
7.867,8.097,8.361,8.212,7.978,8.127,8.050,8.121,-0.042,0.871,-0.538,-2.075,-1.526,0.580,73.333,58128.000,1.000
6.436,6.659,6.792,6.784,6.570,6.676,6.612,6.669,-0.037,0.870,-0.542,-2.167,-1.556,0.580,73.333,58129.000,1.000
5.233,5.328,5.288,5.401,5.261,5.303,5.245,5.327,-0.037,0.869,-0.540,-2.075,-1.556,0.641,73.333,58130.000,1.000
4.342,4.237,4.051,4.209,4.193,4.147,4.093,4.248,-0.035,0.870,-0.542,-1.984,-1.617,0.610,73.333,58131.000,1.000
3.695,3.429,3.170,3.294,3.407,3.250,3.217,3.480,-0.033,0.871,-0.540,-1.923,-1.526,0.610,73.333,58132.000,1.000
3.175,2.893,2.645,2.692,2.873,2.600,2.633,2.982,-0.033,0.870,-0.546,-1.923,-1.404,0.732,73.333,58133.000,1.000
2.658,2.538,2.355,2.324,2.475,2.113,2.265,2.626,-0.033,0.870,-0.543,-1.984,-1.312,0.641,73.333,58134.000,1.000
2.098,2.241,2.127,2.047,2.094,1.685,1.985,2.273,-0.035,0.872,-0.543,-1.953,-1.251,0.671,73.333,58135.000,1.000
1.483,1.838,1.759,1.676,1.608,1.194,1.602,1.775,-0.035,0.868,-0.541,-2.014,-1.221,0.671,73.333,58136.000,1.000
0.725,1.133,1.040,1.008,0.857,0.473,0.892,0.961,-0.035,0.867,-0.540,-1.953,-1.160,0.610,73.333,58137.000,1.000
-0.294,0.012,-0.123,-0.075,-0.271,-0.583,-0.259,-0.247,-0.034,0.869,-0.543,-1.862,-1.068,0.610,73.333,58138.000,1.000
-1.647,-1.499,-1.674,-1.563,-1.784,-1.982,-1.809,-1.782,-0.034,0.872,-0.547,-1.709,-1.007,0.519,73.333,58139.000,1.000
-3.215,-3.184,-3.352,-3.233,-3.490,-3.549,-3.503,-3.391,-0.035,0.870,-0.547,-1.770,-0.946,0.366,73.333,58140.000,1.000
