EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1.372,-1.535,-1.318,-1.351,-1.310,-1.442,-1.459,-1.384,-0.113,0.873,-0.522,-0.732,-0.336,0.702,73.333,13033.000,1.000
-1.359,-1.535,-1.324,-1.494,-1.390,-1.410,-1.476,-1.332,-0.114,0.873,-0.523,-0.641,-0.244,0.824,73.333,13034.000,1.000
-1.086,-1.229,-1.085,-1.306,-1.220,-1.118,-1.243,-1.030,-0.117,0.871,-0.519,-0.671,-0.183,0.793,73.333,13035.000,1.000
-0.439,-0.507,-0.451,-0.625,-0.626,-0.433,-0.600,-0.363,-0.120,0.872,-0.518,-0.610,-0.275,0.732,73.333,13036.000,1.000
0.383,0.410,0.392,0.310,0.220,0.446,0.266,0.464,-0.123,0.873,-0.518,-0.580,-0.427,0.702,73.333,13037.000,1.000
0.864,0.967,0.916,0.895,0.788,0.976,0.816,0.931,-0.122,0.873,-0.522,-0.610,-0.641,0.488,73.333,13038.000,1.000
0.418,0.541,0.510,0.485,0.454,0.546,0.431,0.452,-0.120,0.872,-0.521,-0.610,-0.824,0.427,73.333,13039.000,1.000
-1.146,-1.067,-1.039,-1.105,-1.017,-1.050,-1.105,-1.166,-0.118,0.873,-0.522,-0.549,-0.854,0.336,73.333,13040.000,1.000
-3.472,-3.467,-3.380,-3.471,-3.302,-3.437,-3.438,-3.556,-0.119,0.873,-0.522,-0.610,-0.916,0.336,73.333,13041.000,1.000
-5.945,-6.007,-5.889,-5.958,-5.798,-5.973,-5.944,-6.086,-0.115,0.872,-0.523,-0.549,-0.885,0.183,73.333,13042.000,1.000
-8.044,-8.141,-8.021,-8.044,-7.961,-8.109,-8.083,-8.222,-0.115,0.872,-0.524,-0.397,-0.793,0.092,73.333,13043.000,1.000
-9.448,-9.542,-9.425,-9.436,-9.435,-9.518,-9.516,-9.635,-0.113,0.876,-0.521,-0.427,-0.793,0.153,73.333,13044.000,1.000
-9.877,-9.946,-9.821,-9.891,-9.932,-9.934,-9.963,-10.053,-0.111,0.874,-0.521,-0.458,-0.671,0.031,73.333,13045.000,1.000
-9.158,-9.203,-9.065,-9.247,-9.292,-9.198,-9.265,-9.321,-0.113,0.875,-0.523,-0.397,-0.732,-0.031,73.333,13046.000,1.000
-7.443,-7.479,-7.358,-7.626,-7.669,-7.478,-7.592,-7.615,-0.115,0.872,-0.524,-0.488,-0.549,-0.061,73.333,13047.000,1.000
-5.215,-5.260,-5.207,-5.460,-5.537,-5.268,-5.425,-5.430,-0.115,0.871,-0.527,-0.519,-0.610,-0.031,73.333,13048.000,1.000
-3.125,-3.186,-3.244,-3.362,-3.537,-3.220,-3.388,-3.391,-0.117,0.870,-0.525,-0.458,-0.580,-0.031,73.333,13049.000,1.000
-1.721,-1.780,-1.959,-1.875,-2.202,-1.865,-1.993,-1.999,-0.118,0.871,-0.521,-0.366,-0.488,0.000,73.333,13050.000,1.000
-1.262,-1.288,-1.553,-1.283,-1.782,-1.438,-1.477,-1.475,-0.118,0.871,-0.520,-0.336,-0.488,0.031,73.333,13051.000,1.000
-1.619,-1.598,-1.859,-1.500,-2.137,-1.800,-1.731,-1.698,-0.115,0.874,-0.521,-0.366,-0.519,0.122,73.333,13052.000,1.000
-2.328,-2.268,-2.419,-2.104,-2.789,-2.485,-2.334,-2.253,-0.116,0.874,-0.523,-0.305,-0.458,0.092,73.333,13053.000,1.000
-2.893,-2.820,-2.800,-2.631,-3.243,-3.002,-2.828,-2.710,-0.116,0.875,-0.523,-0.366,-0.488,0.214,73.333,13054.000,1.000
-3.062,-2.998,-2.833,-2.836,-3.275,-3.101,-2.976,-2.861,-0.116,0.875,-0.525,-0.458,-0.427,0.214,73.333,13055.000,1.000
-2.962,-2.935,-2.697,-2.836,-3.081,-2.937,-2.897,-2.831,-0.115,0.876,-0.519,-0.488,-0.427,0.214,73.333,13056.000,1.000
-2.972,-3.004,-2.758,-2.975,-3.084,-2.919,-2.932,-2.954,-0.118,0.875,-0.519,-0.488,-0.488,0.153,73.333,13057.000,1.000
-3.350,-3.433,-3.217,-3.456,-3.524,-3.314,-3.307,-3.434,-0.115,0.874,-0.523,-0.427,-0.458,0.275,73.333,13058.000,1.000
-4.023,-4.121,-3.945,-4.161,-4.266,-4.023,-3.947,-4.163,-0.117,0.873,-0.521,-0.397,-0.458,0.397,73.333,13059.000,1.000
-4.593,-4.680,-4.519,-4.681,-4.845,-4.609,-4.470,-4.728,-0.115,0.875,-0.522,-0.336,-0.397,0.458,73.333,13060.000,1.000
-4.623,-4.700,-4.505,-4.597,-4.801,-4.607,-4.451,-4.698,-0.115,0.876,-0.521,-0.427,-0.336,0.427,73.333,13061.000,1.000
-3.944,-4.021,-3.758,-3.768,-3.991,-3.846,-3.731,-3.924,-0.115,0.877,-0.525,-0.488,-0.305,0.397,73.333,13062.000,1.000
-2.691,-2.773,-2.462,-2.368,-2.623,-2.500,-2.468,-2.573,-0.114,0.876,-0.524,-0.488,-0.183,0.519,73.333,13063.000,1.000
-1.176,-1.266,-0.982,-0.763,-1.078,-0.941,-0.999,-0.991,-0.115,0.878,-0.522,-0.610,-0.153,0.488,73.333,13064.000,1.000
0.356,0.250,0.413,0.756,0.383,0.543,0.416,0.552,-0.117,0.878,-0.523,-0.702,-0.153,0.580,73.333,13065.000,1.000
1.778,1.645,1.623,2.051,1.679,1.838,1.667,1.929,-0.115,0.877,-0.522,-0.732,-0.122,0.519,73.333,13066.000,1.000
2.982,2.820,2.625,3.057,2.780,2.894,2.707,3.062,-0.116,0.875,-0.524,-0.793,-0.214,0.610,73.333,13067.000,1.000
3.838,3.654,3.371,3.712,3.603,3.638,3.475,3.848,-0.116,0.874,-0.524,-0.824,-0.153,0.519,73.333,13068.000,1.000
4.172,3.968,3.719,3.907,3.980,3.920,3.827,4.122,-0.115,0.875,-0.523,-0.671,-0.153,0.580,73.333,13069.000,1.000
3.913,3.678,3.568,3.608,3.810,3.667,3.666,3.819,-0.115,0.873,-0.522,-0.702,-0.183,0.488,73.333,13070.000,1.000
3.178,2.899,2.981,2.920,3.175,2.986,3.054,3.076,-0.113,0.872,-0.524,-0.641,-0.153,0.519,73.333,13071.000,1.000
2.241,1.921,2.183,2.061,2.313,2.127,2.221,2.181,-0.113,0.874,-0.524,-0.793,-0.092,0.519,73.333,13072.000,1.000
1.458,1.122,1.495,1.331,1.554,1.413,1.506,1.482,-0.113,0.874,-0.524,-0.671,-0.122,0.488,73.333,13073.000,1.000
1.076,0.774,1.156,0.960,1.141,1.073,1.172,1.199,-0.115,0.874,-0.529,-0.641,-0.061,0.549,73.333,13074.000,1.000
1.167,0.959,1.247,1.046,1.175,1.188,1.307,1.378,-0.116,0.873,-0.527,-0.610,-0.092,0.397,73.333,13075.000,1.000
1.613,1.531,1.668,1.496,1.583,1.659,1.781,1.863,-0.116,0.875,-0.526,-0.580,0.031,0.397,73.333,13076.000,1.000
2.148,2.174,2.171,2.061,2.135,2.240,2.298,2.353,-0.118,0.875,-0.523,-0.580,0.153,0.214,73.333,13077.000,1.000
2.532,2.609,2.536,2.512,2.600,2.712,2.612,2.626,-0.117,0.874,-0.524,-0.580,-0.031,0.214,73.333,13078.000,1.000
2.659,2.723,2.674,2.731,2.849,2.966,2.653,2.651,-0.115,0.874,-0.523,-0.519,0.031,0.183,73.333,13079.000,1.000
2.613,2.622,2.654,2.758,2.928,3.040,2.546,2.564,-0.117,0.874,-0.525,-0.580,-0.031,0.153,73.333,13080.000,1.000
2.533,2.473,2.562,2.682,2.930,3.000,2.440,2.487,-0.117,0.875,-0.523,-0.488,-0.031,0.122,73.333,13081.000,1.000
2.448,2.334,2.392,2.525,2.846,2.834,2.354,2.407,-0.117,0.875,-0.523,-0.519,-0.061,0.061,73.333,13082.000,1.000
2.284,2.148,2.111,2.257,2.589,2.502,2.218,2.243,-0.117,0.875,-0.523,-0.580,-0.092,0.122,73.333,13083.000,1.000
1.936,1.806,1.698,1.829,2.079,1.989,1.922,1.907,-0.117,0.876,-0.526,-0.488,-0.092,-0.031,73.333,13084.000,1.000
1.405,1.293,1.207,1.264,1.371,1.378,1.440,1.399,-0.118,0.875,-0.524,-0.488,-0.153,0.000,73.333,13085.000,1.000
0.806,0.715,0.729,0.670,0.640,0.808,0.863,0.811,-0.116,0.875,-0.524,-0.488,-0.122,-0.031,73.333,13086.000,1.000
0.270,0.211,0.332,0.162,0.070,0.377,0.330,0.266,-0.116,0.875,-0.524,-0.488,-0.122,0.000,73.333,13087.000,1.000
-0.101,-0.108,0.051,-0.167,-0.223,0.122,-0.037,-0.109,-0.116,0.876,-0.523,-0.427,-0.214,-0.031,73.333,13088.000,1.000
-0.270,-0.215,-0.119,-0.295,-0.239,0.022,-0.207,-0.262,-0.117,0.874,-0.521,-0.519,-0.092,0.000,73.333,13089.000,1.000
-0.180,-0.061,-0.112,-0.166,0.025,0.114,-0.139,-0.140,-0.116,0.873,-0.523,-0.488,-0.153,-0.061,73.333,13090.000,1.000
0.216,0.397,0.173,0.274,0.556,0.457,0.205,0.297,-0.116,0.873,-0.525,-0.397,-0.214,-0.061,73.333,13091.000,1.000
0.811,1.042,0.687,0.920,1.200,0.967,0.744,0.926,-0.117,0.873,-0.525,-0.488,-0.244,-0.122,73.333,13092.000,1.000
1.382,1.623,1.216,1.524,1.714,1.434,1.275,1.489,-0.118,0.873,-0.524,-0.610,-0.366,-0.061,73.333,13093.000,1.000
1.702,1.895,1.516,1.818,1.891,1.635,1.574,1.737,-0.118,0.871,-0.527,-0.458,-0.397,0.000,73.333,13094.000,1.000
