EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1.634,-1.692,-2.040,-1.920,-1.733,-1.962,-1.819,-1.677,-0.107,0.867,-0.552,-1.526,-2.106,0.061,73.333,47737.000,1.000
1.822,1.745,1.425,1.590,1.730,1.529,1.658,1.832,-0.105,0.866,-0.551,-1.617,-2.106,0.061,73.333,47738.000,1.000
5.145,5.073,4.803,4.984,5.046,4.920,4.995,5.186,-0.104,0.865,-0.549,-1.740,-1.923,0.366,73.333,47739.000,1.000
7.698,7.653,7.415,7.611,7.579,7.558,7.580,7.726,-0.105,0.865,-0.549,-1.862,-1.770,0.427,73.333,47740.000,1.000
9.078,9.047,8.830,9.049,8.939,9.000,9.028,9.051,-0.102,0.865,-0.549,-1.923,-1.556,0.488,73.333,47741.000,1.000
9.128,9.081,8.899,9.149,8.983,9.070,9.184,9.048,-0.103,0.865,-0.547,-1.984,-1.465,0.519,73.333,47742.000,1.000
7.923,7.848,7.733,8.020,7.795,7.870,8.113,7.854,-0.103,0.865,-0.549,-2.045,-1.221,0.702,73.333,47743.000,1.000
5.737,5.654,5.616,5.947,5.638,5.701,6.051,5.755,-0.105,0.864,-0.544,-2.106,-1.099,0.793,73.333,47744.000,1.000
2.976,2.917,2.934,3.293,2.893,2.968,3.361,3.100,-0.105,0.864,-0.549,-2.136,-0.977,0.946,73.333,47745.000,1.000
0.027,0.018,0.049,0.380,-0.064,0.039,0.413,0.217,-0.107,0.861,-0.544,-2.197,-0.885,0.885,73.333,47746.000,1.000
-2.870,-2.835,-2.827,-2.590,-2.982,-2.866,-2.551,-2.684,-0.110,0.859,-0.548,-2.228,-0.793,0.946,73.333,47747.000,1.000
-5.495,-5.456,-5.491,-5.384,-5.631,-5.530,-5.303,-5.384,-0.109,0.858,-0.549,-2.106,-0.763,1.007,73.333,47748.000,1.000
-7.531,-7.533,-7.613,-7.617,-7.688,-7.604,-7.507,-7.529,-0.111,0.858,-0.547,-2.136,-0.641,1.007,73.333,47749.000,1.000
-8.688,-8.745,-8.854,-8.907,-8.849,-8.748,-8.814,-8.767,-0.109,0.856,-0.545,-2.106,-0.519,0.854,73.333,47750.000,1.000
-8.877,-8.972,-9.060,-9.105,-9.016,-8.848,-9.079,-8.967,-0.110,0.857,-0.542,-2.075,-0.427,0.854,73.333,47751.000,1.000
-8.245,-8.352,-8.364,-8.394,-8.355,-8.091,-8.450,-8.298,-0.107,0.856,-0.546,-2.075,-0.397,0.793,73.333,47752.000,1.000
-7.008,-7.121,-7.031,-7.083,-7.107,-6.772,-7.202,-7.037,-0.105,0.856,-0.548,-1.892,-0.305,0.916,73.333,47753.000,1.000
