EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
11.839,28.535,9.522,11.095,21.623,25.633,9.239,6.815,-0.091,0.903,-0.475,-1.190,-0.641,0.671,66.667,16873.000,1.000
9.293,25.626,11.333,12.432,22.714,25.764,11.381,7.561,-0.094,0.904,-0.477,-1.251,-0.641,0.732,66.667,16874.000,1.000
7.013,22.846,13.315,14.089,23.712,25.368,12.687,8.719,-0.094,0.901,-0.476,-1.221,-0.610,0.732,66.667,16875.000,1.000
5.078,20.555,14.734,15.390,24.010,24.716,12.440,10.351,-0.095,0.901,-0.479,-1.190,-0.580,0.793,66.667,16876.000,1.000
4.407,19.632,15.679,16.312,23.710,24.353,12.347,12.695,-0.094,0.900,-0.480,-1.221,-0.641,0.702,66.667,16877.000,1.000
4.990,19.990,16.074,16.736,22.725,24.266,13.179,15.099,-0.094,0.898,-0.480,-1.221,-0.641,0.702,66.667,16878.000,1.000
5.345,19.967,15.356,16.163,20.368,23.812,13.134,16.089,-0.095,0.899,-0.478,-1.221,-0.610,0.702,66.667,16879.000,1.000
5.021,18.609,13.687,14.767,16.720,22.822,11.123,15.198,-0.095,0.899,-0.479,-1.160,-0.671,0.580,66.667,16880.000,1.000
4.241,15.806,11.562,12.936,12.420,21.166,7.540,12.974,-0.096,0.898,-0.479,-1.099,-0.610,0.610,66.667,16881.000,1.000
4.578,12.933,10.142,11.625,8.861,19.135,4.793,11.009,-0.094,0.898,-0.482,-1.068,-0.610,0.519,66.667,16882.000,1.000
6.519,11.110,9.870,11.128,6.659,16.565,4.180,10.114,-0.095,0.898,-0.483,-1.099,-0.610,0.366,66.667,16883.000,1.000
8.639,10.039,10.233,10.868,5.263,13.051,4.570,9.788,-0.095,0.897,-0.479,-1.007,-0.610,0.366,66.667,16884.000,1.000
10.296,9.630,11.112,10.810,4.472,9.306,5.111,9.688,-0.096,0.899,-0.481,-1.068,-0.519,0.366,66.667,16885.000,1.000
11.421,9.756,12.285,11.124,4.147,6.452,5.205,9.581,-0.096,0.898,-0.480,-1.068,-0.671,0.244,66.667,16886.000,1.000
13.333,11.089,13.927,12.452,4.621,5.742,5.672,9.875,-0.096,0.898,-0.477,-1.068,-0.732,0.244,66.667,16887.000,1.000
16.513,13.849,15.662,14.627,5.681,7.048,7.243,10.604,-0.096,0.899,-0.477,-1.007,-0.732,0.305,66.667,16888.000,1.000
19.527,16.805,16.375,16.305,6.174,8.649,9.326,11.013,-0.095,0.899,-0.475,-0.946,-0.732,0.183,66.667,16889.000,1.000
21.333,18.948,15.577,16.498,5.326,9.003,11.196,10.604,-0.094,0.901,-0.477,-1.038,-0.763,0.214,66.667,16890.000,1.000
21.196,19.597,13.281,14.818,2.777,7.442,11.207,9.019,-0.094,0.902,-0.480,-1.038,-0.702,0.214,66.667,16891.000,1.000
19.926,19.375,10.546,12.150,-0.656,4.918,8.885,6.818,-0.095,0.903,-0.481,-1.068,-0.671,0.305,66.667,16892.000,1.000
18.113,18.878,8.075,9.343,-4.121,2.388,4.822,4.465,-0.093,0.905,-0.481,-0.885,-0.702,0.275,66.667,16893.000,1.000
15.463,17.775,5.796,6.649,-7.373,-0.014,0.149,1.849,-0.094,0.904,-0.482,-1.038,-0.641,0.275,66.667,16894.000,1.000
12.928,16.511,4.146,4.740,-9.725,-1.927,-2.817,-0.611,-0.094,0.903,-0.481,-1.068,-0.580,0.366,66.667,16895.000,1.000
11.468,15.656,3.561,4.065,-10.548,-2.971,-3.036,-2.372,-0.095,0.906,-0.480,-1.099,-0.549,0.366,66.667,16896.000,1.000
12.222,15.990,4.651,4.987,-9.139,-2.452,-0.445,-2.654,-0.095,0.907,-0.481,-1.160,-0.549,0.366,66.667,16897.000,1.000
14.661,17.214,6.919,6.781,-6.032,-0.659,3.305,-1.723,-0.095,0.906,-0.480,-1.343,-0.580,0.397,66.667,16898.000,1.000
16.375,17.642,8.683,7.805,-3.173,1.024,5.303,-1.015,-0.094,0.908,-0.476,-1.251,-0.641,0.397,66.667,16899.000,1.000
16.043,16.419,8.937,7.339,-1.869,1.808,4.414,-1.417,-0.093,0.906,-0.478,-1.404,-0.610,0.397,66.667,16900.000,1.000
13.573,13.577,7.624,5.653,-2.306,1.671,1.139,-3.074,-0.094,0.907,-0.480,-1.465,-0.519,0.366,66.667,16901.000,1.000
11.044,10.685,6.119,4.251,-3.064,1.695,-1.847,-4.954,-0.096,0.906,-0.478,-1.495,-0.549,0.427,66.667,16902.000,1.000
9.958,8.976,5.333,4.075,-2.963,2.435,-2.685,-6.327,-0.094,0.907,-0.479,-1.465,-0.549,0.366,66.667,16903.000,1.000
9.368,7.723,4.695,4.517,-2.334,3.161,-2.516,-7.472,-0.093,0.905,-0.481,-1.526,-0.488,0.458,66.667,16904.000,1.000
8.295,6.062,3.624,4.693,-1.840,3.208,-2.949,-8.494,-0.094,0.903,-0.478,-1.526,-0.519,0.458,66.667,16905.000,1.000
6.270,3.645,1.900,3.854,-2.102,2.293,-4.882,-9.410,-0.093,0.905,-0.478,-1.587,-0.397,0.488,66.667,16906.000,1.000
4.762,1.819,0.526,2.490,-2.573,1.312,-6.718,-9.554,-0.095,0.903,-0.481,-1.587,-0.580,0.488,66.667,16907.000,1.000
4.958,2.022,0.346,1.361,-2.465,1.131,-6.904,-8.620,-0.095,0.902,-0.478,-1.556,-0.549,0.488,66.667,16908.000,1.000
6.062,4.030,1.038,0.594,-1.739,1.663,-6.265,-7.257,-0.096,0.901,-0.477,-1.587,-0.580,0.427,66.667,16909.000,1.000
7.041,6.930,1.901,0.142,-0.565,2.448,-5.917,-6.108,-0.095,0.901,-0.478,-1.526,-0.519,0.427,66.667,16910.000,1.000
6.577,8.998,1.858,-0.585,0.325,2.608,-6.421,-5.788,-0.095,0.903,-0.482,-1.587,-0.519,0.427,66.667,16911.000,1.000
5.069,9.518,0.986,-1.445,0.884,2.180,-6.125,-5.747,-0.093,0.903,-0.478,-1.495,-0.519,0.549,66.667,16912.000,1.000
3.471,8.651,-0.144,-2.003,1.401,1.563,-3.881,-5.167,-0.091,0.901,-0.477,-1.495,-0.610,0.580,66.667,16913.000,1.000
1.816,6.470,-1.416,-2.254,1.832,0.772,-1.370,-3.965,-0.095,0.901,-0.475,-1.434,-0.580,0.610,66.667,16914.000,1.000
0.375,3.681,-2.536,-2.101,2.375,-0.095,-0.445,-2.182,-0.092,0.900,-0.476,-1.404,-0.549,0.549,66.667,16915.000,1.000
-1.302,0.571,-3.524,-1.934,2.752,-1.458,-2.088,-0.399,-0.092,0.900,-0.476,-1.373,-0.519,0.641,66.667,16916.000,1.000
-2.834,-2.148,-3.987,-1.840,2.931,-3.411,-4.914,1.064,-0.094,0.898,-0.476,-1.434,-0.580,0.671,66.667,16917.000,1.000
-3.939,-3.888,-3.884,-1.997,2.841,-5.702,-7.307,1.851,-0.093,0.898,-0.474,-1.343,-0.458,0.732,66.667,16918.000,1.000
-5.453,-5.211,-3.893,-2.911,2.140,-7.803,-9.258,1.450,-0.091,0.900,-0.475,-1.343,-0.488,0.671,66.667,16919.000,1.000
-7.553,-6.630,-4.331,-4.534,1.014,-8.810,-10.718,0.061,-0.092,0.900,-0.475,-1.221,-0.519,0.671,66.667,16920.000,1.000
-10.121,-8.523,-5.379,-6.624,-0.436,-8.606,-11.916,-1.844,-0.093,0.900,-0.477,-1.099,-0.397,0.702,66.667,16921.000,1.000
-11.659,-9.770,-6.332,-8.109,-1.520,-7.151,-11.971,-2.898,-0.095,0.901,-0.478,-1.007,-0.366,0.763,66.667,16922.000,1.000
-11.447,-9.210,-6.768,-8.241,-1.743,-4.864,-10.227,-2.056,-0.094,0.902,-0.478,-1.068,-0.275,0.793,66.667,16923.000,1.000
-10.802,-7.498,-7.119,-7.347,-1.407,-2.806,-7.526,0.311,-0.092,0.903,-0.477,-1.099,-0.275,0.702,66.667,16924.000,1.000
-10.292,-5.479,-7.301,-5.703,-0.495,-1.542,-4.419,3.356,-0.092,0.901,-0.476,-1.007,-0.275,0.763,66.667,16925.000,1.000
-9.963,-3.936,-7.148,-3.812,0.885,-1.337,-1.860,5.913,-0.091,0.900,-0.479,-1.007,-0.214,0.763,66.667,16926.000,1.000
-8.943,-2.784,-6.201,-1.890,2.850,-1.679,-0.031,7.551,-0.092,0.901,-0.478,-0.916,-0.153,0.610,66.667,16927.000,1.000
-7.362,-2.088,-4.706,-0.497,4.977,-2.238,0.988,8.037,-0.091,0.901,-0.480,-0.824,-0.092,0.641,66.667,16928.000,1.000
-6.842,-2.705,-3.650,-0.456,6.177,-3.193,0.743,7.030,-0.089,0.903,-0.477,-0.824,-0.061,0.641,66.667,16929.000,1.000
-7.711,-4.500,-3.238,-1.462,6.171,-4.119,0.046,5.098,-0.089,0.905,-0.477,-0.732,0.000,0.549,66.667,16930.000,1.000
-9.406,-6.792,-3.328,-2.730,5.128,-4.557,-0.687,3.031,-0.091,0.904,-0.476,-0.702,0.031,0.610,66.667,16931.000,1.000
-9.910,-7.923,-3.098,-3.051,4.019,-3.849,-0.954,1.951,-0.090,0.904,-0.477,-0.732,0.000,0.671,66.667,16932.000,1.000
-8.056,-6.757,-2.164,-2.031,3.482,-2.085,-0.803,2.233,-0.090,0.904,-0.480,-0.763,-0.061,0.610,66.667,16933.000,1.000
-5.150,-4.377,-1.130,-0.545,3.007,-0.380,-1.163,3.019,-0.090,0.906,-0.479,-0.732,0.031,0.519,66.667,16934.000,1.000
-2.463,-2.358,-0.297,0.769,2.271,0.556,-1.833,3.536,-0.090,0.906,-0.478,-0.702,0.153,0.458,66.667,16935.000,1.000
-0.986,-2.039,0.090,1.505,1.288,0.503,-2.538,3.128,-0.089,0.907,-0.477,-0.702,0.122,0.488,66.667,16936.000,1.000
-0.405,-3.280,0.326,1.927,0.886,0.063,-2.522,1.950,-0.092,0.906,-0.474,-0.702,0.183,0.488,66.667,16937.000,1.000
-0.728,-5.593,0.329,2.032,1.360,-0.539,-1.850,0.173,-0.090,0.904,-0.479,-0.671,0.244,0.488,66.667,16938.000,1.000
-2.831,-9.178,-0.442,1.373,1.883,-1.671,-1.795,-2.320,-0.090,0.905,-0.479,-0.732,0.244,0.427,66.667,16939.000,1.000
-5.710,-13.100,-1.455,0.498,2.210,-2.809,-2.110,-4.695,-0.091,0.906,-0.478,-0.732,0.244,0.427,66.667,16940.000,1.000
-7.564,-15.804,-1.871,0.291,2.566,-3.179,-1.946,-5.892,-0.091,0.904,-0.479,-0.946,0.305,0.458,66.667,16941.000,1.000
