EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1.897,0.360,2.088,4.207,5.930,7.158,6.928,12.831,-0.045,0.929,-0.431,-1.587,-1.587,0.519,60.000,14649.000,1.000
0.943,3.486,4.687,7.369,8.320,10.021,9.509,15.116,-0.045,0.929,-0.432,-1.617,-1.587,0.458,60.000,14650.000,1.000
4.662,6.993,7.570,10.201,10.471,12.650,10.900,15.940,-0.045,0.929,-0.427,-1.617,-1.648,0.336,60.000,14651.000,1.000
7.498,9.578,10.020,11.639,11.644,14.757,11.576,14.634,-0.045,0.928,-0.426,-1.648,-1.801,0.305,60.000,14652.000,1.000
8.352,10.614,11.544,11.449,11.760,16.199,12.199,11.804,-0.046,0.928,-0.424,-1.709,-1.862,0.305,60.000,14653.000,1.000
7.200,10.317,12.114,10.206,11.345,17.030,13.060,9.037,-0.046,0.930,-0.425,-1.770,-1.862,0.214,60.000,14654.000,1.000
5.309,9.575,11.989,8.794,10.985,17.315,14.111,7.667,-0.045,0.928,-0.425,-1.648,-1.831,0.214,60.000,14655.000,1.000
3.284,8.593,10.957,7.387,10.367,16.431,14.364,7.607,-0.045,0.927,-0.426,-1.617,-1.862,0.244,60.000,14656.000,1.000
1.069,7.031,8.908,5.873,8.971,13.818,13.082,8.060,-0.044,0.928,-0.428,-1.617,-1.953,0.244,60.000,14657.000,1.000
-1.379,4.628,6.370,4.360,6.881,9.801,10.718,8.466,-0.042,0.925,-0.429,-1.495,-1.831,0.214,60.000,14658.000,1.000
-4.330,1.086,4.053,2.948,4.461,5.183,8.102,8.457,-0.043,0.924,-0.429,-1.404,-1.801,0.214,60.000,14659.000,1.000
-7.731,-3.693,2.356,1.652,1.963,0.567,5.757,7.572,-0.045,0.924,-0.427,-1.434,-1.770,0.092,60.000,14660.000,1.000
-12.010,-9.963,0.777,-0.050,-1.065,-4.214,3.223,4.905,-0.043,0.924,-0.429,-1.282,-1.740,0.061,60.000,14661.000,1.000
