EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-4.841,-0.676,-3.441,-2.702,-3.311,-6.921,1.200,1.854,-0.046,0.927,-0.434,-1.312,-1.373,0.397,60.000,18009.000,1.000
-5.751,-1.045,-3.587,-2.971,-3.635,-7.914,-1.529,1.611,-0.048,0.927,-0.435,-1.312,-1.404,0.427,60.000,18010.000,1.000
-6.814,-1.862,-4.865,-3.999,-5.539,-9.759,-6.333,-0.828,-0.049,0.926,-0.435,-1.221,-1.465,0.397,60.000,18011.000,1.000
-6.873,-2.370,-6.096,-5.007,-7.897,-11.337,-10.757,-4.646,-0.050,0.925,-0.431,-1.221,-1.465,0.366,60.000,18012.000,1.000
-5.601,-2.175,-6.199,-5.323,-9.426,-11.854,-12.897,-8.674,-0.047,0.924,-0.431,-1.099,-1.526,0.305,60.000,18013.000,1.000
-3.287,-1.119,-4.660,-4.635,-9.172,-10.941,-12.034,-11.611,-0.047,0.924,-0.428,-0.916,-1.556,0.275,60.000,18014.000,1.000
0.321,1.212,-1.488,-2.695,-6.515,-8.460,-8.306,-12.293,-0.049,0.928,-0.430,-0.977,-1.648,0.275,60.000,18015.000,1.000
4.690,4.486,2.404,0.140,-1.873,-4.989,-3.142,-10.649,-0.048,0.927,-0.430,-0.946,-1.678,0.305,60.000,18016.000,1.000
8.510,7.698,5.840,3.089,3.493,-1.360,1.818,-7.650,-0.047,0.929,-0.433,-0.946,-1.770,0.336,60.000,18017.000,1.000
10.498,9.878,8.045,5.362,8.092,1.917,5.735,-4.615,-0.046,0.930,-0.432,-0.946,-1.740,0.275,60.000,18018.000,1.000
10.158,10.576,8.792,6.385,10.786,4.646,8.432,-2.566,-0.046,0.930,-0.435,-1.038,-1.740,0.244,60.000,18019.000,1.000
8.889,10.452,8.537,6.217,11.564,6.960,10.400,-1.710,-0.047,0.928,-0.434,-1.038,-1.678,0.244,60.000,18020.000,1.000
8.490,10.518,7.993,5.244,11.214,9.024,12.020,-1.596,-0.048,0.928,-0.433,-1.099,-1.709,0.275,60.000,18021.000,1.000
10.078,11.555,7.978,4.140,10.858,11.064,13.433,-1.415,-0.048,0.927,-0.430,-1.038,-1.678,0.336,60.000,18022.000,1.000
13.250,13.432,8.808,3.303,11.053,12.937,14.220,-0.773,-0.047,0.926,-0.430,-0.977,-1.648,0.214,60.000,18023.000,1.000
16.379,15.117,10.099,2.624,11.461,14.110,13.631,-0.015,-0.047,0.926,-0.432,-1.007,-1.617,0.214,60.000,18024.000,1.000
18.584,15.933,11.482,2.206,11.756,14.443,11.929,0.405,-0.050,0.927,-0.431,-1.038,-1.556,0.122,60.000,18025.000,1.000
19.322,15.612,12.555,2.167,11.678,14.008,9.977,0.204,-0.050,0.927,-0.431,-1.129,-1.587,0.214,60.000,18026.000,1.000
18.519,14.561,13.040,2.632,11.267,13.136,8.726,-0.314,-0.048,0.929,-0.427,-1.068,-1.526,0.214,60.000,18027.000,1.000
16.680,13.757,12.874,3.662,10.960,12.517,8.755,-0.172,-0.048,0.930,-0.428,-1.068,-1.556,0.214,60.000,18028.000,1.000
14.592,14.156,12.222,5.131,11.327,12.921,9.997,1.651,-0.050,0.930,-0.431,-1.221,-1.617,0.122,60.000,18029.000,1.000
13.570,16.485,11.455,6.855,12.865,14.683,12.051,5.206,-0.049,0.932,-0.429,-1.251,-1.556,0.122,60.000,18030.000,1.000
13.745,20.124,10.403,8.050,15.087,16.926,13.808,8.927,-0.049,0.931,-0.433,-1.312,-1.465,0.092,60.000,18031.000,1.000
13.973,23.185,8.613,7.764,16.747,18.310,14.303,10.790,-0.049,0.931,-0.430,-1.282,-1.495,0.122,60.000,18032.000,1.000
12.755,23.558,5.905,5.574,16.676,18.111,13.329,9.728,-0.049,0.928,-0.431,-1.495,-1.526,0.000,60.000,18033.000,1.000
9.368,20.317,2.714,1.972,14.491,16.535,11.297,6.429,-0.049,0.927,-0.430,-1.465,-1.434,0.031,60.000,18034.000,1.000
5.029,14.672,0.084,-1.677,10.897,14.411,9.205,3.234,-0.048,0.927,-0.432,-1.495,-1.465,0.061,60.000,18035.000,1.000
0.957,8.321,-1.433,-4.474,6.592,12.070,7.261,2.145,-0.050,0.927,-0.434,-1.373,-1.373,0.122,60.000,18036.000,1.000
-2.347,2.466,-2.052,-6.355,1.872,9.310,4.661,3.117,-0.050,0.925,-0.430,-1.343,-1.404,0.305,60.000,18037.000,1.000
-4.779,-2.063,-2.359,-7.628,-3.041,5.893,0.425,4.323,-0.049,0.924,-0.434,-1.343,-1.251,0.366,60.000,18038.000,1.000
-6.475,-4.765,-2.713,-8.383,-7.598,1.918,-5.521,4.078,-0.048,0.922,-0.434,-1.434,-1.160,0.336,60.000,18039.000,1.000
-7.031,-5.263,-2.746,-8.103,-10.717,-1.888,-11.597,2.262,-0.049,0.922,-0.435,-1.343,-1.160,0.366,60.000,18040.000,1.000
-6.385,-3.891,-1.962,-6.480,-11.689,-4.586,-15.836,-0.238,-0.048,0.922,-0.432,-1.190,-1.160,0.427,60.000,18041.000,1.000
-4.634,-1.395,-0.019,-3.649,-10.371,-5.159,-16.532,-2.174,-0.047,0.926,-0.432,-1.099,-1.221,0.488,60.000,18042.000,1.000
-1.953,1.464,3.013,-0.127,-7.097,-3.010,-12.775,-2.378,-0.048,0.926,-0.433,-1.068,-1.221,0.488,60.000,18043.000,1.000
1.197,4.127,6.573,3.477,-2.634,1.424,-5.173,-0.120,-0.047,0.927,-0.429,-1.068,-1.068,0.519,60.000,18044.000,1.000
4.716,6.607,9.988,6.976,2.213,6.838,4.298,4.636,-0.048,0.929,-0.430,-1.099,-0.946,0.549,60.000,18045.000,1.000
7.879,8.686,12.389,10.050,6.444,11.430,12.497,10.563,-0.049,0.931,-0.424,-1.160,-0.885,0.519,60.000,18046.000,1.000
9.946,10.127,13.255,12.196,9.326,13.891,16.863,15.218,-0.049,0.932,-0.430,-1.282,-0.824,0.488,60.000,18047.000,1.000
10.654,10.796,12.524,12.796,10.506,13.658,16.580,16.163,-0.049,0.929,-0.432,-1.373,-0.671,0.671,60.000,18048.000,1.000
9.805,10.254,10.394,11.395,9.849,10.879,12.477,12.492,-0.049,0.928,-0.430,-1.373,-0.610,0.671,60.000,18049.000,1.000
8.045,8.481,7.604,8.559,7.921,6.847,6.832,5.867,-0.045,0.924,-0.430,-1.434,-0.519,0.610,60.000,18050.000,1.000
6.130,5.922,5.006,5.516,5.573,3.299,1.860,-0.442,-0.047,0.921,-0.433,-1.343,-0.427,0.580,60.000,18051.000,1.000
4.686,3.383,3.260,3.505,3.561,1.442,-1.005,-3.494,-0.045,0.917,-0.430,-1.343,-0.397,0.641,60.000,18052.000,1.000
3.918,1.618,2.553,3.056,2.278,1.337,-1.533,-2.588,-0.044,0.918,-0.433,-1.251,-0.275,0.519,60.000,18053.000,1.000
3.598,1.128,2.748,3.917,1.842,2.296,-0.609,0.648,-0.041,0.920,-0.433,-1.190,-0.244,0.610,60.000,18054.000,1.000
4.144,2.481,3.876,5.726,2.585,3.797,1.108,4.129,-0.041,0.924,-0.435,-1.007,-0.122,0.641,60.000,18055.000,1.000
