EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-7.167,-7.390,-7.594,-7.434,-7.059,-7.325,-7.245,-7.342,-0.071,0.882,-0.538,-1.160,-0.610,0.092,73.333,24689.000,1.000
-7.525,-7.735,-7.885,-7.788,-7.414,-7.730,-7.586,-7.607,-0.069,0.879,-0.538,-1.282,-0.854,-0.183,73.333,24690.000,1.000
-7.866,-7.976,-8.058,-8.087,-7.726,-8.040,-7.885,-7.880,-0.068,0.877,-0.540,-1.404,-1.038,-0.366,73.333,24691.000,1.000
-7.725,-7.693,-7.705,-7.876,-7.567,-7.816,-7.693,-7.719,-0.064,0.875,-0.541,-1.404,-1.190,-0.549,73.333,24692.000,1.000
-6.586,-6.445,-6.397,-6.660,-6.455,-6.584,-6.511,-6.606,-0.063,0.875,-0.540,-1.465,-1.465,-0.702,73.333,24693.000,1.000
-4.170,-4.009,-3.910,-4.172,-4.103,-4.091,-4.068,-4.229,-0.062,0.875,-0.539,-1.495,-1.526,-0.824,73.333,24694.000,1.000
-0.639,-0.541,-0.411,-0.583,-0.630,-0.504,-0.533,-0.712,-0.061,0.875,-0.538,-1.587,-1.617,-0.824,73.333,24695.000,1.000
3.571,3.566,3.699,3.641,3.547,3.725,3.635,3.513,-0.060,0.875,-0.537,-1.526,-1.709,-0.854,73.333,24696.000,1.000
7.965,7.875,7.976,7.985,7.915,8.085,7.925,7.942,-0.058,0.876,-0.535,-1.617,-1.770,-0.854,73.333,24697.000,1.000
12.198,12.084,12.124,12.120,12.109,12.226,12.011,12.208,-0.059,0.875,-0.539,-1.648,-1.862,-0.763,73.333,24698.000,1.000
16.058,15.988,15.963,15.894,15.931,15.970,15.738,16.082,-0.059,0.876,-0.538,-1.648,-1.953,-0.702,73.333,24699.000,1.000
19.330,19.344,19.280,19.144,19.195,19.149,18.947,19.347,-0.058,0.876,-0.538,-1.709,-1.923,-0.641,73.333,24700.000,1.000
21.703,21.804,21.746,21.576,21.606,21.484,21.361,21.712,-0.059,0.874,-0.539,-1.740,-1.984,-0.549,73.333,24701.000,1.000
22.769,22.934,22.912,22.749,22.736,22.569,22.565,22.785,-0.061,0.876,-0.535,-1.678,-2.045,-0.488,73.333,24702.000,1.000
22.256,22.464,22.478,22.344,22.286,22.111,22.249,22.311,-0.063,0.874,-0.535,-1.709,-2.075,-0.366,73.333,24703.000,1.000
20.186,20.421,20.448,20.362,20.256,20.100,20.374,20.325,-0.062,0.875,-0.534,-1.801,-2.075,-0.244,73.333,24704.000,1.000
16.809,17.048,17.072,17.052,16.887,16.759,17.138,17.054,-0.066,0.877,-0.532,-1.678,-2.075,-0.153,73.333,24705.000,1.000
12.471,12.679,12.697,12.752,12.530,12.434,12.863,12.790,-0.066,0.878,-0.532,-1.831,-2.167,-0.092,73.333,24706.000,1.000
7.432,7.573,7.585,7.705,7.451,7.402,7.805,7.748,-0.065,0.877,-0.533,-1.862,-2.106,-0.031,73.333,24707.000,1.000
1.916,1.969,1.960,2.125,1.880,1.886,2.204,2.160,-0.067,0.875,-0.532,-1.892,-2.228,0.031,73.333,24708.000,1.000
-3.798,-3.825,-3.866,-3.686,-3.899,-3.836,-3.620,-3.640,-0.065,0.875,-0.535,-1.923,-2.258,0.214,73.333,24709.000,1.000
-9.419,-9.487,-9.562,-9.397,-9.585,-9.459,-9.324,-9.308,-0.063,0.873,-0.533,-1.892,-2.289,0.336,73.333,24710.000,1.000
-14.707,-14.761,-14.872,-14.738,-14.919,-14.727,-14.642,-14.592,-0.060,0.874,-0.534,-1.923,-2.350,0.458,73.333,24711.000,1.000
-19.422,-19.426,-19.569,-19.468,-19.637,-19.408,-19.341,-19.272,-0.059,0.873,-0.532,-1.984,-2.319,0.580,73.333,24712.000,1.000
-23.039,-22.997,-23.154,-23.086,-23.206,-23.003,-22.917,-22.856,-0.057,0.873,-0.531,-1.953,-2.289,0.702,73.333,24713.000,1.000
-24.808,-24.747,-24.887,-24.859,-24.892,-24.769,-24.631,-24.610,-0.055,0.873,-0.535,-1.801,-2.136,0.793,73.333,24714.000,1.000
-24.249,-24.186,-24.286,-24.308,-24.245,-24.220,-24.015,-24.049,-0.054,0.872,-0.537,-1.678,-1.984,0.946,73.333,24715.000,1.000
-21.523,-21.447,-21.516,-21.585,-21.449,-21.508,-21.246,-21.325,-0.053,0.872,-0.537,-1.678,-1.770,0.977,73.333,24716.000,1.000
-17.370,-17.257,-17.340,-17.423,-17.257,-17.365,-17.085,-17.179,-0.052,0.873,-0.536,-1.678,-1.648,1.099,73.333,24717.000,1.000
-12.623,-12.472,-12.625,-12.664,-12.516,-12.622,-12.380,-12.465,-0.050,0.872,-0.538,-1.617,-1.404,1.099,73.333,24718.000,1.000
-7.931,-7.779,-8.023,-7.967,-7.882,-7.941,-7.776,-7.848,-0.050,0.869,-0.536,-1.617,-1.251,1.068,73.333,24719.000,1.000
