EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
8.131,7.761,7.605,7.618,8.070,7.859,7.914,7.769,-0.031,0.928,-0.427,-0.793,-0.793,0.580,73.333,7433.000,1.000
8.322,7.923,7.855,7.859,8.264,8.073,8.101,8.144,-0.032,0.928,-0.428,-0.793,-0.854,0.580,73.333,7434.000,1.000
7.855,7.474,7.534,7.564,7.828,7.659,7.703,7.879,-0.029,0.929,-0.429,-0.671,-0.854,0.732,73.333,7435.000,1.000
6.462,6.139,6.311,6.417,6.476,6.330,6.431,6.643,-0.028,0.930,-0.431,-0.702,-0.977,0.671,73.333,7436.000,1.000
4.193,3.941,4.169,4.382,4.226,4.111,4.289,4.444,-0.028,0.928,-0.433,-0.641,-1.007,0.793,73.333,7437.000,1.000
1.453,1.245,1.481,1.783,1.458,1.382,1.627,1.698,-0.029,0.928,-0.429,-0.702,-1.129,0.854,73.333,7438.000,1.000
-1.144,-1.350,-1.133,-0.785,-1.206,-1.244,-0.979,-0.932,-0.029,0.926,-0.430,-0.519,-1.160,0.793,73.333,7439.000,1.000
-3.076,-3.293,-3.113,-2.741,-3.199,-3.211,-2.989,-2.870,-0.030,0.927,-0.431,-0.580,-1.251,0.793,73.333,7440.000,1.000
-4.112,-4.312,-4.178,-3.777,-4.240,-4.250,-4.114,-3.863,-0.030,0.927,-0.431,-0.610,-1.343,0.824,73.333,7441.000,1.000
-4.353,-4.491,-4.388,-3.955,-4.413,-4.444,-4.397,-4.031,-0.027,0.927,-0.430,-0.549,-1.343,0.763,73.333,7442.000,1.000
-4.162,-4.208,-4.103,-3.661,-4.107,-4.159,-4.167,-3.774,-0.025,0.928,-0.430,-0.427,-1.465,0.702,73.333,7443.000,1.000
-4.038,-3.980,-3.848,-3.454,-3.854,-3.912,-3.929,-3.628,-0.021,0.928,-0.435,-0.427,-1.465,0.641,73.333,7444.000,1.000
-4.520,-4.366,-4.201,-3.939,-4.224,-4.267,-4.277,-4.151,-0.020,0.929,-0.432,-0.305,-1.373,0.488,73.333,7445.000,1.000
-5.951,-5.729,-5.536,-5.473,-5.588,-5.601,-5.617,-5.670,-0.016,0.929,-0.430,-0.305,-1.373,0.519,73.333,7446.000,1.000
-8.277,-8.033,-7.813,-7.948,-7.919,-7.891,-7.927,-8.078,-0.016,0.930,-0.432,-0.183,-1.160,0.549,73.333,7447.000,1.000
