EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3.919,-3.831,-3.798,-4.000,-3.617,-3.944,-3.911,-4.049,-0.120,0.859,-0.544,-0.214,-1.160,0.092,73.333,34457.000,1.000
-3.534,-3.355,-3.340,-3.593,-3.240,-3.582,-3.478,-3.475,-0.120,0.860,-0.544,-0.214,-1.129,0.122,73.333,34458.000,1.000
-3.309,-3.075,-3.071,-3.325,-3.039,-3.381,-3.222,-3.090,-0.118,0.860,-0.543,-0.305,-1.099,0.122,73.333,34459.000,1.000
-2.923,-2.716,-2.698,-2.880,-2.720,-3.034,-2.866,-2.644,-0.118,0.861,-0.543,-0.244,-1.007,0.153,73.333,34460.000,1.000
-2.176,-2.078,-2.021,-2.087,-2.099,-2.339,-2.229,-1.962,-0.119,0.862,-0.541,-0.183,-1.007,0.153,73.333,34461.000,1.000
-1.158,-1.198,-1.096,-1.060,-1.238,-1.363,-1.355,-1.085,-0.121,0.862,-0.546,-0.214,-0.916,0.122,73.333,34462.000,1.000
-0.194,-0.352,-0.199,-0.134,-0.410,-0.419,-0.499,-0.277,-0.119,0.862,-0.544,-0.092,-0.946,0.092,73.333,34463.000,1.000
0.349,0.113,0.321,0.342,0.058,0.137,0.014,0.143,-0.119,0.861,-0.545,-0.092,-0.885,0.122,73.333,34464.000,1.000
0.254,-0.021,0.224,0.179,-0.037,0.080,-0.033,-0.019,-0.119,0.863,-0.540,-0.092,-0.885,0.153,73.333,34465.000,1.000
-0.441,-0.719,-0.486,-0.549,-0.666,-0.559,-0.619,-0.717,-0.118,0.863,-0.543,-0.244,-0.732,0.061,73.333,34466.000,1.000
-1.505,-1.737,-1.590,-1.588,-1.628,-1.557,-1.532,-1.723,-0.120,0.864,-0.542,-0.214,-0.702,0.183,73.333,34467.000,1.000
-2.613,-2.752,-2.748,-2.632,-2.647,-2.600,-2.483,-2.737,-0.118,0.861,-0.543,-0.244,-0.702,0.214,73.333,34468.000,1.000
-3.486,-3.521,-3.645,-3.452,-3.487,-3.420,-3.239,-3.520,-0.121,0.864,-0.544,-0.275,-0.610,0.336,73.333,34469.000,1.000
-3.988,-3.965,-4.119,-3.960,-4.026,-3.885,-3.693,-3.987,-0.123,0.864,-0.546,-0.214,-0.641,0.336,73.333,34470.000,1.000
-4.063,-4.070,-4.144,-4.122,-4.197,-3.954,-3.803,-4.112,-0.121,0.861,-0.543,-0.336,-0.580,0.458,73.333,34471.000,1.000
-3.708,-3.835,-3.778,-3.926,-3.979,-3.660,-3.566,-3.885,-0.123,0.861,-0.546,-0.275,-0.702,0.458,73.333,34472.000,1.000
-3.020,-3.308,-3.142,-3.413,-3.434,-3.113,-3.039,-3.337,-0.123,0.863,-0.545,-0.275,-0.732,0.580,73.333,34473.000,1.000
-2.254,-2.667,-2.451,-2.758,-2.769,-2.527,-2.400,-2.635,-0.123,0.862,-0.549,-0.214,-0.793,0.549,73.333,34474.000,1.000
-1.707,-2.157,-1.939,-2.210,-2.234,-2.133,-1.892,-2.028,-0.124,0.864,-0.546,-0.214,-0.763,0.641,73.333,34475.000,1.000
-1.446,-1.832,-1.633,-1.843,-1.878,-1.943,-1.582,-1.596,-0.124,0.862,-0.543,-0.244,-0.732,0.580,73.333,34476.000,1.000
-1.252,-1.512,-1.335,-1.491,-1.522,-1.729,-1.300,-1.191,-0.122,0.859,-0.543,-0.366,-0.641,0.580,73.333,34477.000,1.000
-0.800,-0.936,-0.785,-0.905,-0.920,-1.197,-0.779,-0.587,-0.123,0.862,-0.545,-0.366,-0.763,0.519,73.333,34478.000,1.000
0.068,0.013,0.135,0.023,0.039,-0.222,0.117,0.317,-0.122,0.862,-0.546,-0.397,-0.702,0.519,73.333,34479.000,1.000
1.213,1.195,1.315,1.168,1.232,1.035,1.279,1.413,-0.118,0.861,-0.548,-0.397,-0.671,0.549,73.333,34480.000,1.000
2.331,2.331,2.504,2.282,2.389,2.267,2.442,2.483,-0.118,0.861,-0.545,-0.336,-0.732,0.427,73.333,34481.000,1.000
3.147,3.174,3.438,3.122,3.249,3.188,3.326,3.317,-0.117,0.861,-0.545,-0.336,-0.824,0.488,73.333,34482.000,1.000
3.594,3.681,4.006,3.628,3.739,3.717,3.816,3.843,-0.117,0.862,-0.542,-0.336,-0.763,0.366,73.333,34483.000,1.000
3.805,3.977,4.281,3.920,3.974,3.972,4.015,4.147,-0.119,0.862,-0.547,-0.275,-0.702,0.397,73.333,34484.000,1.000
3.900,4.149,4.367,4.104,4.072,4.074,4.068,4.316,-0.119,0.861,-0.542,-0.244,-0.702,0.397,73.333,34485.000,1.000
3.871,4.156,4.292,4.154,4.048,4.025,4.023,4.333,-0.121,0.860,-0.543,-0.275,-0.641,0.488,73.333,34486.000,1.000
3.622,3.892,4.003,3.955,3.829,3.750,3.813,4.092,-0.122,0.862,-0.542,-0.366,-0.641,0.397,73.333,34487.000,1.000
3.166,3.374,3.524,3.514,3.421,3.281,3.431,3.606,-0.121,0.862,-0.542,-0.336,-0.610,0.336,73.333,34488.000,1.000
2.704,2.821,3.038,3.036,2.994,2.824,3.030,3.086,-0.124,0.862,-0.540,-0.305,-0.610,0.244,73.333,34489.000,1.000
2.459,2.491,2.743,2.752,2.756,2.590,2.793,2.759,-0.121,0.861,-0.546,-0.244,-0.610,0.244,73.333,34490.000,1.000
2.529,2.521,2.732,2.777,2.819,2.654,2.810,2.731,-0.122,0.861,-0.546,-0.244,-0.671,0.183,73.333,34491.000,1.000
2.839,2.844,2.953,3.046,3.127,2.922,3.018,2.947,-0.121,0.865,-0.545,-0.244,-0.519,0.153,73.333,34492.000,1.000
3.255,3.310,3.304,3.427,3.548,3.269,3.317,3.301,-0.126,0.861,-0.544,-0.275,-0.641,0.122,73.333,34493.000,1.000
3.715,3.834,3.737,3.861,4.002,3.670,3.672,3.737,-0.125,0.862,-0.542,-0.336,-0.793,0.214,73.333,34494.000,1.000
4.218,4.398,4.240,4.356,4.464,4.160,4.101,4.230,-0.125,0.861,-0.543,-0.366,-0.885,0.122,73.333,34495.000,1.000
4.753,4.989,4.788,4.914,4.935,4.746,4.619,4.755,-0.123,0.860,-0.545,-0.427,-0.916,0.122,73.333,34496.000,1.000
5.198,5.492,5.251,5.421,5.326,5.299,5.132,5.212,-0.126,0.861,-0.543,-0.458,-0.977,0.122,73.333,34497.000,1.000
5.379,5.725,5.438,5.676,5.481,5.599,5.440,5.433,-0.123,0.863,-0.542,-0.336,-1.099,0.153,73.333,34498.000,1.000
5.190,5.561,5.222,5.511,5.278,5.471,5.357,5.287,-0.123,0.864,-0.542,-0.275,-1.160,0.183,73.333,34499.000,1.000
4.634,4.978,4.594,4.874,4.689,4.880,4.808,4.739,-0.121,0.865,-0.544,-0.336,-1.221,0.153,73.333,34500.000,1.000
3.806,4.081,3.676,3.858,3.798,3.941,3.889,3.869,-0.121,0.864,-0.543,-0.427,-1.221,0.214,73.333,34501.000,1.000
2.776,2.965,2.570,2.589,2.695,2.780,2.732,2.755,-0.121,0.864,-0.544,-0.580,-1.129,0.244,73.333,34502.000,1.000
1.510,1.625,1.276,1.143,1.396,1.414,1.385,1.417,-0.121,0.865,-0.543,-0.610,-1.160,0.244,73.333,34503.000,1.000
-0.041,0.039,-0.236,-0.426,-0.111,-0.171,-0.152,-0.125,-0.122,0.865,-0.542,-0.702,-1.160,0.336,73.333,34504.000,1.000
-1.787,-1.679,-1.883,-2.017,-1.731,-1.870,-1.799,-1.762,-0.123,0.864,-0.539,-0.641,-1.221,0.366,73.333,34505.000,1.000
-3.441,-3.248,-3.417,-3.438,-3.216,-3.411,-3.342,-3.271,-0.122,0.861,-0.543,-0.824,-1.251,0.427,73.333,34506.000,1.000
-4.726,-4.418,-4.600,-4.528,-4.355,-4.547,-4.577,-4.448,-0.122,0.862,-0.542,-0.793,-1.190,0.275,73.333,34507.000,1.000
-5.512,-5.099,-5.322,-5.227,-5.093,-5.200,-5.398,-5.198,-0.121,0.862,-0.545,-0.824,-1.221,0.366,73.333,34508.000,1.000
-5.831,-5.363,-5.619,-5.573,-5.496,-5.449,-5.802,-5.541,-0.121,0.861,-0.545,-0.824,-1.221,0.305,73.333,34509.000,1.000
-5.836,-5.379,-5.653,-5.682,-5.693,-5.476,-5.887,-5.612,-0.121,0.862,-0.545,-1.007,-1.221,0.275,73.333,34510.000,1.000
-5.667,-5.278,-5.577,-5.641,-5.762,-5.416,-5.763,-5.539,-0.118,0.864,-0.545,-1.038,-1.221,0.366,73.333,34511.000,1.000
-5.400,-5.106,-5.442,-5.469,-5.696,-5.297,-5.492,-5.372,-0.121,0.864,-0.544,-1.068,-1.160,0.397,73.333,34512.000,1.000
-5.029,-4.818,-5.185,-5.123,-5.421,-5.042,-5.065,-5.076,-0.120,0.862,-0.545,-1.099,-1.129,0.397,73.333,34513.000,1.000
-4.511,-4.345,-4.713,-4.563,-4.862,-4.556,-4.458,-4.591,-0.120,0.865,-0.548,-1.099,-1.007,0.397,73.333,34514.000,1.000
-3.889,-3.735,-4.063,-3.862,-4.091,-3.883,-3.746,-3.958,-0.120,0.863,-0.546,-1.099,-0.946,0.458,73.333,34515.000,1.000
-3.314,-3.170,-3.427,-3.214,-3.342,-3.223,-3.114,-3.346,-0.119,0.861,-0.541,-1.068,-0.885,0.397,73.333,34516.000,1.000
-2.971,-2.865,-3.024,-2.838,-2.885,-2.815,-2.765,-2.964,-0.117,0.863,-0.541,-1.160,-0.824,0.427,73.333,34517.000,1.000
-2.917,-2.893,-2.933,-2.809,-2.825,-2.759,-2.760,-2.902,-0.120,0.864,-0.542,-1.221,-0.793,0.458,73.333,34518.000,1.000
-3.070,-3.159,-3.087,-3.053,-3.072,-2.997,-3.019,-3.091,-0.121,0.863,-0.542,-1.251,-0.763,0.458,73.333,34519.000,1.000
-3.341,-3.544,-3.408,-3.461,-3.495,-3.426,-3.436,-3.432,-0.118,0.863,-0.547,-1.160,-0.610,0.488,73.333,34520.000,1.000
-3.633,-3.933,-3.797,-3.899,-3.949,-3.899,-3.884,-3.814,-0.117,0.864,-0.543,-1.099,-0.549,0.397,73.333,34521.000,1.000
-3.852,-4.232,-4.142,-4.230,-4.291,-4.248,-4.240,-4.126,-0.119,0.862,-0.545,-1.221,-0.549,0.366,73.333,34522.000,1.000
-3.952,-4.391,-4.355,-4.374,-4.436,-4.376,-4.431,-4.300,-0.119,0.863,-0.543,-1.160,-0.427,0.305,73.333,34523.000,1.000
-3.963,-4.422,-4.423,-4.346,-4.397,-4.305,-4.455,-4.337,-0.120,0.864,-0.544,-1.129,-0.397,0.275,73.333,34524.000,1.000
-3.993,-4.402,-4.426,-4.256,-4.292,-4.172,-4.397,-4.315,-0.118,0.866,-0.545,-1.221,-0.336,0.305,73.333,34525.000,1.000
-4.132,-4.406,-4.452,-4.210,-4.242,-4.123,-4.352,-4.301,-0.119,0.866,-0.544,-1.282,-0.275,0.336,73.333,34526.000,1.000
-4.349,-4.437,-4.508,-4.212,-4.276,-4.197,-4.340,-4.284,-0.118,0.866,-0.542,-1.282,-0.244,0.397,73.333,34527.000,1.000
-4.435,-4.359,-4.458,-4.095,-4.247,-4.252,-4.229,-4.131,-0.122,0.865,-0.542,-1.343,-0.244,0.336,73.333,34528.000,1.000
-4.139,-3.989,-4.111,-3.644,-3.935,-4.058,-3.830,-3.678,-0.121,0.867,-0.543,-1.312,-0.214,0.305,73.333,34529.000,1.000
-3.359,-3.255,-3.393,-2.804,-3.230,-3.479,-3.073,-2.880,-0.121,0.867,-0.543,-1.343,-0.244,0.397,73.333,34530.000,1.000
-2.146,-2.172,-2.330,-1.664,-2.146,-2.478,-1.992,-1.788,-0.124,0.867,-0.541,-1.373,-0.214,0.397,73.333,34531.000,1.000
-0.660,-0.814,-1.019,-0.369,-0.791,-1.119,-0.678,-0.504,-0.125,0.865,-0.545,-1.465,-0.214,0.366,73.333,34532.000,1.000
0.899,0.699,0.408,0.962,0.695,0.453,0.760,0.861,-0.125,0.866,-0.541,-1.495,-0.275,0.427,73.333,34533.000,1.000
2.357,2.204,1.822,2.253,2.178,2.053,2.202,2.203,-0.125,0.867,-0.541,-1.526,-0.183,0.427,73.333,34534.000,1.000
3.553,3.490,3.066,3.392,3.474,3.450,3.461,3.369,-0.126,0.864,-0.539,-1.556,-0.275,0.305,73.333,34535.000,1.000
4.368,4.367,3.988,4.237,4.399,4.434,4.344,4.199,-0.127,0.866,-0.539,-1.556,-0.427,0.397,73.333,34536.000,1.000
4.860,4.853,4.601,4.782,4.950,5.006,4.843,4.706,-0.129,0.867,-0.540,-1.556,-0.580,0.458,73.333,34537.000,1.000
5.499,5.435,5.355,5.442,5.591,5.646,5.431,5.363,-0.130,0.866,-0.540,-1.587,-0.580,0.458,73.333,34538.000,1.000
7.046,6.923,7.000,6.954,7.118,7.146,6.906,6.943,-0.129,0.865,-0.542,-1.617,-0.793,0.397,73.333,34539.000,1.000
9.585,9.431,9.595,9.409,9.646,9.605,9.373,9.511,-0.129,0.866,-0.541,-1.678,-0.946,0.488,73.333,34540.000,1.000
11.655,11.494,11.660,11.393,11.717,11.562,11.368,11.561,-0.128,0.866,-0.539,-1.556,-0.977,0.519,73.333,34541.000,1.000
11.070,10.905,11.014,10.771,11.132,10.853,10.703,10.884,-0.129,0.862,-0.541,-1.526,-1.007,0.580,73.333,34542.000,1.000
7.196,7.018,7.064,6.915,7.245,6.886,6.761,6.867,-0.126,0.861,-0.539,-1.465,-1.099,0.610,73.333,34543.000,1.000
1.956,1.749,1.781,1.719,1.968,1.623,1.497,1.485,-0.125,0.859,-0.543,-1.373,-1.099,0.610,73.333,34544.000,1.000
-1.953,-2.210,-2.126,-2.159,-2.010,-2.238,-2.378,-2.506,-0.122,0.857,-0.543,-1.190,-1.129,0.732,73.333,34545.000,1.000
-3.543,-3.858,-3.689,-3.746,-3.682,-3.735,-3.882,-4.076,-0.122,0.856,-0.542,-0.946,-1.068,0.854,73.333,34546.000,1.000
-3.904,-4.251,-4.021,-4.128,-4.100,-4.005,-4.137,-4.321,-0.118,0.854,-0.539,-0.824,-1.099,0.946,73.333,34547.000,1.000
-4.353,-4.674,-4.450,-4.615,-4.552,-4.398,-4.506,-4.614,-0.118,0.852,-0.540,-0.610,-1.038,0.946,73.333,34548.000,1.000
-4.925,-5.162,-5.011,-5.239,-5.080,-4.949,-5.052,-5.060,-0.115,0.851,-0.544,-0.549,-0.916,1.129,73.333,34549.000,1.000
-4.915,-5.035,-4.965,-5.264,-4.997,-4.920,-5.044,-4.978,-0.115,0.852,-0.544,-0.427,-0.763,1.038,73.333,34550.000,1.000
-4.232,-4.240,-4.183,-4.553,-4.231,-4.192,-4.324,-4.245,-0.115,0.852,-0.540,-0.183,-0.641,0.977,73.333,34551.000,1.000
-3.622,-3.563,-3.421,-3.833,-3.546,-3.515,-3.602,-3.564,-0.114,0.853,-0.542,-0.031,-0.488,1.068,73.333,34552.000,1.000
-3.566,-3.498,-3.215,-3.602,-3.435,-3.396,-3.384,-3.405,-0.111,0.855,-0.543,0.214,-0.336,1.038,73.333,34553.000,1.000
-3.553,-3.516,-3.106,-3.397,-3.382,-3.341,-3.217,-3.276,-0.111,0.853,-0.545,0.336,-0.244,1.068,73.333,34554.000,1.000
-2.809,-2.805,-2.342,-2.498,-2.607,-2.585,-2.388,-2.434,-0.110,0.858,-0.543,0.488,-0.031,1.038,73.333,34555.000,1.000
-1.365,-1.367,-0.953,-0.985,-1.145,-1.161,-0.958,-0.951,-0.110,0.860,-0.543,0.549,0.183,0.977,73.333,34556.000,1.000
-0.036,-0.014,0.264,0.311,0.177,0.137,0.279,0.326,-0.108,0.863,-0.545,0.580,0.305,0.916,73.333,34557.000,1.000
0.677,0.726,0.843,0.911,0.854,0.848,0.877,0.903,-0.111,0.863,-0.545,0.610,0.488,0.793,73.333,34558.000,1.000
1.251,1.309,1.312,1.330,1.368,1.464,1.361,1.302,-0.112,0.864,-0.545,0.519,0.549,0.610,73.333,34559.000,1.000
2.433,2.501,2.480,2.375,2.507,2.717,2.525,2.349,-0.112,0.864,-0.544,0.549,0.702,0.458,73.333,34560.000,1.000
4.170,4.280,4.312,4.053,4.259,4.515,4.332,4.042,-0.113,0.863,-0.542,0.580,0.854,0.305,73.333,34561.000,1.000
5.540,5.717,5.833,5.462,5.709,5.894,5.831,5.450,-0.112,0.865,-0.542,0.427,0.977,0.244,73.333,34562.000,1.000
5.860,6.078,6.270,5.889,6.132,6.147,6.280,5.837,-0.113,0.864,-0.542,0.305,1.099,0.214,73.333,34563.000,1.000
5.545,5.738,5.984,5.693,5.895,5.715,6.032,5.569,-0.113,0.863,-0.544,0.244,1.129,0.122,73.333,34564.000,1.000
5.553,5.667,5.940,5.786,5.917,5.618,6.002,5.591,-0.115,0.862,-0.546,0.061,1.099,0.092,73.333,34565.000,1.000
6.151,6.170,6.444,6.403,6.444,6.171,6.457,6.181,-0.115,0.864,-0.546,0.092,1.099,-0.031,73.333,34566.000,1.000
6.602,6.545,6.823,6.804,6.751,6.648,6.716,6.630,-0.116,0.864,-0.543,-0.031,1.221,-0.092,73.333,34567.000,1.000
6.269,6.167,6.486,6.382,6.249,6.375,6.216,6.318,-0.116,0.862,-0.546,-0.153,1.251,-0.092,73.333,34568.000,1.000
5.537,5.409,5.801,5.570,5.380,5.681,5.379,5.620,-0.117,0.861,-0.548,-0.183,1.190,-0.244,73.333,34569.000,1.000
5.196,5.046,5.507,5.196,4.984,5.329,5.005,5.315,-0.119,0.860,-0.545,-0.214,1.190,-0.336,73.333,34570.000,1.000
5.286,5.128,5.625,5.332,5.137,5.382,5.144,5.450,-0.118,0.858,-0.550,-0.183,1.282,-0.336,73.333,34571.000,1.000
5.060,4.936,5.421,5.230,5.082,5.137,5.041,5.285,-0.119,0.856,-0.553,-0.153,1.129,-0.397,73.333,34572.000,1.000
4.115,4.078,4.484,4.441,4.331,4.208,4.248,4.389,-0.119,0.856,-0.550,-0.122,1.129,-0.397,73.333,34573.000,1.000
3.033,3.120,3.369,3.483,3.364,3.175,3.289,3.301,-0.120,0.857,-0.550,-0.092,1.068,-0.397,73.333,34574.000,1.000
2.643,2.857,2.900,3.149,2.952,2.857,2.957,2.843,-0.120,0.856,-0.549,0.000,1.038,-0.397,73.333,34575.000,1.000
3.055,3.357,3.221,3.543,3.229,3.343,3.353,3.174,-0.121,0.855,-0.546,0.031,0.885,-0.397,73.333,34576.000,1.000
3.668,3.995,3.777,4.081,3.676,3.998,3.889,3.746,-0.121,0.857,-0.546,0.031,0.885,-0.519,73.333,34577.000,1.000
3.962,4.259,4.061,4.269,3.864,4.272,4.077,4.054,-0.119,0.858,-0.547,-0.031,0.763,-0.488,73.333,34578.000,1.000
