EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3.034,-2.621,-2.918,-2.519,-2.644,-2.854,-2.643,-2.746,-0.049,0.862,-0.557,-1.373,-0.244,0.427,73.333,34257.000,1.000
-2.886,-2.358,-2.583,-2.311,-2.493,-2.633,-2.397,-2.444,-0.051,0.862,-0.557,-1.373,-0.336,0.427,73.333,34258.000,1.000
-2.270,-1.705,-1.842,-1.753,-1.959,-2.015,-1.770,-1.760,-0.051,0.862,-0.559,-1.221,-0.549,0.458,73.333,34259.000,1.000
-0.907,-0.392,-0.460,-0.552,-0.755,-0.737,-0.490,-0.459,-0.050,0.860,-0.558,-1.160,-0.641,0.488,73.333,34260.000,1.000
1.285,1.692,1.642,1.431,1.250,1.314,1.559,1.562,-0.049,0.859,-0.556,-1.160,-0.732,0.397,73.333,34261.000,1.000
3.902,4.181,4.099,3.860,3.718,3.789,4.027,3.964,-0.048,0.857,-0.559,-1.129,-0.854,0.458,73.333,34262.000,1.000
6.214,6.366,6.235,6.053,5.957,6.005,6.230,6.090,-0.049,0.856,-0.561,-1.068,-0.977,0.427,73.333,34263.000,1.000
7.652,7.690,7.536,7.462,7.400,7.409,7.614,7.420,-0.049,0.856,-0.561,-0.946,-1.038,0.458,73.333,34264.000,1.000
8.174,8.125,8.000,8.032,7.979,7.950,8.135,7.927,-0.050,0.856,-0.560,-0.885,-1.129,0.427,73.333,34265.000,1.000
8.143,8.043,7.994,8.083,8.008,7.957,8.144,7.957,-0.048,0.856,-0.559,-0.763,-1.190,0.488,73.333,34266.000,1.000
7.912,7.812,7.848,7.929,7.816,7.757,7.993,7.838,-0.050,0.855,-0.558,-0.610,-1.129,0.458,73.333,34267.000,1.000
7.549,7.501,7.595,7.614,7.485,7.416,7.739,7.611,-0.048,0.855,-0.557,-0.519,-1.160,0.397,73.333,34268.000,1.000
6.871,6.906,7.019,6.943,6.853,6.775,7.162,7.053,-0.049,0.855,-0.558,-0.397,-1.343,0.366,73.333,34269.000,1.000
5.653,5.763,5.874,5.696,5.697,5.631,5.994,5.890,-0.051,0.857,-0.560,-0.275,-1.312,0.336,73.333,34270.000,1.000
3.909,4.048,4.153,3.898,4.009,3.983,4.216,4.100,-0.049,0.857,-0.562,-0.305,-1.434,0.305,73.333,34271.000,1.000
2.057,2.168,2.264,1.990,2.187,2.220,2.251,2.121,-0.047,0.857,-0.565,-0.305,-1.495,0.305,73.333,34272.000,1.000
0.653,0.684,0.774,0.552,0.772,0.868,0.702,0.567,-0.046,0.856,-0.561,-0.275,-1.434,0.336,73.333,34273.000,1.000
-0.116,-0.208,-0.108,-0.222,-0.063,0.081,-0.189,-0.319,-0.045,0.857,-0.563,-0.214,-1.465,0.275,73.333,34274.000,1.000
-0.672,-0.909,-0.789,-0.783,-0.739,-0.580,-0.817,-0.940,-0.043,0.855,-0.566,-0.061,-1.373,0.305,73.333,34275.000,1.000
