EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
3.237,2.870,2.738,2.813,2.861,2.786,2.509,2.599,-0.078,0.865,-0.549,-0.977,-1.251,0.427,73.333,1521.000,1.000
1.450,1.057,0.842,0.974,1.043,0.920,0.681,0.723,-0.076,0.865,-0.552,-1.038,-1.221,0.549,73.333,1522.000,1.000
-0.030,-0.406,-0.665,-0.490,-0.386,-0.557,-0.711,-0.760,-0.075,0.862,-0.548,-0.946,-1.190,0.671,73.333,1523.000,1.000
-0.979,-1.302,-1.580,-1.374,-1.234,-1.400,-1.479,-1.642,-0.074,0.864,-0.548,-1.099,-1.251,0.671,73.333,1524.000,1.000
-1.474,-1.720,-2.013,-1.800,-1.634,-1.704,-1.758,-2.022,-0.073,0.865,-0.549,-1.038,-1.251,0.610,73.333,1525.000,1.000
-1.728,-1.900,-2.199,-2.021,-1.838,-1.745,-1.814,-2.139,-0.072,0.863,-0.551,-1.007,-1.190,0.580,73.333,1526.000,1.000
-1.872,-2.007,-2.287,-2.186,-1.987,-1.742,-1.824,-2.161,-0.074,0.865,-0.550,-0.885,-1.099,0.519,73.333,1527.000,1.000
-1.974,-2.110,-2.343,-2.328,-2.113,-1.818,-1.853,-2.169,-0.073,0.865,-0.552,-0.793,-1.068,0.641,73.333,1528.000,1.000
-2.049,-2.192,-2.358,-2.403,-2.182,-1.968,-1.883,-2.167,-0.074,0.864,-0.551,-0.793,-0.885,0.580,73.333,1529.000,1.000
-2.061,-2.180,-2.266,-2.332,-2.140,-2.073,-1.850,-2.107,-0.075,0.863,-0.548,-0.824,-0.854,0.671,73.333,1530.000,1.000
-1.953,-2.021,-2.011,-2.070,-1.958,-1.992,-1.704,-1.930,-0.077,0.864,-0.548,-0.885,-0.824,0.549,73.333,1531.000,1.000
