EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-9.633,-9.810,-9.726,-9.605,-9.738,-9.472,-9.925,-9.597,-0.041,0.863,-0.567,-2.625,-1.526,-0.916,73.333,61913.000,1.000
-11.058,-11.303,-11.088,-11.039,-11.156,-11.001,-11.338,-11.093,-0.038,0.865,-0.566,-2.747,-1.587,-0.763,73.333,61914.000,1.000
-11.724,-12.093,-11.742,-11.724,-11.844,-11.837,-12.004,-11.879,-0.036,0.863,-0.565,-2.930,-1.526,-0.488,73.333,61915.000,1.000
-11.748,-12.252,-11.804,-11.758,-11.914,-12.031,-12.053,-12.035,-0.038,0.862,-0.565,-3.082,-1.617,-0.427,73.333,61916.000,1.000
-11.488,-12.073,-11.602,-11.493,-11.704,-11.869,-11.841,-11.877,-0.037,0.860,-0.564,-3.265,-1.678,-0.214,73.333,61917.000,1.000
-11.269,-11.828,-11.427,-11.249,-11.515,-11.624,-11.653,-11.682,-0.038,0.861,-0.564,-3.296,-1.709,-0.244,73.333,61918.000,1.000
-11.236,-11.656,-11.400,-11.173,-11.474,-11.446,-11.576,-11.563,-0.038,0.862,-0.564,-3.387,-1.587,-0.061,73.333,61919.000,1.000
-11.310,-11.512,-11.421,-11.187,-11.485,-11.302,-11.485,-11.432,-0.035,0.863,-0.564,-3.418,-1.617,0.000,73.333,61920.000,1.000
-11.268,-11.223,-11.249,-11.060,-11.315,-11.033,-11.158,-11.103,-0.033,0.864,-0.564,-3.571,-1.617,0.122,73.333,61921.000,1.000
-10.779,-10.519,-10.578,-10.474,-10.660,-10.380,-10.346,-10.328,-0.033,0.867,-0.564,-3.723,-1.587,0.153,73.333,61922.000,1.000
-9.634,-9.241,-9.268,-9.255,-9.377,-9.189,-8.970,-8.995,-0.031,0.867,-0.562,-3.784,-1.465,0.214,73.333,61923.000,1.000
-8.014,-7.593,-7.576,-7.619,-7.712,-7.657,-7.304,-7.337,-0.034,0.869,-0.559,-4.028,-1.434,0.305,73.333,61924.000,1.000
-6.429,-6.068,-6.038,-6.071,-6.193,-6.245,-5.858,-5.850,-0.037,0.872,-0.561,-4.242,-1.312,0.183,73.333,61925.000,1.000
-5.445,-5.187,-5.176,-5.133,-5.339,-5.432,-5.107,-5.033,-0.042,0.873,-0.563,-4.456,-1.282,0.214,73.333,61926.000,1.000
-5.307,-5.140,-5.168,-5.023,-5.327,-5.409,-5.197,-5.060,-0.041,0.874,-0.561,-4.547,-1.373,0.031,73.333,61927.000,1.000
-5.900,-5.773,-5.861,-5.637,-5.995,-6.067,-5.955,-5.787,-0.045,0.873,-0.560,-4.822,-1.556,-0.122,73.333,61928.000,1.000
-7.020,-6.891,-7.054,-6.812,-7.135,-7.249,-7.183,-7.022,-0.046,0.870,-0.561,-4.852,-1.709,-0.214,73.333,61929.000,1.000
-8.555,-8.413,-8.639,-8.457,-8.646,-8.865,-8.794,-8.655,-0.046,0.870,-0.563,-5.005,-1.678,-0.488,73.333,61930.000,1.000
-10.448,-10.297,-10.537,-10.483,-10.474,-10.824,-10.734,-10.609,-0.044,0.869,-0.557,-5.096,-1.831,-0.671,73.333,61931.000,1.000
-12.458,-12.291,-12.493,-12.579,-12.377,-12.823,-12.739,-12.639,-0.041,0.868,-0.556,-5.188,-1.862,-0.824,73.333,61932.000,1.000
-14.172,-13.976,-14.109,-14.282,-13.959,-14.417,-14.386,-14.354,-0.042,0.866,-0.557,-5.341,-1.923,-0.946,73.333,61933.000,1.000
-15.222,-15.016,-15.066,-15.234,-14.892,-15.274,-15.338,-15.419,-0.040,0.869,-0.557,-5.341,-1.984,-0.977,73.333,61934.000,1.000
-15.410,-15.248,-15.203,-15.298,-15.020,-15.269,-15.452,-15.642,-0.038,0.869,-0.556,-5.402,-1.984,-1.068,73.333,61935.000,1.000
-14.738,-14.682,-14.556,-14.558,-14.377,-14.480,-14.784,-15.009,-0.038,0.868,-0.554,-5.402,-1.984,-1.129,73.333,61936.000,1.000
-13.279,-13.356,-13.212,-13.138,-13.035,-13.019,-13.413,-13.567,-0.035,0.868,-0.553,-5.554,-1.984,-1.190,73.333,61937.000,1.000
-11.140,-11.315,-11.243,-11.125,-11.047,-10.971,-11.396,-11.405,-0.036,0.866,-0.553,-5.646,-1.892,-1.221,73.333,61938.000,1.000
-8.510,-8.695,-8.753,-8.633,-8.536,-8.452,-8.849,-8.710,-0.035,0.865,-0.554,-5.554,-1.892,-1.160,73.333,61939.000,1.000
-5.608,-5.723,-5.888,-5.818,-5.697,-5.627,-5.949,-5.722,-0.034,0.865,-0.556,-5.493,-1.801,-1.099,73.333,61940.000,1.000
-2.692,-2.726,-2.909,-2.924,-2.805,-2.748,-2.976,-2.733,-0.035,0.862,-0.556,-5.402,-1.709,-0.977,73.333,61941.000,1.000
-0.020,-0.021,-0.136,-0.221,-0.132,-0.086,-0.230,-0.014,-0.035,0.861,-0.552,-5.310,-1.678,-0.854,73.333,61942.000,1.000
2.165,2.137,2.127,2.027,2.077,2.110,2.018,2.202,-0.037,0.858,-0.552,-5.249,-1.587,-0.702,73.333,61943.000,1.000
3.625,3.538,3.605,3.549,3.582,3.600,3.521,3.687,-0.039,0.858,-0.551,-5.066,-1.556,-0.610,73.333,61944.000,1.000
4.210,4.076,4.144,4.173,4.215,4.223,4.123,4.297,-0.039,0.855,-0.550,-4.913,-1.526,-0.519,73.333,61945.000,1.000
3.889,3.746,3.742,3.872,3.916,3.931,3.797,4.001,-0.042,0.855,-0.550,-4.730,-1.587,-0.488,73.333,61946.000,1.000
2.887,2.776,2.669,2.887,2.892,2.942,2.777,3.028,-0.041,0.854,-0.553,-4.608,-1.587,-0.214,73.333,61947.000,1.000
1.677,1.622,1.433,1.687,1.633,1.728,1.536,1.848,-0.042,0.856,-0.549,-4.425,-1.617,-0.336,73.333,61948.000,1.000
0.728,0.749,0.523,0.729,0.648,0.761,0.547,0.918,-0.042,0.856,-0.550,-4.242,-1.709,-0.153,73.333,61949.000,1.000
0.305,0.428,0.200,0.285,0.229,0.311,0.093,0.492,-0.042,0.858,-0.544,-4.028,-1.709,0.031,73.333,61950.000,1.000
