EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-2.293,-2.009,-2.027,-1.738,-2.000,-1.927,-2.086,-1.946,-0.046,0.882,-0.522,-1.068,-0.763,0.183,73.333,1209.000,1.000
-2.771,-2.451,-2.594,-2.229,-2.501,-2.430,-2.610,-2.499,-0.048,0.882,-0.522,-1.068,-0.763,0.244,73.333,1210.000,1.000
-3.228,-2.881,-3.116,-2.786,-2.968,-2.922,-3.089,-3.034,-0.044,0.881,-0.525,-1.099,-0.854,0.214,73.333,1211.000,1.000
-3.426,-3.068,-3.356,-3.144,-3.191,-3.176,-3.291,-3.313,-0.046,0.880,-0.524,-1.068,-0.885,0.214,73.333,1212.000,1.000
-3.077,-2.742,-3.056,-2.972,-2.920,-2.908,-2.962,-3.060,-0.047,0.880,-0.524,-1.160,-0.885,0.336,73.333,1213.000,1.000
-2.180,-1.917,-2.237,-2.217,-2.156,-2.098,-2.126,-2.267,-0.045,0.878,-0.529,-1.251,-0.977,0.275,73.333,1214.000,1.000
-1.113,-0.967,-1.260,-1.215,-1.228,-1.093,-1.149,-1.275,-0.045,0.876,-0.528,-1.099,-0.916,0.366,73.333,1215.000,1.000
-0.281,-0.279,-0.496,-0.364,-0.481,-0.291,-0.406,-0.459,-0.043,0.876,-0.530,-0.977,-0.946,0.427,73.333,1216.000,1.000
0.172,0.033,-0.065,0.150,-0.032,0.151,-0.013,0.043,-0.045,0.876,-0.530,-0.946,-0.946,0.519,73.333,1217.000,1.000
0.284,0.045,0.087,0.328,0.150,0.263,0.093,0.267,-0.047,0.878,-0.530,-0.763,-0.977,0.549,73.333,1218.000,1.000
0.149,-0.115,0.055,0.254,0.123,0.134,0.020,0.291,-0.051,0.876,-0.528,-0.671,-1.099,0.427,73.333,1219.000,1.000
-0.141,-0.353,-0.105,0.019,-0.069,-0.147,-0.169,0.159,-0.052,0.877,-0.529,-0.549,-1.068,0.427,73.333,1220.000,1.000
-0.479,-0.593,-0.337,-0.287,-0.355,-0.471,-0.427,-0.085,-0.051,0.879,-0.525,-0.580,-1.129,0.519,73.333,1221.000,1.000
-0.779,-0.799,-0.585,-0.603,-0.651,-0.738,-0.712,-0.385,-0.049,0.880,-0.525,-0.488,-1.251,0.458,73.333,1222.000,1.000
-1.017,-0.997,-0.840,-0.916,-0.921,-0.931,-0.999,-0.702,-0.048,0.880,-0.528,-0.641,-1.251,0.427,73.333,1223.000,1.000
-1.178,-1.198,-1.086,-1.203,-1.135,-1.068,-1.253,-0.984,-0.045,0.882,-0.526,-0.488,-1.312,0.427,73.333,1224.000,1.000
-1.291,-1.401,-1.330,-1.459,-1.298,-1.208,-1.466,-1.213,-0.043,0.884,-0.527,-0.580,-1.221,0.580,73.333,1225.000,1.000
-1.428,-1.605,-1.591,-1.695,-1.443,-1.413,-1.662,-1.425,-0.041,0.880,-0.527,-0.641,-1.312,0.580,73.333,1226.000,1.000
-1.717,-1.872,-1.942,-1.996,-1.669,-1.763,-1.939,-1.736,-0.040,0.878,-0.529,-0.671,-1.160,0.671,73.333,1227.000,1.000
