EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-2.675,-2.490,-2.968,-2.853,-2.741,-2.933,-2.957,-2.792,-0.042,0.872,-0.545,-0.305,-1.251,0.458,73.333,32913.000,1.000
-4.189,-3.880,-4.334,-4.105,-4.144,-4.355,-4.278,-4.037,-0.041,0.873,-0.547,-0.366,-1.221,0.488,73.333,32914.000,1.000
-4.992,-4.576,-4.997,-4.695,-4.907,-5.042,-4.935,-4.590,-0.041,0.876,-0.542,-0.458,-1.251,0.488,73.333,32915.000,1.000
-4.965,-4.504,-4.882,-4.573,-4.926,-4.906,-4.855,-4.412,-0.041,0.875,-0.542,-0.427,-1.251,0.458,73.333,32916.000,1.000
-4.360,-3.940,-4.265,-3.990,-4.420,-4.234,-4.280,-3.786,-0.039,0.878,-0.544,-0.458,-1.282,0.397,73.333,32917.000,1.000
-3.669,-3.349,-3.624,-3.376,-3.813,-3.531,-3.644,-3.170,-0.037,0.878,-0.542,-0.610,-1.282,0.305,73.333,32918.000,1.000
-3.319,-3.096,-3.345,-3.095,-3.481,-3.203,-3.302,-2.938,-0.034,0.876,-0.544,-0.610,-1.129,0.366,73.333,32919.000,1.000
-3.459,-3.280,-3.523,-3.278,-3.571,-3.355,-3.374,-3.189,-0.029,0.873,-0.546,-0.641,-1.160,0.427,73.333,32920.000,1.000
-4.009,-3.840,-4.057,-3.878,-4.046,-3.893,-3.828,-3.832,-0.028,0.871,-0.548,-0.641,-0.977,0.397,73.333,32921.000,1.000
-4.822,-4.695,-4.808,-4.771,-4.811,-4.695,-4.587,-4.720,-0.028,0.868,-0.548,-0.549,-0.793,0.458,73.333,32922.000,1.000
-5.832,-5.817,-5.742,-5.864,-5.821,-5.729,-5.600,-5.776,-0.027,0.866,-0.545,-0.488,-0.702,0.549,73.333,32923.000,1.000
-7.044,-7.176,-6.896,-7.100,-7.049,-6.984,-6.824,-6.977,-0.027,0.865,-0.546,-0.519,-0.549,0.580,73.333,32924.000,1.000
-8.385,-8.620,-8.219,-8.367,-8.377,-8.338,-8.147,-8.251,-0.031,0.871,-0.544,-0.397,-0.366,0.488,73.333,32925.000,1.000
-9.684,-9.916,-9.530,-9.519,-9.619,-9.596,-9.409,-9.466,-0.028,0.873,-0.543,-0.488,-0.214,0.580,73.333,32926.000,1.000
-10.772,-10.891,-10.621,-10.442,-10.624,-10.602,-10.479,-10.499,-0.028,0.875,-0.545,-0.580,-0.061,0.641,73.333,32927.000,1.000
-11.589,-11.535,-11.407,-11.140,-11.367,-11.335,-11.326,-11.322,-0.031,0.877,-0.542,-0.671,0.061,0.549,73.333,32928.000,1.000
-12.124,-11.912,-11.887,-11.636,-11.864,-11.816,-11.938,-11.920,-0.035,0.879,-0.541,-0.763,0.214,0.458,73.333,32929.000,1.000
-12.225,-11.924,-11.935,-11.776,-11.971,-11.910,-12.129,-12.108,-0.040,0.879,-0.543,-0.885,0.244,0.336,73.333,32930.000,1.000
-11.618,-11.313,-11.299,-11.254,-11.395,-11.338,-11.584,-11.568,-0.045,0.880,-0.544,-1.007,0.244,0.183,73.333,32931.000,1.000
-10.106,-9.872,-9.800,-9.853,-9.924,-9.888,-10.109,-10.096,-0.048,0.879,-0.547,-1.068,0.153,-0.031,73.333,32932.000,1.000
