EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-2.977,-2.908,-2.982,-2.789,-2.752,-2.889,-2.746,-3.088,-0.049,0.875,-0.528,-1.373,-1.312,1.068,73.333,6145.000,1.000
-3.860,-3.886,-3.980,-3.769,-3.724,-3.945,-3.696,-4.064,-0.051,0.873,-0.529,-1.282,-1.251,1.190,73.333,6146.000,1.000
-4.504,-4.627,-4.719,-4.521,-4.477,-4.713,-4.400,-4.745,-0.050,0.874,-0.529,-1.312,-1.160,1.282,73.333,6147.000,1.000
-5.059,-5.235,-5.307,-5.146,-5.103,-5.312,-4.994,-5.246,-0.051,0.874,-0.528,-1.129,-1.129,1.251,73.333,6148.000,1.000
-5.591,-5.772,-5.799,-5.697,-5.642,-5.814,-5.553,-5.664,-0.049,0.875,-0.527,-1.251,-1.129,1.282,73.333,6149.000,1.000
-6.073,-6.233,-6.193,-6.161,-6.079,-6.217,-6.064,-6.044,-0.048,0.873,-0.524,-1.312,-1.038,1.282,73.333,6150.000,1.000
-6.433,-6.576,-6.465,-6.494,-6.384,-6.494,-6.461,-6.378,-0.047,0.874,-0.529,-1.160,-0.977,1.373,73.333,6151.000,1.000
-6.593,-6.735,-6.578,-6.637,-6.511,-6.607,-6.661,-6.600,-0.044,0.876,-0.527,-1.129,-0.763,1.373,73.333,6152.000,1.000
-6.394,-6.540,-6.374,-6.441,-6.306,-6.407,-6.484,-6.504,-0.045,0.874,-0.527,-1.190,-0.671,1.282,73.333,6153.000,1.000
-5.623,-5.739,-5.595,-5.688,-5.532,-5.642,-5.692,-5.807,-0.044,0.876,-0.526,-1.129,-0.427,1.099,73.333,6154.000,1.000
-4.211,-4.249,-4.137,-4.286,-4.098,-4.204,-4.216,-4.396,-0.043,0.875,-0.530,-1.312,-0.305,0.946,73.333,6155.000,1.000
-2.307,-2.255,-2.160,-2.372,-2.164,-2.251,-2.237,-2.426,-0.043,0.876,-0.531,-1.251,-0.092,0.824,73.333,6156.000,1.000
-0.229,-0.131,-0.016,-0.264,-0.081,-0.141,-0.098,-0.244,-0.042,0.875,-0.528,-1.129,0.092,0.763,73.333,6157.000,1.000
1.658,1.728,1.903,1.664,1.766,1.742,1.834,1.755,-0.041,0.872,-0.532,-0.977,0.183,0.610,73.333,6158.000,1.000
3.054,3.046,3.302,3.108,3.097,3.109,3.270,3.255,-0.038,0.874,-0.529,-0.977,0.397,0.519,73.333,6159.000,1.000
3.849,3.769,4.087,3.943,3.831,3.870,4.103,4.132,-0.040,0.877,-0.530,-0.946,0.610,0.366,73.333,6160.000,1.000
4.208,4.110,4.435,4.310,4.153,4.215,4.485,4.539,-0.042,0.875,-0.531,-0.793,0.732,0.336,73.333,6161.000,1.000
4.401,4.351,4.621,4.478,4.343,4.438,4.672,4.739,-0.042,0.875,-0.530,-0.854,0.977,0.214,73.333,6162.000,1.000
4.551,4.586,4.765,4.602,4.523,4.658,4.783,4.854,-0.043,0.874,-0.527,-0.702,1.007,0.031,73.333,6163.000,1.000
4.528,4.632,4.729,4.588,4.539,4.699,4.713,4.763,-0.047,0.875,-0.529,-0.641,1.129,-0.031,73.333,6164.000,1.000
4.081,4.197,4.256,4.179,4.104,4.257,4.248,4.239,-0.048,0.877,-0.527,-0.671,1.251,0.000,73.333,6165.000,1.000
3.118,3.189,3.255,3.240,3.118,3.228,3.316,3.215,-0.048,0.879,-0.529,-0.732,1.373,-0.122,73.333,6166.000,1.000
1.801,1.819,1.905,1.906,1.780,1.822,2.069,1.871,-0.050,0.880,-0.529,-0.732,1.343,-0.214,73.333,6167.000,1.000
0.517,0.529,0.619,0.583,0.508,0.490,0.858,0.600,-0.050,0.880,-0.531,-0.763,1.312,-0.275,73.333,6168.000,1.000
-0.240,-0.162,-0.101,-0.198,-0.209,-0.251,0.133,-0.104,-0.052,0.879,-0.532,-0.641,1.404,-0.336,73.333,6169.000,1.000
-0.060,0.125,0.135,0.005,0.003,-0.020,0.277,0.148,-0.053,0.878,-0.530,-0.671,1.343,-0.397,73.333,6170.000,1.000
1.254,1.536,1.491,1.401,1.323,1.329,1.492,1.523,-0.055,0.880,-0.527,-0.702,1.221,-0.305,73.333,6171.000,1.000
3.582,3.906,3.812,3.834,3.625,3.638,3.673,3.866,-0.056,0.880,-0.530,-0.732,1.190,-0.275,73.333,6172.000,1.000
6.454,6.749,6.601,6.753,6.436,6.429,6.353,6.679,-0.055,0.881,-0.531,-0.793,1.190,-0.275,73.333,6173.000,1.000
9.161,9.368,9.143,9.382,9.039,9.004,8.826,9.242,-0.055,0.880,-0.533,-0.824,1.007,-0.183,73.333,6174.000,1.000
11.032,11.125,10.812,11.068,10.787,10.726,10.463,10.914,-0.056,0.880,-0.531,-0.763,0.824,-0.092,73.333,6175.000,1.000
11.843,11.815,11.445,11.668,11.489,11.413,11.101,11.517,-0.058,0.880,-0.531,-0.854,0.671,-0.122,73.333,6176.000,1.000
11.881,11.732,11.379,11.555,11.446,11.378,11.076,11.396,-0.057,0.881,-0.530,-0.977,0.519,0.092,73.333,6177.000,1.000
11.668,11.418,11.165,11.298,11.179,11.148,10.926,11.128,-0.057,0.881,-0.529,-0.885,0.305,0.153,73.333,6178.000,1.000
11.577,11.281,11.175,11.276,11.075,11.090,10.995,11.107,-0.059,0.880,-0.529,-0.946,0.214,0.214,73.333,6179.000,1.000
11.603,11.345,11.364,11.443,11.146,11.189,11.215,11.294,-0.060,0.878,-0.529,-0.885,0.000,0.305,73.333,6180.000,1.000
11.491,11.341,11.412,11.482,11.137,11.167,11.272,11.363,-0.059,0.878,-0.532,-0.916,-0.122,0.488,73.333,6181.000,1.000
10.984,10.960,11.006,11.074,10.757,10.734,10.871,10.991,-0.059,0.879,-0.531,-0.824,-0.397,0.488,73.333,6182.000,1.000
10.005,10.081,10.057,10.121,9.892,9.797,9.937,10.079,-0.059,0.880,-0.528,-0.946,-0.458,0.671,73.333,6183.000,1.000
8.666,8.800,8.695,8.749,8.631,8.489,8.608,8.750,-0.059,0.879,-0.528,-0.885,-0.549,0.671,73.333,6184.000,1.000
7.095,7.248,7.065,7.122,7.089,6.970,7.050,7.161,-0.059,0.878,-0.528,-0.885,-0.702,0.763,73.333,6185.000,1.000
5.351,5.476,5.223,5.315,5.300,5.298,5.331,5.384,-0.058,0.875,-0.527,-0.824,-0.885,0.763,73.333,6186.000,1.000
3.434,3.476,3.173,3.324,3.244,3.432,3.433,3.421,-0.055,0.875,-0.530,-0.854,-1.068,0.824,73.333,6187.000,1.000
1.422,1.343,1.028,1.230,1.030,1.417,1.408,1.357,-0.054,0.871,-0.529,-0.671,-1.251,0.793,73.333,6188.000,1.000
