EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-6.699,-6.632,-6.954,-6.750,-6.513,-6.680,-6.434,-6.533,-0.058,0.877,-0.531,-0.183,-1.007,0.580,73.333,66105.000,1.000
-5.114,-5.145,-5.412,-5.270,-5.013,-5.124,-4.941,-5.012,-0.058,0.876,-0.532,-0.244,-1.007,0.610,73.333,66106.000,1.000
-3.584,-3.665,-3.808,-3.753,-3.559,-3.567,-3.520,-3.509,-0.057,0.875,-0.532,-0.305,-1.007,0.641,73.333,66107.000,1.000
-2.457,-2.515,-2.526,-2.553,-2.461,-2.352,-2.493,-2.375,-0.058,0.875,-0.529,-0.244,-1.038,0.641,73.333,66108.000,1.000
-1.877,-1.854,-1.774,-1.875,-1.837,-1.661,-1.993,-1.770,-0.061,0.873,-0.536,-0.153,-1.068,0.610,73.333,66109.000,1.000
-1.821,-1.689,-1.570,-1.753,-1.670,-1.534,-1.994,-1.677,-0.060,0.873,-0.532,-0.031,-1.007,0.610,73.333,66110.000,1.000
-2.201,-1.973,-1.850,-2.125,-1.937,-1.930,-2.411,-2.010,-0.058,0.873,-0.529,0.000,-1.068,0.641,73.333,66111.000,1.000
-2.879,-2.609,-2.491,-2.845,-2.574,-2.708,-3.107,-2.650,-0.062,0.875,-0.533,0.031,-1.007,0.519,73.333,66112.000,1.000
-3.565,-3.330,-3.210,-3.583,-3.328,-3.529,-3.785,-3.329,-0.062,0.878,-0.534,0.122,-0.916,0.397,73.333,66113.000,1.000
-3.885,-3.748,-3.618,-3.936,-3.812,-3.968,-4.071,-3.687,-0.061,0.880,-0.532,0.092,-0.916,0.366,73.333,66114.000,1.000
-3.588,-3.563,-3.436,-3.641,-3.729,-3.751,-3.717,-3.467,-0.060,0.879,-0.532,0.092,-0.885,0.397,73.333,66115.000,1.000
-2.708,-2.759,-2.658,-2.736,-3.048,-2.915,-2.764,-2.666,-0.062,0.876,-0.528,-0.061,-0.916,0.427,73.333,66116.000,1.000
-1.539,-1.614,-1.554,-1.533,-2.003,-1.773,-1.530,-1.537,-0.062,0.875,-0.531,-0.153,-0.885,0.336,73.333,66117.000,1.000
-0.467,-0.526,-0.501,-0.435,-0.942,-0.713,-0.419,-0.440,-0.062,0.876,-0.535,-0.153,-0.854,0.275,73.333,66118.000,1.000
0.151,0.129,0.134,0.196,-0.222,-0.084,0.210,0.254,-0.063,0.877,-0.533,-0.122,-0.916,0.244,73.333,66119.000,1.000
0.074,0.098,0.092,0.129,-0.117,-0.117,0.138,0.271,-0.061,0.879,-0.535,0.000,-0.885,0.275,73.333,66120.000,1.000
-0.782,-0.704,-0.719,-0.698,-0.750,-0.896,-0.692,-0.496,-0.060,0.878,-0.534,-0.092,-0.854,0.305,73.333,66121.000,1.000
-2.317,-2.182,-2.192,-2.186,-2.078,-2.341,-2.182,-1.960,-0.058,0.875,-0.530,-0.122,-0.763,0.275,73.333,66122.000,1.000
-4.246,-4.048,-4.028,-4.061,-3.854,-4.187,-4.056,-3.828,-0.058,0.875,-0.534,-0.183,-0.732,0.092,73.333,66123.000,1.000
-6.143,-5.871,-5.805,-5.903,-5.668,-6.006,-5.896,-5.663,-0.058,0.874,-0.534,-0.244,-0.671,0.244,73.333,66124.000,1.000
