EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.747,0.732,0.911,0.837,0.862,0.855,0.862,0.845,-0.057,0.874,-0.537,-1.282,-0.061,0.488,73.333,48097.000,1.000
1.952,2.012,2.035,2.003,2.066,2.000,1.961,2.005,-0.058,0.872,-0.535,-1.160,-0.061,0.519,73.333,48098.000,1.000
3.898,4.097,3.924,3.936,4.048,3.908,3.831,3.941,-0.058,0.869,-0.537,-1.099,0.031,0.580,73.333,48099.000,1.000
5.785,6.130,5.781,5.833,5.995,5.774,5.690,5.868,-0.060,0.870,-0.538,-1.038,-0.061,0.519,73.333,48100.000,1.000
6.760,7.196,6.744,6.829,7.023,6.736,6.697,6.917,-0.060,0.869,-0.536,-0.977,-0.092,0.488,73.333,48101.000,1.000
6.731,7.157,6.706,6.810,7.007,6.685,6.749,6.945,-0.059,0.871,-0.536,-1.007,-0.122,0.519,73.333,48102.000,1.000
6.276,6.599,6.241,6.342,6.513,6.196,6.389,6.482,-0.060,0.869,-0.536,-0.824,-0.183,0.549,73.333,48103.000,1.000
5.971,6.143,5.923,6.007,6.116,5.856,6.138,6.086,-0.061,0.869,-0.537,-0.732,-0.244,0.519,73.333,48104.000,1.000
5.889,5.906,5.800,5.891,5.899,5.739,6.020,5.846,-0.060,0.870,-0.535,-0.702,-0.244,0.519,73.333,48105.000,1.000
5.684,5.569,5.509,5.658,5.547,5.493,5.680,5.457,-0.060,0.869,-0.535,-0.641,-0.183,0.427,73.333,48106.000,1.000
4.970,4.753,4.687,4.925,4.715,4.738,4.771,4.585,-0.060,0.866,-0.541,-0.641,-0.275,0.488,73.333,48107.000,1.000
3.657,3.351,3.294,3.589,3.341,3.411,3.272,3.188,-0.059,0.868,-0.540,-0.549,-0.366,0.427,73.333,48108.000,1.000
2.099,1.715,1.724,2.000,1.790,1.898,1.604,1.649,-0.059,0.869,-0.537,-0.397,-0.427,0.427,73.333,48109.000,1.000
0.869,0.448,0.554,0.747,0.625,0.769,0.383,0.517,-0.059,0.870,-0.538,-0.366,-0.458,0.397,73.333,48110.000,1.000
0.306,-0.065,0.107,0.203,0.153,0.331,-0.055,0.076,-0.058,0.872,-0.535,-0.214,-0.366,0.244,73.333,48111.000,1.000
0.254,0.021,0.200,0.224,0.176,0.387,0.078,0.112,-0.056,0.872,-0.536,-0.244,-0.366,0.183,73.333,48112.000,1.000
0.261,0.203,0.355,0.332,0.215,0.464,0.250,0.153,-0.057,0.875,-0.540,-0.183,-0.244,0.244,73.333,48113.000,1.000
0.108,0.194,0.312,0.251,0.027,0.339,0.180,-0.010,-0.057,0.876,-0.540,-0.214,-0.336,0.214,73.333,48114.000,1.000
-0.023,0.125,0.206,0.114,-0.211,0.200,0.016,-0.188,-0.055,0.876,-0.542,-0.214,-0.366,0.214,73.333,48115.000,1.000
0.101,0.218,0.246,0.144,-0.234,0.285,0.000,-0.150,-0.056,0.878,-0.539,-0.214,-0.519,0.183,73.333,48116.000,1.000
0.366,0.395,0.346,0.266,-0.085,0.493,0.077,0.006,-0.057,0.878,-0.535,-0.366,-0.580,0.214,73.333,48117.000,1.000
0.371,0.319,0.200,0.157,-0.085,0.449,-0.060,-0.064,-0.057,0.879,-0.537,-0.275,-0.519,0.183,73.333,48118.000,1.000
-0.053,-0.135,-0.268,-0.288,-0.379,-0.001,-0.520,-0.485,-0.062,0.878,-0.535,-0.366,-0.519,0.275,73.333,48119.000,1.000
-0.623,-0.692,-0.748,-0.784,-0.742,-0.584,-1.020,-0.980,-0.060,0.875,-0.535,-0.458,-0.549,0.275,73.333,48120.000,1.000
-0.927,-0.975,-0.890,-0.981,-0.869,-0.906,-1.193,-1.189,-0.059,0.878,-0.538,-0.580,-0.488,0.183,73.333,48121.000,1.000
-0.858,-0.910,-0.681,-0.843,-0.734,-0.867,-0.973,-1.053,-0.059,0.878,-0.539,-0.610,-0.458,0.183,73.333,48122.000,1.000
-0.642,-0.722,-0.399,-0.614,-0.563,-0.675,-0.606,-0.817,-0.061,0.876,-0.538,-0.641,-0.458,0.183,73.333,48123.000,1.000
-0.428,-0.540,-0.188,-0.400,-0.437,-0.457,-0.252,-0.598,-0.060,0.875,-0.538,-0.580,-0.488,0.244,73.333,48124.000,1.000
-0.076,-0.200,0.133,-0.006,-0.142,-0.068,0.205,-0.200,-0.060,0.876,-0.539,-0.580,-0.488,0.244,73.333,48125.000,1.000
0.598,0.480,0.770,0.753,0.527,0.658,0.917,0.579,-0.063,0.874,-0.538,-0.641,-0.610,0.275,73.333,48126.000,1.000
1.450,1.329,1.554,1.670,1.386,1.544,1.707,1.545,-0.064,0.876,-0.537,-0.610,-0.549,0.244,73.333,48127.000,1.000
2.043,1.877,2.012,2.235,1.946,2.127,2.138,2.185,-0.062,0.876,-0.541,-0.671,-0.702,0.122,73.333,48128.000,1.000
2.125,1.855,1.884,2.170,1.940,2.145,2.010,2.198,-0.060,0.877,-0.539,-0.671,-0.793,0.153,73.333,48129.000,1.000
1.866,1.452,1.405,1.703,1.586,1.800,1.585,1.783,-0.060,0.876,-0.535,-0.671,-0.763,0.183,73.333,48130.000,1.000
1.608,1.075,1.039,1.281,1.308,1.489,1.290,1.385,-0.056,0.875,-0.533,-0.763,-0.702,0.214,73.333,48131.000,1.000
1.490,0.943,1.007,1.120,1.287,1.389,1.283,1.247,-0.055,0.874,-0.535,-0.854,-0.641,0.214,73.333,48132.000,1.000
1.414,0.971,1.160,1.111,1.375,1.377,1.382,1.271,-0.053,0.874,-0.537,-0.854,-0.641,0.305,73.333,48133.000,1.000
1.331,1.064,1.313,1.145,1.428,1.355,1.427,1.321,-0.054,0.875,-0.539,-0.824,-0.519,0.366,73.333,48134.000,1.000
1.335,1.253,1.461,1.251,1.479,1.395,1.462,1.401,-0.055,0.874,-0.537,-0.854,-0.519,0.336,73.333,48135.000,1.000
1.466,1.544,1.640,1.441,1.583,1.561,1.566,1.524,-0.057,0.875,-0.537,-0.854,-0.427,0.549,73.333,48136.000,1.000
1.606,1.781,1.767,1.596,1.674,1.751,1.676,1.601,-0.058,0.876,-0.538,-0.854,-0.427,0.488,73.333,48137.000,1.000
1.570,1.745,1.676,1.530,1.608,1.762,1.626,1.489,-0.056,0.877,-0.541,-0.946,-0.366,0.549,73.333,48138.000,1.000
1.268,1.356,1.297,1.150,1.308,1.484,1.313,1.131,-0.057,0.877,-0.539,-0.977,-0.214,0.610,73.333,48139.000,1.000
