EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
5.954,6.015,6.031,6.088,6.111,5.972,6.269,6.169,-0.056,0.869,-0.540,-0.702,-0.397,0.610,73.333,56017.000,1.000
5.924,5.954,5.988,5.958,6.036,5.926,6.190,6.168,-0.057,0.870,-0.539,-0.702,-0.488,0.580,73.333,56018.000,1.000
5.434,5.394,5.413,5.270,5.447,5.414,5.586,5.618,-0.055,0.869,-0.540,-0.610,-0.580,0.549,73.333,56019.000,1.000
4.656,4.544,4.508,4.267,4.552,4.641,4.675,4.728,-0.057,0.869,-0.541,-0.519,-0.610,0.610,73.333,56020.000,1.000
3.811,3.650,3.525,3.240,3.613,3.817,3.719,3.759,-0.059,0.868,-0.543,-0.488,-0.702,0.641,73.333,56021.000,1.000
2.979,2.808,2.574,2.318,2.752,3.002,2.842,2.827,-0.059,0.869,-0.544,-0.427,-0.641,0.580,73.333,56022.000,1.000
2.099,1.949,1.614,1.454,1.908,2.122,1.992,1.886,-0.057,0.870,-0.542,-0.305,-0.702,0.549,73.333,56023.000,1.000
1.082,0.956,0.570,0.539,0.959,1.088,1.040,0.853,-0.057,0.871,-0.541,-0.366,-0.763,0.488,73.333,56024.000,1.000
0.035,-0.090,-0.447,-0.371,-0.033,0.014,0.027,-0.177,-0.053,0.870,-0.543,-0.275,-0.732,0.458,73.333,56025.000,1.000
-0.664,-0.812,-1.058,-0.948,-0.704,-0.704,-0.709,-0.840,-0.054,0.871,-0.540,-0.275,-0.732,0.397,73.333,56026.000,1.000
-0.663,-0.840,-0.925,-0.864,-0.700,-0.701,-0.808,-0.792,-0.055,0.872,-0.539,-0.336,-0.732,0.427,73.333,56027.000,1.000
-0.068,-0.261,-0.184,-0.207,-0.106,-0.087,-0.314,-0.127,-0.055,0.871,-0.540,-0.305,-0.793,0.336,73.333,56028.000,1.000
0.492,0.307,0.496,0.419,0.471,0.485,0.213,0.527,-0.055,0.871,-0.537,-0.275,-0.763,0.336,73.333,56029.000,1.000
0.414,0.250,0.468,0.404,0.428,0.391,0.192,0.546,-0.056,0.871,-0.541,-0.275,-0.793,0.275,73.333,56030.000,1.000
-0.247,-0.405,-0.248,-0.246,-0.205,-0.318,-0.371,-0.066,-0.054,0.872,-0.543,-0.244,-0.793,0.275,73.333,56031.000,1.000
-0.848,-1.037,-1.024,-0.932,-0.827,-0.981,-0.902,-0.707,-0.056,0.873,-0.542,-0.183,-0.824,0.244,73.333,56032.000,1.000
