FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation
148076.828125,148275.21875,148449.03125,148583.765625,148415.328125,148460.109375,148665.484375,148476.5625,4671.0,0.0
151654.984375,151855.25,152026.46875,152164.328125,151994.1875,152040.6875,152246.046875,152055.703125,4672.0,1.0
151654.984375,151855.25,152026.46875,152164.328125,151994.1875,152040.6875,152246.046875,152055.703125,4673.0,0.0
144651.90625,144848.703125,145024.921875,145156.796875,144990.234375,145033.234375,145237.984375,145050.578125,4674.0,1.0
144651.90625,144848.703125,145024.921875,145156.796875,144990.234375,145033.234375,145237.984375,145050.578125,4675.0,0.0
152294.59375,152495.953125,152666.890625,152804.84375,152634.265625,152681.109375,152886.5625,152696.03125,4676.0,1.0
152294.59375,152495.953125,152666.890625,152804.84375,152634.265625,152681.109375,152886.5625,152696.03125,4677.0,0.0
147008.6875,147206.890625,147381.515625,147514.8125,147347.53125,147392.15625,147596.796875,147408.421875,4678.0,1.0
147008.6875,147206.890625,147381.515625,147514.8125,147347.53125,147392.15625,147596.796875,147408.421875,4679.0,0.0
147871.015625,148069.578125,148243.84375,148378.75,148209.859375,148255.015625,148459.84375,148270.84375,4680.0,1.0
147871.015625,148069.578125,148243.84375,148378.75,148209.859375,148255.015625,148459.84375,148270.84375,4681.0,0.0
151648.546875,151848.453125,152020.125,152157.625,151987.9375,152034.609375,152239.796875,152049.359375,4682.0,1.0
151648.546875,151848.453125,152020.125,152157.625,151987.9375,152034.609375,152239.796875,152049.359375,4683.0,0.0
144572.96875,144769.578125,144945.796875,145077.046875,144910.5625,144954.46875,145159.03125,144971.0,4684.0,1.0
144572.96875,144769.578125,144945.796875,145077.046875,144910.5625,144954.46875,145159.03125,144971.0,4685.0,0.0
152192.40625,152393.125,152564.25,152702.75,152532.15625,152579.0,152783.921875,152593.671875,4686.0,1.0
152192.40625,152393.125,152564.25,152702.75,152532.15625,152579.0,152783.921875,152593.671875,4687.0,0.0
147098.453125,147296.484375,147471.09375,147605.03125,147436.9375,147481.640625,147686.46875,147497.5625,4688.0,1.0
147098.453125,147296.484375,147471.09375,147605.03125,147436.9375,147481.640625,147686.46875,147497.5625,4689.0,0.0
147765.59375,147964.0,148137.984375,148272.984375,148104.28125,148149.515625,148353.984375,148165.25,4690.0,1.0
147765.59375,147964.0,148137.984375,148272.984375,148104.28125,148149.515625,148353.984375,148165.25,4691.0,0.0
151757.984375,151958.96875,152130.1875,152267.515625,152097.546875,152144.578125,152349.40625,152159.15625,4692.0,1.0
151757.984375,151958.96875,152130.1875,152267.515625,152097.546875,152144.578125,152349.40625,152159.15625,4693.0,0.0
144616.0625,144812.75,144988.984375,145120.578125,144953.9375,144997.65625,145202.125,145014.1875,4694.0,1.0
144616.0625,144812.75,144988.984375,145120.578125,144953.9375,144997.65625,145202.125,145014.1875,4695.0,0.0
152207.4375,152408.140625,152578.828125,152717.3125,152546.46875,152593.84375,152798.671875,152607.890625,4696.0,1.0
152207.4375,152408.140625,152578.828125,152717.3125,152546.46875,152593.84375,152798.671875,152607.890625,4697.0,0.0
147294.6875,147492.828125,147667.796875,147801.28125,147633.8125,147678.15625,147883.265625,147694.4375,4698.0,1.0
147294.6875,147492.828125,147667.796875,147801.28125,147633.8125,147678.15625,147883.265625,147694.4375,4699.0,0.0
147754.96875,147953.171875,148127.796875,148262.078125,148093.640625,148138.78125,148343.703125,148154.796875,4700.0,1.0
147754.96875,147953.171875,148127.796875,148262.078125,148093.640625,148138.78125,148343.703125,148154.796875,4701.0,0.0
151946.09375,152146.0,152317.578125,152455.171875,152285.03125,152331.53125,152537.34375,152346.71875,4702.0,1.0
151946.09375,152146.0,152317.578125,152455.171875,152285.03125,152331.53125,152537.34375,152346.71875,4703.0,0.0
144723.4375,144920.046875,145096.53125,145228.40625,145061.578125,145105.296875,145310.125,145122.1875,4704.0,1.0
147752.546875,147950.578125,148124.921875,148259.84375,148091.125,148136.28125,148341.5625,148152.640625,4705.0,1.0
147752.546875,147950.578125,148124.921875,148259.84375,148091.125,148136.28125,148341.5625,148152.640625,4706.0,0.0
152019.046875,152219.328125,152390.796875,152528.671875,152358.53125,152405.375,152610.5625,152420.3125,4707.0,1.0
152019.046875,152219.328125,152390.796875,152528.671875,152358.53125,152405.375,152610.5625,152420.3125,4708.0,0.0
144751.0625,144947.40625,145124.15625,145255.671875,145088.75,145132.390625,145337.484375,145149.375,4709.0,1.0
144751.0625,144947.40625,145124.15625,145255.671875,145088.75,145132.390625,145337.484375,145149.375,4710.0,0.0
152229.515625,152430.328125,152601.359375,152739.40625,152568.90625,152615.484375,152821.125,152630.5,4711.0,1.0
152229.515625,152430.328125,152601.359375,152739.40625,152568.90625,152615.484375,152821.125,152630.5,4712.0,0.0
147554.953125,147753.171875,147927.34375,148061.0,147893.09375,147938.421875,148143.25,147954.15625,4713.0,1.0
147554.953125,147753.171875,147927.34375,148061.0,147893.09375,147938.421875,148143.25,147954.15625,4714.0,0.0
147659.921875,147858.40625,148032.578125,148166.859375,147998.6875,148043.484375,148248.84375,148059.390625,4715.0,1.0
147659.921875,147858.40625,148032.578125,148166.859375,147998.6875,148043.484375,148248.84375,148059.390625,4716.0,0.0
152077.96875,152278.234375,152449.640625,152587.671875,152417.265625,152463.671875,152669.84375,152478.6875,4717.0,1.0
152077.96875,152278.234375,152449.640625,152587.671875,152417.265625,152463.671875,152669.84375,152478.6875,4718.0,0.0
144717.09375,144913.421875,145089.921875,145221.890625,145054.875,145098.140625,145303.59375,145115.21875,4719.0,1.0
144717.09375,144913.421875,145089.921875,145221.890625,145054.875,145098.140625,145303.59375,145115.21875,4720.0,0.0
152124.453125,152324.734375,152495.859375,152634.171875,152463.578125,152510.609375,152716.25,152525.09375,4721.0,1.0
