FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation,Label
216973.21875,236676.546875,297978.625,297257.28125,204139.125,221087.546875,218210.609375,217163.21875,24481.0,1.0,3
216894.359375,236591.96875,297818.5,297208.84375,204025.03125,220872.53125,218144.1875,217037.234375,24482.0,1.0,3
216961.328125,236663.046875,297846.21875,297245.21875,204091.203125,221016.46875,218186.65625,217088.203125,24483.0,1.0,3
217080.15625,236794.484375,298022.78125,297315.40625,204250.15625,221324.484375,218284.90625,217248.953125,24484.0,1.0,3
217087.9375,236805.03125,298099.78125,297317.8125,204282.34375,221365.515625,218298.5,217296.875,24485.0,1.0,3
216974.46875,236686.03125,297975.21875,297248.34375,204145.90625,221088.359375,218212.578125,217168.21875,24486.0,1.0,3
216897.3125,236602.703125,297815.90625,297201.6875,204030.84375,220871.09375,218144.453125,217038.125,24487.0,1.0,3
216965.359375,236673.421875,297842.5625,297241.125,204098.703125,221015.3125,218191.84375,217089.0,24488.0,1.0,3
217088.28125,236803.0625,298019.3125,297313.34375,204260.4375,221324.65625,218292.25,217250.734375,24489.0,1.0,3
217098.75,236816.203125,298100.21875,297319.78125,204296.203125,221372.046875,218309.046875,217298.21875,24490.0,1.0,3
216987.078125,236698.09375,297981.21875,297254.15625,204160.75,221098.109375,218222.421875,217171.96875,24491.0,1.0,3
216900.265625,236606.015625,297816.0,297201.875,204036.921875,220874.671875,218148.75,217038.671875,24492.0,1.0,3
216964.015625,236670.46875,297838.875,297234.3125,204097.90625,221010.21875,218184.6875,217084.890625,24493.0,1.0,3
217086.953125,236801.28125,298015.46875,297307.0,204259.1875,221319.65625,218285.8125,217247.703125,24494.0,1.0,3
217093.921875,236812.1875,298093.53125,297307.71875,204291.734375,221366.140625,218302.796875,217295.09375,24495.0,1.0,3
216980.109375,236688.171875,297971.65625,297238.4375,204154.5,221089.78125,218220.890625,217169.375,24496.0,1.0,3
216899.90625,236598.140625,297809.46875,297191.21875,204033.890625,220865.109375,218150.0,217038.40625,24497.0,1.0,3
216962.046875,236662.609375,297825.28125,297223.15625,204089.765625,220999.671875,218181.921875,217079.796875,24498.0,1.0,3
217083.546875,236792.15625,297996.96875,297291.90625,204248.546875,221310.0,218279.640625,217239.65625,24499.0,1.0,3
217098.390625,236807.265625,298078.59375,297297.53125,204287.890625,221362.390625,218301.09375,217295.265625,24500.0,1.0,3
216984.390625,236681.828125,297956.46875,297230.03125,204150.921875,221085.40625,218216.34375,217170.8125,24501.0,1.0,3
216900.71875,236591.34375,297791.9375,297178.71875,204030.125,220860.546875,218144.1875,217036.875,24502.0,1.0,3
216957.9375,236652.40625,297805.53125,297209.71875,204086.640625,220992.515625,218180.65625,217076.578125,24503.0,1.0,3
