FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation,Label
234527.75,251458.03125,267681.65625,259800.234375,226603.875,234380.3125,231437.84375,221773.65625,98179.0,1.0,4
234389.875,251290.75,267575.25,259702.875,226296.578125,234319.78125,231227.375,221621.3125,98180.0,1.0,4
234273.65625,251142.78125,267477.96875,259627.953125,225792.859375,234275.4375,230983.921875,221430.078125,98181.0,1.0,4
234318.359375,251198.84375,267502.84375,259663.625,225769.96875,234293.40625,231030.140625,221447.765625,98182.0,1.0,4
234474.734375,251393.125,267619.59375,259773.59375,226268.234375,234362.4375,231314.28125,221663.25,98183.0,1.0,4
234519.4375,251450.96875,267651.25,259796.84375,226596.71875,234375.484375,231435.78125,221768.390625,98184.0,1.0,4
234387.90625,251289.859375,267550.75,259705.015625,226298.109375,234317.1875,231230.15625,221623.640625,98185.0,1.0,4
234251.5625,251120.609375,267440.34375,259611.40625,225776.40625,234254.25,230967.828125,221415.234375,98186.0,1.0,4
234309.140625,251190.078125,267478.0625,259655.125,225758.265625,234283.390625,231025.9375,221439.09375,98187.0,1.0,4
234474.1875,251394.28125,267610.21875,259770.734375,226262.15625,234361.09375,231319.28125,221660.734375,98188.0,1.0,4
234520.765625,251450.796875,267653.9375,259801.578125,226596.546875,234376.640625,231442.9375,221775.0,98189.0,1.0,4
234375.21875,251273.9375,267546.71875,259695.8125,226286.296875,234302.171875,231215.578125,221612.453125,98190.0,1.0,4
234250.046875,251116.859375,267451.78125,259612.84375,225779.359375,234246.828125,230961.84375,221413.625,98191.0,1.0,4
234309.328125,251188.109375,267494.96875,259658.890625,225759.328125,234275.0,231013.609375,221440.796875,98192.0,1.0,4
234474.453125,251391.0625,267622.625,259772.25,226251.78125,234347.59375,231297.65625,221655.640625,98193.0,1.0,4
234511.75,251439.171875,267654.09375,259787.71875,226577.5,234351.875,231418.171875,221756.234375,98194.0,1.0,4
234388.453125,251285.125,267562.71875,259699.296875,226293.1875,234297.515625,231220.046875,221614.78125,98195.0,1.0,4
234259.4375,251125.34375,267456.875,259610.421875,225780.703125,234239.3125,230959.515625,221410.046875,98196.0,1.0,4
234320.671875,251197.046875,267497.375,259657.8125,225759.15625,234274.546875,231015.03125,221440.890625,98197.0,1.0,4
234475.4375,251386.234375,267614.6875,259762.78125,226245.171875,234343.203125,231289.25,221648.84375,98198.0,1.0,4
234511.828125,251434.609375,267642.5625,259777.265625,226571.78125,234344.46875,231402.53125,221743.4375,98199.0,1.0,4
234382.1875,251276.171875,267548.53125,259688.65625,226285.5,234289.75,231208.875,221599.859375,98200.0,1.0,4
234275.703125,251140.09375,267467.78125,259625.0,225788.921875,234267.390625,230983.03125,221416.921875,98201.0,1.0,4
234328.1875,251201.96875,267499.25,259666.390625,225755.671875,234288.3125,231017.890625,221443.921875,98202.0,1.0,4
234476.34375,251384.625,267609.03125,259763.9375,226235.0625,234346.078125,231287.453125,221647.15625,98203.0,1.0,4
234519.078125,251438.265625,267647.84375,259785.671875,226579.734375,234358.953125,231418.703125,221758.546875,98204.0,1.0,4
234387.90625,251277.703125,267553.625,259691.875,226298.546875,234301.1875,231218.078125,221614.25,98205.0,1.0,4
234264.890625,251122.484375,267461.53125,259611.59375,225790.09375,234251.484375,230967.65625,221418.0,98206.0,1.0,4
234322.5625,251193.65625,267504.96875,259656.296875,225756.65625,234288.140625,231013.15625,221439.546875,98207.0,1.0,4
234478.125,251390.171875,267630.6875,259763.84375,226247.859375,234362.34375,231298.359375,221655.734375,98208.0,1.0,4
234528.46875,251446.765625,267672.4375,259787.90625,226594.75,234369.3125,231419.515625,221765.796875,98209.0,1.0,4
234395.515625,251282.96875,267571.21875,259689.375,226312.046875,234301.09375,231205.828125,221618.09375,98210.0,1.0,4
234267.484375,251124.625,267474.5,259609.71875,225799.65625,234255.953125,230956.46875,221419.34375,98211.0,1.0,4
234314.59375,251184.796875,267509.96875,259649.765625,225754.15625,234284.65625,230999.390625,221433.640625,98212.0,1.0,4
234477.046875,251386.59375,267634.34375,259760.28125,226238.640625,234352.0625,231272.703125,221646.53125,98213.0,1.0,4
234529.71875,251453.65625,267677.71875,259791.125,226589.84375,234371.734375,231409.046875,221764.453125,98214.0,1.0,4
234389.703125,251282.078125,267569.96875,259686.421875,226296.765625,234305.5625,231199.65625,221607.546875,98215.0,1.0,4
234264.625,251128.65625,267470.46875,259604.703125,225785.078125,234257.375,230948.34375,221413.078125,98216.0,1.0,4
234310.390625,251184.984375,267499.625,259641.546875,225735.28125,234279.1875,230983.921875,221432.125,98217.0,1.0,4
234467.390625,251376.484375,267620.75,259751.78125,226215.125,234351.96875,231268.421875,221644.640625,98218.0,1.0,4
234522.203125,251440.421875,267661.0,259779.234375,226568.109375,234369.9375,231408.15625,221761.5,98219.0,1.0,4
