FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation,Label
51684.0,51684.0,51684.0,51684.0,51684.0,51684.0,51684.0,51684.0,0.0,0.0,0
51685.0,51685.0,51685.0,51685.0,51685.0,51685.0,51685.0,51685.0,0.0,0.0,0
51686.0,51686.0,51686.0,51686.0,51686.0,51686.0,51686.0,51686.0,0.0,0.0,0
51687.0,51687.0,51687.0,51687.0,51687.0,51687.0,51687.0,51687.0,0.0,0.0,0
51688.0,51688.0,51688.0,51688.0,51688.0,51688.0,51688.0,51688.0,0.0,0.0,0
51689.0,51689.0,51689.0,51689.0,51689.0,51689.0,51689.0,51689.0,0.0,0.0,0
51690.0,51690.0,51690.0,51690.0,51690.0,51690.0,51690.0,51690.0,0.0,0.0,0
51691.0,51691.0,51691.0,51691.0,51691.0,51691.0,51691.0,51691.0,0.0,0.0,0
51692.0,51692.0,51692.0,51692.0,51692.0,51692.0,51692.0,51692.0,0.0,0.0,0
51693.0,51693.0,51693.0,51693.0,51693.0,51693.0,51693.0,51693.0,0.0,0.0,0
51694.0,51694.0,51694.0,51694.0,51694.0,51694.0,51694.0,51694.0,0.0,0.0,0
51695.0,51695.0,51695.0,51695.0,51695.0,51695.0,51695.0,51695.0,0.0,0.0,0
51696.0,51696.0,51696.0,51696.0,51696.0,51696.0,51696.0,51696.0,0.0,0.0,0
51697.0,51697.0,51697.0,51697.0,51697.0,51697.0,51697.0,51697.0,0.0,0.0,0
51698.0,51698.0,51698.0,51698.0,51698.0,51698.0,51698.0,51698.0,0.0,0.0,0
51699.0,51699.0,51699.0,51699.0,51699.0,51699.0,51699.0,51699.0,0.0,0.0,0
51700.0,51700.0,51700.0,51700.0,51700.0,51700.0,51700.0,51700.0,0.0,0.0,0
51701.0,51701.0,51701.0,51701.0,51701.0,51701.0,51701.0,51701.0,0.0,0.0,0
51702.0,51702.0,51702.0,51702.0,51702.0,51702.0,51702.0,51702.0,0.0,0.0,0
51703.0,51703.0,51703.0,51703.0,51703.0,51703.0,51703.0,51703.0,0.0,0.0,0
51704.0,51704.0,51704.0,51704.0,51704.0,51704.0,51704.0,51704.0,0.0,0.0,0
51705.0,51705.0,51705.0,51705.0,51705.0,51705.0,51705.0,51705.0,0.0,0.0,0
51706.0,51706.0,51706.0,51706.0,51706.0,51706.0,51706.0,51706.0,0.0,0.0,0
51707.0,51707.0,51707.0,51707.0,51707.0,51707.0,51707.0,51707.0,0.0,0.0,0
51708.0,51708.0,51708.0,51708.0,51708.0,51708.0,51708.0,51708.0,0.0,0.0,0
51709.0,51709.0,51709.0,51709.0,51709.0,51709.0,51709.0,51709.0,0.0,0.0,0
51710.0,51710.0,51710.0,51710.0,51710.0,51710.0,51710.0,51710.0,0.0,0.0,0
51711.0,51711.0,51711.0,51711.0,51711.0,51711.0,51711.0,51711.0,0.0,0.0,0
51712.0,51712.0,51712.0,51712.0,51712.0,51712.0,51712.0,51712.0,0.0,0.0,0
51713.0,51713.0,51713.0,51713.0,51713.0,51713.0,51713.0,51713.0,0.0,0.0,0
51714.0,51714.0,51714.0,51714.0,51714.0,51714.0,51714.0,51714.0,0.0,0.0,0
51715.0,51715.0,51715.0,51715.0,51715.0,51715.0,51715.0,51715.0,0.0,0.0,0
51716.0,51716.0,51716.0,51716.0,51716.0,51716.0,51716.0,51716.0,0.0,0.0,0
51717.0,51717.0,51717.0,51717.0,51717.0,51717.0,51717.0,51717.0,0.0,0.0,0
51718.0,51718.0,51718.0,51718.0,51718.0,51718.0,51718.0,51718.0,0.0,0.0,0
51719.0,51719.0,51719.0,51719.0,51719.0,51719.0,51719.0,51719.0,0.0,0.0,0
51720.0,51720.0,51720.0,51720.0,51720.0,51720.0,51720.0,51720.0,0.0,0.0,0
51721.0,51721.0,51721.0,51721.0,51721.0,51721.0,51721.0,51721.0,0.0,0.0,0
51722.0,51722.0,51722.0,51722.0,51722.0,51722.0,51722.0,51722.0,0.0,0.0,0
51723.0,51723.0,51723.0,51723.0,51723.0,51723.0,51723.0,51723.0,0.0,0.0,0
51724.0,51724.0,51724.0,51724.0,51724.0,51724.0,51724.0,51724.0,0.0,0.0,0
51725.0,51725.0,51725.0,51725.0,51725.0,51725.0,51725.0,51725.0,0.0,0.0,0
51726.0,51726.0,51726.0,51726.0,51726.0,51726.0,51726.0,51726.0,0.0,0.0,0
51727.0,51727.0,51727.0,51727.0,51727.0,51727.0,51727.0,51727.0,0.0,0.0,0
51728.0,51728.0,51728.0,51728.0,51728.0,51728.0,51728.0,51728.0,0.0,0.0,0
51729.0,51729.0,51729.0,51729.0,51729.0,51729.0,51729.0,51729.0,0.0,0.0,0
51730.0,51730.0,51730.0,51730.0,51730.0,51730.0,51730.0,51730.0,0.0,0.0,0
51731.0,51731.0,51731.0,51731.0,51731.0,51731.0,51731.0,51731.0,0.0,0.0,0
51732.0,51732.0,51732.0,51732.0,51732.0,51732.0,51732.0,51732.0,0.0,0.0,0
51733.0,51733.0,51733.0,51733.0,51733.0,51733.0,51733.0,51733.0,0.0,0.0,0
51734.0,51734.0,51734.0,51734.0,51734.0,51734.0,51734.0,51734.0,0.0,0.0,0
51735.0,51735.0,51735.0,51735.0,51735.0,51735.0,51735.0,51735.0,0.0,0.0,0
51736.0,51736.0,51736.0,51736.0,51736.0,51736.0,51736.0,51736.0,0.0,0.0,0
51737.0,51737.0,51737.0,51737.0,51737.0,51737.0,51737.0,51737.0,0.0,0.0,0
51738.0,51738.0,51738.0,51738.0,51738.0,51738.0,51738.0,51738.0,0.0,0.0,0
51739.0,51739.0,51739.0,51739.0,51739.0,51739.0,51739.0,51739.0,0.0,0.0,0
51740.0,51740.0,51740.0,51740.0,51740.0,51740.0,51740.0,51740.0,0.0,0.0,0
51741.0,51741.0,51741.0,51741.0,51741.0,51741.0,51741.0,51741.0,0.0,0.0,0
51742.0,51742.0,51742.0,51742.0,51742.0,51742.0,51742.0,51742.0,0.0,0.0,0
51743.0,51743.0,51743.0,51743.0,51743.0,51743.0,51743.0,51743.0,0.0,0.0,0
51744.0,51744.0,51744.0,51744.0,51744.0,51744.0,51744.0,51744.0,0.0,0.0,0
51745.0,51745.0,51745.0,51745.0,51745.0,51745.0,51745.0,51745.0,0.0,0.0,0
51746.0,51746.0,51746.0,51746.0,51746.0,51746.0,51746.0,51746.0,0.0,0.0,0
51747.0,51747.0,51747.0,51747.0,51747.0,51747.0,51747.0,51747.0,0.0,0.0,0
51748.0,51748.0,51748.0,51748.0,51748.0,51748.0,51748.0,51748.0,0.0,0.0,0
51749.0,51749.0,51749.0,51749.0,51749.0,51749.0,51749.0,51749.0,0.0,0.0,0
51750.0,51750.0,51750.0,51750.0,51750.0,51750.0,51750.0,51750.0,0.0,0.0,0
51751.0,51751.0,51751.0,51751.0,51751.0,51751.0,51751.0,51751.0,0.0,0.0,0
51752.0,51752.0,51752.0,51752.0,51752.0,51752.0,51752.0,51752.0,0.0,0.0,0
51753.0,51753.0,51753.0,51753.0,51753.0,51753.0,51753.0,51753.0,0.0,0.0,0
51754.0,51754.0,51754.0,51754.0,51754.0,51754.0,51754.0,51754.0,0.0,0.0,0
51755.0,51755.0,51755.0,51755.0,51755.0,51755.0,51755.0,51755.0,0.0,0.0,0
51756.0,51756.0,51756.0,51756.0,51756.0,51756.0,51756.0,51756.0,0.0,0.0,0
51757.0,51757.0,51757.0,51757.0,51757.0,51757.0,51757.0,51757.0,0.0,0.0,0
51758.0,51758.0,51758.0,51758.0,51758.0,51758.0,51758.0,51758.0,0.0,0.0,0
51759.0,51759.0,51759.0,51759.0,51759.0,51759.0,51759.0,51759.0,0.0,0.0,0
51760.0,51760.0,51760.0,51760.0,51760.0,51760.0,51760.0,51760.0,0.0,0.0,0
51761.0,51761.0,51761.0,51761.0,51761.0,51761.0,51761.0,51761.0,0.0,0.0,0
51762.0,51762.0,51762.0,51762.0,51762.0,51762.0,51762.0,51762.0,0.0,0.0,0
51763.0,51763.0,51763.0,51763.0,51763.0,51763.0,51763.0,51763.0,0.0,0.0,0
51764.0,51764.0,51764.0,51764.0,51764.0,51764.0,51764.0,51764.0,0.0,0.0,0
51765.0,51765.0,51765.0,51765.0,51765.0,51765.0,51765.0,51765.0,0.0,0.0,0
51766.0,51766.0,51766.0,51766.0,51766.0,51766.0,51766.0,51766.0,0.0,0.0,0
51767.0,51767.0,51767.0,51767.0,51767.0,51767.0,51767.0,51767.0,0.0,0.0,0
51768.0,51768.0,51768.0,51768.0,51768.0,51768.0,51768.0,51768.0,0.0,0.0,0
51769.0,51769.0,51769.0,51769.0,51769.0,51769.0,51769.0,51769.0,0.0,0.0,0
51770.0,51770.0,51770.0,51770.0,51770.0,51770.0,51770.0,51770.0,0.0,0.0,0
