FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation,Label
230103.265625,269865.84375,298690.125,279660.46875,239429.75,274645.5625,246188.734375,242096.9375,204831.0,1.0,3
230653.390625,270903.6875,299932.8125,280050.28125,240615.921875,275086.34375,246645.078125,242693.546875,204832.0,1.0,3
231219.515625,271719.25,300794.875,280250.75,241994.390625,275617.75,247041.765625,243181.0,204833.0,1.0,3
231020.578125,271185.78125,300080.78125,279980.90625,241660.015625,275501.90625,246814.046875,242877.109375,204834.0,1.0,3
230331.875,270037.59375,298778.65625,279618.90625,240077.6875,274902.0625,246288.875,242214.421875,204835.0,1.0,3
230101.75,269856.5625,298682.0,279664.5,239426.625,274641.34375,246190.34375,242105.53125,204836.0,1.0,3
230651.234375,270895.90625,299924.75,280054.21875,240614.21875,275088.21875,246664.125,242700.53125,204837.0,1.0,3
231221.921875,271720.34375,300796.03125,280255.3125,241999.84375,275621.96875,247062.421875,243190.390625,204838.0,1.0,3
231038.375,271203.03125,300097.03125,279988.25,241681.015625,275518.25,246837.75,242893.015625,204839.0,1.0,3
230340.453125,270044.9375,298787.21875,279617.9375,240097.4375,274907.34375,246295.84375,242215.3125,204840.0,1.0,3
230096.296875,269847.4375,298677.96875,279656.0,239427.96875,274633.46875,246180.0625,242096.5,204841.0,1.0,3
230650.875,270890.46875,299924.125,280050.28125,240606.703125,275076.9375,246648.65625,242705.53125,204842.0,1.0,3
231223.71875,271715.5,300796.8125,280247.25,241997.078125,275610.53125,247038.46875,243173.765625,204843.0,1.0,3
231035.328125,271192.375,300094.53125,279978.6875,241685.40625,275498.5,246814.140625,242876.296875,204844.0,1.0,3
230342.609375,270041.09375,298790.0,279616.21875,240107.09375,274903.125,246295.40625,242220.40625,204845.0,1.0,3
230097.0,269845.28125,298669.75,279650.90625,239426.171875,274631.78125,246175.859375,242087.546875,204846.0,1.0,3
230638.546875,270876.15625,299903.5625,280036.875,240590.171875,275064.6875,246630.765625,242678.359375,204847.0,1.0,3
231206.09375,271703.78125,300785.5625,280240.03125,241980.09375,275594.875,247030.15625,243174.296875,204848.0,1.0,3
231021.03125,271192.03125,300097.40625,279978.3125,241677.890625,275500.8125,246824.6875,242881.390625,204849.0,1.0,3
230335.984375,270049.21875,298793.3125,279618.1875,240105.21875,274915.21875,246302.734375,242220.859375,204850.0,1.0,3
230096.375,269854.0625,298672.875,279657.53125,239427.703125,274648.25,246190.96875,242102.03125,204851.0,1.0,3
230635.5,270880.96875,299902.84375,280042.53125,240586.671875,275072.125,246644.265625,242689.796875,204852.0,1.0,3
231204.9375,271715.34375,300789.40625,280249.6875,241986.34375,275609.71875,247045.171875,243178.859375,204853.0,1.0,3
231029.34375,271216.4375,300110.28125,279990.3125,241697.375,275523.875,246842.03125,242895.703125,204854.0,1.0,3
230339.75,270067.5625,298799.125,279619.8125,240118.71875,274922.4375,246316.234375,242228.640625,204855.0,1.0,3
230086.546875,269856.46875,298665.71875,279654.5,239427.25,274646.09375,246194.015625,242095.328125,204856.0,1.0,3
230621.5625,270880.4375,299892.75,280040.46875,240579.25,275072.46875,246648.921875,242681.84375,204857.0,1.0,3
231201.71875,271722.3125,300785.75,280249.21875,241981.25,275609.28125,247052.765625,243179.75,204858.0,1.0,3
231033.09375,271230.90625,300113.75,279991.8125,241705.609375,275517.28125,246829.875,242895.4375,204859.0,1.0,3
230337.0625,270076.6875,298802.96875,279629.8125,240130.796875,274927.09375,246312.84375,242239.1875,204860.0,1.0,3
230075.015625,269850.125,298658.03125,279656.71875,239424.203125,274642.5,246183.828125,242096.046875,204861.0,1.0,3
230607.875,270864.4375,299878.4375,280034.375,240564.59375,275054.6875,246616.375,242664.5,204862.0,1.0,3
231193.671875,271714.4375,300781.28125,280247.625,241975.171875,275594.34375,247021.65625,243174.203125,204863.0,1.0,3
231026.03125,271229.84375,300114.28125,279991.375,241704.265625,275510.84375,246822.09375,242899.640625,204864.0,1.0,3
230332.328125,270072.21875,298799.21875,279624.1875,240128.28125,274924.40625,246305.328125,242227.5625,204865.0,1.0,3
230077.875,269850.75,298655.1875,279656.1875,239418.046875,274653.96875,246191.328125,242097.390625,204866.0,1.0,3
230610.5625,270861.5,299876.28125,280036.875,240551.546875,275065.40625,246631.484375,242680.5,204867.0,1.0,3
231196.0,271711.9375,300782.875,280246.8125,241961.046875,275595.875,247026.84375,243177.25,204868.0,1.0,3
231031.75,271228.40625,300127.71875,279994.3125,241700.421875,275516.1875,246830.6875,242907.140625,204869.0,1.0,3
230343.328125,270074.875,298811.46875,279624.0,240128.640625,274929.875,246313.203125,242235.34375,204870.0,1.0,3
230081.71875,269840.65625,298649.375,279646.09375,239403.640625,274644.46875,246182.65625,242088.453125,204871.0,1.0,3
230614.40625,270856.125,299871.28125,280032.3125,240535.453125,275068.09375,246635.328125,242671.109375,204872.0,1.0,3
231201.265625,271719.34375,300788.78125,280250.46875,241954.609375,275614.375,247046.59375,243180.734375,204873.0,1.0,3
231036.3125,271246.5625,300141.84375,279998.4375,241705.703125,275543.375,246852.3125,242909.46875,204874.0,1.0,3
230345.734375,270095.90625,298829.96875,279632.0625,240133.828125,274954.28125,246332.421875,242246.515625,204875.0,1.0,3
230074.46875,269854.9375,298662.25,279651.8125,239395.78125,274657.09375,246201.890625,242096.140625,204876.0,1.0,3
230601.890625,270865.0625,299878.0,280036.0,240520.078125,275071.5625,246639.171875,242673.078125,204877.0,1.0,3
231192.234375,271730.09375,300802.0,280257.1875,241947.984375,275622.5,247051.078125,243188.15625,204878.0,1.0,3
231033.90625,271264.8125,300160.34375,280009.0625,241715.0,275556.34375,246864.5625,242926.734375,204879.0,1.0,3
230344.75,270108.40625,298842.03125,279637.21875,240144.828125,274958.9375,246331.25,242256.171875,204880.0,1.0,3
230077.0625,269858.71875,298664.46875,279656.375,239401.59375,274661.65625,246183.90625,242095.328125,204881.0,1.0,3
230600.546875,270860.34375,299875.75,280038.59375,240518.546875,275069.4375,246622.71875,242666.828125,204882.0,1.0,3
231192.859375,271733.375,300805.3125,280259.5,241951.46875,275625.375,247051.25,243184.671875,204883.0,1.0,3
