EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
3.791,-0.468,2.160,3.568,0.193,-0.886,1.663,3.652,-0.073,0.795,-0.654,-0.916,-0.153,0.488,60.000,11457.000,1.000
3.036,-1.390,0.289,1.875,-1.504,-1.063,1.949,2.763,-0.073,0.795,-0.653,-0.854,-0.122,0.427,60.000,11458.000,1.000
1.856,-1.983,-1.387,0.788,-3.302,-1.348,1.979,1.522,-0.070,0.793,-0.653,-0.763,-0.061,0.458,60.000,11459.000,1.000
0.993,-1.539,-2.645,0.699,-4.428,-1.367,1.971,0.428,-0.071,0.795,-0.653,-0.793,-0.183,0.427,60.000,11460.000,1.000
0.818,0.116,-3.561,1.356,-4.512,-1.065,2.191,-0.133,-0.072,0.796,-0.655,-0.702,-0.183,0.458,60.000,11461.000,1.000
1.159,2.405,-4.217,2.300,-3.571,-0.604,2.879,0.033,-0.073,0.797,-0.656,-0.732,-0.031,0.458,60.000,11462.000,1.000
1.526,4.270,-4.585,3.153,-1.957,-0.165,3.940,0.834,-0.071,0.796,-0.655,-0.702,-0.031,0.519,60.000,11463.000,1.000
0.870,4.517,-4.786,3.444,-0.501,0.006,4.486,1.822,-0.072,0.796,-0.654,-0.641,-0.061,0.519,60.000,11464.000,1.000
-1.044,2.969,-4.897,3.014,0.101,-0.087,3.876,2.592,-0.072,0.795,-0.653,-0.610,-0.031,0.519,60.000,11465.000,1.000
-3.954,0.270,-4.951,1.978,-0.431,-0.343,2.022,2.917,-0.073,0.794,-0.651,-0.580,-0.061,0.519,60.000,11466.000,1.000
-7.078,-2.502,-4.788,0.863,-1.779,-0.609,-0.413,2.874,-0.071,0.795,-0.656,-0.519,-0.031,0.549,60.000,11467.000,1.000
-9.346,-4.382,-4.371,0.196,-3.418,-0.941,-2.559,2.553,-0.071,0.793,-0.655,-0.458,0.000,0.549,60.000,11468.000,1.000
-10.651,-5.373,-4.089,-0.139,-5.141,-1.656,-4.264,1.821,-0.072,0.793,-0.654,-0.458,-0.061,0.397,60.000,11469.000,1.000
-11.087,-5.860,-4.163,-0.397,-6.576,-2.600,-5.425,0.743,-0.072,0.796,-0.654,-0.397,-0.092,0.427,60.000,11470.000,1.000
-10.888,-6.212,-4.428,-0.706,-7.198,-3.184,-5.899,-0.367,-0.072,0.795,-0.653,-0.427,-0.153,0.488,60.000,11471.000,1.000
-9.928,-6.360,-4.372,-0.883,-6.511,-2.741,-5.409,-1.085,-0.073,0.794,-0.653,-0.427,-0.092,0.427,60.000,11472.000,1.000
-7.877,-5.994,-3.553,-0.779,-4.420,-1.069,-3.835,-1.165,-0.073,0.794,-0.653,-0.397,-0.061,0.488,60.000,11473.000,1.000
-5.339,-5.284,-1.902,-0.655,-1.502,1.322,-1.760,-0.687,-0.073,0.797,-0.653,-0.427,-0.092,0.397,60.000,11474.000,1.000
-3.043,-4.475,0.469,-0.683,1.446,3.692,0.187,0.120,-0.072,0.796,-0.654,-0.519,-0.153,0.397,60.000,11475.000,1.000
-1.876,-3.975,2.986,-1.021,3.442,5.136,1.277,0.730,-0.071,0.799,-0.651,-0.458,-0.122,0.366,60.000,11476.000,1.000
-2.098,-4.072,4.835,-1.690,3.809,5.033,1.161,0.613,-0.072,0.800,-0.654,-0.488,-0.122,0.458,60.000,11477.000,1.000
-2.962,-4.696,5.377,-2.574,2.626,3.390,0.207,-0.402,-0.072,0.798,-0.653,-0.519,-0.153,0.427,60.000,11478.000,1.000
-3.902,-5.830,4.391,-3.574,0.490,0.739,-1.003,-2.060,-0.070,0.798,-0.648,-0.610,-0.183,0.427,60.000,11479.000,1.000
-4.305,-7.221,2.333,-4.284,-1.678,-1.951,-1.653,-3.709,-0.069,0.798,-0.652,-0.702,-0.214,0.305,60.000,11480.000,1.000
-4.109,-8.626,-0.097,-4.403,-3.236,-3.919,-1.493,-4.799,-0.071,0.799,-0.654,-0.824,-0.275,0.397,60.000,11481.000,1.000
-3.445,-9.635,-2.155,-3.841,-3.844,-4.738,-0.776,-5.041,-0.071,0.797,-0.655,-0.946,-0.183,0.305,60.000,11482.000,1.000
-2.335,-9.704,-3.343,-2.768,-3.446,-4.384,0.101,-4.492,-0.072,0.797,-0.652,-0.916,-0.183,0.275,60.000,11483.000,1.000
-1.267,-8.769,-3.700,-1.626,-2.464,-3.328,0.527,-3.564,-0.073,0.796,-0.653,-0.977,-0.305,0.397,60.000,11484.000,1.000
-0.188,-6.883,-3.479,-0.532,-1.347,-2.088,0.413,-2.589,-0.073,0.796,-0.648,-0.916,-0.275,0.366,60.000,11485.000,1.000
0.960,-4.500,-3.128,0.470,-0.556,-1.222,-0.104,-1.807,-0.075,0.796,-0.652,-1.038,-0.305,0.305,60.000,11486.000,1.000
2.099,-2.361,-2.948,1.283,-0.289,-1.007,-0.679,-1.321,-0.074,0.794,-0.650,-1.099,-0.305,0.275,60.000,11487.000,1.000
3.198,-0.989,-2.926,1.784,-0.318,-1.296,-0.871,-1.133,-0.074,0.796,-0.651,-1.038,-0.397,0.336,60.000,11488.000,1.000
3.869,-0.543,-2.896,1.836,-0.285,-1.773,-0.704,-1.211,-0.074,0.797,-0.653,-1.129,-0.488,0.244,60.000,11489.000,1.000
4.202,-0.553,-2.590,1.667,0.175,-2.012,-0.285,-1.375,-0.073,0.799,-0.654,-1.129,-0.397,0.183,60.000,11490.000,1.000
4.062,-0.803,-2.152,1.493,0.901,-1.849,-0.051,-1.536,-0.072,0.796,-0.653,-1.160,-0.519,0.214,60.000,11491.000,1.000
3.420,-1.316,-1.896,1.496,1.497,-1.218,-0.266,-1.611,-0.073,0.796,-0.648,-1.038,-0.488,0.244,60.000,11492.000,1.000
2.717,-2.008,-1.930,1.750,1.782,-0.133,-0.670,-1.496,-0.075,0.796,-0.649,-1.099,-0.488,0.336,60.000,11493.000,1.000
1.824,-3.048,-2.194,1.924,1.682,1.088,-1.109,-1.222,-0.076,0.798,-0.651,-1.251,-0.549,0.366,60.000,11494.000,1.000
