EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1.874,12.606,-2.050,-2.508,6.504,7.749,13.695,4.628,-0.078,0.901,-0.492,-0.793,-1.343,0.244,66.667,28121.000,1.000
-3.028,12.569,-3.289,-3.260,6.215,7.629,11.221,2.835,-0.075,0.899,-0.492,-0.824,-1.404,0.061,66.667,28122.000,1.000
-3.485,12.721,-3.944,-3.460,5.657,7.266,9.091,0.897,-0.076,0.899,-0.493,-0.793,-1.343,0.061,66.667,28123.000,1.000
-3.403,13.217,-4.074,-3.256,5.426,6.848,6.902,-0.782,-0.075,0.898,-0.491,-0.885,-1.251,0.122,66.667,28124.000,1.000
-3.706,13.212,-4.277,-3.351,5.471,6.095,3.928,-2.171,-0.077,0.897,-0.491,-0.732,-1.190,0.092,66.667,28125.000,1.000
-4.716,11.875,-4.709,-3.892,5.832,5.070,0.883,-2.904,-0.076,0.896,-0.493,-0.732,-1.129,0.122,66.667,28126.000,1.000
-5.839,9.260,-5.057,-4.401,6.622,4.179,-0.709,-2.492,-0.078,0.898,-0.490,-0.732,-1.190,0.061,66.667,28127.000,1.000
-7.386,5.182,-5.587,-4.935,7.017,3.328,-1.482,-1.367,-0.079,0.899,-0.490,-0.641,-1.038,0.031,66.667,28128.000,1.000
-9.032,0.405,-6.195,-5.229,6.582,2.866,-2.411,0.138,-0.079,0.899,-0.490,-0.641,-1.007,-0.031,66.667,28129.000,1.000
-10.153,-3.572,-6.646,-4.836,5.527,3.340,-3.810,1.763,-0.076,0.896,-0.489,-0.702,-0.824,-0.061,66.667,28130.000,1.000
-9.560,-4.792,-6.394,-3.083,4.815,5.533,-4.482,3.642,-0.076,0.897,-0.490,-0.732,-0.763,-0.061,66.667,28131.000,1.000
-6.322,-1.979,-5.025,0.287,5.346,9.791,-2.750,6.033,-0.076,0.896,-0.490,-0.793,-0.702,-0.122,66.667,28132.000,1.000
-2.175,3.040,-3.499,3.836,6.238,14.622,0.433,8.075,-0.076,0.895,-0.492,-0.763,-0.702,-0.153,66.667,28133.000,1.000
0.590,7.066,-3.034,5.718,5.880,17.779,2.912,8.628,-0.077,0.897,-0.493,-0.671,-0.641,-0.061,66.667,28134.000,1.000
0.418,7.525,-4.432,4.723,3.077,17.504,2.664,6.924,-0.075,0.896,-0.492,-0.671,-0.427,-0.061,66.667,28135.000,1.000
-1.899,4.534,-7.035,1.538,-1.494,14.090,-0.149,3.670,-0.075,0.896,-0.491,-0.580,-0.366,-0.092,66.667,28136.000,1.000
-3.816,0.857,-9.172,-1.717,-5.639,9.559,-3.144,0.649,-0.077,0.896,-0.492,-0.519,-0.214,-0.122,66.667,28137.000,1.000
-4.457,-1.547,-10.095,-3.707,-8.053,5.625,-4.785,-1.202,-0.077,0.898,-0.491,-0.580,-0.214,-0.092,66.667,28138.000,1.000
-4.012,-2.171,-9.691,-3.981,-8.442,3.433,-4.291,-1.663,-0.078,0.897,-0.491,-0.671,-0.183,-0.122,66.667,28139.000,1.000
-3.316,-1.737,-8.412,-3.017,-7.394,3.164,-2.390,-1.196,-0.078,0.899,-0.491,-0.671,-0.153,-0.153,66.667,28140.000,1.000
