EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
8.268,9.237,-6.825,0.052,1.487,1.936,2.135,-1.693,-0.080,0.913,-0.467,-1.282,-1.648,-0.275,66.667,53089.000,1.000
4.940,7.622,-8.508,-1.244,2.998,2.334,0.901,-2.524,-0.075,0.912,-0.465,-1.343,-1.862,-0.305,66.667,53090.000,1.000
2.422,5.988,-9.841,-1.792,4.978,3.141,0.014,-3.495,-0.073,0.913,-0.465,-1.251,-1.953,-0.244,66.667,53091.000,1.000
0.434,4.588,-10.594,-2.205,6.883,4.508,0.014,-4.719,-0.069,0.911,-0.463,-1.251,-1.953,-0.244,66.667,53092.000,1.000
-2.563,2.797,-11.160,-3.539,7.580,6.022,0.195,-6.480,-0.069,0.912,-0.466,-1.221,-1.892,-0.183,66.667,53093.000,1.000
-5.885,0.915,-11.255,-5.636,6.944,7.612,0.643,-8.199,-0.068,0.913,-0.465,-1.129,-1.984,-0.122,66.667,53094.000,1.000
-6.576,0.242,-10.257,-7.273,5.991,9.391,2.224,-8.995,-0.064,0.912,-0.464,-1.160,-1.892,0.000,66.667,53095.000,1.000
-3.818,0.844,-8.495,-7.871,5.333,10.935,4.288,-8.950,-0.064,0.910,-0.463,-1.221,-1.740,0.275,66.667,53096.000,1.000
0.749,1.815,-6.531,-7.460,5.206,11.972,5.594,-8.460,-0.061,0.909,-0.464,-1.190,-1.587,0.397,66.667,53097.000,1.000
3.607,1.664,-5.117,-6.936,5.089,12.185,4.998,-8.096,-0.062,0.907,-0.463,-1.099,-1.373,0.519,66.667,53098.000,1.000
3.744,0.483,-4.071,-6.630,4.890,11.877,3.571,-7.734,-0.063,0.908,-0.461,-1.038,-1.221,0.641,66.667,53099.000,1.000
3.096,-0.204,-2.807,-6.112,5.085,11.561,3.226,-6.705,-0.063,0.907,-0.463,-0.854,-0.977,0.519,66.667,53100.000,1.000
2.417,-0.002,-1.638,-5.375,5.610,11.093,3.562,-4.598,-0.063,0.909,-0.462,-0.854,-0.824,0.610,66.667,53101.000,1.000
1.335,0.594,-1.084,-4.560,6.191,10.202,3.211,-1.207,-0.065,0.908,-0.462,-0.824,-0.732,0.580,66.667,53102.000,1.000
-1.381,0.667,-1.652,-3.952,6.303,8.605,1.358,2.851,-0.066,0.907,-0.462,-0.854,-0.610,0.641,66.667,53103.000,1.000
-5.080,0.501,-2.713,-2.847,6.408,6.909,-0.339,6.861,-0.066,0.909,-0.460,-0.732,-0.519,0.610,66.667,53104.000,1.000
