EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.218,-7.817,2.249,2.767,-2.165,-3.078,-1.785,-10.988,-0.087,0.924,-0.428,-0.336,0.397,0.244,66.667,10145.000,1.000
2.031,-5.065,3.257,2.804,-1.365,-3.696,-2.161,-9.427,-0.085,0.925,-0.431,-0.366,0.336,0.305,66.667,10146.000,1.000
3.605,-1.735,4.115,2.179,-0.590,-4.882,-5.051,-7.831,-0.087,0.923,-0.432,-0.427,0.244,0.214,66.667,10147.000,1.000
3.184,0.492,4.100,0.707,-0.384,-6.908,-9.887,-7.137,-0.089,0.924,-0.430,-0.336,0.122,0.244,66.667,10148.000,1.000
1.230,1.071,3.106,-1.024,-0.614,-9.270,-14.044,-7.031,-0.092,0.922,-0.430,-0.366,0.061,0.275,66.667,10149.000,1.000
-1.414,0.004,1.164,-2.703,-1.073,-11.269,-15.716,-7.087,-0.091,0.924,-0.429,-0.275,-0.061,0.305,66.667,10150.000,1.000
-3.812,-2.047,-1.234,-4.191,-1.373,-12.043,-14.499,-7.032,-0.092,0.926,-0.429,-0.397,0.000,0.305,66.667,10151.000,1.000
-5.562,-4.222,-3.438,-5.540,-1.258,-11.054,-11.240,-6.640,-0.091,0.926,-0.431,-0.397,-0.122,0.183,66.667,10152.000,1.000
-6.885,-5.822,-4.775,-6.715,-0.637,-8.272,-7.246,-5.436,-0.092,0.926,-0.432,-0.458,-0.244,0.244,66.667,10153.000,1.000
-6.409,-5.449,-4.229,-6.904,1.103,-3.884,-2.823,-2.720,-0.091,0.927,-0.431,-0.397,-0.336,0.183,66.667,10154.000,1.000
-3.921,-2.931,-1.864,-6.073,3.696,0.814,1.139,1.005,-0.091,0.928,-0.432,-0.427,-0.397,0.214,66.667,10155.000,1.000
-0.559,0.604,1.305,-4.949,6.164,4.135,3.519,4.320,-0.091,0.926,-0.432,-0.549,-0.458,0.214,66.667,10156.000,1.000
1.797,3.425,3.883,-4.460,7.437,4.949,3.434,5.835,-0.092,0.925,-0.431,-0.732,-0.549,0.244,66.667,10157.000,1.000
1.908,4.406,5.184,-4.807,7.204,3.600,1.068,5.158,-0.092,0.925,-0.430,-0.763,-0.580,0.183,66.667,10158.000,1.000
1.848,4.713,6.083,-4.666,6.814,2.175,-1.185,3.461,-0.092,0.926,-0.428,-0.763,-0.549,0.214,66.667,10159.000,1.000
