EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
8.465,17.719,13.790,7.951,10.234,12.142,8.760,12.028,-0.062,0.922,-0.427,-1.251,0.000,0.671,60.000,81281.000,1.000
9.377,18.078,16.514,7.337,10.587,11.731,6.456,9.815,-0.063,0.924,-0.428,-1.282,0.092,0.702,60.000,81282.000,1.000
10.209,18.339,19.378,7.248,11.515,11.146,4.906,7.089,-0.062,0.928,-0.426,-1.221,0.122,0.824,60.000,81283.000,1.000
10.079,17.823,21.734,7.632,12.627,10.686,4.011,4.776,-0.058,0.930,-0.426,-1.282,0.305,0.977,60.000,81284.000,1.000
8.610,16.120,22.687,7.981,13.270,10.323,3.190,3.500,-0.058,0.936,-0.426,-1.373,0.397,1.068,60.000,81285.000,1.000
6.598,13.620,21.679,7.947,13.041,9.901,2.032,3.561,-0.062,0.934,-0.424,-1.373,0.549,1.129,60.000,81286.000,1.000
5.923,11.606,19.002,7.761,12.193,9.501,1.056,4.871,-0.065,0.937,-0.424,-1.373,0.580,1.190,60.000,81287.000,1.000
7.664,11.029,15.427,7.639,11.123,9.125,0.941,6.690,-0.071,0.937,-0.427,-1.465,0.610,1.099,60.000,81288.000,1.000
11.445,11.767,11.894,7.496,10.059,8.646,1.997,7.965,-0.077,0.936,-0.424,-1.526,0.458,1.038,60.000,81289.000,1.000
15.560,12.538,9.123,6.890,8.728,7.790,3.791,7.855,-0.079,0.934,-0.425,-1.587,0.275,0.946,60.000,81290.000,1.000
18.146,11.872,7.478,5.423,6.584,6.356,5.403,6.280,-0.080,0.933,-0.423,-1.648,0.061,0.763,60.000,81291.000,1.000
18.576,9.361,6.960,3.203,3.603,4.512,6.325,3.985,-0.081,0.932,-0.424,-1.617,-0.214,0.580,60.000,81292.000,1.000
16.901,5.361,6.846,0.480,0.276,2.498,6.364,1.675,-0.082,0.929,-0.424,-1.678,-0.397,0.458,60.000,81293.000,1.000
13.824,0.806,6.132,-2.349,-2.575,0.521,5.663,-0.502,-0.081,0.927,-0.424,-1.648,-0.763,0.336,60.000,81294.000,1.000
10.545,-2.954,4.168,-4.717,-4.156,-1.334,4.453,-2.760,-0.078,0.926,-0.423,-1.587,-1.007,0.092,60.000,81295.000,1.000
8.228,-4.608,1.089,-6.065,-3.978,-2.979,3.007,-5.026,-0.077,0.927,-0.425,-1.648,-1.129,-0.031,60.000,81296.000,1.000
7.337,-3.616,-2.291,-6.141,-2.082,-4.182,1.734,-6.800,-0.075,0.927,-0.425,-1.526,-1.434,-0.061,60.000,81297.000,1.000
6.708,-1.078,-5.288,-5.375,0.597,-4.936,0.518,-7.688,-0.075,0.926,-0.423,-1.495,-1.495,-0.183,60.000,81298.000,1.000
4.821,1.110,-7.548,-4.295,2.944,-5.210,-0.785,-7.330,-0.071,0.927,-0.423,-1.465,-1.526,-0.183,60.000,81299.000,1.000
1.067,1.439,-9.091,-3.216,4.256,-4.792,-1.806,-5.434,-0.067,0.928,-0.423,-1.495,-1.648,-0.214,60.000,81300.000,1.000
-3.706,-0.316,-10.103,-2.213,4.403,-3.458,-1.781,-2.304,-0.068,0.927,-0.424,-1.373,-1.648,-0.183,60.000,81301.000,1.000
-7.472,-2.845,-10.603,-1.144,3.762,-1.144,-0.118,0.804,-0.067,0.927,-0.424,-1.312,-1.709,-0.061,60.000,81302.000,1.000
-9.006,-4.773,-10.765,-0.170,2.461,1.681,2.529,2.111,-0.064,0.927,-0.422,-1.160,-1.526,-0.061,60.000,81303.000,1.000
-8.131,-5.399,-10.691,0.515,0.504,4.349,4.873,0.746,-0.063,0.926,-0.424,-1.129,-1.495,0.092,60.000,81304.000,1.000
-5.052,-4.527,-10.149,1.092,-1.688,6.358,6.076,-2.518,-0.063,0.927,-0.421,-1.099,-1.312,0.214,60.000,81305.000,1.000
-0.078,-2.261,-8.790,1.994,-3.358,7.387,6.043,-5.810,-0.062,0.928,-0.422,-1.068,-1.190,0.305,60.000,81306.000,1.000
6.184,0.985,-6.625,3.469,-4.042,7.215,5.103,-7.306,-0.062,0.928,-0.419,-0.977,-1.160,0.488,60.000,81307.000,1.000
12.221,4.206,-4.326,5.199,-4.097,5.654,3.328,-6.232,-0.061,0.925,-0.423,-0.824,-0.946,0.671,60.000,81308.000,1.000
16.859,6.699,-2.493,6.866,-3.912,3.115,1.071,-2.937,-0.061,0.926,-0.421,-0.885,-0.793,0.671,60.000,81309.000,1.000
19.954,8.577,-1.245,8.384,-3.398,0.569,-0.944,1.332,-0.062,0.926,-0.419,-0.885,-0.702,0.763,60.000,81310.000,1.000
21.933,10.260,-0.409,9.702,-2.331,-1.111,-2.132,5.012,-0.063,0.927,-0.420,-0.885,-0.580,0.793,60.000,81311.000,1.000
23.324,11.926,0.291,10.795,-0.697,-1.547,-2.190,7.165,-0.063,0.928,-0.421,-0.885,-0.427,0.824,60.000,81312.000,1.000
24.002,13.103,0.963,11.539,1.078,-0.980,-1.417,7.833,-0.063,0.930,-0.421,-0.885,-0.397,0.732,60.000,81313.000,1.000
23.766,13.266,1.655,11.882,2.547,0.174,-0.317,7.674,-0.062,0.929,-0.421,-1.007,-0.397,0.763,60.000,81314.000,1.000
