EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
8.533,5.324,5.277,0.068,7.461,1.560,5.365,-1.219,-0.133,0.893,-0.481,-0.763,-0.671,0.397,60.000,66905.000,1.000
8.154,5.081,4.797,0.499,7.076,1.667,4.157,-2.732,-0.134,0.894,-0.481,-0.885,-0.641,0.427,60.000,66906.000,1.000
6.844,4.674,3.672,0.851,6.558,1.682,2.975,-3.580,-0.134,0.892,-0.481,-0.977,-0.641,0.366,60.000,66907.000,1.000
4.998,4.241,2.410,1.167,6.132,1.868,2.722,-3.057,-0.133,0.890,-0.480,-0.946,-0.549,0.458,60.000,66908.000,1.000
3.106,3.816,1.356,1.330,5.866,2.345,3.942,-1.181,-0.134,0.890,-0.484,-0.885,-0.671,0.397,60.000,66909.000,1.000
1.573,3.387,0.480,1.111,5.593,2.966,6.417,1.443,-0.134,0.892,-0.481,-0.671,-0.641,0.336,60.000,66910.000,1.000
-0.313,2.083,-0.879,-0.091,4.457,2.990,8.753,3.662,-0.132,0.893,-0.480,-0.641,-0.549,0.366,60.000,66911.000,1.000
-3.714,-1.464,-3.438,-2.837,1.292,1.442,9.190,4.103,-0.131,0.893,-0.479,-0.641,-0.580,0.397,60.000,66912.000,1.000
-9.090,-7.835,-7.294,-7.124,-4.514,-2.293,6.399,1.805,-0.132,0.893,-0.482,-0.671,-0.610,0.458,60.000,66913.000,1.000
-15.038,-15.575,-11.454,-11.918,-12.007,-7.689,0.534,-2.997,-0.131,0.891,-0.483,-0.702,-0.549,0.549,60.000,66914.000,1.000
-19.268,-22.051,-14.471,-15.760,-19.021,-13.203,-6.759,-9.093,-0.130,0.891,-0.480,-0.732,-0.580,0.519,60.000,66915.000,1.000
-20.370,-25.260,-15.391,-17.682,-23.404,-17.071,-13.357,-14.963,-0.131,0.893,-0.481,-0.671,-0.580,0.519,60.000,66916.000,1.000
-17.582,-24.157,-13.717,-17.161,-23.588,-17.732,-17.127,-18.923,-0.132,0.891,-0.480,-0.580,-0.488,0.549,60.000,66917.000,1.000
-11.245,-19.050,-9.538,-14.289,-19.403,-14.593,-16.885,-19.666,-0.134,0.888,-0.483,-0.519,-0.427,0.580,60.000,66918.000,1.000
-2.832,-11.490,-3.639,-9.801,-12.319,-8.431,-12.785,-16.905,-0.134,0.891,-0.485,-0.458,-0.519,0.671,60.000,66919.000,1.000
5.580,-3.548,2.556,-4.923,-4.720,-1.111,-6.190,-11.781,-0.134,0.893,-0.480,-0.275,-0.549,0.641,60.000,66920.000,1.000
12.105,3.105,7.571,-0.870,1.384,5.356,0.828,-6.341,-0.137,0.894,-0.483,-0.244,-0.488,0.549,60.000,66921.000,1.000
16.354,8.124,10.782,1.919,5.391,9.890,6.577,-2.182,-0.135,0.895,-0.483,-0.427,-0.519,0.610,60.000,66922.000,1.000
18.858,11.879,12.282,3.538,7.557,12.303,9.901,0.186,-0.134,0.895,-0.480,-0.397,-0.580,0.519,60.000,66923.000,1.000
20.328,14.616,12.561,4.286,8.303,13.057,10.559,1.235,-0.131,0.898,-0.481,-0.488,-0.641,0.641,60.000,66924.000,1.000
20.839,15.979,12.055,4.364,7.866,12.793,9.212,1.795,-0.129,0.900,-0.484,-0.427,-0.580,0.580,60.000,66925.000,1.000
19.752,15.531,10.967,3.905,6.459,12.010,6.994,2.576,-0.128,0.900,-0.482,-0.580,-0.427,0.610,60.000,66926.000,1.000
17.271,14.046,9.660,3.440,4.835,11.279,5.489,3.999,-0.127,0.898,-0.480,-0.610,-0.427,0.702,60.000,66927.000,1.000
14.235,12.878,8.401,3.430,3.729,10.900,5.684,5.756,-0.124,0.894,-0.480,-0.610,-0.275,0.732,60.000,66928.000,1.000
11.629,12.875,7.354,4.061,3.501,10.937,7.648,7.172,-0.124,0.891,-0.486,-0.641,-0.275,0.763,60.000,66929.000,1.000
9.992,13.881,6.666,5.298,4.163,11.417,10.809,7.925,-0.123,0.887,-0.483,-0.732,-0.061,0.763,60.000,66930.000,1.000
8.891,14.917,6.334,6.835,5.362,12.174,13.953,8.154,-0.125,0.888,-0.485,-0.580,0.061,0.702,60.000,66931.000,1.000
