EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.712,2.013,-2.129,-5.153,1.108,7.453,1.975,-1.887,-0.059,0.909,-0.468,-0.916,-0.366,0.671,60.000,109481.000,1.000
0.551,3.409,-1.061,-4.353,4.082,11.430,5.857,-2.060,-0.060,0.909,-0.470,-0.854,-0.366,0.732,60.000,109482.000,1.000
0.655,4.065,-0.065,-3.675,6.680,14.367,9.456,-1.268,-0.061,0.909,-0.469,-0.946,-0.336,0.763,60.000,109483.000,1.000
-0.092,4.175,0.316,-3.360,8.370,15.503,12.372,-0.272,-0.060,0.911,-0.473,-1.038,-0.397,0.763,60.000,109484.000,1.000
-1.243,4.001,-0.356,-3.562,8.614,14.364,13.852,-0.061,-0.058,0.912,-0.470,-1.007,-0.397,0.824,60.000,109485.000,1.000
-3.371,3.151,-2.355,-4.434,6.891,10.778,12.605,-1.094,-0.054,0.910,-0.466,-0.946,-0.305,0.824,60.000,109486.000,1.000
-6.837,1.464,-5.105,-5.509,3.713,5.804,8.507,-2.735,-0.056,0.910,-0.468,-0.977,-0.305,0.916,60.000,109487.000,1.000
-10.751,-0.382,-7.359,-5.812,0.718,1.553,3.166,-3.786,-0.056,0.910,-0.468,-0.977,-0.214,0.916,60.000,109488.000,1.000
-12.541,-0.862,-7.937,-4.357,-0.144,0.045,-0.698,-3.280,-0.054,0.910,-0.468,-0.977,-0.305,0.946,60.000,109489.000,1.000
-10.947,0.544,-6.956,-1.364,1.610,1.669,-1.410,-1.328,-0.055,0.912,-0.469,-0.854,-0.244,1.068,60.000,109490.000,1.000
-8.003,2.326,-5.763,1.545,4.436,4.941,0.490,0.813,-0.057,0.912,-0.467,-0.854,-0.153,1.007,60.000,109491.000,1.000
-7.026,2.312,-5.642,2.675,6.067,7.566,2.890,1.559,-0.057,0.912,-0.467,-0.854,-0.183,1.038,60.000,109492.000,1.000
-9.385,-0.279,-6.746,1.656,5.181,7.928,3.651,0.186,-0.059,0.913,-0.466,-0.916,-0.214,1.099,60.000,109493.000,1.000
-12.444,-3.537,-7.871,-0.075,2.473,6.290,2.673,-2.324,-0.061,0.912,-0.463,-1.038,-0.214,1.007,60.000,109494.000,1.000
-12.873,-4.872,-7.949,-1.004,-0.528,3.988,1.268,-4.186,-0.058,0.910,-0.466,-1.129,-0.214,0.946,60.000,109495.000,1.000
-10.247,-3.455,-6.995,-0.852,-2.875,2.137,0.479,-4.245,-0.059,0.911,-0.467,-1.099,-0.153,0.946,60.000,109496.000,1.000
-6.696,-0.386,-5.635,-0.215,-4.381,1.219,0.600,-2.580,-0.057,0.912,-0.467,-1.007,-0.214,0.824,60.000,109497.000,1.000
-4.381,2.650,-4.284,0.369,-5.132,1.273,1.508,-0.190,-0.058,0.915,-0.467,-1.099,-0.244,0.671,60.000,109498.000,1.000
-2.683,5.287,-2.563,1.273,-4.777,2.265,3.291,1.834,-0.061,0.913,-0.469,-1.129,-0.275,0.671,60.000,109499.000,1.000
0.007,7.871,-0.319,2.830,-3.322,3.494,5.148,2.540,-0.061,0.913,-0.465,-1.221,-0.336,0.610,60.000,109500.000,1.000
3.555,10.114,1.760,4.494,-1.752,3.886,5.467,1.594,-0.063,0.909,-0.466,-1.465,-0.397,0.580,60.000,109501.000,1.000
6.216,11.176,2.826,5.335,-1.245,3.125,3.555,-0.306,-0.061,0.910,-0.467,-1.495,-0.488,0.427,60.000,109502.000,1.000
6.268,10.544,2.481,4.744,-2.311,1.692,0.208,-1.949,-0.061,0.906,-0.468,-1.434,-0.580,0.336,60.000,109503.000,1.000
4.107,8.842,0.902,2.874,-4.508,0.101,-2.750,-2.373,-0.058,0.906,-0.470,-1.282,-0.641,0.397,60.000,109504.000,1.000
0.939,6.572,-1.805,-0.001,-7.451,-1.971,-4.299,-1.573,-0.056,0.908,-0.469,-1.129,-0.763,0.397,60.000,109505.000,1.000
-2.601,3.503,-5.423,-3.586,-11.148,-5.101,-4.763,-0.279,-0.056,0.906,-0.468,-1.038,-0.610,0.397,60.000,109506.000,1.000
-6.459,-0.757,-9.426,-7.501,-15.613,-9.392,-5.238,0.326,-0.055,0.906,-0.466,-1.038,-0.641,0.427,60.000,109507.000,1.000
-11.294,-6.637,-13.429,-11.632,-20.759,-14.636,-7.238,-1.266,-0.057,0.906,-0.466,-0.916,-0.519,0.366,60.000,109508.000,1.000
-16.568,-13.473,-16.695,-15.420,-25.589,-19.906,-11.060,-5.534,-0.055,0.905,-0.466,-0.854,-0.427,0.397,60.000,109509.000,1.000
-20.348,-19.314,-18.123,-17.774,-28.368,-23.652,-15.331,-11.061,-0.056,0.903,-0.470,-0.854,-0.488,0.488,60.000,109510.000,1.000
-20.636,-21.952,-16.853,-17.716,-27.652,-24.462,-17.851,-15.232,-0.055,0.904,-0.469,-0.885,-0.519,0.519,60.000,109511.000,1.000
-16.784,-20.311,-12.987,-15.035,-23.293,-22.000,-16.994,-15.990,-0.058,0.905,-0.468,-0.793,-0.458,0.671,60.000,109512.000,1.000
-10.516,-15.460,-7.813,-10.587,-16.783,-17.497,-13.088,-13.108,-0.057,0.907,-0.467,-0.702,-0.366,0.671,60.000,109513.000,1.000
-4.119,-9.500,-2.839,-5.572,-10.062,-12.746,-7.642,-7.800,-0.058,0.912,-0.467,-0.732,-0.397,0.671,60.000,109514.000,1.000
0.653,-4.426,0.752,-1.242,-4.670,-9.151,-2.459,-2.001,-0.057,0.914,-0.469,-0.732,-0.427,0.671,60.000,109515.000,1.000
