EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
2.674,-5.483,1.586,2.178,-0.985,3.941,2.317,-0.903,-0.052,0.917,-0.459,-0.549,0.275,0.610,60.000,113233.000,1.000
1.476,-7.411,0.870,2.225,-1.917,4.461,3.163,-0.578,-0.052,0.916,-0.458,-0.580,0.214,0.641,60.000,113234.000,1.000
0.238,-9.516,-0.036,1.416,-3.229,3.278,2.208,-0.439,-0.053,0.916,-0.456,-0.580,0.244,0.702,60.000,113235.000,1.000
-0.416,-10.844,-0.756,0.421,-4.078,0.924,0.173,0.046,-0.053,0.916,-0.458,-0.519,0.305,0.671,60.000,113236.000,1.000
0.121,-10.536,-1.024,-0.022,-3.670,-1.529,-1.753,1.295,-0.053,0.915,-0.459,-0.610,0.244,0.549,60.000,113237.000,1.000
1.600,-8.394,-0.860,0.215,-1.875,-2.952,-2.599,3.264,-0.052,0.913,-0.459,-0.488,0.214,0.580,60.000,113238.000,1.000
3.151,-5.015,-0.420,0.745,0.802,-2.598,-1.935,5.520,-0.051,0.914,-0.457,-0.366,0.214,0.549,60.000,113239.000,1.000
3.287,-1.892,-0.060,0.946,3.375,-0.780,-0.486,7.429,-0.053,0.913,-0.459,-0.427,0.122,0.519,60.000,113240.000,1.000
1.822,0.035,0.200,0.835,5.314,1.543,0.861,8.670,-0.052,0.916,-0.460,-0.336,0.153,0.641,60.000,113241.000,1.000
0.026,0.981,0.609,0.836,6.696,3.405,1.661,8.953,-0.052,0.915,-0.458,-0.397,0.305,0.580,60.000,113242.000,1.000
-1.070,1.547,1.289,1.071,7.704,4.299,1.778,7.890,-0.053,0.915,-0.455,-0.397,0.336,0.458,60.000,113243.000,1.000
-1.298,2.115,2.152,1.379,8.489,4.333,1.287,5.613,-0.053,0.914,-0.458,-0.366,0.366,0.549,60.000,113244.000,1.000
-1.571,2.495,2.761,1.397,8.957,3.750,-0.004,2.847,-0.052,0.913,-0.455,-0.458,0.214,0.549,60.000,113245.000,1.000
-1.964,2.991,3.026,1.320,9.332,3.154,-1.527,0.664,-0.052,0.914,-0.456,-0.397,0.275,0.549,60.000,113246.000,1.000
-1.783,4.179,3.186,1.664,9.945,3.190,-2.051,-0.191,-0.053,0.914,-0.455,-0.366,0.336,0.519,60.000,113247.000,1.000
-1.220,5.665,3.258,2.483,10.548,3.887,-1.021,0.285,-0.054,0.914,-0.457,-0.275,0.153,0.610,60.000,113248.000,1.000
-1.192,6.273,3.042,3.352,10.536,4.758,1.028,1.634,-0.054,0.916,-0.456,-0.366,0.122,0.641,60.000,113249.000,1.000
-2.644,4.994,2.313,3.645,9.451,5.171,2.716,3.262,-0.054,0.915,-0.458,-0.397,0.122,0.641,60.000,113250.000,1.000
-4.733,2.381,1.367,3.323,7.675,4.984,3.226,4.779,-0.054,0.915,-0.458,-0.397,0.031,0.610,60.000,113251.000,1.000
-5.879,-0.252,0.473,2.568,5.760,4.231,2.396,5.604,-0.055,0.912,-0.458,-0.427,0.000,0.549,60.000,113252.000,1.000
-5.783,-2.149,-0.524,1.338,3.769,2.898,0.313,5.005,-0.055,0.914,-0.459,-0.458,-0.092,0.580,60.000,113253.000,1.000
-4.852,-2.782,-1.631,-0.149,1.820,1.359,-2.258,2.930,-0.055,0.915,-0.460,-0.427,-0.092,0.671,60.000,113254.000,1.000
-3.903,-2.126,-2.714,-1.531,0.127,0.217,-4.195,0.088,-0.054,0.916,-0.460,-0.427,-0.122,0.610,60.000,113255.000,1.000
-3.063,-0.591,-3.371,-2.217,-0.848,0.244,-3.967,-2.298,-0.053,0.916,-0.457,-0.275,-0.244,0.671,60.000,113256.000,1.000
-2.027,1.017,-3.353,-1.885,-0.873,1.708,-0.965,-3.317,-0.053,0.917,-0.455,-0.336,-0.244,0.641,60.000,113257.000,1.000
-0.996,1.726,-3.066,-1.088,-0.574,3.638,2.992,-3.254,-0.054,0.916,-0.456,-0.427,-0.336,0.610,60.000,113258.000,1.000
-0.523,0.959,-3.361,-0.924,-1.121,4.239,4.839,-3.491,-0.052,0.915,-0.458,-0.366,-0.366,0.641,60.000,113259.000,1.000
-1.580,-1.495,-4.923,-2.335,-3.451,2.156,2.620,-5.380,-0.053,0.914,-0.456,-0.458,-0.336,0.610,60.000,113260.000,1.000
-3.653,-4.541,-7.090,-4.837,-6.935,-1.854,-2.305,-8.641,-0.053,0.912,-0.458,-0.397,-0.366,0.610,60.000,113261.000,1.000
-4.976,-6.363,-8.311,-6.939,-9.820,-5.446,-6.492,-11.534,-0.053,0.913,-0.455,-0.366,-0.336,0.641,60.000,113262.000,1.000
-4.678,-6.142,-7.680,-7.603,-10.907,-6.751,-7.492,-12.357,-0.052,0.913,-0.457,-0.305,-0.397,0.671,60.000,113263.000,1.000
-3.177,-4.381,-5.655,-6.893,-10.289,-5.639,-5.360,-10.778,-0.052,0.914,-0.456,-0.275,-0.397,0.519,60.000,113264.000,1.000
-2.159,-2.720,-3.854,-5.971,-9.222,-3.622,-2.453,-8.338,-0.053,0.915,-0.457,-0.397,-0.488,0.488,60.000,113265.000,1.000
-2.594,-2.394,-3.518,-5.815,-8.666,-2.151,-0.915,-7.024,-0.054,0.911,-0.458,-0.427,-0.549,0.488,60.000,113266.000,1.000
-4.116,-3.437,-4.806,-6.634,-8.685,-1.776,-1.391,-7.682,-0.053,0.912,-0.456,-0.458,-0.671,0.458,60.000,113267.000,1.000
-5.916,-5.127,-7.040,-8.085,-8.869,-2.318,-3.373,-9.540,-0.055,0.912,-0.459,-0.458,-0.610,0.458,60.000,113268.000,1.000
-7.102,-6.522,-9.066,-9.383,-8.591,-3.116,-5.580,-10.822,-0.053,0.913,-0.460,-0.458,-0.732,0.427,60.000,113269.000,1.000
-7.736,-7.338,-10.024,-9.911,-7.553,-3.642,-7.059,-10.023,-0.054,0.914,-0.461,-0.519,-0.763,0.397,60.000,113270.000,1.000
-7.815,-7.365,-9.454,-9.178,-5.625,-3.546,-7.135,-6.498,-0.055,0.916,-0.460,-0.427,-0.946,0.275,60.000,113271.000,1.000
-7.010,-6.258,-7.588,-7.111,-2.971,-2.871,-5.560,-1.009,-0.054,0.916,-0.461,-0.519,-0.916,0.336,60.000,113272.000,1.000
-5.312,-3.956,-5.264,-4.260,-0.146,-1.945,-2.578,4.373,-0.054,0.919,-0.457,-0.610,-0.885,0.275,60.000,113273.000,1.000
-2.888,-0.724,-3.253,-1.408,2.285,-0.935,1.459,7.646,-0.055,0.920,-0.454,-0.610,-1.007,0.275,60.000,113274.000,1.000
-0.764,2.444,-2.226,0.432,3.612,-0.153,5.374,7.935,-0.053,0.918,-0.458,-0.793,-1.007,0.305,60.000,113275.000,1.000
0.442,4.770,-2.337,0.725,3.534,0.190,7.811,5.780,-0.054,0.920,-0.460,-1.007,-0.946,0.244,60.000,113276.000,1.000
1.016,6.120,-3.224,-0.324,2.366,0.176,8.099,2.557,-0.053,0.917,-0.460,-1.068,-1.007,0.305,60.000,113277.000,1.000
1.493,6.633,-4.223,-1.945,0.828,0.158,6.558,-0.110,-0.054,0.917,-0.458,-1.190,-1.099,0.336,60.000,113278.000,1.000
2.609,6.687,-4.556,-3.062,-0.229,0.598,4.269,-0.970,-0.053,0.915,-0.459,-1.160,-1.068,0.214,60.000,113279.000,1.000
4.154,6.272,-4.065,-3.254,-0.725,1.394,1.777,-0.114,-0.054,0.914,-0.461,-1.038,-1.129,0.275,60.000,113280.000,1.000
5.665,5.392,-2.964,-2.610,-0.954,2.242,-0.474,1.464,-0.053,0.913,-0.459,-1.099,-1.099,0.336,60.000,113281.000,1.000
6.898,4.407,-1.456,-1.367,-0.930,3.075,-1.771,2.947,-0.054,0.913,-0.461,-1.160,-1.129,0.336,60.000,113282.000,1.000
7.792,3.961,0.330,0.148,-0.342,4.084,-1.543,4.215,-0.052,0.914,-0.458,-1.068,-1.160,0.336,60.000,113283.000,1.000
8.809,4.789,2.247,1.609,1.131,5.456,0.477,5.434,-0.052,0.913,-0.459,-1.129,-1.038,0.488,60.000,113284.000,1.000
9.665,6.531,3.650,2.366,3.011,6.757,3.623,6.221,-0.052,0.914,-0.455,-0.977,-1.038,0.397,60.000,113285.000,1.000
9.768,8.028,3.946,2.041,4.429,7.395,6.929,6.001,-0.051,0.912,-0.458,-1.068,-0.916,0.458,60.000,113286.000,1.000
8.579,8.114,3.011,0.798,4.641,7.051,9.422,4.593,-0.053,0.910,-0.460,-1.099,-0.977,0.458,60.000,113287.000,1.000
5.788,6.305,1.230,-0.782,3.375,5.796,10.292,2.425,-0.054,0.912,-0.459,-1.068,-0.916,0.427,60.000,113288.000,1.000
1.952,3.190,-0.728,-1.955,1.090,4.019,9.561,0.359,-0.052,0.913,-0.459,-1.038,-1.007,0.458,60.000,113289.000,1.000
-2.789,-0.812,-2.757,-2.741,-1.841,1.651,7.379,-1.141,-0.052,0.915,-0.460,-1.068,-1.007,0.305,60.000,113290.000,1.000
-8.305,-5.518,-5.057,-3.665,-5.205,-1.657,3.807,-2.218,-0.052,0.913,-0.460,-1.038,-1.007,0.336,60.000,113291.000,1.000
-13.995,-10.522,-7.673,-5.175,-8.728,-6.007,-1.267,-3.420,-0.051,0.911,-0.461,-1.068,-0.885,0.366,60.000,113292.000,1.000
-18.959,-15.072,-10.256,-7.179,-11.866,-10.802,-7.573,-5.073,-0.051,0.909,-0.459,-0.977,-0.824,0.305,60.000,113293.000,1.000
-21.841,-17.993,-11.977,-8.843,-13.664,-14.681,-13.527,-6.839,-0.051,0.910,-0.457,-0.885,-0.702,0.336,60.000,113294.000,1.000
-22.209,-18.547,-12.206,-9.507,-13.526,-16.496,-17.360,-8.289,-0.053,0.907,-0.462,-0.763,-0.610,0.397,60.000,113295.000,1.000
-20.409,-16.554,-10.687,-8.914,-11.341,-15.833,-18.156,-9.165,-0.054,0.906,-0.461,-0.824,-0.702,0.366,60.000,113296.000,1.000
-17.332,-12.602,-7.811,-7.264,-7.566,-13.353,-16.458,-9.466,-0.053,0.909,-0.462,-0.641,-0.580,0.305,60.000,113297.000,1.000
-13.929,-7.850,-4.534,-5.042,-3.130,-10.392,-13.614,-9.221,-0.057,0.914,-0.461,-0.732,-0.580,0.305,60.000,113298.000,1.000
-10.214,-3.135,-1.733,-2.554,1.115,-7.862,-10.334,-8.164,-0.058,0.917,-0.461,-0.763,-0.519,0.275,60.000,113299.000,1.000
-6.478,0.770,-0.060,-0.228,4.318,-6.054,-6.981,-6.164,-0.055,0.919,-0.460,-0.793,-0.488,0.214,60.000,113300.000,1.000
-3.125,3.424,0.485,1.627,6.011,-4.744,-3.639,-3.438,-0.055,0.921,-0.460,-0.885,-0.519,0.305,60.000,113301.000,1.000
-0.382,4.692,0.362,2.771,6.075,-3.849,-0.510,-0.635,-0.054,0.922,-0.458,-1.007,-0.366,0.427,60.000,113302.000,1.000
1.861,4.713,0.169,3.043,4.640,-3.634,1.931,1.539,-0.052,0.919,-0.459,-1.099,-0.336,0.397,60.000,113303.000,1.000
4.569,4.329,0.634,2.714,2.383,-4.048,3.584,2.799,-0.048,0.916,-0.460,-1.190,-0.244,0.366,60.000,113304.000,1.000
7.977,4.239,2.000,1.994,-0.024,-4.668,4.312,2.932,-0.045,0.912,-0.460,-1.251,-0.031,0.458,60.000,113305.000,1.000
11.579,4.721,4.076,1.158,-1.971,-4.799,4.212,1.968,-0.044,0.908,-0.462,-1.282,0.061,0.580,60.000,113306.000,1.000
14.441,5.383,6.298,0.461,-3.118,-4.176,3.536,0.365,-0.044,0.907,-0.462,-1.007,0.305,0.610,60.000,113307.000,1.000
15.607,5.355,7.919,-0.068,-3.581,-3.249,2.439,-1.191,-0.047,0.907,-0.460,-0.977,0.458,0.702,60.000,113308.000,1.000
14.977,4.282,8.476,-0.450,-3.577,-2.542,1.149,-2.026,-0.049,0.908,-0.459,-0.824,0.641,0.763,60.000,113309.000,1.000
12.371,2.226,7.741,-0.868,-3.469,-2.353,-0.540,-1.847,-0.049,0.912,-0.461,-0.763,0.641,0.763,60.000,113310.000,1.000
8.261,0.073,6.199,-0.972,-3.135,-2.270,-2.335,-0.614,-0.049,0.918,-0.461,-0.916,0.732,0.824,60.000,113311.000,1.000
3.989,-0.925,4.784,-0.033,-2.081,-1.562,-3.193,1.275,-0.049,0.922,-0.460,-0.946,0.763,0.854,60.000,113312.000,1.000
0.782,-0.336,4.070,2.189,-0.148,0.050,-2.307,3.004,-0.049,0.924,-0.458,-1.160,0.732,0.916,60.000,113313.000,1.000
-0.487,1.376,4.168,5.327,2.455,2.407,0.539,4.061,-0.051,0.923,-0.459,-1.465,0.732,0.885,60.000,113314.000,1.000
-0.344,2.974,4.694,8.396,4.993,5.000,4.638,4.375,-0.057,0.925,-0.458,-1.648,0.732,0.824,60.000,113315.000,1.000
0.228,3.562,5.211,10.499,6.625,7.373,8.990,4.134,-0.059,0.924,-0.459,-1.801,0.702,0.702,60.000,113316.000,1.000
0.645,3.091,5.234,11.168,6.762,9.073,12.425,3.397,-0.063,0.922,-0.458,-1.831,0.458,0.580,60.000,113317.000,1.000
0.874,2.121,4.367,10.481,5.455,9.784,13.885,2.230,-0.064,0.920,-0.458,-1.923,0.244,0.366,60.000,113318.000,1.000
1.538,1.521,2.788,9.108,3.580,9.638,13.318,0.979,-0.066,0.917,-0.460,-1.892,-0.122,0.061,60.000,113319.000,1.000
2.424,1.388,1.000,7.564,1.891,8.732,11.187,-0.063,-0.067,0.914,-0.458,-2.014,-0.397,0.000,60.000,113320.000,1.000
3.067,1.390,-0.206,6.229,0.915,7.271,8.491,-0.531,-0.065,0.912,-0.462,-2.136,-0.610,-0.183,60.000,113321.000,1.000
3.057,0.993,-0.450,5.152,0.831,5.541,6.161,-0.204,-0.064,0.909,-0.461,-2.136,-0.885,-0.336,60.000,113322.000,1.000
1.789,-0.481,-0.214,3.949,1.324,3.699,4.264,0.589,-0.061,0.908,-0.461,-1.892,-1.038,-0.427,60.000,113323.000,1.000
-0.690,-2.932,-0.202,2.430,2.030,1.872,2.457,1.200,-0.059,0.905,-0.462,-1.770,-1.190,-0.488,60.000,113324.000,1.000
-4.294,-5.703,-1.057,0.531,2.461,-0.082,0.177,0.962,-0.057,0.906,-0.466,-1.709,-1.312,-0.427,60.000,113325.000,1.000
-8.252,-7.602,-2.757,-1.406,2.507,-2.045,-2.307,-0.102,-0.057,0.908,-0.462,-1.648,-1.373,-0.397,60.000,113326.000,1.000
-11.046,-7.363,-4.513,-2.729,2.567,-3.368,-3.853,-1.231,-0.057,0.909,-0.462,-1.495,-1.434,-0.336,60.000,113327.000,1.000
-11.461,-4.497,-5.386,-2.977,2.984,-3.381,-3.594,-1.649,-0.055,0.913,-0.462,-1.434,-1.434,-0.214,60.000,113328.000,1.000
-8.972,0.500,-4.914,-2.103,3.731,-1.923,-1.523,-1.202,-0.056,0.914,-0.460,-1.343,-1.404,-0.092,60.000,113329.000,1.000
-4.544,5.992,-3.510,-0.636,4.352,0.504,1.401,-0.409,-0.053,0.916,-0.461,-1.404,-1.434,-0.061,60.000,113330.000,1.000
