EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-8.015,-9.686,-3.788,-4.652,-3.362,-5.067,-8.007,-0.068,-0.067,0.929,-0.418,-0.488,-0.946,0.366,60.000,96585.000,1.000
-7.676,-8.209,-3.470,-3.800,-4.863,-6.239,-9.975,-2.696,-0.069,0.933,-0.417,-0.458,-0.946,0.336,60.000,96586.000,1.000
-7.390,-6.802,-2.940,-2.586,-5.039,-5.473,-9.472,-5.574,-0.069,0.932,-0.423,-0.488,-0.916,0.275,60.000,96587.000,1.000
-7.037,-5.809,-2.527,-1.295,-3.977,-2.934,-6.003,-7.117,-0.068,0.931,-0.421,-0.397,-1.038,0.244,60.000,96588.000,1.000
-7.053,-5.890,-2.763,-0.684,-2.744,0.063,-0.826,-6.446,-0.066,0.931,-0.421,-0.488,-1.160,0.183,60.000,96589.000,1.000
-7.959,-7.504,-3.827,-1.189,-2.340,2.069,3.931,-3.717,-0.066,0.931,-0.418,-0.519,-1.160,0.031,60.000,96590.000,1.000
-9.200,-9.950,-5.101,-2.331,-2.690,2.695,7.021,0.202,-0.066,0.929,-0.421,-0.458,-1.129,0.092,60.000,96591.000,1.000
-10.231,-12.122,-5.873,-3.526,-3.305,2.280,8.005,3.943,-0.064,0.930,-0.421,-0.427,-1.129,0.061,60.000,96592.000,1.000
-10.644,-13.120,-5.662,-4.373,-3.742,1.415,7.157,6.197,-0.063,0.928,-0.423,-0.458,-1.129,0.000,60.000,96593.000,1.000
-10.610,-12.956,-4.599,-4.908,-4.060,0.309,4.837,6.074,-0.062,0.928,-0.422,-0.458,-1.129,0.031,60.000,96594.000,1.000
-10.461,-12.263,-3.178,-5.373,-4.656,-1.223,1.415,3.644,-0.064,0.926,-0.420,-0.549,-1.007,-0.092,60.000,96595.000,1.000
-9.758,-11.315,-1.757,-5.792,-5.626,-3.318,-2.403,-0.028,-0.064,0.925,-0.422,-0.397,-0.946,0.000,60.000,96596.000,1.000
-8.282,-10.263,-0.712,-6.176,-6.792,-5.929,-6.152,-3.846,-0.064,0.924,-0.424,-0.336,-0.946,-0.061,60.000,96597.000,1.000
-5.736,-8.891,-0.023,-6.171,-7.387,-8.384,-9.179,-6.815,-0.064,0.920,-0.420,-0.366,-0.977,0.061,60.000,96598.000,1.000
-2.202,-7.034,0.586,-5.395,-6.581,-9.882,-10.809,-8.135,-0.061,0.921,-0.424,-0.092,-0.824,0.061,60.000,96599.000,1.000
1.583,-5.037,1.340,-3.904,-4.177,-10.055,-10.660,-7.732,-0.061,0.923,-0.425,-0.061,-0.885,0.153,60.000,96600.000,1.000
4.972,-3.338,2.374,-2.019,-0.630,-8.903,-8.637,-6.405,-0.062,0.926,-0.421,0.000,-0.763,0.183,60.000,96601.000,1.000
7.276,-2.190,3.590,-0.119,3.137,-6.699,-5.324,-5.090,-0.065,0.929,-0.418,0.000,-0.671,0.214,60.000,96602.000,1.000
8.629,-1.092,4.930,1.846,6.450,-3.678,-1.413,-3.863,-0.065,0.931,-0.421,-0.061,-0.641,0.305,60.000,96603.000,1.000
9.330,0.379,5.906,3.748,8.616,-0.577,1.947,-2.406,-0.066,0.932,-0.421,-0.183,-0.671,0.305,60.000,96604.000,1.000
9.350,1.924,5.684,5.037,8.861,1.379,3.376,-0.695,-0.065,0.931,-0.423,-0.275,-0.610,0.275,60.000,96605.000,1.000
8.838,2.996,3.840,5.300,6.992,1.422,2.506,0.982,-0.066,0.932,-0.422,-0.336,-0.580,0.214,60.000,96606.000,1.000
7.635,3.077,0.646,4.509,3.635,-0.196,0.130,2.225,-0.067,0.932,-0.426,-0.458,-0.641,0.244,60.000,96607.000,1.000
6.278,2.727,-2.604,3.500,0.505,-1.891,-1.730,3.073,-0.062,0.933,-0.420,-0.397,-0.580,0.244,60.000,96608.000,1.000
5.346,2.925,-4.620,3.116,-0.874,-2.078,-1.469,3.626,-0.063,0.933,-0.419,-0.549,-0.610,0.214,60.000,96609.000,1.000
4.532,3.758,-5.158,3.387,-0.428,-0.562,0.695,3.700,-0.060,0.932,-0.423,-0.549,-0.488,0.275,60.000,96610.000,1.000
3.419,4.654,-4.785,4.005,0.919,1.613,3.339,3.307,-0.055,0.930,-0.424,-0.763,-0.336,0.366,60.000,96611.000,1.000
1.639,4.870,-4.307,4.642,1.989,2.998,4.963,2.812,-0.057,0.930,-0.423,-0.763,-0.244,0.488,60.000,96612.000,1.000
-0.399,4.210,-4.037,5.233,2.155,2.866,5.461,2.718,-0.060,0.928,-0.424,-0.854,-0.153,0.488,60.000,96613.000,1.000
-2.307,2.663,-4.109,5.456,1.170,1.195,5.393,2.886,-0.063,0.928,-0.422,-0.916,-0.061,0.458,60.000,96614.000,1.000
-3.924,0.555,-4.613,4.851,-0.733,-1.458,4.956,2.621,-0.064,0.928,-0.423,-0.885,-0.031,0.458,60.000,96615.000,1.000
-4.440,-0.853,-5.286,3.492,-2.538,-3.914,4.317,1.550,-0.066,0.932,-0.423,-0.977,0.000,0.488,60.000,96616.000,1.000
