EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
3.852,4.219,4.034,0.478,5.401,6.040,-1.795,4.798,-0.082,0.915,-0.451,-0.763,-1.160,0.031,60.000,9233.000,1.000
6.183,6.143,5.074,1.399,4.957,8.808,0.481,4.566,-0.079,0.916,-0.453,-0.732,-1.190,0.000,60.000,9234.000,1.000
10.162,8.830,6.796,2.457,4.487,11.124,4.853,3.914,-0.079,0.917,-0.452,-0.732,-1.160,0.092,60.000,9235.000,1.000
14.764,11.622,8.705,3.508,4.048,12.289,9.071,2.765,-0.080,0.920,-0.452,-0.793,-1.068,0.122,60.000,9236.000,1.000
19.582,14.591,10.713,5.020,4.224,12.539,11.718,1.537,-0.083,0.921,-0.452,-0.946,-0.946,0.214,60.000,9237.000,1.000
23.927,17.454,12.521,7.060,5.177,12.420,12.346,0.370,-0.082,0.920,-0.450,-0.916,-0.946,0.214,60.000,9238.000,1.000
27.181,19.543,13.613,9.068,6.530,12.343,11.495,-0.912,-0.084,0.919,-0.454,-0.885,-0.885,0.305,60.000,9239.000,1.000
28.725,20.233,13.528,10.191,7.632,12.375,10.119,-2.401,-0.084,0.918,-0.454,-1.007,-0.916,0.366,60.000,9240.000,1.000
28.696,19.934,12.496,10.275,8.292,12.706,9.515,-3.640,-0.085,0.917,-0.454,-0.977,-0.702,0.397,60.000,9241.000,1.000
28.208,20.035,11.277,9.951,8.857,13.687,10.768,-4.048,-0.085,0.918,-0.452,-1.007,-0.793,0.458,60.000,9242.000,1.000
27.724,21.248,10.252,9.608,9.314,15.179,13.408,-3.683,-0.086,0.917,-0.448,-1.007,-0.824,0.427,60.000,9243.000,1.000
26.972,23.112,9.394,9.234,9.252,16.606,15.877,-2.966,-0.086,0.918,-0.449,-1.068,-0.916,0.427,60.000,9244.000,1.000
24.876,24.163,8.275,8.441,8.071,17.065,16.426,-2.441,-0.089,0.918,-0.448,-1.160,-0.946,0.397,60.000,9245.000,1.000
20.895,23.376,6.614,7.106,5.811,15.990,14.444,-2.396,-0.089,0.919,-0.452,-1.190,-0.977,0.427,60.000,9246.000,1.000
15.978,21.180,4.533,5.681,3.420,13.520,10.614,-2.711,-0.088,0.919,-0.450,-1.282,-0.946,0.366,60.000,9247.000,1.000
11.273,18.583,2.141,4.583,1.825,10.167,5.743,-3.087,-0.089,0.918,-0.452,-1.282,-0.946,0.305,60.000,9248.000,1.000
7.934,16.702,-0.284,4.155,1.585,6.860,1.105,-2.963,-0.088,0.916,-0.451,-1.221,-1.007,0.336,60.000,9249.000,1.000
6.132,15.913,-2.500,4.251,2.455,4.403,-1.717,-1.954,-0.086,0.916,-0.451,-1.312,-1.190,0.427,60.000,9250.000,1.000
5.088,15.742,-4.259,4.298,3.603,3.113,-1.468,-0.080,-0.084,0.915,-0.448,-1.343,-1.160,0.458,60.000,9251.000,1.000
4.073,15.563,-5.306,3.774,4.186,2.708,1.600,2.175,-0.084,0.916,-0.449,-1.404,-1.190,0.397,60.000,9252.000,1.000
2.616,14.949,-5.605,2.492,3.560,2.344,5.101,3.965,-0.084,0.917,-0.448,-1.404,-1.160,0.397,60.000,9253.000,1.000
1.262,14.173,-5.015,1.083,1.854,1.515,6.787,4.901,-0.087,0.916,-0.450,-1.373,-1.190,0.397,60.000,9254.000,1.000
0.419,13.357,-3.576,0.295,-0.330,0.397,6.178,5.272,-0.086,0.916,-0.450,-1.312,-1.190,0.519,60.000,9255.000,1.000
0.089,12.310,-1.547,0.443,-2.252,-0.349,4.599,5.746,-0.086,0.914,-0.449,-1.312,-1.129,0.397,60.000,9256.000,1.000
0.474,11.167,0.671,1.296,-3.348,-0.341,3.688,6.675,-0.088,0.914,-0.449,-1.343,-1.160,0.427,60.000,9257.000,1.000
1.473,10.262,2.571,2.222,-3.582,0.068,3.734,7.743,-0.085,0.913,-0.447,-1.312,-1.099,0.427,60.000,9258.000,1.000
3.248,10.234,4.106,3.082,-2.860,0.671,4.327,8.690,-0.084,0.911,-0.448,-1.312,-1.068,0.336,60.000,9259.000,1.000
5.559,11.198,5.354,3.955,-1.258,1.578,4.674,9.452,-0.085,0.912,-0.446,-1.221,-1.099,0.397,60.000,9260.000,1.000
7.911,12.625,6.337,4.851,0.767,2.950,4.096,10.039,-0.085,0.912,-0.448,-1.251,-1.038,0.336,60.000,9261.000,1.000
10.093,13.911,7.037,5.788,2.613,4.613,2.542,10.439,-0.085,0.914,-0.447,-1.282,-1.007,0.366,60.000,9262.000,1.000
11.350,14.281,7.190,6.533,3.543,5.784,0.200,10.514,-0.083,0.914,-0.450,-1.190,-1.007,0.305,60.000,9263.000,1.000
11.125,13.419,6.702,6.932,3.259,5.765,-2.340,10.267,-0.084,0.912,-0.448,-1.068,-0.946,0.275,60.000,9264.000,1.000
9.249,11.469,5.667,6.898,1.943,4.316,-4.742,9.685,-0.085,0.912,-0.451,-1.129,-0.977,0.336,60.000,9265.000,1.000
6.383,9.047,4.401,6.609,0.249,1.870,-6.842,8.785,-0.085,0.914,-0.450,-1.007,-0.854,0.305,60.000,9266.000,1.000
3.888,7.054,3.253,6.427,-1.029,-0.692,-8.117,7.676,-0.085,0.916,-0.450,-1.038,-0.977,0.244,60.000,9267.000,1.000
2.424,5.947,2.311,6.484,-1.548,-2.508,-7.953,6.505,-0.086,0.916,-0.449,-0.977,-0.854,0.183,60.000,9268.000,1.000
2.375,5.965,1.821,6.954,-1.129,-2.748,-5.748,5.658,-0.084,0.917,-0.449,-0.885,-0.916,0.244,60.000,9269.000,1.000
3.435,6.680,1.826,7.677,-0.057,-1.362,-2.210,5.196,-0.084,0.919,-0.447,-0.946,-0.854,0.183,60.000,9270.000,1.000
4.941,7.232,2.132,8.236,1.094,0.808,0.920,4.798,-0.084,0.920,-0.449,-0.977,-0.763,0.244,60.000,9271.000,1.000
6.630,7.135,2.533,8.303,2.009,2.685,2.623,4.257,-0.083,0.919,-0.450,-1.068,-0.793,0.275,60.000,9272.000,1.000
7.948,6.121,2.665,7.446,2.425,3.367,2.863,3.441,-0.085,0.919,-0.448,-1.129,-0.793,0.214,60.000,9273.000,1.000
8.600,4.408,2.320,5.503,2.213,2.660,2.225,2.185,-0.085,0.919,-0.449,-1.221,-0.732,0.244,60.000,9274.000,1.000
8.275,2.319,1.399,2.618,1.231,0.916,0.925,0.136,-0.087,0.921,-0.450,-1.251,-0.763,0.244,60.000,9275.000,1.000
7.063,0.317,0.192,-0.523,-0.255,-0.987,-0.679,-2.546,-0.087,0.920,-0.450,-1.373,-0.793,0.244,60.000,9276.000,1.000
5.846,-0.913,-0.595,-2.835,-1.380,-1.899,-1.505,-4.806,-0.087,0.919,-0.452,-1.282,-0.702,0.275,60.000,9277.000,1.000
5.169,-1.126,-0.465,-3.723,-1.501,-1.251,-0.945,-5.685,-0.088,0.918,-0.447,-1.312,-0.702,0.275,60.000,9278.000,1.000
5.756,-0.042,0.819,-3.088,-0.424,0.757,0.864,-5.085,-0.089,0.917,-0.452,-1.373,-0.641,0.244,60.000,9279.000,1.000
7.947,2.318,2.900,-1.464,1.270,3.065,2.989,-3.800,-0.088,0.917,-0.454,-1.312,-0.671,0.305,60.000,9280.000,1.000
11.124,5.082,5.032,0.248,2.550,4.495,4.536,-2.685,-0.088,0.917,-0.451,-1.312,-0.702,0.397,60.000,9281.000,1.000
13.994,6.854,6.521,1.271,2.772,4.697,5.359,-2.153,-0.088,0.916,-0.450,-1.312,-0.763,0.397,60.000,9282.000,1.000
14.913,6.449,6.792,1.081,1.895,4.031,5.472,-2.349,-0.087,0.915,-0.448,-1.190,-0.763,0.397,60.000,9283.000,1.000
13.623,4.118,5.786,-0.168,0.570,3.126,5.142,-3.039,-0.085,0.915,-0.450,-1.221,-0.763,0.427,60.000,9284.000,1.000
10.832,0.954,3.782,-2.029,-0.563,2.296,4.550,-3.905,-0.086,0.916,-0.449,-1.251,-0.641,0.488,60.000,9285.000,1.000
7.524,-1.842,1.451,-3.857,-1.074,1.820,4.026,-4.675,-0.083,0.917,-0.448,-1.221,-0.549,0.458,60.000,9286.000,1.000
4.639,-3.266,-0.397,-4.901,-0.697,2.019,4.042,-5.208,-0.084,0.916,-0.445,-1.190,-0.580,0.458,60.000,9287.000,1.000
2.007,-3.288,-1.547,-4.968,0.217,2.567,4.191,-5.659,-0.084,0.918,-0.443,-1.221,-0.549,0.458,60.000,9288.000,1.000
-0.642,-2.433,-2.161,-4.262,1.094,2.711,3.806,-6.079,-0.084,0.915,-0.445,-1.282,-0.549,0.580,60.000,9289.000,1.000
-3.452,-1.482,-2.679,-3.365,1.361,1.687,2.488,-6.379,-0.083,0.916,-0.446,-1.160,-0.488,0.610,60.000,9290.000,1.000
-6.350,-1.068,-3.514,-2.899,0.790,-0.740,0.375,-6.302,-0.082,0.917,-0.447,-1.221,-0.458,0.702,60.000,9291.000,1.000
-9.154,-1.592,-4.819,-3.193,-0.398,-4.127,-2.083,-5.644,-0.082,0.915,-0.447,-1.221,-0.336,0.732,60.000,9292.000,1.000
-12.236,-3.524,-6.574,-4.348,-1.926,-7.654,-4.601,-4.635,-0.082,0.916,-0.451,-1.160,-0.336,0.702,60.000,9293.000,1.000
-15.183,-6.427,-8.330,-5.894,-3.166,-10.133,-6.375,-3.584,-0.084,0.917,-0.451,-1.099,-0.275,0.671,60.000,9294.000,1.000
-17.200,-9.271,-9.755,-7.315,-3.560,-10.854,-6.859,-2.800,-0.083,0.917,-0.450,-1.129,-0.214,0.610,60.000,9295.000,1.000
-17.675,-11.073,-10.716,-8.230,-2.924,-10.001,-6.444,-2.343,-0.084,0.918,-0.448,-1.160,-0.305,0.702,60.000,9296.000,1.000
-16.196,-11.174,-11.006,-8.294,-1.425,-8.293,-5.981,-1.907,-0.084,0.918,-0.446,-1.160,-0.305,0.702,60.000,9297.000,1.000
-13.495,-9.984,-10.616,-7.694,0.218,-6.669,-6.262,-1.305,-0.085,0.916,-0.445,-1.160,-0.214,0.732,60.000,9298.000,1.000
-10.502,-8.413,-9.573,-6.883,1.368,-5.731,-7.007,-0.506,-0.084,0.918,-0.446,-1.343,-0.183,0.671,60.000,9299.000,1.000
-8.132,-7.472,-8.105,-6.399,1.641,-5.828,-7.468,0.231,-0.085,0.918,-0.448,-1.343,-0.183,0.641,60.000,9300.000,1.000
-6.914,-7.703,-6.490,-6.451,1.040,-6.920,-7.129,0.490,-0.085,0.918,-0.448,-1.343,-0.183,0.641,60.000,9301.000,1.000
-6.449,-8.651,-4.838,-6.672,0.071,-8.419,-5.993,0.056,-0.086,0.918,-0.445,-1.343,-0.122,0.610,60.000,9302.000,1.000
-6.263,-9.550,-3.223,-6.513,-0.711,-9.638,-4.882,-0.851,-0.084,0.917,-0.445,-1.373,-0.122,0.671,60.000,9303.000,1.000
-5.591,-9.612,-1.555,-5.345,-0.782,-9.919,-4.365,-1.452,-0.081,0.917,-0.446,-1.465,-0.122,0.702,60.000,9304.000,1.000
-4.138,-8.637,-0.012,-3.115,-0.197,-9.092,-4.781,-1.248,-0.082,0.917,-0.448,-1.434,-0.122,0.763,60.000,9305.000,1.000
-2.193,-6.962,1.074,-0.426,0.457,-7.477,-6.266,-0.373,-0.081,0.918,-0.448,-1.404,-0.153,0.732,60.000,9306.000,1.000
-0.304,-5.223,1.498,1.812,0.528,-5.630,-8.300,0.560,-0.082,0.917,-0.445,-1.343,-0.031,0.641,60.000,9307.000,1.000
0.343,-4.473,1.038,2.615,-0.569,-4.214,-9.938,0.614,-0.084,0.917,-0.446,-1.373,-0.031,0.610,60.000,9308.000,1.000
-0.550,-5.145,-0.122,1.870,-2.686,-3.372,-9.970,-0.604,-0.084,0.916,-0.445,-1.251,0.061,0.610,60.000,9309.000,1.000
-2.490,-7.077,-1.638,0.179,-5.209,-2.981,-8.333,-2.766,-0.085,0.913,-0.446,-1.373,0.031,0.580,60.000,9310.000,1.000
-4.602,-9.709,-3.126,-1.611,-7.414,-2.881,-6.198,-5.234,-0.084,0.914,-0.447,-1.373,0.092,0.488,60.000,9311.000,1.000
-5.719,-12.008,-4.189,-2.744,-8.694,-2.943,-4.728,-7.472,-0.084,0.916,-0.447,-1.465,0.061,0.549,60.000,9312.000,1.000
-5.671,-13.277,-4.733,-3.100,-9.108,-3.338,-4.710,-9.270,-0.083,0.916,-0.444,-1.373,0.122,0.519,60.000,9313.000,1.000
-4.863,-13.124,-4.651,-2.785,-8.900,-4.025,-5.787,-10.327,-0.086,0.917,-0.447,-1.343,0.031,0.397,60.000,9314.000,1.000
-4.115,-11.648,-3.968,-2.045,-8.276,-4.633,-6.898,-10.288,-0.085,0.916,-0.451,-1.343,0.061,0.458,60.000,9315.000,1.000
-3.824,-9.178,-2.754,-1.061,-7.234,-4.496,-6.829,-8.867,-0.083,0.917,-0.451,-1.282,0.000,0.458,60.000,9316.000,1.000
-3.471,-6.096,-1.062,0.123,-5.633,-2.971,-4.673,-6.122,-0.083,0.915,-0.448,-1.190,-0.092,0.549,60.000,9317.000,1.000
-3.102,-3.462,0.679,1.163,-3.785,-0.205,-0.828,-2.749,-0.083,0.916,-0.448,-1.160,-0.153,0.549,60.000,9318.000,1.000
-2.954,-2.205,2.040,1.761,-2.110,3.031,3.495,0.389,-0.083,0.917,-0.447,-1.190,-0.061,0.580,60.000,9319.000,1.000
-3.402,-2.736,2.662,1.670,-1.008,5.600,6.731,2.502,-0.082,0.918,-0.449,-1.282,-0.092,0.610,60.000,9320.000,1.000
-4.433,-4.740,2.488,0.957,-0.596,6.665,7.929,3.232,-0.084,0.919,-0.449,-1.282,-0.153,0.610,60.000,9321.000,1.000
-5.049,-6.952,1.894,0.175,-0.456,6.193,7.413,2.881,-0.082,0.918,-0.448,-1.282,-0.153,0.488,60.000,9322.000,1.000
-4.663,-8.069,1.216,-0.314,-0.199,4.608,5.933,2.004,-0.082,0.918,-0.448,-1.373,-0.214,0.549,60.000,9323.000,1.000
