EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
8.706,2.499,5.132,10.175,0.343,-7.747,-7.301,5.632,-0.086,0.910,-0.450,-0.549,1.007,0.305,60.000,15777.000,1.000
9.852,0.651,4.262,9.400,-1.502,-8.839,-8.463,4.418,-0.087,0.910,-0.448,-0.458,1.160,0.031,60.000,15778.000,1.000
11.040,-1.157,3.424,8.046,-3.443,-9.650,-9.657,1.178,-0.090,0.909,-0.448,-0.305,1.312,0.000,60.000,15779.000,1.000
11.663,-2.571,2.859,6.186,-5.455,-10.372,-10.345,-3.287,-0.090,0.909,-0.451,-0.244,1.343,-0.153,60.000,15780.000,1.000
11.049,-3.553,2.796,4.188,-7.175,-10.946,-10.321,-7.590,-0.091,0.911,-0.449,-0.092,1.282,-0.366,60.000,15781.000,1.000
9.877,-3.831,3.709,2.837,-7.850,-10.862,-8.982,-10.282,-0.092,0.914,-0.448,-0.092,1.312,-0.183,60.000,15782.000,1.000
9.269,-3.338,5.698,2.545,-7.228,-9.758,-5.871,-10.715,-0.093,0.915,-0.446,0.000,1.404,-0.214,60.000,15783.000,1.000
9.682,-2.489,8.271,3.017,-5.908,-7.724,-1.362,-9.340,-0.092,0.915,-0.445,0.000,1.373,-0.183,60.000,15784.000,1.000
10.964,-1.868,10.657,3.608,-4.840,-5.281,3.210,-7.399,-0.093,0.918,-0.447,0.061,1.343,-0.275,60.000,15785.000,1.000
12.131,-2.221,11.962,3.549,-4.937,-3.445,5.605,-6.332,-0.096,0.917,-0.446,0.000,1.434,-0.275,60.000,15786.000,1.000
13.050,-3.392,11.955,2.823,-6.014,-2.846,4.742,-6.614,-0.098,0.917,-0.446,0.000,1.282,-0.366,60.000,15787.000,1.000
14.263,-4.516,10.936,1.909,-7.009,-3.452,1.476,-7.796,-0.098,0.918,-0.451,0.000,1.221,-0.336,60.000,15788.000,1.000
16.193,-4.797,9.368,1.171,-6.898,-4.711,-2.143,-9.136,-0.098,0.917,-0.448,-0.031,1.129,-0.336,60.000,15789.000,1.000
18.869,-4.012,7.622,0.558,-5.421,-5.802,-4.147,-9.964,-0.098,0.916,-0.452,0.000,1.038,-0.275,60.000,15790.000,1.000
21.089,-3.065,5.713,-0.481,-3.445,-6.121,-3.876,-9.892,-0.098,0.917,-0.452,-0.153,0.885,-0.092,60.000,15791.000,1.000
21.920,-2.844,3.927,-1.950,-1.772,-5.214,-1.243,-8.584,-0.097,0.918,-0.450,-0.214,0.824,-0.122,60.000,15792.000,1.000
20.987,-3.722,2.597,-3.295,-0.560,-3.301,3.041,-6.098,-0.098,0.918,-0.450,-0.244,0.763,-0.031,60.000,15793.000,1.000
18.324,-5.502,1.793,-3.917,0.554,-1.294,7.301,-2.837,-0.098,0.921,-0.452,-0.244,0.549,0.092,60.000,15794.000,1.000
14.521,-7.446,1.420,-3.525,2.078,-0.079,9.900,0.868,-0.099,0.921,-0.454,-0.366,0.427,0.214,60.000,15795.000,1.000
9.821,-9.059,1.136,-2.468,3.976,-0.112,10.037,4.556,-0.098,0.922,-0.450,-0.366,0.336,0.214,60.000,15796.000,1.000
4.896,-9.832,0.820,-1.117,6.029,-1.074,8.515,7.685,-0.101,0.921,-0.448,-0.488,0.214,0.366,60.000,15797.000,1.000
0.397,-9.597,0.407,0.093,7.878,-2.404,6.436,9.671,-0.101,0.919,-0.450,-0.549,0.031,0.427,60.000,15798.000,1.000
-3.338,-8.646,-0.098,0.716,9.301,-3.451,4.416,10.219,-0.101,0.920,-0.449,-0.549,0.000,0.488,60.000,15799.000,1.000
-5.964,-7.364,-0.448,0.635,10.522,-3.409,3.239,9.550,-0.098,0.920,-0.446,-0.610,-0.092,0.549,60.000,15800.000,1.000
-7.995,-6.546,-0.446,-0.180,11.657,-1.995,3.591,8.219,-0.096,0.920,-0.447,-0.732,-0.244,0.610,60.000,15801.000,1.000
-9.885,-6.746,0.224,-1.382,12.701,0.456,5.729,7.070,-0.096,0.915,-0.447,-0.824,-0.305,0.702,60.000,15802.000,1.000
-11.820,-8.008,1.608,-2.529,13.375,3.117,8.503,6.540,-0.097,0.912,-0.445,-0.885,-0.427,0.671,60.000,15803.000,1.000
-13.546,-9.650,3.396,-3.252,13.350,5.216,10.002,6.501,-0.094,0.910,-0.450,-0.916,-0.488,0.763,60.000,15804.000,1.000
-14.363,-10.497,5.149,-3.314,12.554,6.309,9.180,6.735,-0.093,0.909,-0.454,-0.916,-0.458,0.763,60.000,15805.000,1.000
-14.410,-10.060,6.331,-2.891,10.997,6.157,6.210,7.234,-0.091,0.910,-0.451,-0.824,-0.519,0.763,60.000,15806.000,1.000
-13.790,-8.288,7.018,-1.935,9.327,5.372,2.837,8.472,-0.088,0.911,-0.450,-0.763,-0.397,0.824,60.000,15807.000,1.000
-12.668,-5.657,7.584,-0.445,8.384,5.023,0.885,10.590,-0.085,0.910,-0.452,-0.610,-0.366,0.854,60.000,15808.000,1.000
-11.430,-2.969,8.211,1.244,8.492,5.863,0.983,12.896,-0.084,0.911,-0.451,-0.641,-0.275,1.038,60.000,15809.000,1.000
-10.310,-0.726,8.829,2.710,9.395,7.927,2.701,14.410,-0.085,0.911,-0.448,-0.519,-0.275,1.007,60.000,15810.000,1.000
