EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-7.812,-3.973,-15.282,-10.848,-10.595,-3.325,-3.035,-2.727,-0.072,0.920,-0.437,-1.526,-1.434,0.641,60.000,25849.000,1.000
-11.180,-8.654,-17.109,-13.244,-14.894,-9.686,-8.041,-7.142,-0.073,0.918,-0.434,-1.526,-1.434,0.610,60.000,25850.000,1.000
-13.952,-13.029,-18.120,-15.353,-18.965,-15.221,-12.992,-11.475,-0.071,0.916,-0.430,-1.404,-1.434,0.732,60.000,25851.000,1.000
-15.886,-16.112,-18.176,-16.644,-21.772,-19.065,-16.856,-14.996,-0.070,0.916,-0.433,-1.373,-1.343,0.702,60.000,25852.000,1.000
-16.569,-16.981,-17.091,-16.782,-22.489,-20.704,-18.665,-17.206,-0.072,0.914,-0.435,-1.221,-1.282,0.732,60.000,25853.000,1.000
-15.445,-15.172,-14.911,-15.795,-20.944,-20.037,-18.089,-18.109,-0.070,0.914,-0.440,-1.160,-1.190,0.641,60.000,25854.000,1.000
-13.038,-11.494,-12.301,-14.145,-17.960,-17.661,-16.041,-18.014,-0.070,0.917,-0.444,-0.946,-1.160,0.702,60.000,25855.000,1.000
-10.133,-7.218,-9.970,-11.966,-14.459,-14.347,-13.518,-16.859,-0.071,0.918,-0.438,-0.854,-1.160,0.671,60.000,25856.000,1.000
-7.541,-3.457,-8.382,-9.216,-11.025,-10.809,-11.104,-14.500,-0.070,0.921,-0.438,-0.885,-1.038,0.641,60.000,25857.000,1.000
-5.495,-0.493,-7.385,-5.892,-7.688,-7.398,-8.660,-10.990,-0.073,0.922,-0.437,-0.916,-0.946,0.488,60.000,25858.000,1.000
-3.249,2.330,-6.305,-2.130,-4.127,-4.092,-5.420,-6.682,-0.073,0.927,-0.439,-0.916,-0.946,0.397,60.000,25859.000,1.000
-0.670,5.152,-4.880,1.289,-0.650,-1.240,-1.321,-2.520,-0.074,0.928,-0.441,-1.099,-0.824,0.244,60.000,25860.000,1.000
1.879,7.348,-3.305,3.502,1.988,0.522,2.963,0.507,-0.072,0.927,-0.439,-1.129,-0.824,0.153,60.000,25861.000,1.000
3.407,7.757,-2.139,3.996,3.024,0.661,6.174,1.869,-0.072,0.926,-0.437,-1.190,-0.854,0.183,60.000,25862.000,1.000
3.134,5.811,-1.717,3.038,2.405,-0.595,7.350,1.856,-0.068,0.922,-0.437,-1.312,-0.702,0.183,60.000,25863.000,1.000
1.667,2.497,-1.708,1.626,1.064,-2.217,6.647,1.463,-0.064,0.919,-0.438,-1.343,-0.519,0.122,60.000,25864.000,1.000
-0.159,-0.772,-1.634,0.545,0.018,-3.258,4.754,1.590,-0.063,0.916,-0.439,-1.282,-0.397,0.214,60.000,25865.000,1.000
-1.451,-2.856,-1.098,0.193,0.005,-3.178,2.733,2.568,-0.064,0.913,-0.442,-1.129,-0.214,0.153,60.000,25866.000,1.000
-2.097,-3.490,-0.294,0.305,0.964,-2.201,1.087,3.791,-0.065,0.915,-0.440,-0.977,-0.061,0.183,60.000,25867.000,1.000
-2.830,-3.105,0.230,0.336,2.247,-0.967,-0.261,4.336,-0.066,0.919,-0.439,-0.763,0.214,0.183,60.000,25868.000,1.000
-4.050,-2.159,0.310,0.210,3.452,0.143,-1.126,3.941,-0.065,0.925,-0.438,-0.763,0.336,0.214,60.000,25869.000,1.000
-5.393,-1.064,0.273,0.286,4.589,0.964,-1.091,3.118,-0.066,0.928,-0.437,-0.916,0.336,0.366,60.000,25870.000,1.000
-4.904,0.514,0.834,1.199,6.129,1.552,0.617,2.809,-0.067,0.931,-0.435,-1.160,0.519,0.458,60.000,25871.000,1.000
-1.381,2.854,2.046,2.775,8.006,1.634,3.840,3.279,-0.067,0.934,-0.437,-1.251,0.488,0.549,60.000,25872.000,1.000
3.672,5.316,3.145,3.929,9.258,0.729,7.054,3.844,-0.071,0.938,-0.443,-1.312,0.824,0.610,60.000,25873.000,1.000
7.688,7.009,3.529,3.914,9.020,-1.012,8.883,3.747,-0.075,0.936,-0.441,-1.526,0.824,0.580,60.000,25874.000,1.000
9.337,7.668,3.355,2.996,7.295,-2.550,9.360,2.834,-0.080,0.933,-0.438,-1.617,0.702,0.641,60.000,25875.000,1.000
10.294,8.432,3.746,2.466,5.364,-2.230,10.248,1.778,-0.085,0.931,-0.437,-1.587,0.458,0.580,60.000,25876.000,1.000
12.643,10.332,5.629,3.136,4.490,0.710,12.573,1.203,-0.084,0.928,-0.436,-1.678,0.275,0.549,60.000,25877.000,1.000
16.230,12.881,8.892,4.478,4.771,5.323,15.178,1.067,-0.085,0.927,-0.436,-1.678,0.122,0.549,60.000,25878.000,1.000
19.387,14.758,12.597,5.339,5.404,9.714,16.167,0.914,-0.085,0.925,-0.438,-1.648,-0.183,0.427,60.000,25879.000,1.000
20.470,14.998,15.569,4.979,5.520,12.332,14.540,0.414,-0.085,0.923,-0.438,-1.648,-0.488,0.366,60.000,25880.000,1.000
19.855,14.218,17.367,4.014,5.356,13.150,11.325,-0.092,-0.086,0.924,-0.438,-1.617,-0.793,0.336,60.000,25881.000,1.000
18.521,13.411,17.895,3.436,5.697,12.963,8.092,-0.194,-0.083,0.921,-0.439,-1.709,-0.916,0.244,60.000,25882.000,1.000
16.383,12.590,16.881,3.550,6.877,12.304,5.516,0.080,-0.081,0.920,-0.435,-1.709,-1.099,0.183,60.000,25883.000,1.000
12.741,11.068,14.055,3.987,8.575,11.249,3.564,0.442,-0.079,0.921,-0.433,-1.648,-1.282,0.031,60.000,25884.000,1.000
6.740,8.044,9.375,3.958,9.871,9.723,1.908,0.536,-0.078,0.923,-0.434,-1.587,-1.434,0.183,60.000,25885.000,1.000
-0.857,4.007,3.659,3.210,10.197,8.269,0.962,0.346,-0.075,0.922,-0.436,-1.587,-1.373,0.092,60.000,25886.000,1.000
-8.286,0.387,-1.891,1.942,9.319,7.593,1.084,-0.074,-0.074,0.923,-0.436,-1.556,-1.404,0.305,60.000,25887.000,1.000
-13.908,-1.555,-6.174,0.560,7.259,8.014,1.952,-0.683,-0.073,0.922,-0.436,-1.556,-1.465,0.336,60.000,25888.000,1.000
-16.168,-1.158,-8.352,-0.274,4.670,9.493,3.221,-1.324,-0.071,0.921,-0.436,-1.495,-1.404,0.458,60.000,25889.000,1.000
-14.663,0.957,-8.392,-0.231,2.294,11.408,4.380,-2.160,-0.067,0.920,-0.436,-1.526,-1.404,0.580,60.000,25890.000,1.000
-10.085,3.398,-6.866,0.583,0.542,12.794,5.069,-3.518,-0.066,0.919,-0.434,-1.434,-1.221,0.641,60.000,25891.000,1.000
-4.617,4.481,-4.738,1.444,-0.908,12.553,4.894,-5.438,-0.067,0.918,-0.435,-1.312,-1.160,0.732,60.000,25892.000,1.000
