EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1.313,-12.491,1.019,-10.492,-13.548,-1.778,-5.161,-7.663,-0.104,0.914,-0.456,-0.977,0.580,-0.031,60.000,30753.000,1.000
-3.542,-13.567,-1.931,-11.117,-12.553,-1.588,-6.094,-7.156,-0.103,0.913,-0.457,-0.946,0.305,0.000,60.000,30754.000,1.000
-5.713,-14.093,-4.089,-11.521,-11.438,-0.925,-5.580,-6.179,-0.103,0.913,-0.454,-0.793,0.244,0.061,60.000,30755.000,1.000
-7.631,-14.089,-5.269,-11.544,-10.220,0.046,-3.266,-5.444,-0.104,0.914,-0.453,-0.885,0.000,0.122,60.000,30756.000,1.000
-9.700,-14.245,-6.024,-11.355,-9.272,0.528,-0.726,-5.978,-0.104,0.914,-0.454,-0.854,-0.122,0.214,60.000,30757.000,1.000
-13.088,-15.905,-7.355,-11.554,-9.296,-0.584,-0.478,-8.394,-0.106,0.913,-0.455,-0.946,-0.214,0.214,60.000,30758.000,1.000
-17.749,-19.399,-9.614,-12.309,-10.301,-3.390,-3.027,-12.010,-0.104,0.913,-0.460,-0.946,-0.275,0.336,60.000,30759.000,1.000
-22.740,-23.983,-12.452,-13.364,-11.722,-6.956,-6.604,-15.314,-0.104,0.915,-0.459,-1.007,-0.549,0.336,60.000,30760.000,1.000
-26.681,-28.389,-15.005,-14.060,-12.742,-10.019,-8.838,-16.769,-0.104,0.915,-0.456,-1.068,-0.641,0.397,60.000,30761.000,1.000
-28.836,-31.811,-16.646,-13.964,-12.928,-12.093,-9.259,-15.761,-0.103,0.915,-0.455,-1.160,-0.793,0.427,60.000,30762.000,1.000
-29.640,-34.307,-17.442,-13.317,-12.508,-13.728,-9.607,-12.868,-0.101,0.913,-0.454,-1.068,-0.824,0.519,60.000,30763.000,1.000
-29.583,-36.131,-17.781,-12.665,-12.002,-15.832,-11.362,-9.305,-0.100,0.911,-0.453,-1.129,-0.946,0.580,60.000,30764.000,1.000
-29.575,-37.896,-18.199,-12.764,-12.338,-19.296,-14.675,-6.497,-0.101,0.906,-0.456,-1.129,-0.885,0.580,60.000,30765.000,1.000
-29.968,-39.796,-18.590,-13.679,-13.970,-23.973,-18.265,-5.232,-0.100,0.906,-0.454,-1.007,-1.038,0.549,60.000,30766.000,1.000
