EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-5.514,-11.409,-11.406,-9.116,-2.625,-8.339,-10.161,-2.886,-0.090,0.919,-0.445,-0.519,-0.275,0.336,60.000,43009.000,1.000
-5.057,-10.597,-10.891,-9.576,-3.310,-6.962,-9.172,-0.965,-0.090,0.918,-0.444,-0.519,-0.366,0.366,60.000,43010.000,1.000
-4.457,-9.022,-9.722,-9.523,-3.085,-4.411,-6.405,0.353,-0.091,0.918,-0.441,-0.458,-0.336,0.427,60.000,43011.000,1.000
-3.906,-7.054,-8.418,-8.974,-2.129,-1.417,-3.507,0.621,-0.090,0.918,-0.442,-0.549,-0.366,0.458,60.000,43012.000,1.000
-3.170,-5.035,-7.436,-8.002,-0.761,1.374,-1.546,0.379,-0.090,0.919,-0.440,-0.549,-0.549,0.519,60.000,43013.000,1.000
-1.800,-3.228,-6.960,-6.632,0.702,3.626,-0.575,0.498,-0.092,0.917,-0.444,-0.549,-0.549,0.397,60.000,43014.000,1.000
-0.281,-2.080,-7.036,-5.057,1.822,5.248,-0.200,1.528,-0.091,0.917,-0.443,-0.641,-0.488,0.305,60.000,43015.000,1.000
0.854,-1.624,-7.290,-3.275,2.533,6.589,0.574,3.580,-0.091,0.917,-0.441,-0.519,-0.610,0.275,60.000,43016.000,1.000
1.036,-1.874,-7.426,-1.532,2.693,7.722,2.113,5.841,-0.092,0.916,-0.443,-0.549,-0.702,0.275,60.000,43017.000,1.000
-0.046,-2.948,-7.360,-0.376,1.965,8.200,3.650,6.983,-0.093,0.917,-0.439,-0.519,-0.793,0.305,60.000,43018.000,1.000
-1.567,-4.383,-6.791,0.038,0.551,7.745,4.587,6.443,-0.094,0.919,-0.442,-0.549,-0.885,0.153,60.000,43019.000,1.000
-2.622,-5.491,-5.343,0.043,-0.864,6.492,4.894,4.776,-0.094,0.918,-0.443,-0.580,-0.946,0.183,60.000,43020.000,1.000
-2.351,-5.453,-2.653,0.438,-1.381,5.071,5.113,3.150,-0.094,0.920,-0.443,-0.702,-0.946,0.092,60.000,43021.000,1.000
-0.685,-3.966,1.012,1.686,-0.677,3.961,5.465,2.280,-0.095,0.918,-0.447,-0.702,-1.038,0.031,60.000,43022.000,1.000
1.828,-1.251,4.857,3.691,0.973,3.234,5.912,2.297,-0.096,0.919,-0.445,-0.854,-1.129,0.061,60.000,43023.000,1.000
4.801,2.311,8.103,6.013,3.131,2.780,6.687,3.051,-0.094,0.920,-0.439,-0.885,-1.221,0.092,60.000,43024.000,1.000
6.900,5.331,9.841,7.480,4.744,2.141,7.535,3.879,-0.094,0.917,-0.439,-0.885,-1.221,0.031,60.000,43025.000,1.000
6.717,6.113,9.464,6.915,4.646,0.890,7.896,3.977,-0.092,0.918,-0.440,-0.885,-1.221,-0.122,60.000,43026.000,1.000
3.682,3.838,6.967,3.945,2.198,-1.236,6.984,2.855,-0.093,0.918,-0.442,-0.977,-1.312,-0.092,60.000,43027.000,1.000
-1.253,-0.684,3.290,-0.517,-2.183,-4.032,4.468,0.691,-0.094,0.915,-0.443,-0.916,-1.282,-0.061,60.000,43028.000,1.000
-5.818,-5.404,0.079,-4.630,-7.050,-6.708,1.087,-1.759,-0.091,0.917,-0.440,-0.885,-1.495,-0.031,60.000,43029.000,1.000
-8.779,-8.956,-1.558,-7.076,-11.078,-8.746,-2.491,-3.905,-0.091,0.917,-0.444,-0.854,-1.343,0.031,60.000,43030.000,1.000
-9.989,-11.011,-1.448,-7.489,-13.498,-10.204,-5.887,-5.520,-0.091,0.915,-0.447,-0.854,-1.373,0.092,60.000,43031.000,1.000
-9.982,-11.909,-0.238,-6.367,-14.225,-11.534,-8.909,-6.620,-0.091,0.913,-0.446,-0.793,-1.282,0.122,60.000,43032.000,1.000
-9.120,-11.866,1.378,-4.324,-13.406,-12.781,-11.040,-6.834,-0.090,0.913,-0.448,-0.732,-1.373,0.153,60.000,43033.000,1.000
-7.096,-10.680,3.077,-1.678,-11.116,-13.325,-11.472,-5.562,-0.088,0.914,-0.444,-0.702,-1.282,0.214,60.000,43034.000,1.000
-4.239,-8.588,4.479,1.032,-7.911,-12.665,-10.310,-3.137,-0.089,0.913,-0.445,-0.549,-1.160,0.214,60.000,43035.000,1.000
-0.764,-5.727,5.556,3.521,-4.340,-10.557,-8.075,-0.627,-0.089,0.916,-0.442,-0.458,-1.160,0.275,60.000,43036.000,1.000
3.082,-2.233,6.492,5.706,-0.872,-7.453,-5.525,0.849,-0.090,0.917,-0.444,-0.427,-1.068,0.305,60.000,43037.000,1.000
6.603,1.304,7.368,7.395,2.011,-4.407,-3.418,0.650,-0.091,0.920,-0.445,-0.458,-1.038,0.305,60.000,43038.000,1.000
9.275,4.268,8.175,8.458,4.124,-2.074,-1.657,-0.914,-0.094,0.924,-0.447,-0.702,-0.977,0.305,60.000,43039.000,1.000
10.508,6.220,8.712,8.861,5.444,-0.319,0.382,-2.597,-0.092,0.927,-0.445,-0.916,-0.885,0.397,60.000,43040.000,1.000
10.543,7.496,9.037,9.054,6.332,1.637,3.542,-2.636,-0.091,0.928,-0.444,-1.068,-0.885,0.366,60.000,43041.000,1.000
9.866,8.481,9.227,9.436,7.106,4.188,7.770,-0.180,-0.089,0.924,-0.444,-1.099,-0.824,0.336,60.000,43042.000,1.000
8.865,9.167,9.248,10.010,7.808,6.919,11.828,3.915,-0.087,0.919,-0.447,-1.190,-0.702,0.275,60.000,43043.000,1.000
8.127,9.453,9.052,10.522,8.354,8.959,14.062,7.703,-0.085,0.916,-0.448,-1.312,-0.580,0.305,60.000,43044.000,1.000
7.236,8.670,8.358,10.266,8.234,9.363,13.055,9.405,-0.084,0.912,-0.449,-1.251,-0.427,0.397,60.000,43045.000,1.000
5.798,6.533,7.237,8.897,7.251,8.183,9.412,8.783,-0.083,0.909,-0.448,-1.129,-0.366,0.488,60.000,43046.000,1.000
3.899,3.598,6.053,6.681,5.808,6.449,5.443,6.870,-0.081,0.908,-0.446,-0.916,-0.214,0.427,60.000,43047.000,1.000
1.814,0.801,5.054,4.280,4.602,5.239,3.197,4.849,-0.082,0.911,-0.447,-0.824,0.031,0.519,60.000,43048.000,1.000
0.062,-0.949,4.194,2.560,4.249,4.911,3.137,3.491,-0.082,0.913,-0.447,-0.916,0.153,0.641,60.000,43049.000,1.000
-1.389,-1.417,3.107,2.065,4.742,4.983,4.039,3.095,-0.083,0.918,-0.445,-1.007,0.214,0.732,60.000,43050.000,1.000
-2.208,-0.482,1.938,3.145,5.956,5.204,5.009,3.830,-0.080,0.922,-0.447,-1.099,0.336,0.916,60.000,43051.000,1.000
-2.025,1.710,1.267,5.552,7.645,5.700,6.018,5.471,-0.083,0.925,-0.440,-1.282,0.549,0.977,60.000,43052.000,1.000
-0.869,4.539,1.585,8.404,9.290,6.547,7.370,7.424,-0.087,0.929,-0.442,-1.343,0.732,0.977,60.000,43053.000,1.000
1.292,7.367,3.025,10.803,10.309,7.581,9.345,9.097,-0.093,0.931,-0.440,-1.495,0.854,0.824,60.000,43054.000,1.000
4.105,9.520,5.244,12.136,10.116,8.386,11.565,9.953,-0.098,0.932,-0.439,-1.556,0.793,0.854,60.000,43055.000,1.000
7.838,11.075,8.057,12.703,8.878,8.942,13.700,9.873,-0.103,0.932,-0.442,-1.831,0.671,0.763,60.000,43056.000,1.000
12.569,12.278,11.111,13.038,7.109,9.346,15.273,8.917,-0.107,0.929,-0.439,-1.831,0.397,0.641,60.000,43057.000,1.000
17.312,12.848,13.622,13.192,5.063,9.499,15.605,7.205,-0.108,0.925,-0.440,-2.106,0.153,0.549,60.000,43058.000,1.000
20.968,12.637,14.866,12.970,3.020,9.270,14.451,5.164,-0.107,0.922,-0.445,-2.167,-0.031,0.275,60.000,43059.000,1.000
22.350,11.688,14.316,12.039,1.188,8.243,11.583,3.187,-0.106,0.921,-0.445,-2.167,-0.336,0.061,60.000,43060.000,1.000
21.266,10.437,12.105,10.436,-0.034,6.211,7.309,1.435,-0.105,0.917,-0.446,-2.136,-0.580,-0.061,60.000,43061.000,1.000
