EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
21.039,19.212,15.073,7.856,4.484,1.102,-1.307,9.110,-0.110,0.895,-0.487,0.824,-1.801,1.404,60.000,51169.000,1.000
20.728,17.699,14.964,7.169,2.872,-1.271,-4.799,8.943,-0.110,0.896,-0.486,0.793,-1.923,1.434,60.000,51170.000,1.000
20.466,17.058,14.620,7.792,3.932,-1.804,-5.614,10.653,-0.108,0.896,-0.487,0.916,-2.075,1.434,60.000,51171.000,1.000
20.469,17.651,14.289,9.547,7.477,-0.207,-3.490,13.858,-0.108,0.897,-0.487,0.854,-2.106,1.343,60.000,51172.000,1.000
20.411,18.979,13.771,11.328,11.675,2.542,0.348,17.354,-0.106,0.900,-0.485,0.732,-2.045,1.282,60.000,51173.000,1.000
19.703,19.974,12.639,11.962,14.305,4.992,4.112,19.994,-0.105,0.899,-0.488,0.702,-2.014,1.221,60.000,51174.000,1.000
17.504,19.541,10.438,10.970,14.114,6.008,6.135,21.139,-0.102,0.898,-0.490,0.610,-2.075,1.221,60.000,51175.000,1.000
13.791,17.647,7.251,8.980,11.591,5.460,5.739,20.706,-0.102,0.898,-0.489,0.488,-2.136,1.190,60.000,51176.000,1.000
9.710,15.212,3.725,7.064,8.227,3.994,3.515,18.834,-0.102,0.899,-0.491,0.397,-2.075,1.099,60.000,51177.000,1.000
6.055,12.436,0.281,5.543,4.862,1.999,0.446,15.659,-0.101,0.898,-0.493,0.366,-1.984,1.099,60.000,51178.000,1.000
3.007,8.693,-2.921,4.203,1.578,-0.367,-2.275,11.889,-0.100,0.897,-0.491,0.336,-1.923,0.977,60.000,51179.000,1.000
0.199,3.582,-5.737,2.909,-1.620,-2.769,-3.831,8.917,-0.099,0.899,-0.493,0.336,-1.740,0.885,60.000,51180.000,1.000
-2.532,-2.068,-7.720,1.969,-4.252,-4.582,-4.165,7.747,-0.096,0.899,-0.493,0.183,-1.434,0.793,60.000,51181.000,1.000
-4.575,-6.460,-8.232,1.951,-5.598,-5.287,-3.591,7.802,-0.094,0.900,-0.491,0.122,-1.373,0.854,60.000,51182.000,1.000
-5.070,-8.260,-6.979,3.087,-5.418,-4.870,-2.333,7.385,-0.095,0.899,-0.493,0.153,-1.221,0.916,60.000,51183.000,1.000
-3.129,-7.162,-4.182,5.105,-3.966,-3.564,-0.199,5.313,-0.096,0.897,-0.486,0.031,-1.099,0.824,60.000,51184.000,1.000
1.016,-4.007,-0.674,7.117,-1.869,-1.688,2.638,1.608,-0.096,0.896,-0.488,0.000,-1.038,0.763,60.000,51185.000,1.000
5.876,-0.201,2.576,8.248,0.263,0.582,5.560,-2.573,-0.096,0.895,-0.490,0.061,-0.671,0.641,60.000,51186.000,1.000
9.750,2.934,4.977,8.281,2.045,3.145,7.962,-5.623,-0.099,0.894,-0.490,0.092,-0.549,0.427,60.000,51187.000,1.000
11.773,4.607,6.474,7.653,3.187,5.702,9.240,-6.485,-0.101,0.893,-0.489,0.092,-0.427,0.366,60.000,51188.000,1.000
12.860,5.276,7.533,7.203,3.736,7.929,9.157,-5.261,-0.102,0.894,-0.491,0.031,-0.366,0.183,60.000,51189.000,1.000
13.988,5.730,8.275,7.142,3.643,9.252,7.536,-3.468,-0.102,0.894,-0.489,0.122,-0.336,0.153,60.000,51190.000,1.000
14.814,5.957,8.189,6.784,2.561,8.988,4.435,-3.035,-0.105,0.893,-0.492,0.122,-0.275,0.153,60.000,51191.000,1.000
14.376,5.297,6.741,5.348,0.251,6.951,0.585,-4.778,-0.105,0.893,-0.492,0.153,-0.275,0.092,60.000,51192.000,1.000
12.268,3.286,3.962,2.706,-3.045,3.734,-2.903,-7.976,-0.104,0.892,-0.491,0.122,-0.305,-0.061,60.000,51193.000,1.000
9.543,0.489,0.700,-0.348,-6.462,0.576,-4.858,-11.233,-0.105,0.895,-0.488,0.122,-0.244,-0.092,60.000,51194.000,1.000
7.224,-2.239,-2.176,-3.020,-9.358,-1.666,-5.229,-13.857,-0.106,0.895,-0.485,0.092,-0.336,-0.153,60.000,51195.000,1.000
5.499,-4.300,-4.273,-4.950,-11.596,-2.985,-5.246,-15.793,-0.109,0.896,-0.487,0.031,-0.366,-0.122,60.000,51196.000,1.000
4.283,-5.238,-5.587,-5.976,-13.048,-3.752,-6.101,-16.787,-0.108,0.898,-0.487,-0.092,-0.397,-0.122,60.000,51197.000,1.000
3.360,-5.048,-6.336,-6.152,-13.552,-4.239,-7.938,-16.509,-0.108,0.899,-0.488,-0.061,-0.427,-0.061,60.000,51198.000,1.000
2.860,-4.042,-6.597,-5.669,-13.031,-4.344,-9.540,-15.145,-0.108,0.898,-0.489,-0.122,-0.397,-0.061,60.000,51199.000,1.000
2.516,-2.988,-6.544,-5.114,-11.997,-4.061,-9.687,-13.655,-0.106,0.898,-0.487,-0.153,-0.549,0.000,60.000,51200.000,1.000
1.624,-2.761,-6.470,-5.189,-11.340,-3.632,-8.205,-13.014,-0.106,0.899,-0.491,-0.214,-0.549,-0.031,60.000,51201.000,1.000
-0.104,-3.594,-6.452,-6.069,-11.450,-3.237,-5.813,-13.304,-0.105,0.898,-0.489,-0.244,-0.519,0.000,60.000,51202.000,1.000
-2.387,-5.017,-6.272,-7.279,-11.953,-2.916,-3.679,-13.653,-0.106,0.898,-0.486,-0.305,-0.427,0.092,60.000,51203.000,1.000
-4.232,-6.073,-5.513,-7.928,-11.943,-2.555,-2.474,-12.895,-0.104,0.898,-0.485,-0.488,-0.427,0.092,60.000,51204.000,1.000
-5.031,-6.262,-4.127,-7.498,-10.791,-2.191,-2.246,-10.537,-0.104,0.898,-0.483,-0.549,-0.549,0.122,60.000,51205.000,1.000
-4.937,-5.829,-2.466,-6.022,-8.363,-1.861,-2.397,-6.899,-0.104,0.901,-0.487,-0.732,-0.427,0.092,60.000,51206.000,1.000
-4.619,-5.399,-1.099,-4.016,-5.028,-1.555,-2.219,-2.827,-0.103,0.898,-0.490,-0.885,-0.488,0.244,60.000,51207.000,1.000
-5.207,-5.699,-0.695,-2.454,-1.784,-1.539,-1.995,0.667,-0.105,0.898,-0.489,-0.977,-0.488,0.275,60.000,51208.000,1.000
-7.004,-6.729,-1.427,-1.982,0.434,-2.063,-2.492,3.003,-0.107,0.896,-0.489,-0.916,-0.366,0.397,60.000,51209.000,1.000
