EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-5.621,9.041,-6.789,-1.724,2.537,7.939,-3.816,-10.348,-0.130,0.895,-0.480,-1.556,-1.343,0.671,60.000,63249.000,1.000
-7.192,6.510,-7.825,-4.667,-0.528,7.858,-3.569,-10.975,-0.130,0.896,-0.479,-1.312,-1.282,0.732,60.000,63250.000,1.000
-7.925,3.655,-8.733,-6.915,-3.415,6.924,-3.777,-11.631,-0.129,0.896,-0.478,-1.312,-1.251,0.854,60.000,63251.000,1.000
-7.509,1.192,-9.587,-7.833,-5.780,5.156,-4.361,-12.035,-0.131,0.893,-0.480,-1.282,-1.160,0.946,60.000,63252.000,1.000
-5.963,-0.042,-10.094,-7.331,-7.193,3.077,-4.709,-11.734,-0.131,0.891,-0.481,-1.434,-1.038,1.038,60.000,63253.000,1.000
-3.688,0.259,-9.839,-5.821,-7.360,1.313,-4.406,-10.481,-0.129,0.892,-0.482,-1.312,-1.007,1.190,60.000,63254.000,1.000
-1.625,1.412,-8.844,-4.098,-6.432,0.052,-4.035,-8.647,-0.127,0.890,-0.481,-1.251,-0.916,1.221,60.000,63255.000,1.000
-0.695,2.416,-7.513,-2.722,-4.811,-0.871,-4.633,-6.925,-0.127,0.889,-0.483,-1.251,-0.763,1.190,60.000,63256.000,1.000
-0.683,3.131,-6.108,-1.464,-2.665,-1.449,-6.194,-5.477,-0.127,0.890,-0.484,-1.190,-0.763,1.129,60.000,63257.000,1.000
-1.226,3.692,-5.032,-0.087,-0.457,-1.827,-8.006,-4.055,-0.128,0.888,-0.482,-1.129,-0.732,1.099,60.000,63258.000,1.000
-2.373,3.914,-4.829,1.109,0.841,-2.474,-9.495,-2.731,-0.128,0.889,-0.479,-0.977,-0.671,1.099,60.000,63259.000,1.000
-4.429,3.420,-5.793,1.587,0.373,-3.806,-10.662,-2.047,-0.126,0.889,-0.481,-0.885,-0.458,0.946,60.000,63260.000,1.000
-7.439,2.052,-7.537,1.305,-1.719,-5.637,-11.697,-2.137,-0.127,0.892,-0.482,-0.854,-0.397,0.885,60.000,63261.000,1.000
-10.640,0.174,-9.112,0.995,-4.138,-7.153,-12.273,-2.228,-0.125,0.893,-0.483,-0.793,-0.275,0.702,60.000,63262.000,1.000
-13.315,-1.772,-9.923,1.284,-5.557,-7.735,-11.951,-1.435,-0.124,0.894,-0.481,-0.824,-0.122,0.610,60.000,63263.000,1.000
-14.935,-3.298,-9.955,2.208,-5.367,-7.259,-10.371,0.584,-0.124,0.895,-0.481,-0.916,0.031,0.580,60.000,63264.000,1.000
-15.411,-4.214,-9.550,3.194,-3.912,-6.097,-7.571,3.449,-0.122,0.895,-0.484,-1.068,0.061,0.519,60.000,63265.000,1.000
